Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,DEM David M. Patronella,Totals
"Justice of the Peace, Precinct 1, Place 2",0197,543,309,852,2914,29.24%,816,816
"Justice of the Peace, Precinct 1, Place 2",0200,962,536,1498,3382,44.29%,911,911
"Justice of the Peace, Precinct 1, Place 2",0204,816,784,1600,3487,45.88%,851,851
"Justice of the Peace, Precinct 1, Place 2",0206,362,462,824,2779,29.65%,604,604
"Justice of the Peace, Precinct 1, Place 2",0207,265,261,526,1188,44.28%,380,380
"Justice of the Peace, Precinct 1, Place 2",0212,96,155,251,1300,19.31%,208,208
"Justice of the Peace, Precinct 1, Place 2",0214,404,491,895,1854,48.27%,416,416
"Justice of the Peace, Precinct 1, Place 2",0215,421,711,1132,2258,50.13%,551,551
"Justice of the Peace, Precinct 1, Place 2",0217,844,631,1475,2678,55.08%,675,675
"Justice of the Peace, Precinct 1, Place 2",0222,623,674,1297,2501,51.86%,788,788
"Justice of the Peace, Precinct 1, Place 2",0227,558,423,981,1785,54.96%,409,409
"Justice of the Peace, Precinct 1, Place 2",0230,185,116,301,1089,27.64%,283,283
"Justice of the Peace, Precinct 1, Place 2",0232,361,474,835,1760,47.44%,453,453
"Justice of the Peace, Precinct 1, Place 2",0233,890,801,1691,4445,38.04%,978,978
"Justice of the Peace, Precinct 1, Place 2",0241,222,229,451,2372,19.01%,280,280
"Justice of the Peace, Precinct 1, Place 2",0261,124,120,244,1417,17.22%,152,152
"Justice of the Peace, Precinct 1, Place 2",0268,435,717,1152,2493,46.21%,549,549
"Justice of the Peace, Precinct 1, Place 2",0270,817,672,1489,3605,41.30%,789,789
"Justice of the Peace, Precinct 1, Place 2",0299,178,117,295,1353,21.80%,179,179
"Justice of the Peace, Precinct 1, Place 2",031,3,9,0,9,62,14.52%,1,1
"Justice of the Peace, Precinct 1, Place 2",0320,234,168,402,1537,26.15%,248,248
"Justice of the Peace, Precinct 1, Place 2",0321,262,191,453,2346,19.31%,298,298
"Justice of the Peace, Precinct 1, Place 2",0322,181,129,310,1226,25.29%,222,222
"Justice of the Peace, Precinct 1, Place 2",0323,278,211,489,1722,28.40%,292,292
"Justice of the Peace, Precinct 1, Place 2",0324,532,646,1178,2336,50.43%,558,558
"Justice of the Peace, Precinct 1, Place 2",0325,289,193,482,2112,22.82%,385,385
"Justice of the Peace, Precinct 1, Place 2",0326,87,74,161,698,23.07%,103,103
"Justice of the Peace, Precinct 1, Place 2",0327,380,129,509,1729,29.44%,478,478
"Justice of the Peace, Precinct 1, Place 2",0331,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0332,18,7,25,138,18.12%,13,13
"Justice of the Peace, Precinct 1, Place 2",0341,91,167,258,1290,20.00%,188,188
"Justice of the Peace, Precinct 1, Place 2",0344,154,172,326,1160,28.10%,302,302
"Justice of the Peace, Precinct 1, Place 2",0345,156,165,321,1804,17.79%,219,219
"Justice of the Peace, Precinct 1, Place 2",0350,524,526,1050,2909,36.09%,664,664
"Justice of the Peace, Precinct 1, Place 2",0360,522,380,902,2146,42.03%,467,467
"Justice of the Peace, Precinct 1, Place 2",0361,41,295,336,1673,20.08%,254,254
"Justice of the Peace, Precinct 1, Place 2",0364,488,405,893,2658,33.60%,438,438
"Justice of the Peace, Precinct 1, Place 2",0365,478,231,709,1305,54.33%,638,638
"Justice of the Peace, Precinct 1, Place 2",0366,252,270,522,2454,21.27%,403,403
"Justice of the Peace, Precinct 1, Place 2",0367,170,138,308,1130,27.26%,250,250
"Justice of the Peace, Precinct 1, Place 2",0369,32,29,61,559,10.91%,43,43
"Justice of the Peace, Precinct 1, Place 2",0383,289,263,552,2173,25.40%,344,344
"Justice of the Peace, Precinct 1, Place 2",0397,86,78,164,760,21.58%,93,93
"Justice of the Peace, Precinct 1, Place 2",0406,137,67,204,628,32.48%,196,196
"Justice of the Peace, Precinct 1, Place 2",0408,146,153,299,1691,17.68%,164,164
"Justice of the Peace, Precinct 1, Place 2",0409,122,149,271,1459,18.57%,175,175
"Justice of the Peace, Precinct 1, Place 2",0411,235,200,435,2339,18.60%,287,287
"Justice of the Peace, Precinct 1, Place 2",0423,108,120,228,1376,16.57%,160,160
"Justice of the Peace, Precinct 1, Place 2",0434,370,289,659,1503,43.85%,303,303
"Justice of the Peace, Precinct 1, Place 2",0446,31,22,53,291,18.21%,31,31
"Justice of the Peace, Precinct 1, Place 2",0447,93,86,179,637,28.10%,126,126
"Justice of the Peace, Precinct 1, Place 2",0448,590,778,1368,3138,43.59%,668,668
"Justice of the Peace, Precinct 1, Place 2",0450,435,328,763,2635,28.96%,559,559
"Justice of the Peace, Precinct 1, Place 2",0455,367,165,532,1689,31.50%,510,510
"Justice of the Peace, Precinct 1, Place 2",0467,213,189,402,1270,31.65%,311,311
"Justice of the Peace, Precinct 1, Place 2",0472,196,278,476,1081,44.03%,323,323
"Justice of the Peace, Precinct 1, Place 2",0494,381,247,628,2467,25.46%,558,558
"Justice of the Peace, Precinct 1, Place 2",0496,190,315,505,2160,23.38%,332,332
"Justice of the Peace, Precinct 1, Place 2",0498,363,323,686,2297,29.87%,407,407
"Justice of the Peace, Precinct 1, Place 2",0501,341,417,758,1801,42.09%,513,513
"Justice of the Peace, Precinct 1, Place 2",0505,631,562,1193,3773,31.62%,711,711
"Justice of the Peace, Precinct 1, Place 2",0511,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0543,141,213,354,1565,22.62%,237,237
"Justice of the Peace, Precinct 1, Place 2",0544,35,41,77,310,24.84%,65,65
"Justice of the Peace, Precinct 1, Place 2",0562,113,68,181,694,26.08%,162,162
"Justice of the Peace, Precinct 1, Place 2",0570,238,210,448,1562,28.68%,292,292
"Justice of the Peace, Precinct 1, Place 2",0571,155,149,304,1827,16.64%,211,211
"Justice of the Peace, Precinct 1, Place 2",0574,31,42,73,402,18.16%,64,64
"Justice of the Peace, Precinct 1, Place 2",0576,485,318,803,2734,29.37%,764,764
"Justice of the Peace, Precinct 1, Place 2",0577,147,88,235,608,38.65%,109,109
"Justice of the Peace, Precinct 1, Place 2",0578,409,538,947,1799,52.64%,455,455
"Justice of the Peace, Precinct 1, Place 2",0579,75,101,176,1056,16.67%,146,146
"Justice of the Peace, Precinct 1, Place 2",0580,179,118,297,1031,28.81%,285,285
"Justice of the Peace, Precinct 1, Place 2",0581,212,174,386,1032,37.40%,370,370
"Justice of the Peace, Precinct 1, Place 2",0583,225,131,356,1262,28.21%,338,338
"Justice of the Peace, Precinct 1, Place 2",0591,183,231,414,2121,19.52%,309,309
"Justice of the Peace, Precinct 1, Place 2",0593,543,564,1107,4380,25.27%,627,627
"Justice of the Peace, Precinct 1, Place 2",0594,561,326,887,2490,35.62%,644,644
"Justice of the Peace, Precinct 1, Place 2",0595,201,178,379,1693,22.39%,307,307
"Justice of the Peace, Precinct 1, Place 2",0606,176,70,246,937,26.25%,239,239
"Justice of the Peace, Precinct 1, Place 2",0608,31,47,78,537,14.53%,44,44
"Justice of the Peace, Precinct 1, Place 2",0610,231,188,419,1927,21.74%,219,219
"Justice of the Peace, Precinct 1, Place 2",0628,152,219,371,1675,22.15%,199,199
"Justice of the Peace, Precinct 1, Place 2",0637,409,362,771,2512,30.69%,588,588
"Justice of the Peace, Precinct 1, Place 2",0663,717,797,1514,3346,45.25%,875,875
"Justice of the Peace, Precinct 1, Place 2",0664,352,250,602,2869,20.98%,480,480
"Justice of the Peace, Precinct 1, Place 2",0666,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0675,0,1,1,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0676,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0677,127,127,254,1266,20.06%,169,169
"Justice of the Peace, Precinct 1, Place 2",0680,21,14,35,162,21.60%,22,22
"Justice of the Peace, Precinct 1, Place 2",0681,1,0,1,5,20.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0683,29,20,49,276,17.75%,38,38
"Justice of the Peace, Precinct 1, Place 2",0694,260,120,380,845,44.97%,151,151
"Justice of the Peace, Precinct 1, Place 2",0697,605,613,1218,4413,27.60%,928,928
"Justice of the Peace, Precinct 1, Place 2",0701,55,43,99,588,16.84%,40,40
"Justice of the Peace, Precinct 1, Place 2",0702,64,70,134,539,24.86%,119,119
"Justice of the Peace, Precinct 1, Place 2",0707,153,86,239,707,33.80%,102,102
"Justice of the Peace, Precinct 1, Place 2",0710,371,462,833,2082,40.01%,434,434
"Justice of the Peace, Precinct 1, Place 2",0714,35,19,55,296,18.58%,30,30
"Justice of the Peace, Precinct 1, Place 2",0723,401,202,603,1858,32.45%,473,473
"Justice of the Peace, Precinct 1, Place 2",0741,0,1,1,0,0.00%,1,1
"Justice of the Peace, Precinct 1, Place 2",0754,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0775,18,3,21,92,22.83%,20,20
"Justice of the Peace, Precinct 1, Place 2",0778,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0779,54,51,115,940,12.23%,77,77
"Justice of the Peace, Precinct 1, Place 2",0780,53,59,122,595,20.50%,63,63
"Justice of the Peace, Precinct 1, Place 2",0787,45,52,98,488,20.08%,67,67
"Justice of the Peace, Precinct 1, Place 2",0789,0,3,3,3,100.00%,3,3
"Justice of the Peace, Precinct 1, Place 2",0792,269,239,508,1865,27.24%,388,388
"Justice of the Peace, Precinct 1, Place 2",0795,90,125,215,1217,17.67%,138,138
"Justice of the Peace, Precinct 1, Place 2",0802,51,27,78,312,25.00%,66,66
"Justice of the Peace, Precinct 1, Place 2",0808,12,17,29,131,22.14%,24,24
"Justice of the Peace, Precinct 1, Place 2",0809,7,6,13,92,14.13%,6,6
"Justice of the Peace, Precinct 1, Place 2",0817,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0830,0,0,0,2,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0833,0,1,1,20,5.00%,1,1
"Justice of the Peace, Precinct 1, Place 2",0837,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0848,489,266,755,1856,40.68%,539,539
"Justice of the Peace, Precinct 1, Place 2",0855,5,9,14,16,87.50%,9,9
"Justice of the Peace, Precinct 1, Place 2",0859,157,106,263,890,29.55%,203,203
"Justice of the Peace, Precinct 1, Place 2",0861,315,199,514,1842,27.90%,430,430
"Justice of the Peace, Precinct 1, Place 2",0864,193,299,492,2569,19.15%,370,370
"Justice of the Peace, Precinct 1, Place 2",0868,236,271,507,2326,21.80%,358,358
"Justice of the Peace, Precinct 1, Place 2",0870,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0884,57,25,82,377,21.75%,70,70
"Justice of the Peace, Precinct 1, Place 2",0886,128,108,236,675,34.96%,127,127
"Justice of the Peace, Precinct 1, Place 2",0887,50,67,117,418,27.99%,71,71
"Justice of the Peace, Precinct 1, Place 2",0890,154,103,267,1095,24.38%,180,180
"Justice of the Peace, Precinct 1, Place 2",0894,0,3,3,0,0.00%,2,2
"Justice of the Peace, Precinct 1, Place 2",0895,155,286,442,793,55.74%,294,294
"Justice of the Peace, Precinct 1, Place 2",0896,370,297,667,1459,45.72%,455,455
"Justice of the Peace, Precinct 1, Place 2",0902,394,486,880,2139,41.14%,483,483
"Justice of the Peace, Precinct 1, Place 2",0903,3,7,10,50,20.00%,8,8
"Justice of the Peace, Precinct 1, Place 2",0906,8,6,14,25,56.00%,8,8
"Justice of the Peace, Precinct 1, Place 2",0909,2,1,3,18,16.67%,3,3
"Justice of the Peace, Precinct 1, Place 2",0910,25,24,49,217,22.58%,30,30
"Justice of the Peace, Precinct 1, Place 2",0922,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0927,44,30,74,270,27.41%,49,49
"Justice of the Peace, Precinct 1, Place 2",0928,3,0,3,8,37.50%,3,3
"Justice of the Peace, Precinct 1, Place 2",0930,109,54,163,584,27.91%,155,155
"Justice of the Peace, Precinct 1, Place 2",0936,8,2,10,81,12.35%,6,6
"Justice of the Peace, Precinct 1, Place 2",0940,0,0,0,10,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0953,15,9,27,275,9.82%,23,23
"Justice of the Peace, Precinct 1, Place 2",0954,0,0,0,1,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",0956,2,4,6,11,54.55%,5,5
"Justice of the Peace, Precinct 1, Place 2",0961,16,0,16,56,28.57%,15,15
"Justice of the Peace, Precinct 1, Place 2",0962,10,17,27,88,30.68%,24,24
"Justice of the Peace, Precinct 1, Place 2",0966,129,83,212,1148,18.47%,144,144
"Justice of the Peace, Precinct 1, Place 2",0970,53,36,119,731,16.28%,101,101
"Justice of the Peace, Precinct 1, Place 2",0973,24,19,43,111,38.74%,27,27
"Justice of the Peace, Precinct 1, Place 2",0974,57,36,93,299,31.10%,42,42
"Justice of the Peace, Precinct 1, Place 2",0975,55,30,85,193,44.04%,52,52
"Justice of the Peace, Precinct 1, Place 2",0977,50,43,93,572,16.26%,63,63
"Justice of the Peace, Precinct 1, Place 2",0987,231,90,321,1155,27.79%,289,289
"Justice of the Peace, Precinct 1, Place 2",0989,5,6,12,43,27.91%,6,5
"Justice of the Peace, Precinct 1, Place 2",1003,1,0,1,0,0.00%,1,1
"Justice of the Peace, Precinct 1, Place 2",1004,111,139,250,654,38.23%,132,132
"Justice of the Peace, Precinct 1, Place 2",1011,5,1,9,26,34.62%,6,5
"Justice of the Peace, Precinct 1, Place 2",1024,55,61,116,249,46.59%,60,60
"Justice of the Peace, Precinct 1, Place 2",1027,1,0,1,8,12.50%,1,1
"Justice of the Peace, Precinct 1, Place 2",1033,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",1048,1,0,1,17,5.88%,1,1
"Justice of the Peace, Precinct 1, Place 2",1049,14,45,59,290,20.34%,40,40
"Justice of the Peace, Precinct 1, Place 2",1051,0,31,31,0,0.00%,17,17
"Justice of the Peace, Precinct 1, Place 2",1063,66,59,125,857,14.59%,108,108
"Justice of the Peace, Precinct 1, Place 2",1065,1,0,1,28,3.57%,1,1
"Justice of the Peace, Precinct 1, Place 2",1066,72,0,72,229,31,44%,67,67
"Justice of the Peace, Precinct 1, Place 2",1067,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 1, Place 2",1068,22,8,30,121,24.79%,17,17
"Justice of the Peace, Precinct 1, Place 2",Totals;,58951,57310,116261,340897,,75749,75749
