Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Paul Bettencourt,DEM Jim Davis,LIB Whitney Bilyeu,Totals
"State Senator, District 7",0440,664,858,1522,2930,51.95%,1247,225,20,1492
"State Senator, District 7",0441,345,420,765,1669,45.84%,603,140,11,754
"State Senator, District 7",0442,612,574,1186,2575,46.06%,1004,156,16,1176
"State Senator, District 7",0451,1002,510,1512,2687,56.27%,1278,191,17,1486
"State Senator, District 7",0463,480,404,884,3326,26.58%,414,431,21,866
"State Senator, District 7",0464,356,430,786,2257,34.82%,566,191,17,774
"State Senator, District 7",0465,687,520,1207,3564,33.87%,714,466,15,1195
"State Senator, District 7",0466,1058,614,1672,4184,39.96%,1013,623,11,1647
"State Senator, District 7",0477,737,567,1304,3505,37.20%,1012,250,26,1288
"State Senator, District 7",0478,958,657,1615,4461,36.20%,1133,428,33,1594
"State Senator, District 7",0479,638,612,1250,2714,46.06%,937,259,34,1230
"State Senator, District 7",0480,493,450,943,2415,39.05%,702,206,26,934
"State Senator, District 7",0481,770,623,1393,3482,40.01%,1099,255,15,1369
"State Senator, District 7",0482,878,630,1508,4373,34.48%,1089,356,50,1495
"State Senator, District 7",0484,1107,930,2037,4979,40.91%,1499,473,40,2012
"State Senator, District 7",0485,1095,911,2006,5388,37.23%,1578,361,51,1990
"State Senator, District 7",0486,873,855,1728,3866,44.70%,1338,286,80,1704
"State Senator, District 7",0495,522,523,1045,2375,44.00%,789,212,20,1021
"State Senator, District 7",0499,750,518,1268,2326,54.51%,973,253,18,1244
"State Senator, District 7",0500,729,715,1444,3507,41.17%,1023,371,28,1422
"State Senator, District 7",0512,602,660,1262,5057,24.96%,610,608,28,1246
"State Senator, District 7",0513,1019,487,1506,2894,52.04%,1186,271,23,1480
"State Senator, District 7",0514,953,720,1673,4275,39.13%,1295,325,32,1652
"State Senator, District 7",0515,942,683,1625,3455,47.03%,1340,229,25,1594
"State Senator, District 7",0517,481,256,737,2954,24.95%,435,283,14,732
"State Senator, District 7",0518,635,693,1328,3943,33.68%,897,383,26,1306
"State Senator, District 7",0519,623,493,1116,2966,37.63%,859,223,25,1107
"State Senator, District 7",0521,471,464,935,2866,32.62%,511,382,23,916
"State Senator, District 7",0523,751,415,1166,3052,38.20%,815,305,28,1148
"State Senator, District 7",0529,1043,491,1534,3710,41.35%,1327,153,36,1516
"State Senator, District 7",0548,286,293,579,2215,26.14%,308,247,15,570
"State Senator, District 7",0550,501,431,932,3031,30.75%,542,358,15,915
"State Senator, District 7",0551,1288,1394,2682,7034,38.13%,2060,539,50,2649
"State Senator, District 7",0552,847,883,1730,3415,50.66%,1449,232,32,1713
"State Senator, District 7",0553,578,529,1107,4686,23.62%,510,549,29,1088
"State Senator, District 7",0575,13,11,24,74,32.43%,18,5,0,23
"State Senator, District 7",0586,638,680,1318,4316,30.54%,816,448,31,1295
"State Senator, District 7",0587,436,284,720,2598,27.71%,297,404,11,712
"State Senator, District 7",0588,758,674,1432,3645,39.29%,1045,337,28,1410
"State Senator, District 7",0596,441,348,789,3007,26.24%,454,307,18,779
"State Senator, District 7",0601,1073,756,1829,4057,45.08%,1407,362,34,1803
"State Senator, District 7",0602,293,235,528,1326,39.82%,399,117,10,526
"State Senator, District 7",0615,480,299,779,1967,39.60%,510,243,14,767
"State Senator, District 7",0616,739,663,1402,3436,40.80%,1000,351,27,1378
"State Senator, District 7",0617,541,393,934,3809,24.52%,389,520,16,925
"State Senator, District 7",0621,154,101,255,1133,22.51%,143,99,9,251
"State Senator, District 7",0622,881,524,1405,4403,31.91%,889,469,24,1382
"State Senator, District 7",0623,887,487,1374,3691,37.23%,965,368,19,1352
"State Senator, District 7",0624,1,1,2,3,66.67%,1,1,0,2
"State Senator, District 7",0631,822,404,1226,2846,43.08%,920,271,20,1211
"State Senator, District 7",0633,943,731,1674,3559,47.04%,1232,398,26,1656
"State Senator, District 7",0634,458,442,900,3029,29.71%,600,265,22,887
"State Senator, District 7",0640,641,459,1100,3733,29.47%,705,357,26,1088
"State Senator, District 7",0641,649,596,1245,3650,34.11%,859,346,24,1229
"State Senator, District 7",0642,471,394,865,1764,49.04%,716,129,13,858
"State Senator, District 7",0643,934,653,1587,5945,26.69%,651,883,24,1558
"State Senator, District 7",0648,838,579,1417,3367,42.08%,1045,327,25,1397
"State Senator, District 7",0650,906,766,1672,3888,43.00%,1237,377,35,1649
"State Senator, District 7",0651,963,766,1729,5128,33.72%,1140,530,28,1698
"State Senator, District 7",0667,488,502,990,2149,46.07%,797,166,19,982
"State Senator, District 7",0668,399,509,908,2775,32.72%,593,269,32,894
"State Senator, District 7",0669,850,738,1588,3425,46.36%,1179,362,25,1566
"State Senator, District 7",0671,403,565,968,3037,31.87%,613,319,20,952
"State Senator, District 7",0672,959,862,1821,5706,31.91%,1257,507,38,1802
"State Senator, District 7",0687,549,537,1086,2609,41.63%,757,273,27,1057
"State Senator, District 7",0688,999,617,1616,3504,46.12%,1332,250,22,1604
"State Senator, District 7",0690,926,1104,2030,5102,39.79%,1669,294,43,2006
"State Senator, District 7",0691,2,5,7,25,28.00%,3,4,0,7
"State Senator, District 7",0709,1375,947,2322,6848,33.91%,1441,813,43,2297
"State Senator, District 7",0712,491,463,954,3670,25.99%,417,505,18,940
"State Senator, District 7",0713,228,262,490,1907,25.69%,258,217,10,485
"State Senator, District 7",0726,592,402,994,2087,47.63%,875,91,14,980
"State Senator, District 7",0734,1558,962,2520,7005,35.97%,1778,670,44,2492
"State Senator, District 7",0747,550,467,1017,3743,27.17%,501,465,38,1004
"State Senator, District 7",0759,465,413,878,2730,32.16%,579,268,19,866
"State Senator, District 7",0768,1359,1015,2374,5857,40.53%,1976,334,41,2351
"State Senator, District 7",0771,324,254,578,2426,23.83%,336,204,23,563
"State Senator, District 7",0783,49,13,62,294,21.09%,46,13,1,60
"State Senator, District 7",0800,588,642,1230,2932,41.95%,875,313,17,1205
"State Senator, District 7",0803,725,511,1236,2893,42.72%,934,270,21,1225
"State Senator, District 7",0805,765,533,1298,2866,45.29%,1056,201,24,1281
"State Senator, District 7",0813,938,761,1699,5807,29.26%,861,769,41,1671
"State Senator, District 7",0823,821,564,1385,5087,27.23%,824,517,20,1361
"State Senator, District 7",0828,541,388,929,1916,48.49%,774,126,19,919
"State Senator, District 7",0851,1029,657,1686,4709,35.80%,1158,468,33,1659
"State Senator, District 7",0853,676,620,1296,2882,44.97%,1029,227,13,1269
"State Senator, District 7",0874,763,707,1470,3223,45.61%,1126,300,19,1445
"State Senator, District 7",0875,904,527,1431,5147,27.80%,711,670,25,1406
"State Senator, District 7",0876,698,641,1339,3265,41.01%,1043,263,18,1324
"State Senator, District 7",0877,476,382,858,3032,28.30%,359,466,19,844
"State Senator, District 7",0878,427,354,781,1666,46.88%,654,95,25,774
"State Senator, District 7",0880,543,447,990,2352,42.09%,825,140,10,975
"State Senator, District 7",0881,593,540,1133,4479,25.30%,411,688,23,1122
"State Senator, District 7",0882,426,291,717,2422,29.60%,436,249,19,704
"State Senator, District 7",0888,0,3,3,0,0.00%,2,1,0,3
"State Senator, District 7",0897,252,297,549,1701,32.28%,326,199,16,541
"State Senator, District 7",0898,0,0,0,3,0.00%,0,0,0,0
"State Senator, District 7",0904,1,0,1,7,14.29%,1,0,0,1
"State Senator, District 7",0912,316,201,517,1273,40.61%,356,138,12,506
"State Senator, District 7",0913,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 7",0915,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 7",0916,417,240,657,1491,44.06%,525,106,14,645
"State Senator, District 7",0918,304,168,472,883,53.45%,378,86,5,469
"State Senator, District 7",0921,32,15,47,119,39.50%,33,12,2,47
"State Senator, District 7",0923,470,137,607,1511,40.17%,464,128,7,599
"State Senator, District 7",0926,171,128,299,796,37.56%,238,54,5,297
"State Senator, District 7",0934,2,0,2,63,3.17%,1,1,0,2
"State Senator, District 7",0939,0,0,0,2,0.00%,0,0,0,0
"State Senator, District 7",0951,33,30,63,277,22.74%,17,45,0,62
"State Senator, District 7",0979,2,6,8,27,29.63%,5,3,0,8
"State Senator, District 7",0980,280,321,601,1389,43.27%,466,121,4,591
"State Senator, District 7",0981,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 7",0982,312,312,624,1567,39.82%,515,90,10,615
"State Senator, District 7",0983,11,21,32,161,19.88%,20,12,0,32
"State Senator, District 7",0991,0,0,0,1,0.00%,0,0,0,0
"State Senator, District 7",0992,157,107,264,1048,25.19%,153,97,9,259
"State Senator, District 7",0997,101,163,264,1656,15.94%,61,198,1,260
"State Senator, District 7",0998,5,1,6,57,10.53%,3,3,0,6
"State Senator, District 7",0999,17,10,27,68,39.71%,24,3,0,27
"State Senator, District 7",1016,252,212,464,1691,27.44%,235,209,12,456
"State Senator, District 7",1017,61,44,105,330,31.82%,33,68,2,103
"State Senator, District 7",1018,93,64,157,494,31.78%,74,81,1,156
"State Senator, District 7",1021,0,0,0,2,0.00%,0,0,0,0
"State Senator, District 7",1022,97,79,176,441,39.91%,140,30,3,173
"State Senator, District 7",1023,430,315,745,2026,36.77%,542,181,7,730
"State Senator, District 7",1025,0,1,1,14,7.14%,1,0,0,1
"State Senator, District 7",1026,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 7",1,028,0,0,0,0,0.00%,0,0,0,0
"State Senator, District 7",1030,231,151,382,785,48.66%,335,39,5,379
"State Senator, District 7",1036,65,24,89,449,19.82%,73,15,0,88
"State Senator, District 7",1062,17,6,23,201,11.44%,5,17,0,22
"State Senator, District 7",—
