Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0085,271,248,519,2173,23.88%,21,488,509
"Chief Justice, 14th Court of Appeals District",0086,447,568,1015,2910,34.88%,456,511,967
"Chief Justice, 14th Court of Appeals District",0087,574,787,1461,2818,51.85%,951,435,1386
"Chief Justice, 14th Court of Appeals District",0088,123,118,241,693,34.78%,159,72,231
"Chief Justice, 14th Court of Appeals District",0089,165,371,536,1094,48.99%,295,203,498
"Chief Justice, 14th Court of Appeals District",0090,844,790,1634,3700,44.16%,1203,374,1577
"Chief Justice, 14th Court of Appeals District",0091,219,222,441,1505,29.30%,270,153,423
"Chief Justice, 14th Court of Appeals District",0092,695,462,1157,2242,51.61%,774,319,1093
"Chief Justice, 14th Court of Appeals District",0093,381,301,682,3356,20.32%,276,369,645
"Chief Justice, 14th Court of Appeals District",0094,51,43,94,549,17.12%,28,62,90
"Chief Justice, 14th Court of Appeals District",0095,917,576,1493,3177,46.99%,1114,330,1444
"Chief Justice, 14th Court of Appeals District",0096,83,83,166,1296,12.81%,21,143,164
"Chief Justice, 14th Court of Appeals District",0097,1024,725,1749,4828,36.23%,1311,391,1702
"Chief Justice, 14th Court of Appeals District",0098,403,488,891,2651,33.61%,735,131,866
"Chief Justice, 14th Court of Appeals District",0099,254,184,438,2092,20.94%,214,215,429
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0100,165,173,338,1730,19.54%,176,156,332
"Chief Justice, 14th Court of Appeals District",0101,72,58,130,946,13.74%,49,79,128
"Chief Justice, 14th Court of Appeals District",0102,207,121,328,1872,17.52%,91,226,317
"Chief Justice, 14th Court of Appeals District",0103,700,714,1414,5371,26.33%,796,587,1383
"Chief Justice, 14th Court of Appeals District",0104,530,231,761,1905,39.95%,19,731,750
"Chief Justice, 14th Court of Appeals District",0105,196,210,406,2165,18.75%,135,240,375
"Chief Justice, 14th Court of Appeals District",0106,18,7,25,294,8.50%,16,9,25
"Chief Justice, 14th Court of Appeals District",0107,154,197,351,2032,17.27%,58,281,339
"Chief Justice, 14th Court of Appeals District",0108,558,272,940,3365,27.93%,566,340,906
"Chief Justice, 14th Court of Appeals District",0109,529,245,774,2824,27.41%,6,756,762
"Chief Justice, 14th Court of Appeals District",0110,654,494,1148,3042,37.74%,745,365,1110
"Chief Justice, 14th Court of Appeals District",0111,816,795,1611,4102,39.27%,1183,377,1560
"Chief Justice, 14th Court of Appeals District",0112,542,485,1027,2976,34.51%,766,229,995
"Chief Justice, 14th Court of Appeals District",0113,562,429,991,2647,37.44%,611,337,948
"Chief Justice, 14th Court of Appeals District",0114,707,547,1254,3311,37.87%,1015,209,1224
"Chief Justice, 14th Court of Appeals District",0115,238,150,388,1800,21.56%,53,326,379
"Chief Justice, 14th Court of Appeals District",0116,982,776,1758,3147,55.86%,1349,327,1676
"Chief Justice, 14th Court of Appeals District",0117,215,226,441,1880,23.46%,216,202,418
"Chief Justice, 14th Court of Appeals District",0118,304,123,427,759,56.26%,360,51,411
"Chief Justice, 14th Court of Appeals District",0119,1288,1024,2312,5500,42.04%,1878,362,2240
"Chief Justice, 14th Court of Appeals District",0120,712,422,1134,3191,35.54%,750,347,1097
"Chief Justice, 14th Court of Appeals District",0121,92,178,270,848,31.84%,189,72,261
"Chief Justice, 14th Court of Appeals District",0122,352,225,577,1890,30.53%,18,544,562
"Chief Justice, 14th Court of Appeals District",0123,284,288,572,1392,41.09%,150,395,545
"Chief Justice, 14th Court of Appeals District",0124,1734,1292,3026,7254,41.71%,2410,546,2956
"Chief Justice, 14th Court of Appeals District",0125,415,332,747,2405,31.06%,460,263,723
"Chief Justice, 14th Court of Appeals District",0126,893,467,1360,3100,43.87%,1209,123,1332
"Chief Justice, 14th Court of Appeals District",0127,435,154,589,1836,32.08%,416,136,552
"Chief Justice, 14th Court of Appeals District",0128,445,707,1152,2290,50.31%,737,339,1076
"Chief Justice, 14th Court of Appeals District",0129,1030,1200,2230,5746,38.81%,1414,722,2136
"Chief Justice, 14th Court of Appeals District",0130,727,523,1250,2333,53.58%,940,269,1209
"Chief Justice, 14th Court of Appeals District",0131,251,259,510,1935,26.36%,117,370,487
"Chief Justice, 14th Court of Appeals District",0132,593,323,916,2387,38.37%,18,879,897
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0133,513,858,1371,2662,51.50%,815,472,1287
"Chief Justice, 14th Court of Appeals District",0134,192,265,457,1437,31.80%,207,231,438
"Chief Justice, 14th Court of Appeals District",0135,729,579,1308,2671,48.97%,934,313,1247
"Chief Justice, 14th Court of Appeals District",0136,503,371,874,2013,43.42%,35,819,854
"Chief Justice, 14th Court of Appeals District",0137,166,141,307,716,42.88%,154,132,286
"Chief Justice, 14th Court of Appeals District",0138,296,199,495,1699,29.13%,15,468,483
"Chief Justice, 14th Court of Appeals District",0139,699,551,1250,3037,41.16%,570,613,1183
"Chief Justice, 14th Court of Appeals District",0140,700,480,1180,3214,36.71%,134,1013,1147
"Chief Justice, 14th Court of Appeals District",0141,80,80,160,855,18.71%,97,55,152
"Chief Justice, 14th Court of Appeals District",0142,87,103,190,902,21.06%,68,114,182
"Chief Justice, 14th Court of Appeals District",0143,1962,580,2542,6386,39.81%,1852,642,2494
"Chief Justice, 14th Court of Appeals District",0144,216,158,374,1093,34.22%,8,358,366
"Chief Justice, 14th Court of Appeals District",0145,264,213,477,1538,31.01%,9,452,461
"Chief Justice, 14th Court of Appeals District",0146,426,519,945,2008,47.06%,418,487,905
"Chief Justice, 14th Court of Appeals District",0147,589,329,1018,3008,33.84%,129,862,991
"Chief Justice, 14th Court of Appeals District",0148,500,780,1280,2540,50.39%,520,689,1209
"Chief Justice, 14th Court of Appeals District",0149,1621,737,2358,7993,29.50%,1234,1068,2302
"Chief Justice, 14th Court of Appeals District",0150,236,169,405,1256,32.25%,11,390,401
"Chief Justice, 14th Court of Appeals District",0151,137,79,216,826,26.15%,11,197,208
"Chief Justice, 14th Court of Appeals District",0152,213,299,512,2788,18.36%,136,352,488
"Chief Justice, 14th Court of Appeals District",0153,125,206,331,1808,18.31%,108,211,319
"Chief Justice, 14th Court of Appeals District",0154,249,183,432,2190,19.73%,116,297,413
"Chief Justice, 14th Court of Appeals District",0155,1022,619,1641,4109,39.94%,1155,434,1589
"Chief Justice, 14th Court of Appeals District",0156,799,326,1125,3071,36.63%,40,1060,1100
"Chief Justice, 14th Court of Appeals District",0157,448,214,662,2236,29.61%,27,618,645
"Chief Justice, 14th Court of Appeals District",0158,600,315,915,3035,30.15%,23,881,904
"Chief Justice, 14th Court of Appeals District",0159,116,127,243,998,24.35%,40,196,236
"Chief Justice, 14th Court of Appeals District",0160,122,73,195,696,28.02%,6,187,193
"Chief Justice, 14th Court of Appeals District",0161,163,141,304,991,30.68%,5,295,300
"Chief Justice, 14th Court of Appeals District",0162,101,83,184,1265,14.55%,66,106,172
"Chief Justice, 14th Court of Appeals District",0163,230,320,550,3037,18.11%,229,295,524
"Chief Justice, 14th Court of Appeals District",0164,182,205,387,1420,27.25%,10,370,380
"Chief Justice, 14th Court of Appeals District",0165,535,483,1018,2334,43.62%,677,300,977
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0166,158,233,391,1028,38.04%,116,257,373
"Chief Justice, 14th Court of Appeals District",0167,3,0,3,24,12.50%,0,3,3
"Chief Justice, 14th Court of Appeals District",0168,92,58,150,503,29.82%,2,145,147
"Chief Justice, 14th Court of Appeals District",0169,518,251,767,2513,30.52%,10,737,747
"Chief Justice, 14th Court of Appeals District",0170,271,141,412,1869,22.04%,215,176,391
"Chief Justice, 14th Court of Appeals District",0171,202,198,400,1604,24.94%,9,381,390
"Chief Justice, 14th Court of Appeals District",0172,88,80,166,621,26.73%,62,94,156
"Chief Justice, 14th Court of Appeals District",0173,817,739,1556,3599,43.23%,1249,268,1517
"Chief Justice, 14th Court of Appeals District",0174,829,733,1562,3296,47.39%,1090,394,1484
"Chief Justice, 14th Court of Appeals District",0175,557,749,1306,2618,49.89%,679,548,1227
"Chief Justice, 14th Court of Appeals District",0176,344,451,795,1602,49.63%,429,308,737
"Chief Justice, 14th Court of Appeals District",0177,278,326,604,1496,40.37%,352,224,576
"Chief Justice, 14th Court of Appeals District",0178,504,365,869,1765,49.24%,606,215,821
"Chief Justice, 14th Court of Appeals District",0179,256,188,444,1575,28.19%,240,184,424
"Chief Justice, 14th Court of Appeals District",0180,470,343,813,2834,28.69%,19,759,778
"Chief Justice, 14th Court of Appeals District",0181,175,262,437,2061,21.20%,139,275,414
"Chief Justice, 14th Court of Appeals District",0182,590,974,1564,3405,45.93%,958,500,1458
"Chief Justice, 14th Court of Appeals District",0183,519,794,1313,2491,52.71%,879,357,1236
"Chief Justice, 14th Court of Appeals District",0184,106,135,241,994,24.25%,83,142,225
"Chief Justice, 14th Court of Appeals District",0185,283,292,575,1933,29.75%,203,346,549
"Chief Justice, 14th Court of Appeals District",0186,97,106,203,798,25.44%,33,165,198
"Chief Justice, 14th Court of Appeals District",0187,21,25,46,311,14.79%,14,29,43
"Chief Justice, 14th Court of Appeals District",0188,153,146,299,1637,18.27%,142,146,288
"Chief Justice, 14th Court of Appeals District",0189,239,360,599,1465,40.89%,310,251,561
"Chief Justice, 14th Court of Appeals District",0190,120,177,297,1723,17.24%,124,163,287
"Chief Justice, 14th Court of Appeals District",0191,79,126,205,1366,15.01%,88,111,199
"Chief Justice, 14th Court of Appeals District",0192,380,225,605,1959,30.88%,24,566,590
"Chief Justice, 14th Court of Appeals District",0193,173,187,360,1074,33.52%,9,341,350
"Chief Justice, 14th Court of Appeals District",0194,351,431,782,1912,40.90%,263,489,752
"Chief Justice, 14th Court of Appeals District",0195,269,278,547,1694,32.29%,18,517,535
"Chief Justice, 14th Court of Appeals District",0196,52,32,84,316,26.58%,5,77,82
"Chief Justice, 14th Court of Appeals District",0197,543,309,852,2914,29.24%,13,823,836
"Chief Justice, 14th Court of Appeals District",0198,53,74,127,642,19.78%,3,123,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0199,812,661,1473,3216,45.80%,1143,264,1407
"Chief Justice, 14th Court of Appeals District",0200,962,536,1498,3382,44.29%,685,721,1406
"Chief Justice, 14th Court of Appeals District",0201,98,87,185,724,25.55%,4,177,181
"Chief Justice, 14th Court of Appeals District",0202,217,189,406,1464,27.73%,16,384,400
"Chief Justice, 14th Court of Appeals District",0203,107,68,175,960,18.23%,39,125,164
"Chief Justice, 14th Court of Appeals District",0204,816,784,1600,3487,45.88%,909,591,1500
"Chief Justice, 14th Court of Appeals District",0205,465,171,636,1664,38.22%,8,620,628
"Chief Justice, 14th Court of Appeals District",0206,363,462,825,2779,29.69%,235,552,787
"Chief Justice, 14th Court of Appeals District",0207,265,261,526,1188,44.28%,158,339,497
"Chief Justice, 14th Court of Appeals District",0208,322,262,584,2195,26.61%,171,388,559
"Chief Justice, 14th Court of Appeals District",0209,0,2,2,0,0.00%,2,0,2
"Chief Justice, 14th Court of Appeals District",0210,502,467,969,2533,38.26%,103,839,942
"Chief Justice, 14th Court of Appeals District",0211,307,386,693,2914,23.78%,272,387,659
"Chief Justice, 14th Court of Appeals District",0212,96,155,251,1300,19.31%,50,190,240
"Chief Justice, 14th Court of Appeals District",0213,826,913,1739,3350,51.91%,1405,247,1652
"Chief Justice, 14th Court of Appeals District",0214,404,491,895,1854,48.27%,556,300,856
"Chief Justice, 14th Court of Appeals District",0215,423,711,1134,2258,50.22%,685,390,1075
"Chief Justice, 14th Court of Appeals District",0216,362,223,585,1945,30.08%,37,533,570
"Chief Justice, 14th Court of Appeals District",0217,844,631,1475,2678,55.08%,990,398,1388
"Chief Justice, 14th Court of Appeals District",0218,391,402,793,2292,34.60%,252,487,739
"Chief Justice, 14th Court of Appeals District",0219,496,436,932,2767,33.68%,51,853,904
"Chief Justice, 14th Court of Appeals District",0220,325,187,512,2310,22.16%,369,124,493
"Chief Justice, 14th Court of Appeals District",0221,332,369,701,2529,27.72%,301,361,662
"Chief Justice, 14th Court of Appeals District",0222,623,674,1297,2501,51.86%,642,579,1221
"Chief Justice, 14th Court of Appeals District",0223,563,377,940,3582,26.24%,267,626,893
"Chief Justice, 14th Court of Appeals District",0224,531,456,987,2238,44.10%,472,453,925
"Chief Justice, 14th Court of Appeals District",0225,376,405,781,3305,23.63%,397,363,760
"Chief Justice, 14th Court of Appeals District",0226,227,307,534,2436,21.92%,124,378,502
"Chief Justice, 14th Court of Appeals District",0227,558,423,981,1785,54.96%,759,167,926
"Chief Justice, 14th Court of Appeals District",0228,362,195,557,1050,53.05%,28,514,542
"Chief Justice, 14th Court of Appeals District",0229,31,96,127,815,15.58%,59,59,118
"Chief Justice, 14th Court of Appeals District",0230,185,116,301,1089,27.64%,8,290,298
"Chief Justice, 14th Court of Appeals District",0231,233,264,497,2232,22.27%,126,345,471
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0232,351,474,835,1760,47.44%,480,318,798
"Chief Justice, 14th Court of Appeals District",0233,890,801,1691,4445,38.04%,838,756,1594
"Chief Justice, 14th Court of Appeals District",0234,1192,913,2105,3993,52.72%,1650,348,1998
"Chief Justice, 14th Court of Appeals District",0235,240,158,398,1356,29.35%,11,379,390
"Chief Justice, 14th Court of Appeals District",0236,354,235,589,2079,28.33%,12,562,574
"Chief Justice, 14th Court of Appeals District",0237,415,253,669,2161,30.96%,10,648,658
"Chief Justice, 14th Court of Appeals District",0238,340,245,585,1925,30.39%,15,554,569
"Chief Justice, 14th Court of Appeals District",0239,383,236,619,1964,31.52%,20,588,608
"Chief Justice, 14th Court of Appeals District",0240,585,243,828,2649,31.26%,17,792,809
"Chief Justice, 14th Court of Appeals District",0241,222,229,451,2372,19.01%,191,241,432
"Chief Justice, 14th Court of Appeals District",0242,173,162,335,1596,20.99%,197,121,318
"Chief Justice, 14th Court of Appeals District",0243,138,43,181,457,39.61%,1,180,181
"Chief Justice, 14th Court of Appeals District",0244,480,425,905,311,7,29.03%,505,363,868
"Chief Justice, 14th Court of Appeals District",0245,945,799,1745,5828,29.94%,1221,484,1705
"Chief Justice, 14th Court of Appeals District",0246,584,513,1197,3315,36.11%,860,300,1160
"Chief Justice, 14th Court of Appeals District",0247,173,254,427,1582,26.99%,16,406,422
"Chief Justice, 14th Court of Appeals District",0248,161,167,328,2100,15.62%,95,220,315
"Chief Justice, 14th Court of Appeals District",0249,461,348,809,2719,29.75%,560,225,785
"Chief Justice, 14th Court of Appeals District",0250,109,164,273,964,28.32%,5,262,267
"Chief Justice, 14th Court of Appeals District",0251,278,436,714,2089,34.18%,24,675,699
"Chief Justice, 14th Court of Appeals District",0252,504,312,816,2377,34.33%,14,787,801
"Chief Justice, 14th Court of Appeals District",0253,379,222,601,2177,27.61%,8,579,587
"Chief Justice, 14th Court of Appeals District",0254,93,112,205,1550,13.23%,61,133,194
"Chief Justice, 14th Court of Appeals District",0255,525,648,1173,2482,47.26%,569,536,1105
"Chief Justice, 14th Court of Appeals District",0256,575,449,1024,3254,31.47%,483,486,969
"Chief Justice, 14th Court of Appeals District",0257,204,245,449,2523,17.80%,133,292,425
"Chief Justice, 14th Court of Appeals District",0258,839,800,1539,3322,49.34%,1222,333,1555
"Chief Justice, 14th Court of Appeals District",0259,555,382,1038,2361,43.96%,23,993,1016
"Chief Justice, 14th Court of Appeals District",0260,152,145,307,1260,24.37%,179,111,290
"Chief Justice, 14th Court of Appeals District",0261,124,120,244,1417,17.22%,101,137,238
"Chief Justice, 14th Court of Appeals District",0262,758,600,1358,4397,30.88%,850,442,1292
"Chief Justice, 14th Court of Appeals District",0263,858,712,1570,3693,42.51%,1205,313,1518
"Chief Justice, 14th Court of Appeals District",0264,480,457,937,2963,31.62%,584,313,897
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0265,988,759,1747,3584,48.74%,1320,323,1643
"Chief Justice, 14th Court of Appeals District",0266,259,257,516,2104,24.52%,254,234,488
"Chief Justice, 14th Court of Appeals District",0267,146,166,312,1327,23.51%,167,131,298
"Chief Justice, 14th Court of Appeals District",0268,435,717,1152,2493,46.21%,678,381,1059
"Chief Justice, 14th Court of Appeals District",0269,702,453,1155,2030,56.90%,935,172,1107
"Chief Justice, 14th Court of Appeals District",0270,817,672,1489,3605,41.30%,825,596,1421
"Chief Justice, 14th Court of Appeals District",0271,656,382,1038,2518,41.22%,24,1005,1029
"Chief Justice, 14th Court of Appeals District",0272,264,292,555,2162,25.72%,223,313,536
"Chief Justice, 14th Court of Appeals District",0273,548,689,1237,2470,50.08%,1018,163,1181
"Chief Justice, 14th Court of Appeals District",0274,588,346,934,2153,43.38%,654,235,889
"Chief Justice, 14th Court of Appeals District",0275,207,236,443,1850,23.95%,105,322,427
"Chief Justice, 14th Court of Appeals District",0276,572,231,803,2536,31.66%,7,779,786
"Chief Justice, 14th Court of Appeals District",0277,170,186,356,1492,23.86%,171,173,344
"Chief Justice, 14th Court of Appeals District",0278,421,320,741,2454,30.20%,413,303,716
"Chief Justice, 14th Court of Appeals District",0279,250,223,473,1941,24.37%,283,171,454
"Chief Justice, 14th Court of Appeals District",0280,130,188,318,1524,20.87%,135,166,301
"Chief Justice, 14th Court of Appeals District",0281,655,742,1397,2633,53.06%,699,580,1279
"Chief Justice, 14th Court of Appeals District",0282,314,455,769,2042,37.66%,502,232,734
"Chief Justice, 14th Court of Appeals District",0283,0,0,0,0,0.00%,0,0,0
"Chief Justice, 14th Court of Appeals District",0284,574,336,910,3172,28.69%,422,446,868
"Chief Justice, 14th Court of Appeals District",0285,448,378,826,2540,32.52%,75,725,800
"Chief Justice, 14th Court of Appeals District",0286,1255,821,2076,6170,33.65%,190,1829,2019
"Chief Justice, 14th Court of Appeals District",0287,370,477,847,1621,52.25%,418,379,797
"Chief Justice, 14th Court of Appeals District",0288,532,313,845,2210,38.24%,19,808,827
"Chief Justice, 14th Court of Appeals District",0289,186,212,398,1564,25.45%,198,181,379
"Chief Justice, 14th Court of Appeals District",0290,245,298,543,1642,33.07%,410,121,531
"Chief Justice, 14th Court of Appeals District",0291,325,235,560,1225,45.71%,291,240,531
"Chief Justice, 14th Court of Appeals District",0292,207,147,354,1356,26.11%,41,306,347
"Chief Justice, 14th Court of Appeals District",0293,357,447,804,1759,45.71%,366,390,756
"Chief Justice, 14th Court of Appeals District",0294,488,221,709,2097,33.81%,13,686,699
"Chief Justice, 14th Court of Appeals District",0295,148,103,251,885,28.36%,7,239,246
"Chief Justice, 14th Court of Appeals District",0296,327,340,667,1713,38.94%,391,235,626
"Chief Justice, 14th Court of Appeals District",0297,280,249,529,2012,26.29%,237,267,504
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Kem Thompson Frost,DEM Kyle Carter,Totals
"Chief Justice, 14th Court of Appeals District",0298,415,358,773,2121,36.45%,461,275,736
"Chief Justice, 14th Court of Appeals District",0299,178,117,295,1353,21.80%,119,158,277
"Chief Justice, 14th Court of Appeals District",0300,1389,1016,2405,5406,44.49%,1933,395,2328
