Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roberta Lloyd,DEM Damon Crenshaw,Totals
"Judge, County Court at Law No. 4",0045,894,750,1644,6698,24.54%,322,1270,1592
"Judge, County Court at Law No. 4",0046,290,247,537,2511,21.39%,96,408,504
"Judge, County Court at Law No. 4",0047,213,218,431,1627,26.49%,18,403,421
"Judge, County Court at Law No. 4",0048,157,142,299,940,31.81%,24,265,289
"Judge, County Court at Law No. 4",0049,584,482,1066,3343,31.89%,774,260,1034
"Judge, County Court at Law No. 4",0050,785,771,1556,5211,29.86%,848,651,1499
"Judge, County Court at Law No. 4",0051,353,243,596,1689,35.29%,446,129,575
"Judge, County Court at Law No. 4",0052,422,447,869,2457,35.37%,395,416,811
"Judge, County Court at Law No. 4",0053,564,726,1290,2971,43.42%,491,700,1191
"Judge, County Court at Law No. 4",0054,269,364,633,1487,42.57%,318,267,585
"Judge, County Court at Law No. 4",0055,191,251,442,1506,29.35%,194,216,410
"Judge, County Court at Law No. 4",0056,282,278,560,1326,42.23%,364,163,527
"Judge, County Court at Law No. 4",0057,710,831,1541,3153,48.87%,560,845,1405
"Judge, County Court at Law No. 4",0058,469,556,1025,2690,38.10%,433,538,971
"Judge, County Court at Law No. 4",0059,555,609,1164,2544,45.75%,436,643,1079
"Judge, County Court at Law No. 4",0060,498,564,1062,2453,43.29%,247,736,983
"Judge, County Court at Law No. 4",0061,172,204,376,1773,21.21%,157,193,350
"Judge, County Court at Law No. 4",0062,145,322,467,2181,21.41%,121,320,441
"Judge, County Court at Law No. 4",0063,264,354,618,1826,33.84%,492,107,599
"Judge, County Court at Law No. 4",0064,191,221,412,2141,19.24%,88,302,390
"Judge, County Court at Law No. 4",0065,172,230,402,2167,18.55%,100,277,377
"Judge, County Court at Law No. 4",0066,69,143,212,1098,19.31%,37,161,198
"Judge, County Court at Law No. 4",0067,304,282,586,2794,20.97%,170,369,539
"Judge, County Court at Law No. 4",0068,553,352,905,2924,30.95%,21,863,884
"Judge, County Court at Law No. 4",0069,80,124,204,1284,15.89%,43,146,189
"Judge, County Court at Law No. 4",0070,882,664,1546,3337,46.33%,861,557,1418
"Judge, County Court at Law No. 4",0071,602,722,1324,4197,31.55%,639,609,1248
"Judge, County Court at Law No. 4",0072,220,293,513,1924,26.66%,169,319,488
"Judge, County Court at Law No. 4",0073,252,414,666,1555,42.83%,362,248,610
"Judge, County Court at Law No. 4",0074,1153,782,1935,3583,54.01%,1490,352,1842
"Judge, County Court at Law No. 4",0075,254,280,534,1444,36.98%,202,298,500
"Judge, County Court at Law No. 4",0076,373,374,747,2362,31.63%,436,276,712
"Judge, County Court at Law No. 4",0077,43,46,89,566,15.72%,20,65,85
"Judge, County Court at Law No. 4",0078,180,201,381,1522,25.03%,136,225,361
"Judge, County Court at Law No. 4",0079,205,306,511,2927,17.46%,136,334,470
"Judge, County Court at Law No. 4",0080,501,351,852,2725,31.27%,212,599,811
"Judge, County Court at Law No. 4",0081,183,187,370,1835,20.16%,141,206,347
"Judge, County Court at Law No. 4",0082,639,671,1310,3368,38.90%,977,289,1266
"Judge, County Court at Law No. 4",0083,1296,888,2184,6625,32.97%,1069,1025,2094
"Judge, County Court at Law No. 4",0084,208,218,426,1373,31.03%,313,95,408
"Judge, County Court at Law No. 4",0085,271,248,519,2173,23.88%,18,488,506
"Judge, County Court at Law No. 4",0086,447,568,1015,2910,34.88%,450,503,953
"Judge, County Court at Law No. 4",0087,574,787,1461,2818,51.85%,870,465,1335
"Judge, County Court at Law No. 4",0088,123,118,241,693,34.78%,153,74,227
"Judge, County Court at Law No. 4",0089,165,371,536,1094,48.99%,278,207,485
"Judge, County Court at Law No. 4",0090,844,790,1634,3700,44.16%,1174,382,1556
"Judge, County Court at Law No. 4",0091,219,222,441,1505,29.30%,265,158,423
"Judge, County Court at Law No. 4",0092,695,462,1157,2242,51.61%,757,323,1080
"Judge, County Court at Law No. 4",0093,381,301,682,3356,20.32%,274,363,637
"Judge, County Court at Law No. 4",0094,51,43,94,549,17.12%,28,62,90
"Judge, County Court at Law No. 4",0095,917,576,1493,3177,46.99%,1066,358,1424
"Judge, County Court at Law No. 4",0096,83,83,166,1296,12.81%,23,142,165
"Judge, County Court at Law No. 4",0097,1024,725,1749,4828,36.23%,1303,386,1689
"Judge, County Court at Law No. 4",0098,403,488,891,2651,33.61%,740,121,861
"Judge, County Court at Law No. 4",0099,254,184,438,2092,20.94%,213,209,422
"Judge, County Court at Law No. 4",0100,165,173,338,1730,19.54%,182,149,331
"Judge, County Court at Law No. 4",0101,72,58,130,946,13.74%,47,79,126
"Judge, County Court at Law No. 4",0102,207,121,328,1872,17.52%,90,224,314
"Judge, County Court at Law No. 4",0103,700,714,1414,5371,26.33%,801,569,1370
"Judge, County Court at Law No. 4",0104,530,231,761,1905,39.95%,17,726,743
"Judge, County Court at Law No. 4",0105,195,210,406,2165,18.75%,136,236,372
"Judge, County Court at Law No. 4",0106,18,7,25,294,8.50%,15,9,24
"Judge, County Court at Law No. 4",0107,154,197,351,2032,17.27%,58,276,334
"Judge, County Court at Law No. 4",0108,558,272,940,3365,27.93%,570,339,909
"Judge, County Court at Law No. 4",0109,529,245,774,2824,27.41%,11,745,756
"Judge, County Court at Law No. 4",0110,654,494,1148,3042,37.74%,744,366,1110
"Judge, County Court at Law No. 4",0111,816,795,1611,4102,39.27%,1177,357,1534
"Judge, County Court at Law No. 4",0112,542,485,1027,2976,34.51%,756,226,982
"Judge, County Court at Law No. 4",0113,562,429,991,2647,37.44%,598,343,941
"Judge, County Court at Law No. 4",0114,707,547,1254,3311,37.87%,1009,213,1222
"Judge, County Court at Law No. 4",0115,238,150,388,1800,21.56%,50,325,375
"Judge, County Court at Law No. 4",0116,982,776,1758,3147,55.86%,1309,332,1641
"Judge, County Court at Law No. 4",0117,215,226,441,1880,23.46%,218,197,415
"Judge, County Court at Law No. 4",0118,304,123,427,759,56.26%,349,62,411
"Judge, County Court at Law No. 4",0119,1288,1024,2312,5500,42.04%,1868,345,2213
"Judge, County Court at Law No. 4",0120,712,422,1134,3191,35.54%,739,343,1082
"Judge, County Court at Law No. 4",0121,92,178,270,848,31.84%,189,70,259
"Judge, County Court at Law No. 4",0122,352,225,577,1890,30.53%,24,529,553
"Judge, County Court at Law No. 4",0123,284,288,572,1392,41.09%,143,392,535
"Judge, County Court at Law No. 4",0124,1734,1292,3026,7254,41.71%,2386,555,2941
"Judge, County Court at Law No. 4",0125,415,332,747,2405,31.06%,457,261,718
"Judge, County Court at Law No. 4",0126,893,467,1360,3100,43.87%,1192,126,1318
"Judge, County Court at Law No. 4",0127,435,154,589,1836,32.08%,415,137,552
"Judge, County Court at Law No. 4",0128,445,707,1152,2290,50.31%,675,370,1045
"Judge, County Court at Law No. 4",0129,1030,1200,2230,5746,38.81%,1370,729,2099
"Judge, County Court at Law No. 4",0130,727,523,1250,2333,53.58%,910,275,1185
"Judge, County Court at Law No. 4",0131,251,259,510,1935,26.36%,122,361,483
"Judge, County Court at Law No. 4",0132,593,323,916,2387,38.37%,20,874,894
"Judge, County Court at Law No. 4",0133,513,858,1371,2662,51.50%,756,499,1255
"Judge, County Court at Law No. 4",0134,192,265,457,1437,31.80%,213,220,433
"Judge, County Court at Law No. 4",0135,727,579,1305,2671,48.90%,857,356,1213
"Judge, County Court at Law No. 4",0136,503,371,874,2013,43.42%,33,812,845
"Judge, County Court at Law No. 4",0137,166,141,307,716,42.88%,146,131,277
"Judge, County Court at Law No. 4",0138,296,199,495,1699,29.13%,16,469,485
"Judge, County Court at Law No. 4",0139,699,551,1250,3037,41.16%,520,644,1164
"Judge, County Court at Law No. 4",0140,699,480,1179,3214,36.68%,141,993,1134
"Judge, County Court at Law No. 4",0141,80,80,160,855,18.71%,97,54,151
"Judge, County Court at Law No. 4",0142,87,103,190,902,21.06%,65,116,181
"Judge, County Court at Law No. 4",0143,1962,580,2542,6386,39.81%,1833,644,2477
"Judge, County Court at Law No. 4",0144,216,158,374,1093,34.22%,11,354,365
"Judge, County Court at Law No. 4",0145,264,213,477,1538,31.01%,9,453,462
"Judge, County Court at Law No. 4",0146,426,519,945,2008,47.06%,403,487,890
"Judge, County Court at Law No. 4",0147,589,329,1018,3008,33.84%,133,860,993
"Judge, County Court at Law No. 4",0148,500,780,1280,2540,50.39%,460,700,1160
"Judge, County Court at Law No. 4",0149,1621,737,2358,7993,29.50%,1242,1056,2298
"Judge, County Court at Law No. 4",0150,236,169,405,1256,32.25%,12,388,400
"Judge, County Court at Law No. 4",0151,137,79,216,826,26.15%,11,197,208
"Judge, County Court at Law No. 4",0152,213,299,512,2788,18.36%,137,353,490
"Judge, County Court at Law No. 4",0153,125,206,331,1808,18.31%,113,203,316
"Judge, County Court at Law No. 4",0154,249,183,432,2190,19.73%,120,287,407
"Judge, County Court at Law No. 4",0155,1022,619,1641,4109,39.94%,1139,436,1575
"Judge, County Court at Law No. 4",0156,799,326,1125,3071,36.63%,40,1048,1088
"Judge, County Court at Law No. 4",0157,448,214,662,2236,29.61%,25,617,642
"Judge, County Court at Law No. 4",0158,600,315,915,3035,30.15%,25,869,894
"Judge, County Court at Law No. 4",0159,116,127,243,998,24.35%,39,196,235
"Judge, County Court at Law No. 4",0160,122,73,195,696,28.02%,7,185,192
"Judge, County Court at Law No. 4",0161,163,141,304,991,30.68%,4,290,294
"Judge, County Court at Law No. 4",0162,101,83,184,1265,14.55%,74,97,171
"Judge, County Court at Law No. 4",0163,230,320,550,3037,18.11%,236,285,521
"Judge, County Court at Law No. 4",0164,182,205,387,1420,27.25%,13,368,381
"Judge, County Court at Law No. 4",0165,535,483,1018,2334,43.62%,668,298,966
"Judge, County Court at Law No. 4",0166,158,233,391,1028,38.04%,118,250,368
"Judge, County Court at Law No. 4",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Court at Law No. 4",0168,92,58,150,503,29.82%,3,143,146
"Judge, County Court at Law No. 4",0169,518,251,767,2513,30.52%,12,735,747
"Judge, County Court at Law No. 4",0170,271,141,412,1869,22.04%,217,172,389
"Judge, County Court at Law No. 4",0171,202,198,400,1604,24.94%,12,378,390
"Judge, County Court at Law No. 4",0172,88,80,166,621,26.73%,66,87,153
"Judge, County Court at Law No. 4",0173,817,739,1556,3599,43.23%,1247,256,1503
"Judge, County Court at Law No. 4",0174,829,733,1562,3296,47.39%,1062,409,1471
"Judge, County Court at Law No. 4",0175,557,749,1306,2618,49.89%,624,570,1194
"Judge, County Court at Law No. 4",0176,344,451,795,1602,49.63%,392,333,725
"Judge, County Court at Law No. 4",0177,278,326,604,1496,40.37%,324,235,559
"Judge, County Court at Law No. 4",0178,504,365,869,1765,49.24%,564,233,797
"Judge, County Court at Law No. 4",0179,256,188,444,1575,28.19%,237,181,418
"Judge, County Court at Law No. 4",0180,470,343,813,2834,28.69%,21,754,775
"Judge, County Court at Law No. 4",0181,175,262,437,2061,21.20%,140,273,413
"Judge, County Court at Law No. 4",0182,590,974,1564,3405,45.93%,905,514,1419
"Judge, County Court at Law No. 4",0183,519,794,1313,2491,52.71%,815,390,1205
"Judge, County Court at Law No. 4",0184,106,135,241,994,24.25%,86,132,218
"Judge, County Court at Law No. 4",0185,283,292,575,1933,29.75%,210,338,548
"Judge, County Court at Law No. 4",0186,97,106,203,798,25.44%,29,165,194
"Judge, County Court at Law No. 4",0187,21,25,46,311,14.79%,15,29,44
"Judge, County Court at Law No. 4",0188,153,146,299,1637,18.27%,140,145,285
"Judge, County Court at Law No. 4",0189,239,360,599,1465,40.89%,306,243,549
"Judge, County Court at Law No. 4",0190,120,177,297,1723,17.24%,130,155,285
"Judge, County Court at Law No. 4",0191,79,126,205,1366,15.01%,83,112,195
"Judge, County Court at Law No. 4",0192,380,225,605,1959,30.88%,25,560,585
"Judge, County Court at Law No. 4",0193,173,187,360,1074,33.52%,8,338,346
"Judge, County Court at Law No. 4",0194,350,431,781,1912,40.85%,232,504,736
"Judge, County Court at Law No. 4",0195,269,278,547,1694,32.29%,22,509,531
"Judge, County Court at Law No. 4",0196,52,32,84,316,26.58%,6,75,81
"Judge, County Court at Law No. 4",0197,543,309,852,2914,29.24%,14,821,835
"Judge, County Court at Law No. 4",0198,53,74,127,642,19.78%,2,123,125
"Judge, County Court at Law No. 4",0199,812,661,1473,3216,45.80%,1140,266,1406
"Judge, County Court at Law No. 4",0200,962,536,1498,3382,44.29%,651,731,1382
"Judge, County Court at Law No. 4",0201,98,87,185,724,25.55%,3,177,180
"Judge, County Court at Law No. 4",0202,217,189,406,1464,27.73%,10,386,396
"Judge, County Court at Law No. 4",0203,107,68,175,960,18.23%,42,123,165
"Judge, County Court at Law No. 4",0204,816,784,1600,3487,45.88%,870,606,1476
"Judge, County Court at Law No. 4",0205,464,171,635,1664,38.16%,10,615,625
"Judge, County Court at Law No. 4",0206,362,462,824,2779,29.65%,245,525,770
"Judge, County Court at Law No. 4",0207,265,261,526,1188,44.28%,165,324,489
"Judge, County Court at Law No. 4",0208,322,262,584,2195,26.61%,177,380,557
"Judge, County Court at Law No. 4",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Court at Law No. 4",0210,502,467,969,2533,38.26%,107,829,936
"Judge, County Court at Law No. 4",0211,307,386,693,2914,23.78%,258,388,646
"Judge, County Court at Law No. 4",0212,96,155,251,1300,19.31%,56,187,243
"Judge, County Court at Law No. 4",0213,826,913,1739,3350,51.91%,1328,287,1615
"Judge, County Court at Law No. 4",0214,404,491,895,1854,48.27%,552,289,841
"Judge, County Court at Law No. 4",0215,421,711,1132,2258,50.13%,653,384,1037
"Judge, County Court at Law No. 4",0216,362,223,585,1945,30.08%,36,536,572
"Judge, County Court at Law No. 4",0217,844,631,1475,2678,55.08%,919,433,1352
"Judge, County Court at Law No. 4",0218,391,402,793,2292,34.60%,256,476,732
"Judge, County Court at Law No. 4",0219,496,436,932,2767,33.68%,45,846,891
"Judge, County Court at Law No. 4",0220,325,187,512,2310,22.16%,365,129,494
"Judge, County Court at Law No. 4",0221,332,369,701,2529,27.72%,301,360,661
"Judge, County Court at Law No. 4",0222,623,674,1297,2501,51.86%,548,624,1172
"Judge, County Court at Law No. 4",0223,563,377,940,3582,26.24%,260,620,880
"Judge, County Court at Law No. 4",0224,530,456,986,2238,44.06%,433,479,912
"Judge, County Court at Law No. 4",0225,376,405,781,3305,23.63%,388,355,743
"Judge, County Court at Law No. 4",0226,227,307,534,2436,21.92%,135,372,507
"Judge, County Court at Law No. 4",0227,558,423,981,1785,54.96%,684,200,884
"Judge, County Court at Law No. 4",0228,362,195,557,1050,53.05%,27,511,538
"Judge, County Court at Law No. 4",0229,31,96,127,815,15.58%,61,58,119
"Judge, County Court at Law No. 4",0230,185,116,301,1089,27.64%,7,284,291
"Judge, County Court at Law No. 4",0231,233,264,497,2232,22.27%,131,337,468
"Judge, County Court at Law No. 4",0232,361,474,835,1760,47.44%,442,330,772
"Judge, County Court at Law No. 4",0233,890,801,1691,4445,38.04%,780,763,1543
"Judge, County Court at Law No. 4",0234,1192,913,2105,3993,52.72%,1535,404,1939
"Judge, County Court at Law No. 4",0235,240,158,398,1356,29.35%,11,374,385
"Judge, County Court at Law No. 4",0236,354,235,589,2079,28.33%,22,551,573
"Judge, County Court at Law No. 4",0237,416,253,669,2161,30.96%,14,638,652
"Judge, County Court at Law No. 4",0238,339,245,584,1925,30.34%,14,554,568
"Judge, County Court at Law No. 4",0239,383,236,619,1964,31.52%,19,588,607
"Judge, County Court at Law No. 4",0240,585,243,828,2649,31.26%,20,788,808
"Judge, County Court at Law No. 4",0241,222,229,451,2372,19.01%,187,244,431
"Judge, County Court at Law No. 4",0242,173,162,335,1596,20.99%,197,120,317
"Judge, County Court at Law No. 4",0243,138,43,181,457,39.61%,0,180,180
"Judge, County Court at Law No. 4",0244,480,425,905,3117,29.03%,504,357,861
"Judge, County Court at Law No. 4",0245,945,799,1745,5828,29.94%,1230,473,1703
"Judge, County Court at Law No. 4",0246,584,513,1197,3315,36.11%,856,299,1155
"Judge, County Court at Law No. 4",0247,173,254,427,1582,26.99%,12,409,421
"Judge, County Court at Law No. 4",0248,161,167,328,2100,15.62%,99,215,314
"Judge, County Court at Law No. 4",0249,461,348,809,2719,29.75%,558,221,779
"Judge, County Court at Law No. 4",0250,109,164,273,964,28.32%,8,260,268
"Judge, County Court at Law No. 4",0251,278,436,714,2089,34.18%,28,671,699
"Judge, County Court at Law No. 4",0252,504,312,816,2377,34.33%,16,781,797
"Judge, County Court at Law No. 4",0253,379,222,601,2177,27.61%,11,576,587
"Judge, County Court at Law No. 4",0254,93,112,205,1550,13.23%,68,125,193
"Judge, County Court at Law No. 4",0255,525,648,1173,2482,47.26%,524,556,1080
"Judge, County Court at Law No. 4",0256,575,449,1024,3254,31.47%,495,473,968
"Judge, County Court at Law No. 4",0257,204,245,449,2523,17.80%,137,291,428
"Judge, County Court at Law No. 4",0258,839,800,1539,3322,49.34%,1173,347,1520
"Judge, County Court at Law No. 4",0259,555,382,1038,2361,43.96%,23,986,1009
"Judge, County Court at Law No. 4",0260,162,145,307,1260,24.37%,184,103,287
"Judge, County Court at Law No. 4",0261,124,120,244,1417,17.22%,102,131,233
"Judge, County Court at Law No. 4",0262,758,600,1358,4397,30.88%,835,439,1274
"Judge, County Court at Law No. 4",0263,858,712,1570,3693,42.51%,1201,307,1508
"Judge, County Court at Law No. 4",0264,480,457,937,2963,31.62%,567,306,873
"Judge, County Court at Law No. 4",0265,988,759,1747,3584,48.74%,1269,349,1618
"Judge, County Court at Law No. 4",0266,259,257,516,2104,24.52%,257,226,483
"Judge, County Court at Law No. 4",0267,146,166,312,1327,23.51%,161,129,290
"Judge, County Court at Law No. 4",0268,435,717,1152,2493,46.21%,640,384,1024
"Judge, County Court at Law No. 4",0269,702,453,1155,2030,56.90%,888,193,1081
"Judge, County Court at Law No. 4",0270,817,672,1489,3605,41.30%,827,573,1400
"Judge, County Court at Law No. 4",0271,656,382,1038,2518,41.22%,27,998,1025
"Judge, County Court at Law No. 4",0272,264,292,556,2162,25.72%,215,312,527
"Judge, County Court at Law No. 4",0273,548,689,1237,2470,50.08%,984,191,1175
"Judge, County Court at Law No. 4",0274,588,346,934,2153,43.38%,625,246,871
"Judge, County Court at Law No. 4",0275,207,236,443,1850,23.95%,105,322,427
"Judge, County Court at Law No. 4",0276,572,231,803,2536,31.66%,9,777,786
"Judge, County Court at Law No. 4",0277,170,186,356,1492,23.86%,171,168,339
"Judge, County Court at Law No. 4",0278,421,320,741,2454,30.20%,417,293,710
"Judge, County Court at Law No. 4",0279,250,223,473,1941,24.37%,282,170,452
"Judge, County Court at Law No. 4",0280,130,188,318,1524,20.87%,136,165,301
"Judge, County Court at Law No. 4",0281,655,742,1397,2633,53.06%,625,622,1247
"Judge, County Court at Law No. 4",0282,314,455,769,2042,37.66%,475,246,721
"Judge, County Court at Law No. 4",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 4",0284,574,336,910,3172,28.69%,420,445,865
"Judge, County Court at Law No. 4",0285,448,378,826,2540,32.52%,78,721,799
"Judge, County Court at Law No. 4",0286,1255,821,2076,6170,33.65%,196,1811,2007
"Judge, County Court at Law No. 4",0287,370,477,847,1621,52.25%,394,389,783
"Judge, County Court at Law No. 4",0288,532,313,845,2210,38.24%,16,812,828
"Judge, County Court at Law No. 4",0289,186,212,398,1564,25.45%,202,171,373
"Judge, County Court at Law No. 4",0290,245,298,543,1642,33.07%,407,117,524
"Judge, County Court at Law No. 4",0291,325,235,560,1225,45.71%,281,242,523
"Judge, County Court at Law No. 4",0292,207,147,354,1356,26.11%,44,300,344
"Judge, County Court at Law No. 4",0293,356,447,803,1759,45.65%,361,387,748
"Judge, County Court at Law No. 4",0294,488,221,709,2097,33.81%,9,687,696
"Judge, County Court at Law No. 4",0295,148,103,251,885,28.36%,6,241,247
"Judge, County Court at Law No. 4",0296,327,340,667,1713,38.94%,376,235,611
"Judge, County Court at Law No. 4",0297,280,249,529,2012,26.29%,230,266,496
"Judge, County Court at Law No. 4",0298,415,358,773,2121,36.45%,447,279,726
"Judge, County Court at Law No. 4",0299,178,117,295,1353,21.80%,116,155,271
"Judge, County Court at Law No. 4",0300,1389,1016,2405,5406,44.49%,1902,401,2303
"Judge, County Court at Law No. 4",0301,210,255,465,2352,19.77%,188,252,440
"Judge, County Court at Law No. 4",0302,353,343,696,2720,25.59%,408,262,670
"Judge, County Court at Law No. 4",0303,922,784,1706,3245,52.57%,1325,284,1609
"Judge, County Court at Law No. 4",0304,606,505,1111,2298,48.35%,606,420,1026
"Judge, County Court at Law No. 4",0305,524,432,956,4191,22.81%,405,520,925
"Judge, County Court at Law No. 4",0306,649,342,991,1879,52.74%,696,233,929
"Judge, County Court at Law No. 4",0307,733,670,1403,3099,45.27%,941,377,1318
"Judge, County Court at Law No. 4",0308,199,130,329,1296,25.39%,110,203,313
"Judge, County Court at Law No. 4",0309,708,593,1301,2524,51.55%,1013,207,1220
"Judge, County Court at Law No. 4",0310,386,279,665,1435,46.34%,437,179,616
"Judge, County Court at Law No. 4",0311,486,421,907,2986,30.38%,489,354,843
"Judge, County Court at Law No. 4",0312,742,457,1199,3636,32.98%,759,384,1143
"Judge, County Court at Law No. 4",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Court at Law No. 4",0314,1121,913,2034,5647,36.02%,1269,695,1964
"Judge, County Court at Law No. 4",0315,478,388,866,1608,53.86%,493,309,802
"Judge, County Court at Law No. 4",0316,412,341,753,1537,48.99%,381,313,694
"Judge, County Court at Law No. 4",0317,248,209,457,1588,28.78%,145,288,433
"Judge, County Court at Law No. 4",0318,834,568,1402,3660,38.31%,71,1283,1354
"Judge, County Court at Law No. 4",0319,512,230,742,2158,34.38%,46,671,717
"Judge, County Court at Law No. 4",0320,234,168,402,1537,26.15%,209,174,383
"Judge, County Court at Law No. 4",0321,262,191,453,2346,19.31%,169,257,426
"Judge, County Court at Law No. 4",0322,181,129,310,1226,25.29%,100,199,299
"Judge, County Court at Law No. 4",0323,278,211,489,1722,28.40%,231,227,458
"Judge, County Court at Law No. 4",0324,532,646,1178,2336,50.43%,705,375,1080
"Judge, County Court at Law No. 4",0325,289,193,482,2112,22.82%,101,358,459
"Judge, County Court at Law No. 4",0326,87,74,161,698,23.07%,76,76,152
"Judge, County Court at Law No. 4",0327,380,129,509,1729,29.44%,10,482,492
"Judge, County Court at Law No. 4",0328,151,140,291,1434,20.29%,125,151,276
"Judge, County Court at Law No. 4",0329,189,184,373,1397,26.70%,148,205,353
"Judge, County Court at Law No. 4",0330,334,253,587,1936,30.32%,333,223,556
"Judge, County Court at Law No. 4",0331,0,0,0,0,0.00%,0,0,0
"Judge, County Court at Law No. 4",0332,18,7,25,138,18.12%,11,11,22
"Judge, County Court at Law No. 4",0333,524,714,1238,3021,40.98%,863,308,1171
"Judge, County Court at Law No. 4",0334,83,42,125,742,16.85%,21,100,121
"Judge, County Court at Law No. 4",0335,121,98,219,1300,16.85%,85,120,205
"Judge, County Court at Law No. 4",0336,866,624,1490,4051,36.78%,136,1321,1457
"Judge, County Court at Law No. 4",0337,124,103,227,1029,22.06%,42,174,216
"Judge, County Court at Law No. 4",0338,730,391,1121,4934,22.72%,389,652,1041
"Judge, County Court at Law No. 4",0339,202,222,424,1757,24.13%,91,305,396
"Judge, County Court at Law No. 4",0340,1038,594,1632,3765,43.35%,1220,332,1552
"Judge, County Court at Law No. 4",0341,91,167,258,1290,20.00%,83,166,249
"Judge, County Court at Law No. 4",0342,675,605,1280,6526,19.61%,215,1029,1244
"Judge, County Court at Law No. 4",0343,189,271,460,1964,23.42%,138,289,427
"Judge, County Court at Law No. 4",0344,154,172,326,1160,28.10%,14,297,311
"Judge, County Court at Law No. 4",0345,156,165,321,1804,17.79%,95,208,303
"Judge, County Court at Law No. 4",0346,0,1,1,3,33.33%,1,0,1
"Judge, County Court at Law No. 4",0347,592,436,1028,3387,30.35%,684,308,992
"Judge, County Court at Law No. 4",0348,438,208,646,1708,37.82%,498,118,616
"Judge, County Court at Law No. 4",0349,188,267,455,1349,33.73%,278,150,428
