Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Gordon Goodman,Totals
"Justice, 14th Court of Appeals District, Place 7",0052,422,447,869,2457,35.37%,419,407,826
"Justice, 14th Court of Appeals District, Place 7",0053,554,726,1290,2971,43.42%,554,648,1202
"Justice, 14th Court of Appeals District, Place 7",0054,269,364,633,1487,42.57%,343,259,602
"Justice, 14th Court of Appeals District, Place 7",0055,191,251,442,1506,29.35%,200,219,419
"Justice, 14th Court of Appeals District, Place 7",0056,282,278,560,1326,42.23%,379,154,533
"Justice, 14th Court of Appeals District, Place 7",0057,710,831,1541,3153,48.87%,633,805,1438
"Justice, 14th Court of Appeals District, Place 7",0058,469,556,1025,2690,38.10%,449,528,977
"Justice, 14th Court of Appeals District, Place 7",0059,555,609,1164,2544,45.75%,481,614,1095
"Justice, 14th Court of Appeals District, Place 7",0060,499,564,1063,2453,43.33%,270,717,987
"Justice, 14th Court of Appeals District, Place 7",0061,172,204,376,1773,21.21%,152,201,353
"Justice, 14th Court of Appeals District, Place 7",0062,145,322,467,2181,21.41%,120,324,444
"Justice, 14th Court of Appeals District, Place 7",0063,264,354,618,1826,33.84%,504,98,602
"Justice, 14th Court of Appeals District, Place 7",0064,191,221,412,2141,19.24%,89,302,391
"Justice, 14th Court of Appeals District, Place 7",0065,172,230,402,2167,18.55%,97,283,380
"Justice, 14th Court of Appeals District, Place 7",0066,69,143,212,1098,19.31%,38,160,198
"Justice, 14th Court of Appeals District, Place 7",0067,304,282,586,2794,20.97%,165,387,552
"Justice, 14th Court of Appeals District, Place 7",0068,553,352,905,2924,30.95%,22,863,885
"Justice, 14th Court of Appeals District, Place 7",0069,80,124,204,1284,15.89%,42,148,190
"Justice, 14th Court of Appeals District, Place 7",0070,882,664,1546,3337,46.33%,933,513,1446
"Justice, 14th Court of Appeals District, Place 7",0071,602,722,1324,4197,31.55%,660,606,1266
"Justice, 14th Court of Appeals District, Place 7",0072,220,293,513,1924,26.66%,170,319,489
"Justice, 14th Court of Appeals District, Place 7",0073,252,414,666,1555,42.83%,379,242,621
"Justice, 14th Court of Appeals District, Place 7",0074,1153,782,1935,3583,54.01%,1526,330,1856
"Justice, 14th Court of Appeals District, Place 7",0075,254,280,534,1444,36.98%,213,290,503
"Justice, 14th Court of Appeals District, Place 7",0076,373,374,747,2362,31.63%,443,278,721
"Justice, 14th Court of Appeals District, Place 7",0077,43,46,89,566,15.72%,21,64,85
"Justice, 14th Court of Appeals District, Place 7",0078,180,201,381,1522,25.03%,139,223,362
"Justice, 14th Court of Appeals District, Place 7",0079,205,306,511,2927,17.46%,128,342,470
"Justice, 14th Court of Appeals District, Place 7",0080,501,351,852,2725,31.27%,216,593,809
"Justice, 14th Court of Appeals District, Place 7",0081,183,187,370,1835,20.16%,147,202,349
"Justice, 14th Court of Appeals District, Place 7",0082,639,671,1310,3368,38.90%,996,281,1277
"Justice, 14th Court of Appeals District, Place 7",0083,1296,888,2184,6625,32.97%,1086,1037,2123
"Justice, 14th Court of Appeals District, Place 7",0084,208,218,426,1373,31.03%,313,98,411
"Justice, 14th Court of Appeals District, Place 7",0085,271,248,519,2173,23.88%,24,484,508
"Justice, 14th Court of Appeals District, Place 7",0086,447,568,1015,2910,34.88%,471,490,961
"Justice, 14th Court of Appeals District, Place 7",0087,574,787,1461,2818,51.85%,965,414,1379
"Justice, 14th Court of Appeals District, Place 7",0088,123,118,241,693,34.78%,156,73,229
"Justice, 14th Court of Appeals District, Place 7",0089,165,371,536,1094,48.99%,316,186,502
"Justice, 14th Court of Appeals District, Place 7",0090,844,790,1634,3700,44.16%,1219,359,1578
"Justice, 14th Court of Appeals District, Place 7",0091,219,222,441,1505,29.30%,271,153,424
"Justice, 14th Court of Appeals District, Place 7",0092,695,462,1157,2242,51.61%,780,311,1091
"Justice, 14th Court of Appeals District, Place 7",0093,381,301,682,3356,20.32%,276,371,647
"Justice, 14th Court of Appeals District, Place 7",0094,51,43,94,549,17.12%,28,62,90
"Justice, 14th Court of Appeals District, Place 7",0095,917,576,1493,3177,46.99%,1115,326,1441
"Justice, 14th Court of Appeals District, Place 7",0096,83,83,166,1296,12.81%,21,144,165
"Justice, 14th Court of Appeals District, Place 7",0097,1024,725,1749,4828,36.23%,1313,385,1698
"Justice, 14th Court of Appeals District, Place 7",0098,403,488,891,2651,33.61%,739,126,865
"Justice, 14th Court of Appeals District, Place 7",0099,254,184,438,2092,20.94%,217,212,429
"Justice, 14th Court of Appeals District, Place 7",0100,155,173,338,1730,19.54%,183,148,331
"Justice, 14th Court of Appeals District, Place 7",0101,72,58,130,946,13.74%,47,81,128
"Justice, 14th Court of Appeals District, Place 7",0102,207,121,328,1872,17.52%,91,225,316
"Justice, 14th Court of Appeals District, Place 7",0103,700,714,1414,5371,26.33%,808,569,1377
"Justice, 14th Court of Appeals District, Place 7",0104,530,231,761,1905,39.95%,19,733,752
"Justice, 14th Court of Appeals District, Place 7",0105,195,210,406,2165,18.75%,140,239,379
"Justice, 14th Court of Appeals District, Place 7",0106,15,7,25,294,8.50%,17,8,25
"Justice, 14th Court of Appeals District, Place 7",0107,154,197,351,2032,17.27%,60,276,336
"Justice, 14th Court of Appeals District, Place 7",0108,558,272,940,3365,27.93%,568,338,906
"Justice, 14th Court of Appeals District, Place 7",0109,529,245,774,2824,27.41%,8,750,758
"Justice, 14th Court of Appeals District, Place 7",0110,554,494,1148,3042,37.74%,748,359,1107
"Justice, 14th Court of Appeals District, Place 7",0111,815,795,1611,4102,39.27%,1199,357,1556
"Justice, 14th Court of Appeals District, Place 7",0112,542,485,1027,2976,34.51%,766,228,994
"Justice, 14th Court of Appeals District, Place 7",0113,552,429,991,2647,37.44%,617,331,948
"Justice, 14th Court of Appeals District, Place 7",0114,707,547,1254,3311,37.87%,1018,204,1222
"Justice, 14th Court of Appeals District, Place 7",0115,238,150,388,1800,21.56%,51,326,377
"Justice, 14th Court of Appeals District, Place 7",0116,982,776,1758,3147,55.86%,1366,309,1675
"Justice, 14th Court of Appeals District, Place 7",0117,215,226,441,1880,23.46%,225,193,418
"Justice, 14th Court of Appeals District, Place 7",0118,304,123,427,759,56.26%,366,47,413
"Justice, 14th Court of Appeals District, Place 7",0119,1288,1024,2312,5500,42.04%,1888,345,2233
"Justice, 14th Court of Appeals District, Place 7",0120,712,422,1134,3191,35.54%,752,338,1090
"Justice, 14th Court of Appeals District, Place 7",0121,92,178,270,848,31.84%,187,73,250
"Justice, 14th Court of Appeals District, Place 7",0122,352,225,577,1890,30.53%,21,540,561
"Justice, 14th Court of Appeals District, Place 7",0123,284,288,572,1392,41.09%,154,387,541
"Justice, 14th Court of Appeals District, Place 7",0124,1734,1292,3026,7254,41.71%,2425,529,2954
"Justice, 14th Court of Appeals District, Place 7",0125,415,332,747,2405,31.06%,463,260,723
"Justice, 14th Court of Appeals District, Place 7",0126,893,467,1360,3100,43.87%,1213,116,1329
"Justice, 14th Court of Appeals District, Place 7",0127,435,154,589,1836,32.08%,421,132,553
"Justice, 14th Court of Appeals District, Place 7",0128,445,707,1152,2290,50.31%,760,301,1061
"Justice, 14th Court of Appeals District, Place 7",0129,1030,1200,2230,5746,38.81%,1442,700,2142
"Justice, 14th Court of Appeals District, Place 7",0130,727,523,1250,2333,53.58%,951,247,1198
"Justice, 14th Court of Appeals District, Place 7",0131,251,259,510,1935,26.36%,121,365,485
"Justice, 14th Court of Appeals District, Place 7",0132,593,323,916,2387,38.37%,22,872,894
"Justice, 14th Court of Appeals District, Place 7",0133,513,858,1371,2662,51.50%,824,450,1274
"Justice, 14th Court of Appeals District, Place 7",0134,192,265,457,1437,31.80%,212,227,439
"Justice, 14th Court of Appeals District, Place 7",0135,729,579,1308,2671,48.97%,941,309,1250
"Justice, 14th Court of Appeals District, Place 7",0136,503,371,874,2013,43.42%,37,812,849
"Justice, 14th Court of Appeals District, Place 7",0137,166,141,307,716,42.88%,155,133,288
"Justice, 14th Court of Appeals District, Place 7",0138,296,199,495,1699,29.13%,15,470,485
"Justice, 14th Court of Appeals District, Place 7",0139,699,551,1250,3037,41.16%,576,606,1182
"Justice, 14th Court of Appeals District, Place 7",0140,700,480,1180,3214,36.71%,153,985,1138
"Justice, 14th Court of Appeals District, Place 7",0141,80,80,160,855,18.71%,100,53,153
"Justice, 14th Court of Appeals District, Place 7",0142,87,103,190,902,21.06%,67,116,183
"Justice, 14th Court of Appeals District, Place 7",0143,1962,580,2542,6386,39.81%,1848,640,2488
"Justice, 14th Court of Appeals District, Place 7",0144,216,158,374,1093,34.22%,10,354,364
"Justice, 14th Court of Appeals District, Place 7",0145,264,213,477,1538,31.01%,9,455,464
"Justice, 14th Court of Appeals District, Place 7",0146,426,519,945,2008,47.06%,432,469,901
"Justice, 14th Court of Appeals District, Place 7",0147,689,329,1018,3008,33.84%,132,859,991
"Justice, 14th Court of Appeals District, Place 7",0148,500,780,1280,2540,50.39%,546,650,1196
"Justice, 14th Court of Appeals District, Place 7",0149,1621,737,2358,7993,29.50%,1237,1067,2304
"Justice, 14th Court of Appeals District, Place 7",0150,236,169,405,1256,32.25%,12,388,400
"Justice, 14th Court of Appeals District, Place 7",0151,137,79,216,826,26.15%,9,198,207
"Justice, 14th Court of Appeals District, Place 7",0152,213,299,512,2788,18.36%,138,351,489
"Justice, 14th Court of Appeals District, Place 7",0153,125,206,331,1808,18.31%,111,204,315
"Justice, 14th Court of Appeals District, Place 7",0154,249,183,432,2190,19.73%,109,299,408
"Justice, 14th Court of Appeals District, Place 7",0155,1022,619,1641,4109,39.94%,1163,427,1590
"Justice, 14th Court of Appeals District, Place 7",0156,799,326,1125,3071,36.63%,38,1058,1096
"Justice, 14th Court of Appeals District, Place 7",0157,448,214,662,2236,29.61%,26,621,647
"Justice, 14th Court of Appeals District, Place 7",0158,600,315,915,3035,30.15%,22,879,901
"Justice, 14th Court of Appeals District, Place 7",0159,116,127,243,998,24.35%,36,198,234
"Justice, 14th Court of Appeals District, Place 7",0160,122,73,195,696,28.02%,4,189,193
"Justice, 14th Court of Appeals District, Place 7",0161,163,141,304,991,30.68%,6,294,300
"Justice, 14th Court of Appeals District, Place 7",0162,101,83,184,1265,14.55%,68,104,172
"Justice, 14th Court of Appeals District, Place 7",0163,230,320,550,3037,18.11%,234,288,522
"Justice, 14th Court of Appeals District, Place 7",0164,182,205,387,1420,27.25%,12,369,381
"Justice, 14th Court of Appeals District, Place 7",0165,535,483,1018,2334,43.62%,680,292,972
"Justice, 14th Court of Appeals District, Place 7",0166,158,233,391,1028,38.04%,120,252,372
"Justice, 14th Court of Appeals District, Place 7",0167,3,0,3,24,12.50%,0,3,3
"Justice, 14th Court of Appeals District, Place 7",0168,92,58,150,503,29.82%,1,144,145
"Justice, 14th Court of Appeals District, Place 7",0169,518,251,767,2513,30.52%,14,733,747
"Justice, 14th Court of Appeals District, Place 7",0170,271,141,412,1869,22.04%,216,173,389
"Justice, 14th Court of Appeals District, Place 7",0171,202,198,400,1604,24.94%,8,384,392
"Justice, 14th Court of Appeals District, Place 7",0172,88,80,166,621,26.73%,65,88,153
"Justice, 14th Court of Appeals District, Place 7",0173,817,739,1556,3599,43.23%,1260,254,1514
"Justice, 14th Court of Appeals District, Place 7",0174,829,733,1562,3296,47.39%,1095,386,1481
"Justice, 14th Court of Appeals District, Place 7",0175,557,749,1306,2618,49.89%,698,524,1222
"Justice, 14th Court of Appeals District, Place 7",0176,344,451,795,1602,49.63%,435,294,729
"Justice, 14th Court of Appeals District, Place 7",0177,278,326,604,1496,40.37%,370,209,579
"Justice, 14th Court of Appeals District, Place 7",0178,504,365,869,1765,49.24%,609,204,813
"Justice, 14th Court of Appeals District, Place 7",0179,256,188,444,1575,28.19%,240,183,423
"Justice, 14th Court of Appeals District, Place 7",0180,470,343,813,2834,28.69%,22,756,778
"Justice, 14th Court of Appeals District, Place 7",0181,175,262,437,2061,21.20%,138,278,416
"Justice, 14th Court of Appeals District, Place 7",0182,590,974,1564,3405,45.93%,997,453,1450
"Justice, 14th Court of Appeals District, Place 7",0183,519,794,1313,2491,52.71%,898,339,1237
"Justice, 14th Court of Appeals District, Place 7",0184,106,135,241,994,24.25%,82,140,222
"Justice, 14th Court of Appeals District, Place 7",0185,283,292,575,1933,29.75%,207,341,548
"Justice, 14th Court of Appeals District, Place 7",0186,97,106,203,798,25.44%,31,165,196
"Justice, 14th Court of Appeals District, Place 7",0187,21,25,46,311,14.79%,15,30,45
"Justice, 14th Court of Appeals District, Place 7",0188,153,146,299,1637,18.27%,140,147,287
"Justice, 14th Court of Appeals District, Place 7",0189,239,360,599,1465,40.89%,324,236,560
"Justice, 14th Court of Appeals District, Place 7",0190,120,177,297,1723,17.24%,128,157,285
"Justice, 14th Court of Appeals District, Place 7",0191,79,126,205,1366,15.01%,94,105,199
"Justice, 14th Court of Appeals District, Place 7",0192,380,225,605,1959,30.88%,26,560,586
"Justice, 14th Court of Appeals District, Place 7",0193,173,187,360,1074,33.52%,10,336,346
"Justice, 14th Court of Appeals District, Place 7",0194,351,431,782,1912,40.90%,253,493,746
"Justice, 14th Court of Appeals District, Place 7",0195,269,278,547,1694,32.29%,21,513,534
"Justice, 14th Court of Appeals District, Place 7",0196,52,32,84,316,26.58%,5,77,82
"Justice, 14th Court of Appeals District, Place 7",0197,543,309,852,2914,29.24%,13,827,840
"Justice, 14th Court of Appeals District, Place 7",0198,53,74,127,642,19.78%,3,123,126
"Justice, 14th Court of Appeals District, Place 7",0199,812,661,1473,3216,45.80%,1161,251,1412
"Justice, 14th Court of Appeals District, Place 7",0200,962,536,1498,3382,44.29%,711,693,1404
"Justice, 14th Court of Appeals District, Place 7",0201,98,87,185,724,25.55%,3,177,180
"Justice, 14th Court of Appeals District, Place 7",0202,217,189,406,1464,27.73%,16,385,401
"Justice, 14th Court of Appeals District, Place 7",0203,107,68,175,960,18.23%,42,122,164
"Justice, 14th Court of Appeals District, Place 7",0204,816,784,1600,3487,45.88%,915,571,1486
"Justice, 14th Court of Appeals District, Place 7",0205,465,171,636,1664,38.22%,13,615,628
"Justice, 14th Court of Appeals District, Place 7",0206,363,462,825,2779,29.69%,249,532,781
"Justice, 14th Court of Appeals District, Place 7",0207,265,261,526,1188,44.28%,180,319,499
"Justice, 14th Court of Appeals District, Place 7",0208,322,262,584,2195,26.61%,178,382,560
"Justice, 14th Court of Appeals District, Place 7",0209,0,2,2,0,0.00%,2,0,2
"Justice, 14th Court of Appeals District, Place 7",0210,502,467,969,2533,38.26%,107,836,943
"Justice, 14th Court of Appeals District, Place 7",0211,307,386,693,2914,23.78%,261,399,660
"Justice, 14th Court of Appeals District, Place 7",0212,96,155,251,1300,19.31%,53,190,243
"Justice, 14th Court of Appeals District, Place 7",0213,826,913,1739,3350,51.91%,1411,233,1644
"Justice, 14th Court of Appeals District, Place 7",0214,404,491,895,1854,48.27%,580,274,854
"Justice, 14th Court of Appeals District, Place 7",0215,423,711,1134,2258,50.22%,698,376,1074
"Justice, 14th Court of Appeals District, Place 7",0216,362,223,585,1945,30.08%,38,533,571
"Justice, 14th Court of Appeals District, Place 7",0217,844,631,1475,2678,55.08%,1018,373,1391
"Justice, 14th Court of Appeals District, Place 7",0218,391,402,793,2292,34.60%,261,471,732
"Justice, 14th Court of Appeals District, Place 7",0219,496,436,932,2767,33.68%,53,848,901
"Justice, 14th Court of Appeals District, Place 7",0220,325,187,512,2310,22.16%,371,124,495
"Justice, 14th Court of Appeals District, Place 7",0221,332,369,701,2529,27.72%,302,356,658
"Justice, 14th Court of Appeals District, Place 7",0222,623,674,1297,2501,51.86%,654,549,1203
"Justice, 14th Court of Appeals District, Place 7",0223,563,377,940,3582,26.24%,273,616,889
"Justice, 14th Court of Appeals District, Place 7",0224,531,456,987,2238,44.10%,484,443,927
"Justice, 14th Court of Appeals District, Place 7",0225,376,405,781,3305,23.63%,391,361,752
"Justice, 14th Court of Appeals District, Place 7",0226,227,307,534,2436,21.92%,134,371,505
"Justice, 14th Court of Appeals District, Place 7",0227,558,423,981,1785,54.96%,782,140,922
"Justice, 14th Court of Appeals District, Place 7",0228,362,195,557,1050,53.05%,28,509,537
"Justice, 14th Court of Appeals District, Place 7",0229,31,96,127,815,15.58%,62,58,120
"Justice, 14th Court of Appeals District, Place 7",0230,185,116,301,1089,27.64%,7,288,295
"Justice, 14th Court of Appeals District, Place 7",0231,233,264,497,2232,22.27%,129,339,468
"Justice, 14th Court of Appeals District, Place 7",0232,361,474,835,1760,47.44%,494,293,787
"Justice, 14th Court of Appeals District, Place 7",0233,890,801,1691,4445,38.04%,856,720,1576
"Justice, 14th Court of Appeals District, Place 7",0234,1192,913,2105,3993,52.72%,1652,342,1994
"Justice, 14th Court of Appeals District, Place 7",0235,240,158,398,1356,29.35%,13,377,390
"Justice, 14th Court of Appeals District, Place 7",0236,354,235,589,2079,28.33%,14,562,576
"Justice, 14th Court of Appeals District, Place 7",0237,416,253,669,2161,30.96%,14,643,657
"Justice, 14th Court of Appeals District, Place 7",0238,340,245,585,1925,30.39%,13,553,566
"Justice, 14th Court of Appeals District, Place 7",0239,383,236,619,1964,31.52%,21,587,608
"Justice, 14th Court of Appeals District, Place 7",0240,585,243,828,2649,31.26%,25,788,813
"Justice, 14th Court of Appeals District, Place 7",0241,222,229,451,2372,19.01%,186,246,432
"Justice, 14th Court of Appeals District, Place 7",0242,173,162,335,1596,20.99%,199,121,320
"Justice, 14th Court of Appeals District, Place 7",0243,138,43,181,457,39.61%,2,179,181
"Justice, 14th Court of Appeals District, Place 7",0244,480,425,905,3117,29.03%,510,350,860
"Justice, 14th Court of Appeals District, Place 7",0245,946,799,1745,5828,29.94%,1234,475,1709
"Justice, 14th Court of Appeals District, Place 7",0246,584,513,1197,3315,36.11%,865,300,1165
"Justice, 14th Court of Appeals District, Place 7",0247,173,254,427,1582,26.99%,18,401,419
"Justice, 14th Court of Appeals District, Place 7",0248,161,167,328,2100,15.62%,94,222,316
"Justice, 14th Court of Appeals District, Place 7",0249,461,348,809,2719,29.75%,567,214,781
"Justice, 14th Court of Appeals District, Place 7",0250,109,164,273,964,28.32%,7,260,267
"Justice, 14th Court of Appeals District, Place 7",0251,278,436,714,2089,34.18%,26,675,701
"Justice, 14th Court of Appeals District, Place 7",0252,504,312,816,2377,34.33%,16,784,800
"Justice, 14th Court of Appeals District, Place 7",0253,379,222,601,2177,27.61%,11,576,587
"Justice, 14th Court of Appeals District, Place 7",0254,93,112,205,1550,13.23%,65,128,193
"Justice, 14th Court of Appeals District, Place 7",0255,525,648,1173,2482,47.26%,565,541,1106
"Justice, 14th Court of Appeals District, Place 7",0256,575,449,1024,3254,31.47%,486,477,963
"Justice, 14th Court of Appeals District, Place 7",0257,204,245,449,2523,17.80%,135,289,424
"Justice, 14th Court of Appeals District, Place 7",0258,839,800,1539,3322,49.34%,1223,326,1549
"Justice, 14th Court of Appeals District, Place 7",0259,555,382,1038,2361,43.96%,23,989,1012
"Justice, 14th Court of Appeals District, Place 7",0260,162,145,307,1260,24.37%,182,108,290
"Justice, 14th Court of Appeals District, Place 7",0261,124,120,244,1417,17.22%,105,130,235
"Justice, 14th Court of Appeals District, Place 7",0262,758,600,1358,4397,30.88%,855,434,1289
"Justice, 14th Court of Appeals District, Place 7",0263,858,712,1570,3693,42.51%,1213,309,1522
"Justice, 14th Court of Appeals District, Place 7",0264,480,457,937,2963,31.62%,580,310,890
"Justice, 14th Court of Appeals District, Place 7",0265,988,759,1747,3584,48.74%,1337,307,1644
"Justice, 14th Court of Appeals District, Place 7",0266,259,257,516,2104,24.52%,262,225,487
"Justice, 14th Court of Appeals District, Place 7",0267,146,166,312,1327,23.51%,162,133,295
"Justice, 14th Court of Appeals District, Place 7",0268,435,717,1152,2493,46.21%,696,361,1057
"Justice, 14th Court of Appeals District, Place 7",0269,702,453,1155,2030,56.90%,941,163,1104
"Justice, 14th Court of Appeals District, Place 7",0270,817,672,1489,3605,41.30%,842,574,1416
"Justice, 14th Court of Appeals District, Place 7",0271,656,382,1038,2518,41.22%,23,1005,1028
"Justice, 14th Court of Appeals District, Place 7",0272,264,292,555,2162,25.72%,230,306,536
"Justice, 14th Court of Appeals District, Place 7",0273,548,689,1237,2470,50.08%,1018,169,1187
"Justice, 14th Court of Appeals District, Place 7",0274,588,346,934,2153,43.38%,664,222,886
"Justice, 14th Court of Appeals District, Place 7",0275,207,236,443,1850,23.95%,110,322,432
"Justice, 14th Court of Appeals District, Place 7",0276,572,231,803,2536,31.66%,6,781,787
"Justice, 14th Court of Appeals District, Place 7",0277,170,186,356,1492,23.86%,175,170,345
"Justice, 14th Court of Appeals District, Place 7",0278,421,320,741,2454,30.20%,418,296,714
"Justice, 14th Court of Appeals District, Place 7",0279,250,223,473,1941,24.37%,287,167,454
"Justice, 14th Court of Appeals District, Place 7",0280,130,188,318,1524,20.87%,133,166,299
"Justice, 14th Court of Appeals District, Place 7",0281,655,742,1397,2633,53.06%,716,568,1284
"Justice, 14th Court of Appeals District, Place 7",0282,314,455,769,2042,37.66%,517,222,739
"Justice, 14th Court of Appeals District, Place 7",0283,0,0,0,0,0.00%,0,0,0
"Justice, 14th Court of Appeals District, Place 7",0284,574,336,910,3172,28.69%,432,434,866
"Justice, 14th Court of Appeals District, Place 7",0285,448,378,826,2540,32.52%,78,726,804
"Justice, 14th Court of Appeals District, Place 7",0286,1255,821,2076,6170,33.65%,189,1833,2022
"Justice, 14th Court of Appeals District, Place 7",0287,370,477,847,1621,52.25%,428,369,797
"Justice, 14th Court of Appeals District, Place 7",0288,532,313,845,2210,38.24%,20,812,832
"Justice, 14th Court of Appeals District, Place 7",0289,186,212,398,1564,25.45%,201,174,375
"Justice, 14th Court of Appeals District, Place 7",0290,245,298,543,1642,33.07%,411,116,527
"Justice, 14th Court of Appeals District, Place 7",0291,325,235,560,1225,45.71%,297,233,530
"Justice, 14th Court of Appeals District, Place 7",0292,207,147,354,1356,26.11%,43,305,348
"Justice, 14th Court of Appeals District, Place 7",0293,357,447,804,1759,45.71%,382,372,754
"Justice, 14th Court of Appeals District, Place 7",0294,488,221,709,2097,33.81%,11,685,696
"Justice, 14th Court of Appeals District, Place 7",0295,148,103,251,885,28.36%,7,240,247
"Justice, 14th Court of Appeals District, Place 7",0296,327,340,667,1713,38.94%,394,229,623
"Justice, 14th Court of Appeals District, Place 7",0297,280,249,529,2012,26.29%,244,260,504
"Justice, 14th Court of Appeals District, Place 7",0298,415,358,773,2121,36.45%,467,266,733
"Justice, 14th Court of Appeals District, Place 7",0299,178,117,295,1353,21.80%,117,156,273
"Justice, 14th Court of Appeals District, Place 7",0300,1389,1016,2405,5406,44.49%,1926,395,2321
"Justice, 14th Court of Appeals District, Place 7",0301,210,255,465,2352,19.77%,187,253,440
"Justice, 14th Court of Appeals District, Place 7",0302,353,343,696,2720,25.59%,405,267,672
"Justice, 14th Court of Appeals District, Place 7",0303,922,784,1706,3245,52.57%,1409,240,1649
