Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0166,158,233,391,1028,38.04%,119,252,371
"Judge, County Criminal Court No. 7",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Criminal Court No. 7",0168,92,58,150,503,29.82%,3,142,145
"Judge, County Criminal Court No. 7",0169,518,251,767,2513,30.52%,15,732,747
"Judge, County Criminal Court No. 7",0170,271,141,412,1869,22.04%,214,178,392
"Judge, County Criminal Court No. 7",0171,202,198,400,1604,24.94%,11,379,390
"Judge, County Criminal Court No. 7",0172,88,80,166,621,26.73%,65,90,155
"Judge, County Criminal Court No. 7",0173,817,739,1556,3599,43.23%,1263,242,1505
"Judge, County Criminal Court No. 7",0174,829,733,1562,3296,47.39%,1096,379,1475
"Judge, County Criminal Court No. 7",0175,557,749,1306,2618,49.89%,680,512,1192
"Judge, County Criminal Court No. 7",0176,344,451,795,1602,49.63%,447,279,726
"Judge, County Criminal Court No. 7",0177,278,326,604,1496,40.37%,352,211,563
"Judge, County Criminal Court No. 7",0178,504,365,869,1765,49.24%,606,189,795
"Judge, County Criminal Court No. 7",0179,256,188,444,1575,28.19%,233,187,420
"Judge, County Criminal Court No. 7",0180,470,343,813,2834,28.69%,18,758,776
"Judge, County Criminal Court No. 7",0181,175,262,437,2061,21.20%,134,279,413
"Judge, County Criminal Court No. 7",0182,590,974,1564,3405,45.93%,1000,437,1437
"Judge, County Criminal Court No. 7",0183,519,794,1313,2491,52.71%,895,317,1212
"Judge, County Criminal Court No. 7",0184,106,135,241,994,24.25%,81,138,219
"Judge, County Criminal Court No. 7",0185,283,292,575,1933,29.75%,201,350,551
"Judge, County Criminal Court No. 7",0186,97,106,203,798,25.44%,28,168,196
"Judge, County Criminal Court No. 7",0187,21,25,46,311,14.79%,14,30,44
"Judge, County Criminal Court No. 7",0188,153,146,299,1637,18.27%,135,153,288
"Judge, County Criminal Court No. 7",0189,239,360,599,1465,40.89%,315,236,551
"Judge, County Criminal Court No. 7",0190,120,177,297,1723,17.24%,123,161,284
"Judge, County Criminal Court No. 7",0191,79,126,205,1366,15.01%,81,115,196
"Judge, County Criminal Court No. 7",0192,380,225,605,1959,30.88%,26,557,583
"Judge, County Criminal Court No. 7",0193,173,187,360,1074,33.52%,10,338,348
"Judge, County Criminal Court No. 7",0194,350,431,781,1912,40.85%,253,484,737
"Judge, County Criminal Court No. 7",0195,269,278,547,1694,32.29%,21,509,530
"Judge, County Criminal Court No. 7",0196,52,32,84,316,26.58%,5,77,82
"Judge, County Criminal Court No. 7",0197,543,309,852,2914,29.24%,11,826,837
"Judge, County Criminal Court No. 7",0198,53,74,127,642,19.78%,3,122,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0199,812,661,1473,3216,45.80%,1148,258,1406
"Judge, County Criminal Court No. 7",0200,982,536,1498,3382,44.29%,692,689,1381
"Judge, County Criminal Court No. 7",0201,98,87,185,724,25.55%,2,179,181
"Judge, County Criminal Court No. 7",0202,217,189,406,1464,27.73%,13,384,397
"Judge, County Criminal Court No. 7",0203,107,68,175,960,18.23%,42,122,164
"Judge, County Criminal Court No. 7",0204,818,784,1600,3487,45.88%,899,577,1476
"Judge, County Criminal Court No. 7",0205,484,171,635,1664,38.16%,8,618,626
"Judge, County Criminal Court No. 7",0206,382,462,824,2779,29.65%,235,541,776
"Judge, County Criminal Court No. 7",0207,285,261,526,1188,44.28%,159,337,496
"Judge, County Criminal Court No. 7",0208,322,262,584,2195,26.61%,168,387,555
"Judge, County Criminal Court No. 7",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Criminal Court No. 7",0210,502,467,969,2533,38.26%,108,827,935
"Judge, County Criminal Court No. 7",0211,307,386,693,2914,23.78%,252,404,656
"Judge, County Criminal Court No. 7",0212,98,155,251,1300,19.31%,51,191,242
"Judge, County Criminal Court No. 7",0213,828,913,1739,3350,51.91%,1405,216,1621
"Judge, County Criminal Court No. 7",0214,404,491,895,1854,48.27%,582,254,836
"Judge, County Criminal Court No. 7",0215,421,711,1132,2258,50.13%,712,334,1046
"Judge, County Criminal Court No. 7",0216,382,223,585,1945,30.08%,39,534,573
"Judge, County Criminal Court No. 7",0217,844,631,1475,2678,55.08%,997,358,1355
"Judge, County Criminal Court No. 7",0218,391,402,793,2292,34.60%,240,500,740
"Judge, County Criminal Court No. 7",0219,498,436,932,2767,33.68%,45,845,890
"Judge, County Criminal Court No. 7",0220,325,187,512,2310,22.16%,369,125,494
"Judge, County Criminal Court No. 7",0221,332,369,701,2529,27.72%,291,374,665
"Judge, County Criminal Court No. 7",0222,823,674,1297,2501,51.86%,654,536,1190
"Judge, County Criminal Court No. 7",0223,583,377,940,3582,26.24%,261,616,877
"Judge, County Criminal Court No. 7",0224,530,456,986,2238,44.06%,469,441,910
"Judge, County Criminal Court No. 7",0225,378,405,781,3305,23.63%,388,359,747
"Judge, County Criminal Court No. 7",0226,227,307,534,2436,21.92%,120,388,508
"Judge, County Criminal Court No. 7",0227,558,423,981,1785,54.96%,747,142,889
"Judge, County Criminal Court No. 7",0228,382,195,557,1050,53.05%,24,513,537
"Judge, County Criminal Court No. 7",0229,31,96,127,815,15.58%,56,65,121
"Judge, County Criminal Court No. 7",0230,185,116,301,1089,27.64%,6,286,292
"Judge, County Criminal Court No. 7",0231,233,264,497,2232,22.27%,121,345,466
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0232,351,474,835,1760,47.44%,487,286,773
"Judge, County Criminal Court No. 7",0233,890,801,1691,4445,38.04%,845,706,1551
"Judge, County Criminal Court No. 7",0234,1192,913,2105,3993,52.72%,1632,319,1951
"Judge, County Criminal Court No. 7",0235,240,158,398,1356,29.35%,14,373,387
"Judge, County Criminal Court No. 7",0236,354,235,589,2079,28.33%,13,559,572
"Judge, County Criminal Court No. 7",0237,416,253,669,2161,30.96%,10,639,649
"Judge, County Criminal Court No. 7",0238,339,245,584,1925,30.34%,16,556,572
"Judge, County Criminal Court No. 7",0239,383,236,619,1964,31.52%,21,583,604
"Judge, County Criminal Court No. 7",0240,585,243,828,2649,31.26%,19,790,809
"Judge, County Criminal Court No. 7",0241,222,229,451,2372,19.01%,186,244,430
"Judge, County Criminal Court No. 7",0242,173,162,335,1596,20.99%,197,121,318
"Judge, County Criminal Court No. 7",0243,138,43,181,457,39.61%,3,177,180
"Judge, County Criminal Court No. 7",0244,480,425,905,311,7,29.03%,502,360,862
"Judge, County Criminal Court No. 7",0245,945,799,1745,5828,29.94%,1227,476,1703
"Judge, County Criminal Court No. 7",0246,584,513,1197,3315,36.11%,862,298,1160
"Judge, County Criminal Court No. 7",0247,173,254,427,1582,26.99%,14,405,419
"Judge, County Criminal Court No. 7",0248,161,167,328,2100,15.62%,90,222,312
"Judge, County Criminal Court No. 7",0249,461,348,809,2719,29.75%,564,218,782
"Judge, County Criminal Court No. 7",0250,109,164,273,964,28.32%,9,260,269
"Judge, County Criminal Court No. 7",0251,278,436,714,2089,34.18%,24,675,699
"Judge, County Criminal Court No. 7",0252,504,312,816,2377,34.33%,16,781,797
"Judge, County Criminal Court No. 7",0253,379,222,601,2177,27.61%,10,575,585
"Judge, County Criminal Court No. 7",0254,93,112,205,1550,13.23%,63,134,197
"Judge, County Criminal Court No. 7",0255,525,648,1173,2482,47.26%,568,518,1086
"Judge, County Criminal Court No. 7",0256,575,449,1024,3254,31.47%,485,478,963
"Judge, County Criminal Court No. 7",0257,204,245,449,2523,17.80%,134,292,426
"Judge, County Criminal Court No. 7",0258,839,800,1539,3322,49.34%,1212,309,1521
"Judge, County Criminal Court No. 7",0259,555,382,1038,2361,43.96%,28,981,1009
"Judge, County Criminal Court No. 7",0260,152,145,307,1260,24.37%,178,109,287
"Judge, County Criminal Court No. 7",0261,124,120,244,1417,17.22%,101,132,233
"Judge, County Criminal Court No. 7",0262,758,600,1358,4397,30.88%,844,429,1273
"Judge, County Criminal Court No. 7",0263,858,712,1570,3693,42.51%,1209,300,1509
"Judge, County Criminal Court No. 7",0264,480,457,937,2963,31.62%,579,298,877
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0265,988,759,1747,3584,48.74%,1340,281,1621
"Judge, County Criminal Court No. 7",0266,259,257,516,2104,24.52%,256,228,484
"Judge, County Criminal Court No. 7",0267,146,166,312,1327,23.51%,156,133,289
"Judge, County Criminal Court No. 7",0268,435,717,1152,2493,46.21%,720,326,1046
"Judge, County Criminal Court No. 7",0269,702,453,1155,2030,56.90%,930,154,1084
"Judge, County Criminal Court No. 7",0270,817,672,1489,3605,41.30%,828,574,1402
"Judge, County Criminal Court No. 7",0271,656,382,1038,2518,41.22%,24,998,1022
"Judge, County Criminal Court No. 7",0272,264,292,555,2162,25.72%,223,306,529
"Judge, County Criminal Court No. 7",0273,548,689,1237,2470,50.08%,1020,160,1180
"Judge, County Criminal Court No. 7",0274,588,346,934,2153,43.38%,650,220,870
"Judge, County Criminal Court No. 7",0275,207,236,443,1850,23.95%,103,326,429
"Judge, County Criminal Court No. 7",0276,572,231,803,2536,31.66%,11,773,784
"Judge, County Criminal Court No. 7",0277,170,186,356,1492,23.86%,168,171,339
"Judge, County Criminal Court No. 7",0278,421,320,741,2454,30.20%,414,293,707
"Judge, County Criminal Court No. 7",0279,250,223,473,1941,24.37%,275,175,450
"Judge, County Criminal Court No. 7",0280,130,188,318,1524,20.87%,134,165,299
"Judge, County Criminal Court No. 7",0281,655,742,1397,2633,53.06%,732,531,1263
"Judge, County Criminal Court No. 7",0282,314,455,769,2042,37.66%,491,230,721
"Judge, County Criminal Court No. 7",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No. 7",0284,574,335,910,3172,28.69%,427,438,865
"Judge, County Criminal Court No. 7",0285,448,378,826,2540,32.52%,75,723,798
"Judge, County Criminal Court No. 7",0286,1255,821,2076,6170,33.65%,187,1815,2002
"Judge, County Criminal Court No. 7",0287,370,477,847,1621,52.25%,422,365,787
"Judge, County Criminal Court No. 7",0288,532,313,845,2210,38.24%,14,817,831
"Judge, County Criminal Court No. 7",0289,186,212,398,1564,25.45%,197,180,377
"Judge, County Criminal Court No. 7",0290,245,298,543,1642,33.07%,408,117,525
"Judge, County Criminal Court No. 7",0291,325,235,560,1225,45.71%,287,235,522
"Judge, County Criminal Court No. 7",0292,207,147,354,1356,26.11%,40,306,346
"Judge, County Criminal Court No. 7",0293,356,447,803,1759,45.65%,375,371,746
"Judge, County Criminal Court No. 7",0294,488,221,709,2097,33.81%,8,683,691
"Judge, County Criminal Court No. 7",0295,148,103,251,885,28.36%,7,239,246
"Judge, County Criminal Court No. 7",0296,327,340,667,1713,38.94%,381,229,610
"Judge, County Criminal Court No. 7",0297,280,249,529,2012,26.29%,232,259,491
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Pam Derbyshire,DEM Shelia Acosta,Totals
"Judge, County Criminal Court No. 7",0298,415,358,773,2121,36.45%,455,268,723
"Judge, County Criminal Court No. 7",0299,178,117,295,1353,21.80%,115,156,271
"Judge, County Criminal Court No. 7",0300,1389,1016,2405,5406,44.49%,1916,388,2304
"Judge, County Criminal Court No. 7",0301,210,255,465,2352,19.77%,187,254,441
"Judge, County Criminal Court No. 7",0302,353,343,696,2720,25.59%,408,261,669
"Judge, County Criminal Court No. 7",0303,922,784,1706,3245,52.57%,1389,227,1616
"Judge, County Criminal Court No. 7",0304,606,505,1111,2298,48.35%,643,387,1030
"Judge, County Criminal Court No. 7",0305,524,432,956,4191,22.81%,407,520,927
"Judge, County Criminal Court No. 7",0306,649,342,991,1879,52.74%,737,196,933
"Judge, County Criminal Court No. 7",0307,733,670,1403,3099,45.27%,964,348,1312
"Judge, County Criminal Court No. 7",0308,199,130,329,1296,25.39%,107,206,313
"Judge, County Criminal Court No. 7",0309,708,593,1301,2524,51.55%,1046,170,1216
"Judge, County Criminal Court No. 7",0310,386,279,665,1435,46.34%,455,159,614
"Judge, County Criminal Court No. 7",0311,486,421,907,2986,30.38%,491,348,839
"Judge, County Criminal Court No. 7",0312,742,457,1199,3636,32.98%,796,347,1143
"Judge, County Criminal Court No. 7",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Criminal Court No. 7",0314,1121,913,2034,5647,36.02%,1286,682,1968
"Judge, County Criminal Court No. 7",0315,478,388,866,1608,53.86%,516,290,806
"Judge, County Criminal Court No. 7",0316,412,341,753,1537,48.99%,434,262,696
"Judge, County Criminal Court No. 7",0317,248,209,457,1588,28.78%,150,285,435
"Judge, County Criminal Court No. 7",0318,834,568,1402,3660,38.31%,66,1292,1358
"Judge, County Criminal Court No. 7",0319,512,230,742,2158,34.38%,43,674,717
"Judge, County Criminal Court No. 7",0320,234,168,402,1537,26.15%,201,182,383
"Judge, County Criminal Court No. 7",0321,262,191,453,2346,19.31%,164,265,429
"Judge, County Criminal Court No. 7",0322,181,129,310,1226,25.29%,106,193,299
"Judge, County Criminal Court No. 7",0323,278,211,489,1722,28.40%,234,225,459
