Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Laryssa Korduba,Totals
"Justice of the Peace, Precinct 4, Place 2",0477,737,567,1304,3505,37.20%,1059,1059
"Justice of the Peace, Precinct 4, Place 2",0478,958,657,1615,4461,36.20%,1164,1164
"Justice of the Peace, Precinct 4, Place 2",0479,638,612,1250,2714,46.06%,979,979
"Justice of the Peace, Precinct 4, Place 2",0480,493,450,943,2415,39.05%,711,711
"Justice of the Peace, Precinct 4, Place 2",0481,770,623,1393,3482,40.01%,1118,1118
"Justice of the Peace, Precinct 4, Place 2",0482,878,630,1508,4373,34.48%,1158,1158
"Justice of the Peace, Precinct 4, Place 2",0484,1107,930,2037,4979,40.91%,1562,1562
"Justice of the Peace, Precinct 4, Place 2",0485,1095,911,2006,5388,37.23%,1649,1649
"Justice of the Peace, Precinct 4, Place 2",0486,873,855,1728,3866,44.70%,1414,1414
"Justice of the Peace, Precinct 4, Place 2",0495,522,523,1045,2375,44.00%,795,795
"Justice of the Peace, Precinct 4, Place 2",0500,729,715,1444,3507,41.17%,1070,1070
"Justice of the Peace, Precinct 4, Place 2",0513,1019,487,1506,2894,52.04%,1223,1223
"Justice of the Peace, Precinct 4, Place 2",0514,953,720,1673,4275,39.13%,1324,1324
"Justice of the Peace, Precinct 4, Place 2",0515,942,683,1625,3455,47.03%,1353,1353
"Justice of the Peace, Precinct 4, Place 2",0516,1000,800,1800,5356,33.61%,1073,1073
"Justice of the Peace, Precinct 4, Place 2",0518,635,693,1328,3943,33.68%,948,948
"Justice of the Peace, Precinct 4, Place 2",0519,623,493,1116,2966,37.63%,884,884
"Justice of the Peace, Precinct 4, Place 2",0520,473,457,930,4580,20.31%,244,244
"Justice of the Peace, Precinct 4, Place 2",0529,1043,491,1534,3710,41.35%,1351,1351
"Justice of the Peace, Precinct 4, Place 2",0548,286,293,579,2215,26.14%,350,350
"Justice of the Peace, Precinct 4, Place 2",0549,343,418,761,2663,28.58%,152,152
"Justice of the Peace, Precinct 4, Place 2",0550,501,431,932,3031,30.75%,572,572
"Justice of the Peace, Precinct 4, Place 2",0551,1288,1394,2682,7034,38.13%,2162,2162
"Justice of the Peace, Precinct 4, Place 2",0552,847,883,1730,3415,50.66%,1469,1469
"Justice of the Peace, Precinct 4, Place 2",0563,1107,376,1483,3105,47.76%,1214,1214
"Justice of the Peace, Precinct 4, Place 2",0575,13,11,24,74,32.43%,20,20
"Justice of the Peace, Precinct 4, Place 2",0586,638,680,1318,4316,30.54%,871,871
"Justice of the Peace, Precinct 4, Place 2",0587,436,284,720,2598,27.71%,332,332
"Justice of the Peace, Precinct 4, Place 2",0588,758,674,1432,3645,39.29%,1082,1082
"Justice of the Peace, Precinct 4, Place 2",0590,772,399,1171,2162,54.16%,949,949
"Justice of the Peace, Precinct 4, Place 2",0592,133,157,290,1350,21.48%,101,101
"Justice of the Peace, Precinct 4, Place 2",0596,441,348,789,3007,26.24%,492,492
"Justice of the Peace, Precinct 4, Place 2",0597,367,394,761,3653,20.83%,389,389
"Justice of the Peace, Precinct 4, Place 2",0598,195,57,252,728,34.62%,211,211
"Justice of the Peace, Precinct 4, Place 2",0599,850,578,1428,4950,28.85%,609,609
"Justice of the Peace, Precinct 4, Place 2",0601,1073,756,1829,4057,45.08%,1449,1449
"Justice of the Peace, Precinct 4, Place 2",0602,293,235,528,1326,39.82%,417,417
"Justice of the Peace, Precinct 4, Place 2",0609,667,680,1347,3384,39.80%,912,912
"Justice of the Peace, Precinct 4, Place 2",0612,995,497,1493,3307,45.15%,1155,1155
"Justice of the Peace, Precinct 4, Place 2",0613,186,204,390,1554,25.10%,96,96
"Justice of the Peace, Precinct 4, Place 2",0614,737,566,1303,4207,30.97%,598,598
"Justice of the Peace, Precinct 4, Place 2",0615,480,299,779,1967,39.60%,533,533
"Justice of the Peace, Precinct 4, Place 2",0623,887,487,1374,3691,37.23%,987,987
"Justice of the Peace, Precinct 4, Place 2",0624,1,1,2,3,66.67%,1,1
"Justice of the Peace, Precinct 4, Place 2",0629,37,53,90,696,12.93%,20,20
"Justice of the Peace, Precinct 4, Place 2",0631,822,404,1226,2846,43.08%,950,950
"Justice of the Peace, Precinct 4, Place 2",0633,943,731,1674,3559,47.04%,1264,1264
"Justice of the Peace, Precinct 4, Place 2",0634,458,442,900,3029,29.71%,639,639
"Justice of the Peace, Precinct 4, Place 2",0635,743,485,1228,3393,36.19%,969,969
"Justice of the Peace, Precinct 4, Place 2",0640,641,459,1100,3733,29.47%,750,750
"Justice of the Peace, Precinct 4, Place 2",0641,649,596,1245,3650,34.11%,886,886
"Justice of the Peace, Precinct 4, Place 2",0648,838,579,1417,3367,42.08%,1089,1089
"Justice of the Peace, Precinct 4, Place 2",0657,246,172,418,1292,32.35%,202,202
"Justice of the Peace, Precinct 4, Place 2",0658,540,426,966,2807,34.41%,683,683
"Justice of the Peace, Precinct 4, Place 2",0659,1149,788,1937,4856,39.89%,1450,1450
"Justice of the Peace, Precinct 4, Place 2",0660,950,825,1775,5372,33.04%,283,283
"Justice of the Peace, Precinct 4, Place 2",0661,675,765,1440,4567,31.53%,928,928
"Justice of the Peace, Precinct 4, Place 2",0668,399,509,908,2775,32.72%,647,647
"Justice of the Peace, Precinct 4, Place 2",0669,850,738,1588,3425,46.36%,1216,1216
"Justice of the Peace, Precinct 4, Place 2",0670,955,471,1427,2983,47.84%,1187,1187
"Justice of the Peace, Precinct 4, Place 2",0671,403,565,968,3037,31.87%,674,674
"Justice of the Peace, Precinct 4, Place 2",0672,959,862,1821,5706,31.91%,1322,1322
"Justice of the Peace, Precinct 4, Place 2",0674,1071,618,1689,4091,41.29%,1335,1335
"Justice of the Peace, Precinct 4, Place 2",0687,549,537,1086,2609,41.63%,787,787
"Justice of the Peace, Precinct 4, Place 2",0688,999,617,1616,3504,46.12%,1348,1348
"Justice of the Peace, Precinct 4, Place 2",0690,925,1104,2030,5102,39.79%,1724,1724
"Justice of the Peace, Precinct 4, Place 2",0691,2,5,7,25,28.00%,5,5
"Justice of the Peace, Precinct 4, Place 2",0698,448,489,937,3189,29.38%,168,168
"Justice of the Peace, Precinct 4, Place 2",0705,114,113,227,1523,14.90%,42,42
"Justice of the Peace, Precinct 4, Place 2",0713,228,262,490,1907,25.69%,282,282
"Justice of the Peace, Precinct 4, Place 2",0717,373,250,623,2002,31.12%,118,118
"Justice of the Peace, Precinct 4, Place 2",0726,592,402,994,2087,47.63%,890,890
"Justice of the Peace, Precinct 4, Place 2",0729,135,59,195,464,42.03%,124,124
"Justice of the Peace, Precinct 4, Place 2",0734,1558,962,2520,7005,35.97%,1863,1863
"Justice of the Peace, Precinct 4, Place 2",07356,0,6,18,33.33%,6,6
"Justice of the Peace, Precinct 4, Place 2",0737,11,7,18,51,35.29%,14,14
"Justice of the Peace, Precinct 4, Place 2",0738,139,100,239,1361,17.56%,56,56
"Justice of the Peace, Precinct 4, Place 2",0747,550,467,1017,3743,27.17%,575,575
"Justice of the Peace, Precinct 4, Place 2",0753,55,73,128,259,49.42%,90,90
"Justice of the Peace, Precinct 4, Place 2",0756,251,177,428,1600,26.75%,197,197
"Justice of the Peace, Precinct 4, Place 2",0757,520,508,1028,4035,25.48%,274,274
"Justice of the Peace, Precinct 4, Place 2",0758,1114,692,1806,4096,44.09%,1525,1525
"Justice of the Peace, Precinct 4, Place 2",0759,465,413,878,2730,32.16%,617,617
"Justice of the Peace, Precinct 4, Place 2",0760,1432,639,2071,4367,47.42%,1771,1771
"Justice of the Peace, Precinct 4, Place 2",0764,1133,774,1907,5217,36.55%,1302,1302
"Justice of the Peace, Precinct 4, Place 2",0767,10,2,12,86,13.95%,8,8
"Justice of the Peace, Precinct 4, Place 2",0768,1359,1015,2374,5857,40.53%,2014,2014
"Justice of the Peace, Precinct 4, Place 2",0776,551,496,1047,3053,34.29%,678,678
"Justice of the Peace, Precinct 4, Place 2",0783,49,13,62,294,21.09%,46,46
"Justice of the Peace, Precinct 4, Place 2",0794,124,144,268,2710,9.89%,63,63
"Justice of the Peace, Precinct 4, Place 2",0805,765,533,1298,2866,45.29%,1080,1080
"Justice of the Peace, Precinct 4, Place 2",0823,821,564,1385,5087,27.23%,886,886
"Justice of the Peace, Precinct 4, Place 2",0828,541,388,929,1916,48.49%,776,776
"Justice of the Peace, Precinct 4, Place 2",0840,381,174,555,1705,32.55%,230,230
"Justice of the Peace, Precinct 4, Place 2",0841,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0851,1029,657,1686,4709,35.80%,1211,1211
"Justice of the Peace, Precinct 4, Place 2",0853,676,620,1296,2882,44.97%,1038,1038
"Justice of the Peace, Precinct 4, Place 2",0873,98,75,173,737,23.47%,59,59
"Justice of the Peace, Precinct 4, Place 2",0874,763,707,1470,3223,45.61%,1172,1172
"Justice of the Peace, Precinct 4, Place 2",0876,598,641,1339,3265,41.01%,1070,1070
"Justice of the Peace, Precinct 4, Place 2",0878,427,354,781,1666,46.88%,673,673
"Justice of the Peace, Precinct 4, Place 2",0880,543,447,990,2352,42.09%,830,830
"Justice of the Peace, Precinct 4, Place 2",0883,643,702,1345,5408,24.87%,374,374
"Justice of the Peace, Precinct 4, Place 2",0885,562,368,930,2619,35.51%,604,604
"Justice of the Peace, Precinct 4, Place 2",0888,0,3,3,0,0.00%,3,3
"Justice of the Peace, Precinct 4, Place 2",0897,252,297,549,1701,32.28%,356,356
"Justice of the Peace, Precinct 4, Place 2",0898,0,0,0,3,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0901,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0904,1,0,1,7,14.29%,1,1
"Justice of the Peace, Precinct 4, Place 2",0911,118,60,178,551,32.30%,126,126
"Justice of the Peace, Precinct 4, Place 2",0912,316,201,517,1273,40.61%,359,359
"Justice of the Peace, Precinct 4, Place 2",0913,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0914,159,179,348,701,49.64%,289,289
"Justice of the Peace, Precinct 4, Place 2",0915,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0916,417,240,657,1491,44.06%,539,539
"Justice of the Peace, Precinct 4, Place 2",0926,171,128,299,796,37.56%,241,241
"Justice of the Peace, Precinct 4, Place 2",0934,2,0,2,63,3.17%,1,1
"Justice of the Peace, Precinct 4, Place 2",0957,97,95,192,562,34.16%,44,44
"Justice of the Peace, Precinct 4, Place 2",0958,81,129,210,1081,19.43%,67,67
"Justice of the Peace, Precinct 4, Place 2",0959,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",0960,196,157,353,976,36.17%,106,106
"Justice of the Peace, Precinct 4, Place 2",0967,15,48,63,165,38.18%,24,24
"Justice of the Peace, Precinct 4, Place 2",0968,119,30,149,692,21.53%,44,44
"Justice of the Peace, Precinct 4, Place 2",0978,77,79,156,546,28.57%,44,44
"Justice of the Peace, Precinct 4, Place 2",0979,2,6,8,27,29.63%,5,5
"Justice of the Peace, Precinct 4, Place 2",0980,280,321,601,1389,43.27%,474,474
"Justice of the Peace, Precinct 4, Place 2",0982,312,312,624,1567,39.82%,527,527
"Justice of the Peace, Precinct 4, Place 2",0983,11,21,32,161,19.88%,22,22
"Justice of the Peace, Precinct 4, Place 2",0997,101,163,264,1656,15.94%,91,91
"Justice of the Peace, Precinct 4, Place 2",0998,5,1,6,57,10.53%,4,4
"Justice of the Peace, Precinct 4, Place 2",0999,17,10,27,68,39.71%,21,21
"Justice of the Peace, Precinct 4, Place 2",1007,208,188,396,1547,25.60%,125,125
"Justice of the Peace, Precinct 4, Place 2",1012,134,201,335,1365,24.54%,120,120
"Justice of the Peace, Precinct 4, Place 2",1013,0,6,6,58,10.34%,3,3
"Justice of the Peace, Precinct 4, Place 2",1014,4,6,10,31,32.26%,1,1
"Justice of the Peace, Precinct 4, Place 2",1015,5,4,9,25,36.00%,3,3
"Justice of the Peace, Precinct 4, Place 2",1017,61,44,105,330,31.82%,39,39
"Justice of the Peace, Precinct 4, Place 2",1018,93,64,157,494,31.78%,81,81
"Justice of the Peace, Precinct 4, Place 2",1021,0,0,0,2,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",1022,97,79,176,441,39.91%,142,142
"Justice of the Peace, Precinct 4, Place 2",1025,0,1,1,14,7.14%,1,1
"Justice of the Peace, Precinct 4, Place 2",1026,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",1028,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct 4, Place 2",1029,537,719,1256,2927,42.91%,1048,1048
"Justice of the Peace, Precinct 4, Place 2",1030,231,151,382,785,48.66%,338,338
"Justice of the Peace, Precinct 4, Place 2",1035,2,4,6,138,4.35%,2,2
"Justice of the Peace, Precinct 4, Place 2",1036,55,24,89,449,19.82%,76,76
"Justice of the Peace, Precinct 4, Place 2",1038,52,6,68,327,20.80%,12,12
"Justice of the Peace, Precinct 4, Place 2",1042,105,67,172,521,33.01%,61,61
"Justice of the Peace, Precinct 4, Place 2",10436,6,12,33,36.36%,4,4
"Justice of the Peace, Precinct 4, Place 2",1044,16,6,22,55,40.00%,11,11
"Justice of the Peace, Precinct 4, Place 2",1045,197,173,370,1788,20.69%,71,71
"Justice of the Peace, Precinct 4, Place 2",1047,255,186,441,1568,28.13%,202,202
