Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Mike Wolfe,"DEM Debra ""Debby"" Kerner",Totals
"County School Trustee, Position 5, At Large",0109,529,245,774,2824,27.41%,10,744,754
"County School Trustee, Position 5, At Large",0110,654,494,1148,3042,37.74%,737,375,1112
"County School Trustee, Position 5, At Large",0111,816,795,1611,4102,39.27%,1169,383,1552
"County School Trustee, Position 5, At Large",0112,542,485,1027,2976,34.51%,745,241,986
"County School Trustee, Position 5, At Large",0113,562,429,991,2647,37.44%,580,364,944
"County School Trustee, Position 5, At Large",0114,707,547,1254,3311,37.87%,1009,218,1227
"County School Trustee, Position 5, At Large",0115,238,150,388,1800,21.56%,48,330,378
"County School Trustee, Position 5, At Large",0116,982,776,1758,3147,55.86%,1291,357,1648
"County School Trustee, Position 5, At Large",0117,215,226,441,1880,23.46%,213,205,418
"County School Trustee, Position 5, At Large",0118,304,123,427,759,56.26%,346,66,412
"County School Trustee, Position 5, At Large",0119,1288,1024,2312,5500,42.04%,1857,370,2227
"County School Trustee, Position 5, At Large",0120,712,422,1134,3191,35.54%,725,362,1087
"County School Trustee, Position 5, At Large",0121,92,178,270,848,31.84%,187,72,259
"County School Trustee, Position 5, At Large",0122,352,225,577,1890,30.53%,21,535,556
"County School Trustee, Position 5, At Large",0123,284,288,572,1392,41.09%,138,409,547
"County School Trustee, Position 5, At Large",0124,1734,1292,3026,7254,41.71%,2376,576,2952
"County School Trustee, Position 5, At Large",0125,415,332,747,2405,31.06%,454,267,721
"County School Trustee, Position 5, At Large",0126,893,467,1360,3100,43.87%,1197,129,1326
"County School Trustee, Position 5, At Large",0127,435,154,589,1836,32.08%,408,147,555
"County School Trustee, Position 5, At Large",0128,445,707,1152,2290,50.31%,664,403,1067
"County School Trustee, Position 5, At Large",0129,1030,1200,2230,5746,38.81%,1363,759,2122
"County School Trustee, Position 5, At Large",0130,727,523,1250,2333,53.58%,905,287,1192
"County School Trustee, Position 5, At Large",0131,251,259,510,1935,26.36%,121,364,485
"County School Trustee, Position 5, At Large",0132,593,323,916,2387,38.37%,17,877,894
"County School Trustee, Position 5, At Large",0133,513,858,1371,2662,51.50%,742,527,1269
"County School Trustee, Position 5, At Large",0134,192,265,457,1437,31.80%,208,227,435
"County School Trustee, Position 5, At Large",0135,727,579,1305,2671,48.90%,843,382,1225
"County School Trustee, Position 5, At Large",0136,503,371,874,2013,43.42%,30,818,848
"County School Trustee, Position 5, At Large",0137,166,141,307,716,42.88%,135,151,286
"County School Trustee, Position 5, At Large",0138,296,199,495,1699,29.13%,16,468,484
"County School Trustee, Position 5, At Large",0139,699,551,1250,3037,41.16%,503,671,1174
"County School Trustee, Position 5, At Large",0140,699,480,1179,3214,36.68%,128,1012,1140
"County School Trustee, Position 5, At Large",0141,80,80,160,855,18.71%,96,57,153
"County School Trustee, Position 5, At Large",0142,87,103,190,902,21.06%,65,116,181
"County School Trustee, Position 5, At Large",0143,1962,580,2542,6386,39.81%,1823,655,2478
"County School Trustee, Position 5, At Large",0144,216,158,374,1093,34.22%,7,358,365
"County School Trustee, Position 5, At Large",0145,264,213,477,1538,31.01%,9,457,466
"County School Trustee, Position 5, At Large",0146,426,519,945,2008,47.06%,392,504,896
"County School Trustee, Position 5, At Large",0147,589,329,1018,3008,33.84%,129,867,996
"County School Trustee, Position 5, At Large",0148,500,780,1280,2540,50.39%,447,746,1193
"County School Trustee, Position 5, At Large",0149,1621,737,2358,7993,29.50%,1231,1074,2305
"County School Trustee, Position 5, At Large",0150,236,169,405,1256,32.25%,15,384,399
"County School Trustee, Position 5, At Large",0151,137,79,216,826,26.15%,10,199,209
"County School Trustee, Position 5, At Large",0152,213,299,512,2788,18.36%,135,355,490
"County School Trustee, Position 5, At Large",0153,125,206,331,1808,18.31%,105,209,314
"County School Trustee, Position 5, At Large",0154,249,183,432,2190,19.73%,117,292,409
"County School Trustee, Position 5, At Large",0155,1022,619,1641,4109,39.94%,1125,457,1582
"County School Trustee, Position 5, At Large",0156,799,326,1125,3071,36.63%,34,1058,1092
"County School Trustee, Position 5, At Large",0157,448,214,662,2236,29.61%,23,618,641
"County School Trustee, Position 5, At Large",0158,600,315,915,3035,30.15%,22,868,890
"County School Trustee, Position 5, At Large",0159,116,127,243,998,24.35%,37,198,235
"County School Trustee, Position 5, At Large",0160,122,73,195,696,28.02%,5,186,191
"County School Trustee, Position 5, At Large",0161,163,141,304,991,30.68%,5,290,295
"County School Trustee, Position 5, At Large",0162,101,83,184,1265,14.55%,69,102,171
"County School Trustee, Position 5, At Large",0163,230,320,550,3037,18.11%,242,279,521
"County School Trustee, Position 5, At Large",0164,182,205,387,1420,27.25%,11,370,381
"County School Trustee, Position 5, At Large",0165,535,483,1018,2334,43.62%,657,318,975
"County School Trustee, Position 5, At Large",0166,158,233,391,1028,38.04%,111,254,365
"County School Trustee, Position 5, At Large",0167,3,0,3,24,12.50%,0,3,3
"County School Trustee, Position 5, At Large",0168,92,58,150,503,29.82%,3,143,146
"County School Trustee, Position 5, At Large",0169,518,251,767,2513,30.52%,14,736,750
"County School Trustee, Position 5, At Large",0170,271,141,412,1869,22.04%,212,179,391
"County School Trustee, Position 5, At Large",0171,202,198,400,1604,24.94%,9,380,389
"County School Trustee, Position 5, At Large",0172,88,80,166,621,26.73%,64,90,154
"County School Trustee, Position 5, At Large",0173,817,739,1556,3599,43.23%,1247,268,1515
"County School Trustee, Position 5, At Large",0174,829,733,1562,3296,47.39%,1038,448,1486
"County School Trustee, Position 5, At Large",0175,557,749,1306,2618,49.89%,613,600,1213
"County School Trustee, Position 5, At Large",0176,344,451,795,1602,49.63%,377,354,731
"County School Trustee, Position 5, At Large",0177,278,326,604,1496,40.37%,318,245,563
"County School Trustee, Position 5, At Large",0178,504,365,869,1765,49.24%,557,249,806
"County School Trustee, Position 5, At Large",0179,256,188,444,1575,28.19%,230,191,421
"County School Trustee, Position 5, At Large",0180,470,343,813,2834,28.69%,20,759,779
"County School Trustee, Position 5, At Large",0181,175,262,437,2061,21.20%,144,273,417
"County School Trustee, Position 5, At Large",0182,590,974,1564,3405,45.93%,891,550,1441
"County School Trustee, Position 5, At Large",0183,519,794,1313,2491,52.71%,788,427,1215
"County School Trustee, Position 5, At Large",0184,106,135,241,994,24.25%,81,136,217
"County School Trustee, Position 5, At Large",0185,283,292,575,1933,29.75%,203,348,551
"County School Trustee, Position 5, At Large",0186,97,106,203,798,25.44%,34,164,198
"County School Trustee, Position 5, At Large",0187,21,25,46,311,14.79%,15,29,44
"County School Trustee, Position 5, At Large",0188,153,146,299,1637,18.27%,137,148,285
"County School Trustee, Position 5, At Large",0189,239,360,599,1465,40.89%,304,256,560
"County School Trustee, Position 5, At Large",0190,120,177,297,1723,17.24%,121,163,284
"County School Trustee, Position 5, At Large",0191,79,126,205,1366,15.01%,88,109,197
"County School Trustee, Position 5, At Large",0192,380,225,605,1959,30.88%,25,561,586
"County School Trustee, Position 5, At Large",0193,173,187,360,1074,33.52%,6,342,348
"County School Trustee, Position 5, At Large",0194,350,431,781,1912,40.85%,221,521,742
"County School Trustee, Position 5, At Large",0195,269,278,547,1694,32.29%,22,510,532
"County School Trustee, Position 5, At Large",0196,52,32,84,316,26.58%,4,77,81
"County School Trustee, Position 5, At Large",0197,543,309,852,2914,29.24%,14,821,835
"County School Trustee, Position 5, At Large",0198,53,74,127,642,19.78%,1,124,125
"County School Trustee, Position 5, At Large",0199,812,661,1473,3216,45.80%,1129,280,1409
"County School Trustee, Position 5, At Large",0200,982,536,1498,3382,44.29%,636,764,1400
"County School Trustee, Position 5, At Large",0201,98,87,185,724,25.55%,2,181,183
"County School Trustee, Position 5, At Large",0202,217,189,406,1464,27.73%,11,382,393
"County School Trustee, Position 5, At Large",0203,107,68,175,960,18.23%,40,124,164
"County School Trustee, Position 5, At Large",0204,818,784,1600,3487,45.88%,867,621,1488
"County School Trustee, Position 5, At Large",0205,484,171,635,1664,38.16%,11,614,625
"County School Trustee, Position 5, At Large",0206,382,462,824,2779,29.65%,231,546,777
"County School Trustee, Position 5, At Large",0207,285,261,526,1188,44.28%,163,330,493
"County School Trustee, Position 5, At Large",0208,322,262,584,2195,26.61%,180,378,558
"County School Trustee, Position 5, At Large",0209,0,2,2,0,0.00%,2,0,2
"County School Trustee, Position 5, At Large",0210,502,467,969,2533,38.26%,97,842,939
"County School Trustee, Position 5, At Large",0211,307,386,693,2914,23.78%,250,398,648
"County School Trustee, Position 5, At Large",0212,98,155,251,1300,19.31%,54,187,241
"County School Trustee, Position 5, At Large",0213,828,913,1739,3350,51.91%,1307,317,1624
"County School Trustee, Position 5, At Large",0214,404,491,895,1854,48.27%,543,307,850
"County School Trustee, Position 5, At Large",0215,421,711,1132,2258,50.13%,637,415,1052
"County School Trustee, Position 5, At Large",0216,382,223,585,1945,30.08%,38,535,573
"County School Trustee, Position 5, At Large",0217,844,631,1475,2678,55.08%,874,477,1351
"County School Trustee, Position 5, At Large",0218,391,402,793,2292,34.60%,227,514,741
"County School Trustee, Position 5, At Large",0219,498,436,932,2767,33.68%,45,852,897
"County School Trustee, Position 5, At Large",0220,325,187,512,2310,22.16%,368,127,495
"County School Trustee, Position 5, At Large",0221,332,369,701,2529,27.72%,295,370,665
"County School Trustee, Position 5, At Large",0222,823,674,1297,2501,51.86%,522,672,1194
"County School Trustee, Position 5, At Large",0223,583,377,940,3582,26.24%,245,638,883
"County School Trustee, Position 5, At Large",0224,530,456,986,2238,44.06%,424,494,918
"County School Trustee, Position 5, At Large",0225,378,405,781,3305,23.63%,389,363,752
"County School Trustee, Position 5, At Large",0226,227,307,534,2436,21.92%,131,374,505
"County School Trustee, Position 5, At Large",0227,558,423,981,1785,54.96%,671,226,897
"County School Trustee, Position 5, At Large",0228,382,195,557,1050,53.05%,20,519,539
"County School Trustee, Position 5, At Large",0229,31,96,127,815,15.58%,58,65,123
"County School Trustee, Position 5, At Large",0230,185,116,301,1089,27.64%,6,288,294
"County School Trustee, Position 5, At Large",0231,233,264,497,2232,22.27%,120,346,466
"County School Trustee, Position 5, At Large",0232,361,474,835,1760,47.44%,424,363,787
"County School Trustee, Position 5, At Large",0233,890,801,1691,4445,38.04%,744,808,1552
"County School Trustee, Position 5, At Large",0234,1192,913,2105,3993,52.72%,1498,457,1955
"County School Trustee, Position 5, At Large",0235,240,158,398,1356,29.35%,15,370,385
"County School Trustee, Position 5, At Large",0236,354,235,589,2079,28.33%,15,560,575
"County School Trustee, Position 5, At Large",0237,416,253,669,2161,30.96%,10,640,650
"County School Trustee, Position 5, At Large",0238,339,245,584,1925,30.34%,14,557,571
"County School Trustee, Position 5, At Large",0239,383,236,619,1964,31.52%,20,587,607
"County School Trustee, Position 5, At Large",0240,585,243,828,2649,31.26%,17,791,808
"County School Trustee, Position 5, At Large",0241,222,229,451,2372,19.01%,189,242,431
"County School Trustee, Position 5, At Large",0242,173,162,335,1596,20.99%,189,126,315
"County School Trustee, Position 5, At Large",0243,138,43,181,457,39.61%,1,178,179
"County School Trustee, Position 5, At Large",0244,480,425,905,3117,29.03%,501,365,866
"County School Trustee, Position 5, At Large",0245,945,799,1745,5828,29.94%,1222,478,1700
"County School Trustee, Position 5, At Large",0246,584,513,1197,3315,36.11%,847,314,1161
"County School Trustee, Position 5, At Large",0247,173,254,427,1582,26.99%,12,408,420
"County School Trustee, Position 5, At Large",0248,161,167,328,2100,15.62%,93,221,314
"County School Trustee, Position 5, At Large",0249,461,348,809,2719,29.75%,564,221,785
"County School Trustee, Position 5, At Large",0250,109,164,273,964,28.32%,9,258,267
"County School Trustee, Position 5, At Large",0251,278,436,714,2089,34.18%,22,678,700
"County School Trustee, Position 5, At Large",0252,504,312,816,2377,34.33%,14,786,800
"County School Trustee, Position 5, At Large",0253,379,222,601,2177,27.61%,13,575,588
"County School Trustee, Position 5, At Large",0254,93,112,205,1550,13.23%,64,130,194
"County School Trustee, Position 5, At Large",0255,525,648,1173,2482,47.26%,504,595,1099
"County School Trustee, Position 5, At Large",0256,575,449,1024,3254,31.47%,477,492,969
"County School Trustee, Position 5, At Large",0257,204,245,449,2523,17.80%,130,296,426
"County School Trustee, Position 5, At Large",0258,839,800,1539,3322,49.34%,1143,393,1536
"County School Trustee, Position 5, At Large",0259,555,382,1038,2361,43.96%,31,979,1010
"County School Trustee, Position 5, At Large",0260,162,145,307,1260,24.37%,178,112,290
"County School Trustee, Position 5, At Large",0261,124,120,244,1417,17.22%,104,131,235
"County School Trustee, Position 5, At Large",0262,758,600,1358,4397,30.88%,820,462,1282
"County School Trustee, Position 5, At Large",0263,858,712,1570,3693,42.51%,1186,327,1513
"County School Trustee, Position 5, At Large",0264,480,457,937,2963,31.62%,571,313,884
"County School Trustee, Position 5, At Large",0265,988,759,1747,3584,48.74%,1261,371,1632
"County School Trustee, Position 5, At Large",0266,259,257,516,2104,24.52%,255,230,485
"County School Trustee, Position 5, At Large",0267,146,166,312,1327,23.51%,161,129,290
"County School Trustee, Position 5, At Large",0268,435,717,1152,2493,46.21%,626,413,1039
"County School Trustee, Position 5, At Large",0269,702,453,1155,2030,56.90%,862,227,1089
"County School Trustee, Position 5, At Large",0270,817,672,1489,3605,41.30%,800,610,1410
"County School Trustee, Position 5, At Large",0271,656,382,1038,2518,41.22%,24,999,1023
"County School Trustee, Position 5, At Large",0272,264,292,555,2162,25.72%,216,316,532
"County School Trustee, Position 5, At Large",0273,548,689,1237,2470,50.08%,971,202,1173
"County School Trustee, Position 5, At Large",0274,588,346,934,2153,43.38%,608,266,874
"County School Trustee, Position 5, At Large",0275,207,236,443,1850,23.95%,102,327,429
"County School Trustee, Position 5, At Large",0276,572,231,803,2536,31.66%,8,780,788
"County School Trustee, Position 5, At Large",0277,170,186,356,1492,23.86%,167,173,340
"County School Trustee, Position 5, At Large",0278,421,320,741,2454,30.20%,407,302,709
"County School Trustee, Position 5, At Large",0279,250,223,473,1941,24.37%,277,174,451
"County School Trustee, Position 5, At Large",0280,130,188,318,1524,20.87%,136,168,304
"County School Trustee, Position 5, At Large",0281,655,742,1397,2633,53.06%,589,700,1289
"County School Trustee, Position 5, At Large",0282,314,455,769,2042,37.66%,480,253,733
"County School Trustee, Position 5, At Large",0283,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0284,574,335,910,3172,28.69%,410,460,870
"County School Trustee, Position 5, At Large",0285,448,378,826,2540,32.52%,77,720,797
"County School Trustee, Position 5, At Large",0286,1255,821,2076,6170,33.65%,186,1822,2008
"County School Trustee, Position 5, At Large",0287,370,477,847,1621,52.25%,388,403,791
"County School Trustee, Position 5, At Large",0288,532,313,845,2210,38.24%,18,814,832
"County School Trustee, Position 5, At Large",0289,186,212,398,1564,25.45%,197,179,376
"County School Trustee, Position 5, At Large",0290,245,298,543,1642,33.07%,411,115,526
"County School Trustee, Position 5, At Large",0291,325,235,560,1225,45.71%,271,257,528
"County School Trustee, Position 5, At Large",0292,207,147,354,1356,26.11%,40,303,343
"County School Trustee, Position 5, At Large",0293,356,447,803,1759,45.65%,359,392,751
"County School Trustee, Position 5, At Large",0294,488,221,709,2097,33.81%,7,689,696
"County School Trustee, Position 5, At Large",0295,148,103,251,885,28.36%,7,239,246
"County School Trustee, Position 5, At Large",0296,327,340,667,1713,38.94%,373,239,612
"County School Trustee, Position 5, At Large",0297,280,249,529,2012,26.29%,227,269,496
"County School Trustee, Position 5, At Large",0298,415,358,773,2121,36.45%,441,292,733
"County School Trustee, Position 5, At Large",0299,178,117,295,1353,21.80%,110,166,276
"County School Trustee, Position 5, At Large",0300,1389,1016,2405,5406,44.49%,1889,422,2311
"County School Trustee, Position 5, At Large",0301,210,255,465,2352,19.77%,189,255,444
"County School Trustee, Position 5, At Large",0302,353,343,696,2720,25.59%,405,269,674
"County School Trustee, Position 5, At Large",0303,922,784,1706,3245,52.57%,1307,310,1617
"County School Trustee, Position 5, At Large",0304,606,505,1111,2298,48.35%,567,478,1045
"County School Trustee, Position 5, At Large",0305,524,432,956,4191,22.81%,402,532,934
"County School Trustee, Position 5, At Large",0306,649,342,991,1879,52.74%,688,254,942
"County School Trustee, Position 5, At Large",0307,733,670,1403,3099,45.27%,922,402,1324
"County School Trustee, Position 5, At Large",0308,199,130,329,1296,25.39%,112,205,317
"County School Trustee, Position 5, At Large",0309,708,593,1301,2524,51.55%,999,230,1229
"County School Trustee, Position 5, At Large",0310,386,279,665,1435,46.34%,435,189,624
"County School Trustee, Position 5, At Large",0311,486,421,907,2986,30.38%,479,365,844
"County School Trustee, Position 5, At Large",0312,742,457,1199,3636,32.98%,747,397,1144
"County School Trustee, Position 5, At Large",031,3,9,0,9,62,14.52%,7,1,8
"County School Trustee, Position 5, At Large",0314,1121,913,2034,5647,36.02%,1272,699,1971
"County School Trustee, Position 5, At Large",0315,478,388,866,1608,53.86%,478,337,815
"County School Trustee, Position 5, At Large",0316,412,341,753,1537,48.99%,371,337,708
"County School Trustee, Position 5, At Large",0317,248,209,457,1588,28.78%,144,293,437
"County School Trustee, Position 5, At Large",0318,834,568,1402,3660,38.31%,63,1296,1359
"County School Trustee, Position 5, At Large",0319,512,230,742,2158,34.38%,44,673,717
"County School Trustee, Position 5, At Large",0320,234,168,402,1537,26.15%,208,178,386
"County School Trustee, Position 5, At Large",0321,262,191,453,2346,19.31%,170,260,430
"County School Trustee, Position 5, At Large",0322,181,129,310,1226,25.29%,105,195,300
"County School Trustee, Position 5, At Large",0323,278,211,489,1722,28.40%,226,238,464
"County School Trustee, Position 5, At Large",0324,532,646,1178,2336,50.43%,688,400,1088
"County School Trustee, Position 5, At Large",0325,289,193,482,2112,22.82%,111,352,463
"County School Trustee, Position 5, At Large",0326,87,74,161,698,23.07%,80,72,152
"County School Trustee, Position 5, At Large",0327,380,129,509,1729,29.44%,13,483,496
"County School Trustee, Position 5, At Large",0328,151,140,291,1434,20.29%,125,154,279
"County School Trustee, Position 5, At Large",0329,189,184,373,1397,26.70%,142,214,356
"County School Trustee, Position 5, At Large",0330,334,253,587,1936,30.32%,323,232,555
"County School Trustee, Position 5, At Large",0331,0,0,0,0,0.00%,0,0,0
"County School Trustee, Position 5, At Large",0332,18,7,25,138,18.12%,11,11,22
"County School Trustee, Position 5, At Large",0333,524,714,1238,3021,40.98%,844,331,1175
"County School Trustee, Position 5, At Large",0334,83,42,125,742,16.85%,20,100,120
"County School Trustee, Position 5, At Large",0335,121,98,219,1300,16.85%,84,123,207
"County School Trustee, Position 5, At Large",0336,866,624,1490,4051,36.78%,128,1326,1454
"County School Trustee, Position 5, At Large",0337,124,103,227,1029,22.06%,38,178,216
"County School Trustee, Position 5, At Large",0338,730,391,1121,4934,22.72%,383,664,1047
"County School Trustee, Position 5, At Large",0339,202,222,424,1757,24.13%,91,305,396
"County School Trustee, Position 5, At Large",0340,1038,594,1632,3765,43.35%,1206,347,1553
