Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP R. Jack Cagle,DEM M.|. Badat,Totals
"County Commissioner, Precinct 4",0550,501,431,932,3031,30.75%,555,351,906
"County Commissioner, Precinct 4",0551,1288,1394,2682,7034,38.13%,2112,520,2632
"County Commissioner, Precinct 4",0552,847,883,1730,3415,50.66%,1472,217,1689
"County Commissioner, Precinct 4",0553,578,529,1107,4686,23.62%,519,557,1076
"County Commissioner, Precinct 4",0563,1107,376,1483,3105,47.76%,1208,223,1431
"County Commissioner, Precinct 4",0575,13,11,24,74,32.43%,19,4,23
"County Commissioner, Precinct 4",0578,409,538,947,1799,52.64%,616,291,907
"County Commissioner, Precinct 4",0586,638,680,1318,4316,30.54%,830,451,1281
"County Commissioner, Precinct 4",0587,436,284,720,2598,27.71%,300,403,703
"County Commissioner, Precinct 4",0588,758,674,1432,3645,39.29%,1064,331,1395
"County Commissioner, Precinct 4",0590,772,399,1171,2162,54.16%,950,184,1134
"County Commissioner, Precinct 4",0592,133,157,290,1350,21.48%,84,192,276
"County Commissioner, Precinct 4",0593,543,564,1107,4380,25.27%,571,488,1059
"County Commissioner, Precinct 4",0596,441,348,789,3007,26.24%,459,311,770
"County Commissioner, Precinct 4",0597,367,394,761,3653,20.83%,340,407,747
"County Commissioner, Precinct 4",0598,195,57,252,728,34.62%,210,38,248
"County Commissioner, Precinct 4",0599,850,578,1428,4950,28.85%,531,857,1388
"County Commissioner, Precinct 4",0601,1073,756,1829,4057,45.08%,1452,341,1793
"County Commissioner, Precinct 4",0609,667,680,1347,3384,39.80%,888,401,1289
"County Commissioner, Precinct 4",0610,231,188,419,1927,21.74%,225,162,387
"County Commissioner, Precinct 4",0612,996,497,1493,3307,45.15%,1152,271,1423
"County Commissioner, Precinct 4",0613,186,204,390,1554,25.10%,74,306,380
"County Commissioner, Precinct 4",0614,737,566,1303,4207,30.97%,527,736,1263
"County Commissioner, Precinct 4",0615,480,299,779,1967,39.60%,519,239,758
"County Commissioner, Precinct 4",0617,541,393,934,3809,24.52%,404,506,910
"County Commissioner, Precinct 4",0622,881,524,1405,4403,31.91%,899,461,1360
"County Commissioner, Precinct 4",0623,887,487,1374,3691,37.23%,983,348,1331
"County Commissioner, Precinct 4",0624,1,1,2,3,66.67%,1,1,2
"County Commissioner, Precinct 4",0628,152,219,371,1675,22.15%,209,151,360
"County Commissioner, Precinct 4",0631,822,404,1226,2846,43.08%,937,256,1193
"County Commissioner, Precinct 4",0633,943,731,1674,3559,47.04%,1236,392,1628
"County Commissioner, Precinct 4",0634,458,442,900,3029,29.71%,624,256,880
"County Commissioner, Precinct 4",0635,743,485,1228,3393,36.19%,946,247,1193
"County Commissioner, Precinct 4",0642,471,394,865,1764,49.04%,714,122,836
"County Commissioner, Precinct 4",0643,934,653,1587,5945,26.69%,650,887,1537
"County Commissioner, Precinct 4",0648,838,579,1417,3367,42.08%,1056,326,1382
"County Commissioner, Precinct 4",0661,675,765,1440,4567,31.53%,883,512,1395
"County Commissioner, Precinct 4",0663,717,797,1514,3346,45.25%,829,606,1435
"County Commissioner, Precinct 4",0666,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0668,399,509,908,2775,32.72%,615,270,885
"County Commissioner, Precinct 4",0669,850,738,1588,3425,46.36%,1199,347,1546
"County Commissioner, Precinct 4",0670,956,471,1427,2983,47.84%,1165,219,1384
"County Commissioner, Precinct 4",0671,403,565,968,3037,31.87%,617,317,934
"County Commissioner, Precinct 4",0672,959,862,1821,5706,31.91%,1289,484,1773
"County Commissioner, Precinct 4",0678,166,108,274,735,37.28%,188,69,257
"County Commissioner, Precinct 4",0687,549,537,1086,2609,41.63%,767,266,1033
"County Commissioner, Precinct 4",0689,211,387,598,2346,25.49%,312,254,566
"County Commissioner, Precinct 4",0690,926,1104,2030,5102,39.79%,1699,288,1987
"County Commissioner, Precinct 4",0697,605,613,1218,4413,27.60%,333,849,1182
"County Commissioner, Precinct 4",0698,448,489,937,3189,29.38%,116,797,913
"County Commissioner, Precinct 4",0701,55,43,99,588,16.84%,66,28,94
"County Commissioner, Precinct 4",0710,371,462,833,2082,40.01%,492,286,778
"County Commissioner, Precinct 4",0717,373,250,623,2002,31.12%,82,525,607
"County Commissioner, Precinct 4",0726,592,402,994,2087,47.63%,885,87,972
"County Commissioner, Precinct 4",07356,0,6,18,33.33%,6,0,6
"County Commissioner, Precinct 4",0741,0,1,1,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0742,0,11,11,0,0.00%,6,5,11
"County Commissioner, Precinct 4",0747,550,467,1017,3743,27.17%,534,459,993
"County Commissioner, Precinct 4",0753,55,73,128,259,49.42%,84,38,122
"County Commissioner, Precinct 4",0756,251,177,428,1600,26.75%,180,234,414
"County Commissioner, Precinct 4",0758,1114,692,1806,4096,44.09%,1487,268,1755
"County Commissioner, Precinct 4",0759,465,413,878,2730,32.16%,584,270,854
"County Commissioner, Precinct 4",0760,1432,639,2071,4367,47.42%,1770,232,2002
"County Commissioner, Precinct 4",0768,1359,1015,2374,5857,40.53%,2002,333,2335
"County Commissioner, Precinct 4",0771,324,254,578,2426,23.83%,349,215,564
"County Commissioner, Precinct 4",0776,551,496,1047,3053,34.29%,643,371,1014
"County Commissioner, Precinct 4",0783,49,13,62,294,21.09%,47,13,60
"County Commissioner, Precinct 4",0789,0,3,3,3,100.00%,1,2,3
"County Commissioner, Precinct 4",0805,765,533,1298,2866,45.29%,1076,186,1262
"County Commissioner, Precinct 4",0809,7,6,13,92,14.13%,5,6,11
"County Commissioner, Precinct 4",0823,821,564,1385,5087,27.23%,837,511,1348
"County Commissioner, Precinct 4",0828,541,388,929,1916,48.49%,775,128,903
"County Commissioner, Precinct 4",0841,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0847,305,211,516,2015,25.61%,150,348,498
"County Commissioner, Precinct 4",0851,1029,657,1686,4709,35.80%,1184,452,1636
"County Commissioner, Precinct 4",0853,676,620,1296,2882,44.97%,980,261,1241
"County Commissioner, Precinct 4",0864,193,299,492,2569,19.15%,147,326,473
"County Commissioner, Precinct 4",0868,236,271,507,2326,21.80%,171,318,489
"County Commissioner, Precinct 4",0870,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0873,96,75,173,737,23.47%,47,121,168
"County Commissioner, Precinct 4",0874,763,707,1470,3223,45.61%,1158,267,1425
"County Commissioner, Precinct 4",0876,698,641,1339,3265,41.01%,1050,257,1307
"County Commissioner, Precinct 4",0878,427,354,781,1666,46.88%,673,96,769
"County Commissioner, Precinct 4",0880,543,447,990,2352,42.09%,833,133,966
"County Commissioner, Precinct 4",0881,593,540,1133,4479,25.30%,413,696,1109
"County Commissioner, Precinct 4",0882,426,291,717,2422,29.60%,451,245,696
"County Commissioner, Precinct 4",0884,57,25,82,377,21.75%,10,70,80
"County Commissioner, Precinct 4",0888,0,3,3,0,0.00%,2,1,3
"County Commissioner, Precinct 4",0897,252,297,549,1701,32.28%,332,196,528
"County Commissioner, Precinct 4",0898,0,0,0,3,0.00%,0,0,0
"County Commissioner, Precinct 4",0902,394,486,880,2139,41.14%,520,315,835
"County Commissioner, Precinct 4",0903,3,7,10,50,20.00%,3,6,9
"County Commissioner, Precinct 4",0904,1,0,1,7,14.29%,1,0,1
"County Commissioner, Precinct 4",0911,118,60,178,551,32.30%,125,47,172
"County Commissioner, Precinct 4",0912,316,201,517,1273,40.61%,360,136,496
"County Commissioner, Precinct 4",0913,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0914,169,179,348,701,49.64%,293,47,340
"County Commissioner, Precinct 4",0915,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0916,417,240,657,1491,44.06%,535,101,636
"County Commissioner, Precinct 4",0926,171,128,299,796,37.56%,238,55,293
"County Commissioner, Precinct 4",0927,44,30,74,270,27.41%,34,34,68
"County Commissioner, Precinct 4",0934,2,0,2,63,3.17%,1,1,2
"County Commissioner, Precinct 4",0939,0,0,0,2,0.00%,0,0,0
"County Commissioner, Precinct 4",0940,0,0,0,10,0.00%,0,0,0
"County Commissioner, Precinct 4",0953,18,9,27,275,9.82%,5,22,27
"County Commissioner, Precinct 4",0954,0,0,0,1,0.00%,0,0,0
"County Commissioner, Precinct 4",0955,3,2,5,19,26.32%,4,1,5
"County Commissioner, Precinct 4",0957,97,95,192,562,34.16%,22,168,190
"County Commissioner, Precinct 4",0958,81,129,210,1081,19.43%,58,148,206
"County Commissioner, Precinct 4",0959,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",0960,196,157,353,976,36.17%,77,263,340
"County Commissioner, Precinct 4",0961,16,0,16,56,28.57%,0,15,15
"County Commissioner, Precinct 4",0966,129,83,212,1148,18.47%,82,125,207
"County Commissioner, Precinct 4",0972,6,8,14,31,45.16%,13,0,13
"County Commissioner, Precinct 4",0973,24,19,43,111,38.74%,21,19,40
"County Commissioner, Precinct 4",0974,57,36,93,299,31.10%,61,31,92
"County Commissioner, Precinct 4",0977,50,43,93,572,16.26%,42,50,92
"County Commissioner, Precinct 4",0978,77,79,156,546,28.57%,29,123,152
"County Commissioner, Precinct 4",0982,312,312,624,1567,39.82%,523,81,604
"County Commissioner, Precinct 4",0983,11,21,32,161,19.88%,21,11,32
"County Commissioner, Precinct 4",0989,5,6,12,43,27.91%,8,4,12
"County Commissioner, Precinct 4",0991,0,0,0,1,0.00%,0,0,0
"County Commissioner, Precinct 4",0997,101,163,264,1656,15.94%,58,200,258
"County Commissioner, Precinct 4",0998,5,1,6,57,10.53%,3,3,6
"County Commissioner, Precinct 4",0999,17,10,27,68,39.71%,23,3,26
"County Commissioner, Precinct 4",1004,111,139,250,654,38.23%,136,95,231
"County Commissioner, Precinct 4",1007,208,188,396,1547,25.60%,99,285,384
"County Commissioner, Precinct 4",1011,8,1,9,26,34.62%,5,3,8
"County Commissioner, Precinct 4",1012,134,201,335,1365,24.54%,107,221,328
"County Commissioner, Precinct 4",1013,0,6,6,58,10.34%,4,2,6
"County Commissioner, Precinct 4",1014,4,6,10,31,32.26%,1,9,10
"County Commissioner, Precinct 4",1015,5,4,9,25,36.00%,3,6,9
"County Commissioner, Precinct 4",1016,252,212,464,1691,27.44%,232,214,446
"County Commissioner, Precinct 4",1017,61,44,105,330,31.82%,33,69,102
"County Commissioner, Precinct 4",1018,93,64,157,494,31.78%,75,77,152
"County Commissioner, Precinct 4",1023,430,315,745,2026,36.77%,546,177,723
"County Commissioner, Precinct 4",1024,55,61,116,249,46.59%,64,43,107
"County Commissioner, Precinct 4",1025,0,1,1,14,7.14%,1,0,1
"County Commissioner, Precinct 4",1026,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",1028,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",1029,537,719,1256,2927,42.91%,1023,197,1220
"County Commissioner, Precinct 4",1030,231,151,382,785,48.66%,339,36,375
"County Commissioner, Precinct 4",1033,0,0,0,0,0.00%,0,0,0
"County Commissioner, Precinct 4",1035,2,4,6,138,4.35%,1,4,5
"County Commissioner, Precinct 4",1036,65,24,89,449,19.82%,74,14,88
"County Commissioner, Precinct 4",1042,105,67,172,521,33.01%,57,109,166
"County Commissioner, Precinct 4",1043,6,6,12,33,36.36%,4,8,12
"County Commissioner, Precinct 4",1044,16,6,22,55,40.00%,9,12,21
"County Commissioner, Precinct 4",1047,255,186,441,1568,28.13%,167,264,431
"County Commissioner, Precinct 4",1051,0,31,31,0,0.00%,20,10,30
"County Commissioner, Precinct 4",1062,17,6,23,201,11.44%,4,16,20
"County Commissioner, Precinct 4",1063,66,59,125,857,14.59%,21,100,121
"County Commissioner, Precinct 4",1064,25,11,36,119,30.25%,30,6,36
"County Commissioner, Precinct 4",Totals:,108597,88382,196979,549824,,130042,60277,190319
