Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0098,403,488,891,2651,33.61%,731,133,864
"Justice, 1st Court of Appeals District, Place 3",0099,254,184,438,2092,20.94%,209,220,429
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0100,155,173,338,1730,19.54%,181,151,332
"Justice, 1st Court of Appeals District, Place 3",0101,72,58,130,946,13.74%,46,83,129
"Justice, 1st Court of Appeals District, Place 3",0102,207,121,328,1872,17.52%,90,226,316
"Justice, 1st Court of Appeals District, Place 3",0103,700,714,1414,5371,26.33%,792,590,1382
"Justice, 1st Court of Appeals District, Place 3",0104,530,231,761,1905,39.95%,18,736,754
"Justice, 1st Court of Appeals District, Place 3",0105,195,210,406,2165,18.75%,136,241,377
"Justice, 1st Court of Appeals District, Place 3",0106,15,7,25,294,8.50%,16,9,25
"Justice, 1st Court of Appeals District, Place 3",0107,154,197,351,2032,17.27%,57,280,337
"Justice, 1st Court of Appeals District, Place 3",0108,558,272,940,3365,27.93%,559,348,907
"Justice, 1st Court of Appeals District, Place 3",0109,529,245,774,2824,27.41%,11,749,760
"Justice, 1st Court of Appeals District, Place 3",0110,554,494,1148,3042,37.74%,737,372,1109
"Justice, 1st Court of Appeals District, Place 3",0111,815,795,1611,4102,39.27%,1186,374,1560
"Justice, 1st Court of Appeals District, Place 3",0112,542,485,1027,2976,34.51%,758,238,996
"Justice, 1st Court of Appeals District, Place 3",0113,552,429,991,2647,37.44%,608,342,950
"Justice, 1st Court of Appeals District, Place 3",0114,707,547,1254,3311,37.87%,1011,216,1227
"Justice, 1st Court of Appeals District, Place 3",0115,238,150,388,1800,21.56%,51,328,379
"Justice, 1st Court of Appeals District, Place 3",0116,982,776,1758,3147,55.86%,1340,345,1685
"Justice, 1st Court of Appeals District, Place 3",0117,215,226,441,1880,23.46%,219,202,421
"Justice, 1st Court of Appeals District, Place 3",0118,304,123,427,759,56.26%,358,57,415
"Justice, 1st Court of Appeals District, Place 3",0119,1288,1024,2312,5500,42.04%,1868,374,2242
"Justice, 1st Court of Appeals District, Place 3",0120,712,422,1134,3191,35.54%,744,351,1095
"Justice, 1st Court of Appeals District, Place 3",0121,92,178,270,848,31.84%,189,70,259
"Justice, 1st Court of Appeals District, Place 3",0122,352,225,577,1890,30.53%,19,545,564
"Justice, 1st Court of Appeals District, Place 3",0123,284,288,572,1392,41.09%,147,401,548
"Justice, 1st Court of Appeals District, Place 3",0124,1734,1292,3026,7254,41.71%,2410,547,2957
"Justice, 1st Court of Appeals District, Place 3",0125,415,332,747,2405,31.06%,460,263,723
"Justice, 1st Court of Appeals District, Place 3",0126,893,467,1360,3100,43.87%,1207,125,1332
"Justice, 1st Court of Appeals District, Place 3",0127,435,154,589,1836,32.08%,411,140,551
"Justice, 1st Court of Appeals District, Place 3",0128,445,707,1152,2290,50.31%,723,351,1074
"Justice, 1st Court of Appeals District, Place 3",0129,1030,1200,2230,5746,38.81%,1412,731,2143
"Justice, 1st Court of Appeals District, Place 3",0130,727,523,1250,2333,53.58%,925,275,1200
"Justice, 1st Court of Appeals District, Place 3",0131,251,259,510,1935,26.36%,119,369,488
"Justice, 1st Court of Appeals District, Place 3",0132,593,323,916,2387,38.37%,19,876,895
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0133,513,858,1371,2662,51.50%,793,498,1291
"Justice, 1st Court of Appeals District, Place 3",0134,192,265,457,1437,31.80%,211,228,439
"Justice, 1st Court of Appeals District, Place 3",0135,729,579,1308,2671,48.97%,925,318,1243
"Justice, 1st Court of Appeals District, Place 3",0136,503,371,874,2013,43.42%,32,821,853
"Justice, 1st Court of Appeals District, Place 3",0137,166,141,307,716,42.88%,147,142,289
"Justice, 1st Court of Appeals District, Place 3",0138,296,199,495,1699,29.13%,15,469,484
"Justice, 1st Court of Appeals District, Place 3",0139,699,551,1250,3037,41.16%,557,626,1183
"Justice, 1st Court of Appeals District, Place 3",0140,700,480,1180,3214,36.71%,135,1014,1149
"Justice, 1st Court of Appeals District, Place 3",0141,80,80,160,855,18.71%,97,55,152
"Justice, 1st Court of Appeals District, Place 3",0142,87,103,190,902,21.06%,64,119,183
"Justice, 1st Court of Appeals District, Place 3",0143,1962,580,2542,6386,39.81%,1842,652,2494
"Justice, 1st Court of Appeals District, Place 3",0144,216,158,374,1093,34.22%,10,356,366
"Justice, 1st Court of Appeals District, Place 3",0145,264,213,477,1538,31.01%,9,455,464
"Justice, 1st Court of Appeals District, Place 3",0146,426,519,945,2008,47.06%,417,488,905
"Justice, 1st Court of Appeals District, Place 3",0147,689,329,1018,3008,33.84%,127,870,997
"Justice, 1st Court of Appeals District, Place 3",0148,500,780,1280,2540,50.39%,501,709,1210
"Justice, 1st Court of Appeals District, Place 3",0149,1621,737,2358,7993,29.50%,1240,1067,2307
"Justice, 1st Court of Appeals District, Place 3",0150,236,169,405,1256,32.25%,12,390,402
"Justice, 1st Court of Appeals District, Place 3",0151,137,79,216,826,26.15%,10,198,208
"Justice, 1st Court of Appeals District, Place 3",0152,213,299,512,2788,18.36%,132,358,490
"Justice, 1st Court of Appeals District, Place 3",0153,125,206,331,1808,18.31%,111,207,318
"Justice, 1st Court of Appeals District, Place 3",0154,249,183,432,2190,19.73%,111,301,412
"Justice, 1st Court of Appeals District, Place 3",0155,1022,619,1641,4109,39.94%,1152,438,1590
"Justice, 1st Court of Appeals District, Place 3",0156,799,326,1125,3071,36.63%,44,1060,1104
"Justice, 1st Court of Appeals District, Place 3",0157,448,214,662,2236,29.61%,26,624,650
"Justice, 1st Court of Appeals District, Place 3",0158,600,315,915,3035,30.15%,21,881,902
"Justice, 1st Court of Appeals District, Place 3",0159,116,127,243,998,24.35%,39,197,236
"Justice, 1st Court of Appeals District, Place 3",0160,122,73,195,696,28.02%,6,187,193
"Justice, 1st Court of Appeals District, Place 3",0161,163,141,304,991,30.68%,4,295,299
"Justice, 1st Court of Appeals District, Place 3",0162,101,83,184,1265,14.55%,70,101,171
"Justice, 1st Court of Appeals District, Place 3",0163,230,320,550,3037,18.11%,231,293,524
"Justice, 1st Court of Appeals District, Place 3",0164,182,205,387,1420,27.25%,12,370,382
"Justice, 1st Court of Appeals District, Place 3",0165,535,483,1018,2334,43.62%,673,302,975
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0166,158,233,391,1028,38.04%,114,262,376
"Justice, 1st Court of Appeals District, Place 3",0167,3,0,3,24,12.50%,0,3,3
"Justice, 1st Court of Appeals District, Place 3",0168,92,58,150,503,29.82%,2,145,147
"Justice, 1st Court of Appeals District, Place 3",0169,518,251,767,2513,30.52%,12,735,747
"Justice, 1st Court of Appeals District, Place 3",0170,271,141,412,1869,22.04%,215,174,389
"Justice, 1st Court of Appeals District, Place 3",0171,202,198,400,1604,24.94%,11,381,392
"Justice, 1st Court of Appeals District, Place 3",0172,88,80,166,621,26.73%,61,94,155
"Justice, 1st Court of Appeals District, Place 3",0173,817,739,1556,3599,43.23%,1255,265,1520
"Justice, 1st Court of Appeals District, Place 3",0174,829,733,1562,3296,47.39%,1087,400,1487
"Justice, 1st Court of Appeals District, Place 3",0175,557,749,1306,2618,49.89%,666,556,1222
"Justice, 1st Court of Appeals District, Place 3",0176,344,451,795,1602,49.63%,414,322,736
"Justice, 1st Court of Appeals District, Place 3",0177,278,326,604,1496,40.37%,346,230,576
"Justice, 1st Court of Appeals District, Place 3",0178,504,365,869,1765,49.24%,599,218,817
"Justice, 1st Court of Appeals District, Place 3",0179,256,188,444,1575,28.19%,235,188,423
"Justice, 1st Court of Appeals District, Place 3",0180,470,343,813,2834,28.69%,18,761,779
"Justice, 1st Court of Appeals District, Place 3",0181,175,262,437,2061,21.20%,142,278,420
"Justice, 1st Court of Appeals District, Place 3",0182,590,974,1564,3405,45.93%,962,502,1464
"Justice, 1st Court of Appeals District, Place 3",0183,519,794,1313,2491,52.71%,865,376,1241
"Justice, 1st Court of Appeals District, Place 3",0184,106,135,241,994,24.25%,85,138,223
"Justice, 1st Court of Appeals District, Place 3",0185,283,292,575,1933,29.75%,204,345,549
"Justice, 1st Court of Appeals District, Place 3",0186,97,106,203,798,25.44%,34,166,200
"Justice, 1st Court of Appeals District, Place 3",0187,21,25,46,311,14.79%,14,30,44
"Justice, 1st Court of Appeals District, Place 3",0188,153,146,299,1637,18.27%,141,148,289
"Justice, 1st Court of Appeals District, Place 3",0189,239,360,599,1465,40.89%,316,247,563
"Justice, 1st Court of Appeals District, Place 3",0190,120,177,297,1723,17.24%,123,162,285
"Justice, 1st Court of Appeals District, Place 3",0191,79,126,205,1366,15.01%,89,110,199
"Justice, 1st Court of Appeals District, Place 3",0192,380,225,605,1959,30.88%,22,568,590
"Justice, 1st Court of Appeals District, Place 3",0193,173,187,360,1074,33.52%,8,342,350
"Justice, 1st Court of Appeals District, Place 3",0194,351,431,782,1912,40.90%,254,499,753
"Justice, 1st Court of Appeals District, Place 3",0195,269,278,547,1694,32.29%,18,516,534
"Justice, 1st Court of Appeals District, Place 3",0196,52,32,84,316,26.58%,6,76,82
"Justice, 1st Court of Appeals District, Place 3",0197,543,309,852,2914,29.24%,12,829,841
"Justice, 1st Court of Appeals District, Place 3",0198,53,74,127,642,19.78%,3,123,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0199,812,661,1473,3216,45.80%,1143,273,1416
"Justice, 1st Court of Appeals District, Place 3",0200,982,536,1498,3382,44.29%,685,733,1418
"Justice, 1st Court of Appeals District, Place 3",0201,98,87,185,724,25.55%,3,177,180
"Justice, 1st Court of Appeals District, Place 3",0202,217,189,406,1464,27.73%,12,387,399
"Justice, 1st Court of Appeals District, Place 3",0203,107,68,175,960,18.23%,36,130,166
"Justice, 1st Court of Appeals District, Place 3",0204,818,784,1600,3487,45.88%,901,610,1511
"Justice, 1st Court of Appeals District, Place 3",0205,485,171,636,1664,38.22%,8,621,629
"Justice, 1st Court of Appeals District, Place 3",0206,383,462,825,2779,29.69%,241,546,787
"Justice, 1st Court of Appeals District, Place 3",0207,285,261,528,1188,44.28%,161,337,498
"Justice, 1st Court of Appeals District, Place 3",0208,322,262,584,2195,26.61%,167,390,557
"Justice, 1st Court of Appeals District, Place 3",0209,0,2,2,0,0.00%,2,0,2
"Justice, 1st Court of Appeals District, Place 3",0210,502,467,969,2533,38.26%,100,845,945
"Justice, 1st Court of Appeals District, Place 3",0211,307,386,693,2914,23.78%,268,394,662
"Justice, 1st Court of Appeals District, Place 3",0212,98,155,251,1300,19.31%,51,189,240
"Justice, 1st Court of Appeals District, Place 3",0213,828,913,1739,3350,51.91%,1382,265,1847
"Justice, 1st Court of Appeals District, Place 3",0214,404,491,895,1854,48.27%,569,289,858
"Justice, 1st Court of Appeals District, Place 3",0215,423,711,1134,2258,50.22%,682,401,1083
"Justice, 1st Court of Appeals District, Place 3",0216,382,223,585,1945,30.08%,37,535,572
"Justice, 1st Court of Appeals District, Place 3",0217,844,631,1475,2678,55.08%,979,417,1398
"Justice, 1st Court of Appeals District, Place 3",0218,391,402,793,2292,34.60%,244,492,736
"Justice, 1st Court of Appeals District, Place 3",0219,498,436,932,2767,33.68%,44,858,902
"Justice, 1st Court of Appeals District, Place 3",0220,325,187,512,2310,22.16%,364,131,495
"Justice, 1st Court of Appeals District, Place 3",0221,332,369,701,2529,27.72%,295,370,665
"Justice, 1st Court of Appeals District, Place 3",0222,823,674,1297,2501,51.86%,602,615,1217
"Justice, 1st Court of Appeals District, Place 3",0223,583,377,940,3582,26.24%,255,638,893
"Justice, 1st Court of Appeals District, Place 3",0224,531,456,987,2238,44.10%,459,475,934
"Justice, 1st Court of Appeals District, Place 3",0225,378,405,781,3305,23.63%,396,365,761
"Justice, 1st Court of Appeals District, Place 3",0226,227,307,534,2436,21.92%,133,373,506
"Justice, 1st Court of Appeals District, Place 3",0227,558,423,981,1785,54.96%,757,165,922
"Justice, 1st Court of Appeals District, Place 3",0228,382,195,557,1050,53.05%,25,512,537
"Justice, 1st Court of Appeals District, Place 3",0229,31,96,127,815,15.58%,58,62,120
"Justice, 1st Court of Appeals District, Place 3",0230,185,116,301,1089,27.64%,7,289,296
"Justice, 1st Court of Appeals District, Place 3",0231,233,264,497,2232,22.27%,125,344,469
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0232,361,474,835,1760,47.44%,471,325,796
"Justice, 1st Court of Appeals District, Place 3",0233,890,801,1691,4445,38.04%,814,776,1590
"Justice, 1st Court of Appeals District, Place 3",0234,1192,913,2105,3993,52.72%,1624,379,2003
"Justice, 1st Court of Appeals District, Place 3",0235,240,158,398,1356,29.35%,12,379,391
"Justice, 1st Court of Appeals District, Place 3",0236,354,235,589,2079,28.33%,14,562,576
"Justice, 1st Court of Appeals District, Place 3",0237,416,253,669,2161,30.96%,13,642,655
"Justice, 1st Court of Appeals District, Place 3",0238,340,245,585,1925,30.39%,16,553,569
"Justice, 1st Court of Appeals District, Place 3",0239,383,236,619,1964,31.52%,21,585,606
"Justice, 1st Court of Appeals District, Place 3",0240,585,243,828,2649,31.26%,22,789,811
"Justice, 1st Court of Appeals District, Place 3",0241,222,229,451,2372,19.01%,187,249,436
"Justice, 1st Court of Appeals District, Place 3",0242,173,162,335,1596,20.99%,193,126,319
"Justice, 1st Court of Appeals District, Place 3",0243,138,43,181,457,39.61%,0,181,181
"Justice, 1st Court of Appeals District, Place 3",0244,480,425,905,3117,29.03%,501,371,872
"Justice, 1st Court of Appeals District, Place 3",0245,945,799,1745,5828,29.94%,1223,486,1709
"Justice, 1st Court of Appeals District, Place 3",0246,584,513,1197,3315,36.11%,854,308,1162
"Justice, 1st Court of Appeals District, Place 3",0247,173,254,427,1582,26.99%,13,408,421
"Justice, 1st Court of Appeals District, Place 3",0248,161,167,328,2100,15.62%,95,221,316
"Justice, 1st Court of Appeals District, Place 3",0249,461,348,809,2719,29.75%,558,230,788
"Justice, 1st Court of Appeals District, Place 3",0250,109,164,273,964,28.32%,8,260,268
"Justice, 1st Court of Appeals District, Place 3",0251,278,436,714,2089,34.18%,27,676,703
"Justice, 1st Court of Appeals District, Place 3",0252,504,312,816,2377,34.33%,14,789,803
"Justice, 1st Court of Appeals District, Place 3",0253,379,222,601,2177,27.61%,7,582,589
"Justice, 1st Court of Appeals District, Place 3",0254,93,112,205,1550,13.23%,62,133,195
"Justice, 1st Court of Appeals District, Place 3",0255,525,648,1173,2482,47.26%,541,568,1109
"Justice, 1st Court of Appeals District, Place 3",0256,575,449,1024,3254,31.47%,483,483,966
"Justice, 1st Court of Appeals District, Place 3",0257,204,245,449,2523,17.80%,141,290,431
"Justice, 1st Court of Appeals District, Place 3",0258,839,800,1539,3322,49.34%,1213,339,1552
"Justice, 1st Court of Appeals District, Place 3",0259,555,382,1038,2361,43.96%,25,997,1022
"Justice, 1st Court of Appeals District, Place 3",0260,162,145,307,1260,24.37%,181,109,290
"Justice, 1st Court of Appeals District, Place 3",0261,124,120,244,1417,17.22%,102,133,235
"Justice, 1st Court of Appeals District, Place 3",0262,758,600,1358,4397,30.88%,842,452,1294
"Justice, 1st Court of Appeals District, Place 3",0263,858,712,1570,3693,42.51%,1210,314,1524
"Justice, 1st Court of Appeals District, Place 3",0264,480,457,937,2963,31.62%,575,323,898
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Russell Lloyd,DEM Jim Sharp,Totals
"Justice, 1st Court of Appeals District, Place 3",0265,988,759,1747,3584,48.74%,1306,337,1643
"Justice, 1st Court of Appeals District, Place 3",0266,259,257,516,2104,24.52%,252,234,486
"Justice, 1st Court of Appeals District, Place 3",0267,146,166,312,1327,23.51%,161,136,297
"Justice, 1st Court of Appeals District, Place 3",0268,435,717,1152,2493,46.21%,670,385,1055
"Justice, 1st Court of Appeals District, Place 3",0269,702,453,1155,2030,56.90%,920,185,1105
"Justice, 1st Court of Appeals District, Place 3",0270,817,672,1489,3605,41.30%,816,611,1427
"Justice, 1st Court of Appeals District, Place 3",0271,656,382,1038,2518,41.22%,25,1002,1027
"Justice, 1st Court of Appeals District, Place 3",0272,264,292,556,2162,25.72%,219,318,537
"Justice, 1st Court of Appeals District, Place 3",0273,548,689,1237,2470,50.08%,1012,172,1184
"Justice, 1st Court of Appeals District, Place 3",0274,588,346,934,2153,43.38%,650,239,889
"Justice, 1st Court of Appeals District, Place 3",0275,207,236,443,1850,23.95%,107,323,430
"Justice, 1st Court of Appeals District, Place 3",0276,572,231,803,2536,31.66%,5,785,790
"Justice, 1st Court of Appeals District, Place 3",0277,170,186,356,1492,23.86%,172,174,346
"Justice, 1st Court of Appeals District, Place 3",0278,421,320,741,2454,30.20%,408,310,718
"Justice, 1st Court of Appeals District, Place 3",0279,250,223,473,1941,24.37%,279,176,455
"Justice, 1st Court of Appeals District, Place 3",0280,130,188,318,1524,20.87%,136,166,302
"Justice, 1st Court of Appeals District, Place 3",0281,655,742,1397,2633,53.06%,678,606,1284
"Justice, 1st Court of Appeals District, Place 3",0282,314,455,769,2042,37.66%,493,241,734
"Justice, 1st Court of Appeals District, Place 3",0283,0,0,0,0,0.00%,0,0,0
"Justice, 1st Court of Appeals District, Place 3",0284,574,336,910,3172,28.69%,425,448,873
"Justice, 1st Court of Appeals District, Place 3",0285,448,378,826,2540,32.52%,74,733,807
"Justice, 1st Court of Appeals District, Place 3",0286,1255,821,2076,6170,33.65%,191,1834,2025
"Justice, 1st Court of Appeals District, Place 3",0287,370,477,847,1621,52.25%,399,401,800
"Justice, 1st Court of Appeals District, Place 3",0288,532,313,845,2210,38.24%,16,814,830
"Justice, 1st Court of Appeals District, Place 3",0289,186,212,398,1564,25.45%,199,181,380
