Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0118,304,123,427,759,56.26%,361,52,413
"District Judge, 269th Judicial District",0119,1288,1024,2312,5500,42.04%,1875,344,2219
"District Judge, 269th Judicial District",0120,712,422,1134,3191,35.54%,736,346,1082
"District Judge, 269th Judicial District",0121,92,178,270,848,31.84%,189,69,258
"District Judge, 269th Judicial District",0122,352,225,577,1890,30.53%,22,540,562
"District Judge, 269th Judicial District",0123,284,288,572,1392,41.09%,148,388,536
"District Judge, 269th Judicial District",0124,1734,1292,3026,7254,41.71%,2399,544,2943
"District Judge, 269th Judicial District",0125,415,332,747,2405,31.06%,460,261,721
"District Judge, 269th Judicial District",0126,893,467,1360,3100,43.87%,1202,121,1323
"District Judge, 269th Judicial District",0127,435,154,589,1836,32.08%,419,135,554
"District Judge, 269th Judicial District",0128,445,707,1152,2290,50.31%,727,320,1047
"District Judge, 269th Judicial District",0129,1030,1200,2230,5746,38.81%,1416,699,2115
"District Judge, 269th Judicial District",0130,727,523,1250,2333,53.58%,926,252,1178
"District Judge, 269th Judicial District",0131,251,259,510,1935,26.36%,120,365,485
"District Judge, 269th Judicial District",0132,593,323,916,2387,38.37%,16,882,898
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0133,513,858,1371,2662,51.50%,796,461,1257
"District Judge, 269th Judicial District",0134,192,265,457,1437,31.80%,203,232,435
"District Judge, 269th Judicial District",0135,727,579,1306,2671,48.90%,926,302,1228
"District Judge, 269th Judicial District",0136,503,371,874,2013,43.42%,36,812,848
"District Judge, 269th Judicial District",0137,166,141,307,716,42.88%,144,133,277
"District Judge, 269th Judicial District",0138,296,199,495,1699,29.13%,15,471,486
"District Judge, 269th Judicial District",0139,699,551,1250,3037,41.16%,559,614,1173
"District Judge, 269th Judicial District",0140,699,480,1179,3214,36.68%,139,995,1134
"District Judge, 269th Judicial District",0141,80,80,160,855,18.71%,98,53,151
"District Judge, 269th Judicial District",0142,87,103,190,902,21.06%,62,121,183
"District Judge, 269th Judicial District",0143,1962,580,2542,6386,39.81%,1839,645,2484
"District Judge, 269th Judicial District",0144,216,158,374,1093,34.22%,10,355,365
"District Judge, 269th Judicial District",0145,264,213,477,1538,31.01%,9,455,464
"District Judge, 269th Judicial District",0146,426,519,945,2008,47.06%,423,466,889
"District Judge, 269th Judicial District",0147,689,329,1018,3008,33.84%,132,861,993
"District Judge, 269th Judicial District",0148,500,780,1280,2540,50.39%,515,652,1167
"District Judge, 269th Judicial District",0149,1621,737,2358,7993,29.50%,1228,1067,2295
"District Judge, 269th Judicial District",0150,236,169,405,1256,32.25%,10,391,401
"District Judge, 269th Judicial District",0151,137,79,216,826,26.15%,9,198,207
"District Judge, 269th Judicial District",0152,213,299,512,2788,18.36%,137,351,488
"District Judge, 269th Judicial District",0153,125,206,331,1808,18.31%,105,211,316
"District Judge, 269th Judicial District",0154,249,183,432,2190,19.73%,117,292,409
"District Judge, 269th Judicial District",0155,1022,619,1641,4109,39.94%,1154,431,1585
"District Judge, 269th Judicial District",0156,799,326,1125,3071,36.63%,36,1059,1095
"District Judge, 269th Judicial District",0157,448,214,662,2236,29.61%,25,619,644
"District Judge, 269th Judicial District",0158,600,315,915,3035,30.15%,21,875,896
"District Judge, 269th Judicial District",0159,116,127,243,998,24.35%,45,191,236
"District Judge, 269th Judicial District",0160,122,73,195,696,28.02%,5,188,193
"District Judge, 269th Judicial District",0161,163,141,304,991,30.68%,4,293,297
"District Judge, 269th Judicial District",0162,101,83,184,1265,14.55%,69,102,171
"District Judge, 269th Judicial District",0163,230,320,550,3037,18.11%,234,288,522
"District Judge, 269th Judicial District",0164,182,205,387,1420,27.25%,10,368,378
"District Judge, 269th Judicial District",0165,535,483,1018,2334,43.62%,680,285,965
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0166,158,233,391,1028,38.04%,116,252,368
"District Judge, 269th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 269th Judicial District",0168,92,58,150,503,29.82%,1,145,146
"District Judge, 269th Judicial District",0169,518,251,767,2513,30.52%,14,734,748
"District Judge, 269th Judicial District",0170,271,141,412,1869,22.04%,215,177,392
"District Judge, 269th Judicial District",0171,202,198,400,1604,24.94%,12,380,392
"District Judge, 269th Judicial District",0172,88,80,166,621,26.73%,66,86,152
"District Judge, 269th Judicial District",0173,817,739,1556,3599,43.23%,1254,248,1502
"District Judge, 269th Judicial District",0174,829,733,1562,3296,47.39%,1084,386,1470
"District Judge, 269th Judicial District",0175,557,749,1306,2618,49.89%,682,522,1204
"District Judge, 269th Judicial District",0176,344,451,795,1602,49.63%,429,294,723
"District Judge, 269th Judicial District",0177,278,326,604,1496,40.37%,346,214,560
"District Judge, 269th Judicial District",0178,504,365,869,1765,49.24%,604,198,802
"District Judge, 269th Judicial District",0179,256,188,444,1575,28.19%,238,180,418
"District Judge, 269th Judicial District",0180,470,343,813,2834,28.69%,20,756,776
"District Judge, 269th Judicial District",0181,175,262,437,2061,21.20%,137,278,415
"District Judge, 269th Judicial District",0182,590,974,1564,3405,45.93%,956,470,1426
"District Judge, 269th Judicial District",0183,519,794,1313,2491,52.71%,891,329,1220
"District Judge, 269th Judicial District",0184,106,135,241,994,24.25%,81,140,221
"District Judge, 269th Judicial District",0185,283,292,575,1933,29.75%,204,342,546
"District Judge, 269th Judicial District",0186,97,106,203,798,25.44%,34,162,196
"District Judge, 269th Judicial District",0187,21,25,46,311,14.79%,15,30,45
"District Judge, 269th Judicial District",0188,153,146,299,1637,18.27%,138,147,285
"District Judge, 269th Judicial District",0189,239,360,599,1465,40.89%,319,236,555
"District Judge, 269th Judicial District",0190,120,177,297,1723,17.24%,127,158,285
"District Judge, 269th Judicial District",0191,79,126,205,1366,15.01%,87,110,197
"District Judge, 269th Judicial District",0192,380,225,605,1959,30.88%,26,562,588
"District Judge, 269th Judicial District",0193,173,187,360,1074,33.52%,8,338,346
"District Judge, 269th Judicial District",0194,350,431,781,1912,40.85%,245,496,741
"District Judge, 269th Judicial District",0195,269,278,547,1694,32.29%,21,514,535
"District Judge, 269th Judicial District",0196,52,32,84,316,26.58%,5,77,82
"District Judge, 269th Judicial District",0197,543,309,852,2914,29.24%,11,825,836
"District Judge, 269th Judicial District",0198,53,74,127,642,19.78%,3,123,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0199,812,661,1473,3216,45.80%,1149,257,1406
"District Judge, 269th Judicial District",0200,962,536,1498,3382,44.29%,690,697,1387
"District Judge, 269th Judicial District",0201,98,87,185,724,25.55%,2,179,181
"District Judge, 269th Judicial District",0202,217,189,406,1464,27.73%,11,387,398
"District Judge, 269th Judicial District",0203,107,68,175,960,18.23%,41,125,166
"District Judge, 269th Judicial District",0204,816,784,1600,3487,45.88%,886,586,1472
"District Judge, 269th Judicial District",0205,464,171,635,1664,38.16%,8,615,623
"District Judge, 269th Judicial District",0206,362,462,824,2779,29.65%,247,528,775
"District Judge, 269th Judicial District",0207,265,261,526,1188,44.28%,165,329,494
"District Judge, 269th Judicial District",0208,322,262,584,2195,26.61%,175,383,558
"District Judge, 269th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 269th Judicial District",0210,502,467,969,2533,38.26%,107,831,938
"District Judge, 269th Judicial District",0211,307,386,693,2914,23.78%,263,392,655
"District Judge, 269th Judicial District",0212,96,155,251,1300,19.31%,50,191,241
"District Judge, 269th Judicial District",0213,826,913,1739,3350,51.91%,1385,238,1623
"District Judge, 269th Judicial District",0214,404,491,895,1854,48.27%,575,260,835
"District Judge, 269th Judicial District",0215,421,711,1132,2258,50.13%,690,360,1050
"District Judge, 269th Judicial District",0216,362,223,585,1945,30.08%,35,537,572
"District Judge, 269th Judicial District",0217,844,631,1475,2678,55.08%,976,385,1361
"District Judge, 269th Judicial District",0218,391,402,793,2292,34.60%,241,489,730
"District Judge, 269th Judicial District",0219,496,436,932,2767,33.68%,46,845,891
"District Judge, 269th Judicial District",0220,325,187,512,2310,22.16%,369,127,496
"District Judge, 269th Judicial District",0221,332,369,701,2529,27.72%,296,363,659
"District Judge, 269th Judicial District",0222,623,674,1297,2501,51.86%,637,553,1190
"District Judge, 269th Judicial District",0223,563,377,940,3582,26.24%,263,616,879
"District Judge, 269th Judicial District",0224,530,456,986,2238,44.06%,474,437,911
"District Judge, 269th Judicial District",0225,376,405,781,3305,23.63%,398,354,752
"District Judge, 269th Judicial District",0226,227,307,534,2436,21.92%,130,376,506
"District Judge, 269th Judicial District",0227,558,423,981,1785,54.96%,748,149,897
"District Judge, 269th Judicial District",0228,362,195,557,1050,53.05%,28,509,537
"District Judge, 269th Judicial District",0229,31,96,127,815,15.58%,60,59,119
"District Judge, 269th Judicial District",0230,185,116,301,1089,27.64%,6,285,291
"District Judge, 269th Judicial District",0231,233,264,497,2232,22.27%,126,341,467
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0232,361,474,835,1760,47.44%,476,303,779
"District Judge, 269th Judicial District",0233,890,801,1691,4445,38.04%,830,720,1550
"District Judge, 269th Judicial District",0234,1192,913,2105,3993,52.72%,1608,343,1951
"District Judge, 269th Judicial District",0235,240,158,398,1356,29.35%,13,374,387
"District Judge, 269th Judicial District",0236,354,235,589,2079,28.33%,13,563,576
"District Judge, 269th Judicial District",0237,416,253,669,2161,30.96%,11,642,653
"District Judge, 269th Judicial District",0238,339,245,584,1925,30.34%,15,550,565
"District Judge, 269th Judicial District",0239,383,236,619,1964,31.52%,20,591,611
"District Judge, 269th Judicial District",0240,585,243,828,2649,31.26%,16,795,811
"District Judge, 269th Judicial District",0241,222,229,451,2372,19.01%,183,248,431
"District Judge, 269th Judicial District",0242,173,162,335,1596,20.99%,195,124,319
"District Judge, 269th Judicial District",0243,138,43,181,457,39.61%,1,179,180
"District Judge, 269th Judicial District",0244,480,425,905,311,7,29.03%,500,360,860
"District Judge, 269th Judicial District",0245,946,799,1745,5828,29.94%,1223,480,1703
"District Judge, 269th Judicial District",0246,584,513,1197,3315,36.11%,861,298,1159
"District Judge, 269th Judicial District",0247,173,254,427,1582,26.99%,16,406,422
"District Judge, 269th Judicial District",0248,161,167,328,2100,15.62%,89,225,314
"District Judge, 269th Judicial District",0249,461,348,809,2719,29.75%,562,219,781
"District Judge, 269th Judicial District",0250,109,164,273,964,28.32%,7,260,267
"District Judge, 269th Judicial District",0251,278,436,714,2089,34.18%,24,678,702
"District Judge, 269th Judicial District",0252,504,312,816,2377,34.33%,13,786,799
"District Judge, 269th Judicial District",0253,379,222,601,2177,27.61%,10,578,588
"District Judge, 269th Judicial District",0254,93,112,205,1550,13.23%,64,131,195
"District Judge, 269th Judicial District",0255,525,648,1173,2482,47.26%,555,541,1096
"District Judge, 269th Judicial District",0256,575,449,1024,3254,31.47%,486,483,969
"District Judge, 269th Judicial District",0257,204,245,449,2523,17.80%,135,287,422
"District Judge, 269th Judicial District",0258,839,800,1539,3322,49.34%,1213,316,1529
"District Judge, 269th Judicial District",0259,555,382,1038,2361,43.96%,22,987,1009
"District Judge, 269th Judicial District",0260,162,145,307,1260,24.37%,180,106,286
"District Judge, 269th Judicial District",0261,124,120,244,1417,17.22%,103,132,235
"District Judge, 269th Judicial District",0262,758,600,1358,4397,30.88%,850,428,1278
"District Judge, 269th Judicial District",0263,858,712,1570,3693,42.51%,1210,300,1510
"District Judge, 269th Judicial District",0264,480,457,937,2963,31.62%,575,302,877
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0265,988,759,1747,3584,48.74%,1317,313,1630
"District Judge, 269th Judicial District",0266,259,257,516,2104,24.52%,258,226,484
"District Judge, 269th Judicial District",0267,146,166,312,1327,23.51%,164,130,294
"District Judge, 269th Judicial District",0268,435,717,1152,2493,46.21%,666,364,1030
"District Judge, 269th Judicial District",0269,702,453,1155,2030,56.90%,929,158,1087
"District Judge, 269th Judicial District",0270,817,672,1489,3605,41.30%,821,584,1405
"District Judge, 269th Judicial District",0271,656,382,1038,2518,41.22%,25,998,1023
"District Judge, 269th Judicial District",0272,264,292,555,2162,25.72%,219,305,524
"District Judge, 269th Judicial District",0273,548,689,1237,2470,50.08%,1013,163,1176
"District Judge, 269th Judicial District",0274,588,346,934,2153,43.38%,654,220,874
"District Judge, 269th Judicial District",0275,207,236,443,1850,23.95%,106,321,427
"District Judge, 269th Judicial District",0276,572,231,803,2536,31.66%,8,781,789
"District Judge, 269th Judicial District",0277,170,186,356,1492,23.86%,168,173,341
"District Judge, 269th Judicial District",0278,421,320,741,2454,30.20%,420,291,711
"District Judge, 269th Judicial District",0279,250,223,473,1941,24.37%,278,173,451
"District Judge, 269th Judicial District",0280,130,188,318,1524,20.87%,136,162,298
"District Judge, 269th Judicial District",0281,655,742,1397,2633,53.06%,696,561,1257
"District Judge, 269th Judicial District",0282,314,455,769,2042,37.66%,493,231,724
"District Judge, 269th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",0284,574,336,910,3172,28.69%,421,444,865
"District Judge, 269th Judicial District",0285,448,378,826,2540,32.52%,75,724,799
"District Judge, 269th Judicial District",0286,1255,821,2076,6170,33.65%,189,1822,2011
"District Judge, 269th Judicial District",0287,370,477,847,1621,52.25%,406,381,787
"District Judge, 269th Judicial District",0288,532,313,845,2210,38.24%,16,816,832
"District Judge, 269th Judicial District",0289,186,212,398,1564,25.45%,200,175,375
"District Judge, 269th Judicial District",0290,245,298,543,1642,33.07%,406,117,523
"District Judge, 269th Judicial District",0291,325,235,560,1225,45.71%,292,236,528
"District Judge, 269th Judicial District",0292,207,147,354,1356,26.11%,41,301,342
"District Judge, 269th Judicial District",0293,356,447,803,1759,45.65%,366,380,746
"District Judge, 269th Judicial District",0294,488,221,709,2097,33.81%,10,684,694
"District Judge, 269th Judicial District",0295,148,103,251,885,28.36%,7,239,246
"District Judge, 269th Judicial District",0296,327,340,667,1713,38.94%,388,230,618
"District Judge, 269th Judicial District",0297,280,249,529,2012,26.29%,236,259,495
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0298,415,358,773,2121,36.45%,462,264,726
"District Judge, 269th Judicial District",0299,178,117,295,1353,21.80%,117,155,272
"District Judge, 269th Judicial District",0300,1389,1016,2405,5406,44.49%,1914,392,2306
"District Judge, 269th Judicial District",0301,210,255,465,2352,19.77%,183,257,440
"District Judge, 269th Judicial District",0302,353,343,696,2720,25.59%,404,267,671
"District Judge, 269th Judicial District",0303,922,784,1706,3245,52.57%,1384,241,1625
"District Judge, 269th Judicial District",0304,606,505,1111,2298,48.35%,628,397,1025
"District Judge, 269th Judicial District",0305,524,432,956,4191,22.81%,407,520,927
"District Judge, 269th Judicial District",0306,649,342,991,1879,52.74%,727,206,933
"District Judge, 269th Judicial District",0307,733,670,1403,3099,45.27%,959,354,1313
"District Judge, 269th Judicial District",0308,199,130,329,1296,25.39%,116,197,313
"District Judge, 269th Judicial District",0309,708,593,1301,2524,51.55%,1043,180,1223
"District Judge, 269th Judicial District",0310,386,279,665,1435,46.34%,452,166,618
"District Judge, 269th Judicial District",0311,486,421,907,2986,30.38%,491,352,843
"District Judge, 269th Judicial District",0312,742,457,1199,3636,32.98%,785,364,1149
"District Judge, 269th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 269th Judicial District",0314,1121,913,2034,5647,36.02%,1282,682,1964
"District Judge, 269th Judicial District",0315,478,388,866,1608,53.86%,508,298,806
"District Judge, 269th Judicial District",0316,412,341,753,1537,48.99%,426,270,696
"District Judge, 269th Judicial District",0317,248,209,457,1588,28.78%,149,285,434
"District Judge, 269th Judicial District",0318,834,568,1402,3660,38.31%,63,1295,1358
"District Judge, 269th Judicial District",0319,512,230,742,2158,34.38%,45,675,720
"District Judge, 269th Judicial District",0320,234,168,402,1537,26.15%,203,182,385
"District Judge, 269th Judicial District",0321,262,191,453,2346,19.31%,165,259,424
"District Judge, 269th Judicial District",0322,181,129,310,1226,25.29%,101,197,298
"District Judge, 269th Judicial District",0323,278,211,489,1722,28.40%,237,221,458
"District Judge, 269th Judicial District",0324,532,646,1178,2336,50.43%,731,351,1082
"District Judge, 269th Judicial District",0325,289,193,482,2112,22.82%,108,355,463
"District Judge, 269th Judicial District",0326,87,74,161,698,23.07%,77,74,151
"District Judge, 269th Judicial District",0327,380,129,509,1729,29.44%,7,489,496
"District Judge, 269th Judicial District",0328,151,140,291,1434,20.29%,128,149,277
"District Judge, 269th Judicial District",0329,189,184,373,1397,26.70%,144,208,352
"District Judge, 269th Judicial District",0330,334,253,587,1936,30.32%,328,226,554
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Hinde,DEM George H. Arnold,Totals
"District Judge, 269th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 269th Judicial District",0332,18,7,25,138,18.12%,14,8,22
"District Judge, 269th Judicial District",0333,524,714,1238,3021,40.98%,873,301,1174
"District Judge, 269th Judicial District",0334,83,42,125,742,16.85%,21,100,121
"District Judge, 269th Judicial District",0335,121,98,219,1300,16.85%,83,119,202
"District Judge, 269th Judicial District",0336,866,624,1490,4051,36.78%,133,1323,1456
"District Judge, 269th Judicial District",0337,124,103,227,1029,22.06%,43,173,216
"District Judge, 269th Judicial District",0338,730,391,1121,4934,22.72%,380,659,1039
