Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0042,228,109,337,1071,31.47%,5,320,1,3,329
Commissioner of Agriculture,0043,293,210,503,1695,29.68%,259,199,12,11,481
Commissioner of Agriculture,0044,204,222,426,2001,21.29%,92,287,15,13,407
Commissioner of Agriculture,0045,894,750,1644,6698,24.54%,310,1259,12,21,1602
Commissioner of Agriculture,0046,290,247,537,2511,21.39%,92,398,10,19,519
Commissioner of Agriculture,0047,213,218,431,1627,26.49%,15,400,6,2,423
Commissioner of Agriculture,0048,158,142,300,940,31.91%,27,264,3,5,299
Commissioner of Agriculture,0049,584,482,1066,3343,31.89%,767,245,20,9,1041
Commissioner of Agriculture,0050,785,771,1556,5211,29.86%,818,635,36,31,1520
Commissioner of Agriculture,0051,353,243,596,1689,35.29%,428,137,14,8,587
Commissioner of Agriculture,0052,422,447,869,2457,35.37%,393,396,29,15,833
Commissioner of Agriculture,0053,564,726,1290,2971,43.42%,505,646,45,38,1234
Commissioner of Agriculture,0054,270,364,634,1487,42.64%,313,256,23,17,609
Commissioner of Agriculture,0055,191,251,442,1506,29.35%,193,201,19,10,423
Commissioner of Agriculture,0056,282,278,560,1326,42.23%,367,148,19,7,541
Commissioner of Agriculture,0057,710,831,1541,3153,48.87%,594,785,38,56,1473
Commissioner of Agriculture,0058,470,556,1026,2690,38.14%,417,508,43,26,994
Commissioner of Agriculture,0059,555,609,1164,2544,45.75%,436,600,47,40,1123
Commissioner of Agriculture,0060,500,564,1064,2453,43.38%,248,660,43,64,1015
Commissioner of Agriculture,0061,172,204,376,1773,21.21%,152,192,6,5,355
Commissioner of Agriculture,0062,145,322,467,2181,21.41%,115,320,5,6,446
Commissioner of Agriculture,0063,264,354,618,1826,33.84%,482,105,15,3,605
Commissioner of Agriculture,0064,191,221,412,2141,19.24%,86,301,4,3,394
Commissioner of Agriculture,0065,172,230,402,2167,18.55%,92,265,10,16,383
Commissioner of Agriculture,0066,69,143,212,1098,19.31%,34,159,4,6,203
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0067,304,282,586,2794,20.97%,153,371,15,16,555
Commissioner of Agriculture,0068,553,352,905,2924,30.95%,17,854,5,15,891
Commissioner of Agriculture,0069,80,124,204,1284,15.89%,42,146,3,1,192
Commissioner of Agriculture,0070,882,664,1546,3337,46.33%,923,505,42,24,1494
Commissioner of Agriculture,0071,602,722,1324,4197,31.55%,621,569,61,30,1281
Commissioner of Agriculture,0072,220,293,513,1924,26.66%,158,312,16,9,495
Commissioner of Agriculture,0073,252,414,666,1555,42.83%,367,225,15,21,628
Commissioner of Agriculture,0074,1153,782,1935,3583,54.01%,1511,335,26,11,1883
Commissioner of Agriculture,0075,254,280,534,1444,36.98%,191,280,24,14,509
Commissioner of Agriculture,0076,373,374,747,2362,31.63%,430,275,13,10,728
Commissioner of Agriculture,0077,43,46,89,566,15.72%,17,67,2,1,87
Commissioner of Agriculture,0078,181,201,382,1522,25.10%,124,223,8,9,364
Commissioner of Agriculture,0079,205,306,511,2927,17.46%,111,337,10,17,475
Commissioner of Agriculture,0080,501,351,852,2725,31.27%,219,585,9,9,822
Commissioner of Agriculture,0081,183,187,370,1835,20.16%,140,204,5,7,356
Commissioner of Agriculture,0082,639,671,1310,3368,38.90%,955,281,36,17,1289
Commissioner of Agriculture,0083,1298,888,2186,6625,33.00%,1058,1020,39,21,2138
Commissioner of Agriculture,0084,208,218,426,1373,31.03%,299,100,9,6,414
Commissioner of Agriculture,0085,271,248,519,2173,23.88%,22,472,7,9,510
Commissioner of Agriculture,0086,448,568,1016,2910,34.91%,447,490,34,11,982
Commissioner of Agriculture,0087,574,787,1461,2818,51.85%,920,437,37,7,1401
Commissioner of Agriculture,0088,123,118,241,693,34.78%,158,67,7,3,235
Commissioner of Agriculture,0089,165,371,536,1094,48.99%,284,202,16,9,511
Commissioner of Agriculture,0090,845,790,1635,3700,44.19%,1182,348,42,22,1594
Commissioner of Agriculture,0091,221,222,443,1505,29.44%,261,142,17,12,432
Commissioner of Agriculture,0092,695,462,1157,2242,51.61%,773,302,25,23,1123
Commissioner of Agriculture,0093,381,301,682,3356,20.32%,263,361,15,13,652
Commissioner of Agriculture,0094,51,43,94,549,17.12%,26,58,2,5,91
Commissioner of Agriculture,0095,917,576,1493,3177,46.99%,1091,318,35,17,1461
Commissioner of Agriculture,0096,83,83,166,1296,12.81%,22,139,1,2,164
Commissioner of Agriculture,0097,1024,725,1749,4828,36.23%,1286,387,32,11,1716
Commissioner of Agriculture,0098,403,488,891,2651,33.61%,709,125,23,12,869
Commissioner of Agriculture,0099,254,184,438,2092,20.94%,207,209,9,9,434
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0100,185,173,338,1730,19.54%,171,149,8,8,334
Commissioner of Agriculture,0101,72,58,130,948,13.74%,40,77,4,7,128
Commissioner of Agriculture,0102,207,121,328,1872,17.52%,85,221,5,8,317
Commissioner of Agriculture,0103,700,714,1414,5371,28.33%,775,578,28,13,1392
Commissioner of Agriculture,0104,530,231,781,1905,39.95%,19,730,0,5,754
Commissioner of Agriculture,0105,198,210,408,2185,18.75%,124,242,11,4,381
Commissioner of Agriculture,0108,18,7,25,294,8.50%,18,9,0,0,25
Commissioner of Agriculture,0107,154,197,351,2032,17.27%,52,278,5,8,341
Commissioner of Agriculture,0108,558,272,940,3385,27.93%,554,334,20,10,918
Commissioner of Agriculture,0109,530,245,775,2824,27.44%,8,744,3,8,783
Commissioner of Agriculture,0110,854,494,1148,3042,37.74%,733,351,23,12,1119
Commissioner of Agriculture,0111,818,795,1811,4102,39.27%,1181,359,40,15,1575
Commissioner of Agriculture,0112,542,485,1027,2978,34.51%,752,224,28,8,1008
Commissioner of Agriculture,0113,552,429,991,2847,37.44%,804,324,17,19,984
Commissioner of Agriculture,0114,707,547,1254,3311,37.87%,999,214,20,8,1239
Commissioner of Agriculture,0115,238,150,388,1800,21.58%,49,324,3,4,380
Commissioner of Agriculture,0118,982,778,1758,3147,55.88%,1329,314,32,13,1888
Commissioner of Agriculture,0117,218,228,442,1880,23.51%,214,198,10,8,430
Commissioner of Agriculture,0118,304,123,427,759,58.28%,358,50,8,2,418
Commissioner of Agriculture,0119,1290,1024,2314,5500,42.07%,1881,348,42,18,2287
Commissioner of Agriculture,0120,713,422,1135,3191,35.57%,739,333,15,14,1101
Commissioner of Agriculture,0121,92,178,270,848,31.84%,184,74,2,5,285
Commissioner of Agriculture,0122,352,225,577,1890,30.53%,20,535,4,7,588
Commissioner of Agriculture,0123,285,288,573,1392,41.18%,138,378,18,20,554
Commissioner of Agriculture,0124,1734,1292,3028,7254,41.71%,2383,528,50,21,2980
Commissioner of Agriculture,0125,415,332,747,2405,31.08%,443,253,20,13,729
Commissioner of Agriculture,0128,893,487,1380,3100,43.87%,1201,113,18,11,1341
Commissioner of Agriculture,0127,435,154,589,1838,32.08%,409,133,13,8,583
Commissioner of Agriculture,0128,445,707,1152,2290,50.31%,712,335,24,19,1090
Commissioner of Agriculture,0129,1031,1200,2231,5748,38.83%,1397,874,58,31,2158
Commissioner of Agriculture,0130,727,523,1250,2333,53.58%,935,280,10,9,1214
Commissioner of Agriculture,0131,251,259,510,1935,28.38%,117,358,8,10,489
Commissioner of Agriculture,0132,593,323,918,2387,38.37%,18,870,4,7,899
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0133,514,858,1372,2662,51.54%,786,474,35,25,1320
Commissioner of Agriculture,0134,192,265,457,1437,31.80%,202,228,9,6,445
Commissioner of Agriculture,0135,730,579,1309,2671,49.01%,915,310,24,14,1263
Commissioner of Agriculture,0136,503,371,874,2013,43.42%,29,805,8,13,855
Commissioner of Agriculture,0137,166,141,307,716,42.88%,149,128,9,8,294
Commissioner of Agriculture,0138,296,199,495,1699,29.13%,14,465,1,4,484
Commissioner of Agriculture,0139,700,551,1251,3037,41.19%,563,589,24,26,1202
Commissioner of Agriculture,0140,701,480,1181,3214,36.75%,126,970,26,27,1149
Commissioner of Agriculture,0141,80,80,160,855,18.71%,94,55,2,2,153
Commissioner of Agriculture,0142,87,103,190,902,21.06%,63,109,6,4,182
Commissioner of Agriculture,0143,1962,580,2542,6386,39.81%,1811,641,39,15,2506
Commissioner of Agriculture,0144,216,158,374,1093,34.22%,8,353,1,3,365
Commissioner of Agriculture,0145,264,213,477,1538,31.01%,11,448,1,2,462
Commissioner of Agriculture,0146,426,519,945,2008,47.06%,419,433,20,32,904
Commissioner of Agriculture,0147,589,329,1018,3008,33.84%,123,857,9,7,996
Commissioner of Agriculture,0148,500,780,1280,2540,50.39%,505,648,32,39,1224
Commissioner of Agriculture,0149,1621,737,2358,7993,29.50%,1196,1046,44,34,2320
Commissioner of Agriculture,0150,236,169,405,1256,32.25%,10,386,2,2,400
Commissioner of Agriculture,0151,137,79,216,826,26.15%,10,199,1,0,210
Commissioner of Agriculture,0152,214,299,513,2788,18.40%,123,349,12,10,494
Commissioner of Agriculture,0153,125,206,331,1808,18.31%,103,205,4,6,318
Commissioner of Agriculture,0154,249,183,432,2190,19.73%,100,292,10,11,413
Commissioner of Agriculture,0155,1022,619,1641,4109,39.94%,1147,416,22,15,1600
Commissioner of Agriculture,0156,800,326,1126,3071,36.67%,37,1044,8,12,1101
Commissioner of Agriculture,0157,448,214,662,2236,29.61%,21,623,5,1,650
Commissioner of Agriculture,0158,600,315,915,3035,30.15%,21,865,6,6,898
Commissioner of Agriculture,0159,116,127,243,998,24.35%,38,185,7,8,238
Commissioner of Agriculture,0160,122,73,195,696,28.02%,5,186,2,0,193
Commissioner of Agriculture,0161,163,141,304,991,30.68%,4,287,2,3,296
Commissioner of Agriculture,0162,101,83,184,1265,14.55%,68,102,2,1,173
Commissioner of Agriculture,0163,230,320,550,3037,18.11%,223,289,5,12,529
Commissioner of Agriculture,0164,182,205,387,1420,27.25%,10,372,0,0,382
Commissioner of Agriculture,0165,535,483,1018,2334,43.62%,662,270,24,23,979
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0166,158,233,391,1028,38.04%,104,238,17,14,373
Commissioner of Agriculture,0167,3,0,3,24,12.50%,0,3,0,0,3
Commissioner of Agriculture,0168,92,58,150,503,29.82%,3,142,1,0,146
Commissioner of Agriculture,0169,518,251,767,2513,30.52%,11,732,5,3,751
Commissioner of Agriculture,0170,271,141,412,1869,22.04%,209,175,11,6,401
Commissioner of Agriculture,0171,202,198,400,1604,24.94%,9,379,0,3,391
Commissioner of Agriculture,0172,88,80,166,621,26.73%,60,85,2,9,156
Commissioner of Agriculture,0173,819,739,1558,3599,43.29%,1233,251,32,10,1526
Commissioner of Agriculture,0174,830,733,1583,3296,47.42%,1085,375,27,24,1511
Commissioner of Agriculture,0175,580,749,1309,2618,50.00%,661,540,23,28,1252
Commissioner of Agriculture,0176,344,451,795,1602,49.63%,416,304,11,19,750
Commissioner of Agriculture,0177,278,326,604,1496,40.37%,346,215,14,8,583
Commissioner of Agriculture,0178,504,365,869,1765,49.24%,582,221,26,4,833
Commissioner of Agriculture,0179,256,188,444,1575,28.19%,226,169,18,18,431
Commissioner of Agriculture,0180,470,343,813,2834,28.69%,19,753,6,7,785
Commissioner of Agriculture,0181,175,262,437,2061,21.20%,130,268,8,14,420
Commissioner of Agriculture,0182,590,974,1564,3405,45.93%,939,485,29,22,1475
Commissioner of Agriculture,0183,520,794,1314,2491,52.75%,854,346,29,18,1247
Commissioner of Agriculture,0184,106,135,241,994,24.25%,72,133,11,4,220
Commissioner of Agriculture,0185,283,292,575,1933,29.75%,203,335,7,7,552
Commissioner of Agriculture,0186,97,106,203,798,25.44%,28,166,1,4,199
Commissioner of Agriculture,0187,21,25,46,311,14.79%,15,27,1,2,45
Commissioner of Agriculture,0188,153,146,299,1637,18.27%,130,142,10,7,289
Commissioner of Agriculture,0189,239,360,599,1465,40.89%,295,231,25,18,569
Commissioner of Agriculture,0190,120,177,297,1723,17.24%,117,153,7,8,285
Commissioner of Agriculture,0191,79,126,205,1366,15.01%,84,107,4,5,200
Commissioner of Agriculture,0192,381,225,606,1959,30.93%,23,558,4,9,594
Commissioner of Agriculture,0193,173,187,360,1074,33.52%,8,332,6,6,352
Commissioner of Agriculture,0194,351,431,782,1912,40.90%,227,468,28,35,758
Commissioner of Agriculture,0195,269,278,547,1694,32.29%,16,513,8,3,540
Commissioner of Agriculture,0196,52,32,84,316,26.58%,4,77,2,0,83
Commissioner of Agriculture,0197,543,309,852,2914,29.24%,15,817,5,6,843
Commissioner of Agriculture,0198,53,74,127,642,19.78%,4,118,2,2,126
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0199,812,661,1473,3216,45.80%,1123,250,45,16,1434
Commissioner of Agriculture,0200,962,536,1498,3382,44.29%,661,692,33,31,1417
Commissioner of Agriculture,0201,98,87,185,724,25.55%,3,175,0,3,181
Commissioner of Agriculture,0202,217,189,406,1464,27.73%,10,379,1,7,397
Commissioner of Agriculture,0203,107,68,175,960,18.23%,38,122,4,4,168
Commissioner of Agriculture,0204,817,784,1601,3487,45.91%,882,550,44,41,1517
Commissioner of Agriculture,0205,465,171,636,1664,38.22%,10,614,0,4,628
Commissioner of Agriculture,0206,364,462,826,2779,29.72%,232,512,34,29,807
Commissioner of Agriculture,0207,265,261,526,1188,44.28%,157,323,12,13,505
Commissioner of Agriculture,0208,322,262,584,2195,26.61%,165,384,11,4,564
Commissioner of Agriculture,0209,0,2,2,0,0.00%,2,0,0,0,2
Commissioner of Agriculture,0210,502,467,969,2533,38.26%,101,805,13,26,945
Commissioner of Agriculture,0211,307,386,693,2914,23.78%,255,385,15,14,669
Commissioner of Agriculture,0212,95,155,251,1300,19.31%,50,186,3,3,242
Commissioner of Agriculture,0213,826,913,1739,3350,51.91%,1379,253,21,10,1663
Commissioner of Agriculture,0214,404,491,895,1854,48.27%,557,265,21,25,868
Commissioner of Agriculture,0215,423,711,1134,2258,50.22%,659,369,34,26,1088
Commissioner of Agriculture,0216,362,223,585,1945,30.08%,38,529,0,5,572
Commissioner of Agriculture,0217,844,631,1475,2678,55.08%,960,394,25,16,1395
Commissioner of Agriculture,0218,392,402,794,2292,34.64%,225,482,22,23,752
Commissioner of Agriculture,0219,497,436,933,2767,33.72%,50,844,9,6,909
Commissioner of Agriculture,0220,325,187,512,2310,22.16%,362,121,7,5,495
Commissioner of Agriculture,0221,332,369,701,2529,27.72%,292,355,13,12,672
Commissioner of Agriculture,0222,623,674,1297,2501,51.86%,605,570,20,33,1228
Commissioner of Agriculture,0223,563,377,940,3582,26.24%,265,589,23,29,906
Commissioner of Agriculture,0224,531,456,987,2238,44.10%,443,440,27,24,934
Commissioner of Agriculture,0225,375,405,781,3305,23.63%,386,351,19,6,762
Commissioner of Agriculture,0226,227,307,534,2436,21.92%,128,367,10,8,513
Commissioner of Agriculture,0227,558,423,981,1785,54.96%,756,171,10,4,941
Commissioner of Agriculture,0228,362,195,557,1050,53.05%,20,511,6,6,543
Commissioner of Agriculture,0229,31,96,127,815,15.58%,58,56,2,3,119
Commissioner of Agriculture,0230,185,116,301,1089,27.64%,8,281,4,3,296
Commissioner of Agriculture,0231,233,264,497,2232,22.27%,122,339,7,13,481
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0232,361,474,835,1760,47.44%,462,304,15,23,804
Commissioner of Agriculture,0233,892,801,1693,4445,38.09%,826,713,53,31,1623
Commissioner of Agriculture,0234,1192,913,2105,3993,52.72%,1614,358,24,13,2009
Commissioner of Agriculture,0235,240,158,398,1356,29.35%,12,374,3,5,394
Commissioner of Agriculture,0236,354,235,589,2079,28.33%,10,557,4,8,579
Commissioner of Agriculture,0237,417,253,670,2161,31.00%,11,641,3,4,659
Commissioner of Agriculture,0238,340,245,585,1925,30.39%,15,547,4,5,571
Commissioner of Agriculture,0239,383,236,619,1964,31.52%,17,583,4,3,607
Commissioner of Agriculture,0240,585,243,828,2649,31.26%,18,785,1,7,811
Commissioner of Agriculture,0241,222,229,451,2372,19.01%,182,247,3,5,437
Commissioner of Agriculture,0242,173,162,335,1596,20.99%,190,114,8,10,322
Commissioner of Agriculture,0243,138,43,181,457,39.61%,2,174,1,4,181
Commissioner of Agriculture,0244,480,425,905,3117,29.03%,500,340,17,17,874
Commissioner of Agriculture,0245,946,799,1745,5828,29.94%,1180,452,49,30,1711
Commissioner of Agriculture,0246,584,513,1197,3315,36.11%,842,299,26,6,1173
Commissioner of Agriculture,0247,173,254,427,1582,26.99%,14,399,1,7,421
Commissioner of Agriculture,0248,161,167,328,2100,15.62%,86,217,13,3,319
Commissioner of Agriculture,0249,461,348,809,2719,29.75%,553,211,21,6,791
Commissioner of Agriculture,0250,109,164,273,964,28.32%,4,260,3,2,269
Commissioner of Agriculture,0251,278,436,714,2089,34.18%,23,673,4,4,704
Commissioner of Agriculture,0252,504,312,816,2377,34.33%,16,777,4,4,801
Commissioner of Agriculture,0253,379,222,601,2177,27.61%,9,574,1,7,591
Commissioner of Agriculture,0254,93,112,205,1550,13.23%,61,131,5,4,201
Commissioner of Agriculture,0255,526,648,1174,2482,47.30%,537,536,29,19,1121
Commissioner of Agriculture,0256,575,449,1024,3254,31.47%,475,462,27,18,982
Commissioner of Agriculture,0257,204,245,449,2523,17.80%,132,289,8,4,433
Commissioner of Agriculture,0258,840,800,1540,3322,49.37%,1199,340,34,13,1586
Commissioner of Agriculture,0259,555,382,1038,2361,43.96%,26,978,3,8,1015
Commissioner of Agriculture,0260,162,145,307,1260,24.37%,176,111,4,5,296
Commissioner of Agriculture,0261,124,120,244,1417,17.22%,94,135,7,0,236
Commissioner of Agriculture,0262,758,600,1358,4397,30.88%,829,409,49,25,1312
Commissioner of Agriculture,0263,858,712,1570,3693,42.51%,1181,314,26,16,1537
Commissioner of Agriculture,0264,482,457,939,2963,31.69%,579,292,29,17,917
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0265,988,759,1747,3584,48.74%,1318,307,30,16,1671
Commissioner of Agriculture,0266,259,257,516,2104,24.52%,251,223,12,8,494
Commissioner of Agriculture,0267,146,166,312,1327,23.51%,154,124,13,5,296
Commissioner of Agriculture,0268,435,717,1152,2493,46.21%,667,367,27,16,1077
Commissioner of Agriculture,0269,702,453,1155,2030,56.90%,918,175,16,8,1117
Commissioner of Agriculture,0270,819,672,1491,3605,41.36%,804,572,39,35,1450
Commissioner of Agriculture,0271,656,382,1038,2518,41.22%,26,986,2,11,1025
Commissioner of Agriculture,0272,264,292,555,2162,25.72%,214,289,19,19,541
Commissioner of Agriculture,0273,548,689,1237,2470,50.08%,1001,169,23,7,1200
Commissioner of Agriculture,0274,588,346,934,2153,43.38%,627,233,25,8,893
Commissioner of Agriculture,0275,207,236,443,1850,23.95%,106,316,5,6,433
Commissioner of Agriculture,0276,572,231,803,2536,31.66%,10,764,4,12,790
Commissioner of Agriculture,0277,170,186,356,1492,23.86%,163,174,8,5,350
Commissioner of Agriculture,0278,421,320,741,2454,30.20%,399,305,10,5,719
Commissioner of Agriculture,0279,251,223,474,1941,24.42%,275,165,18,4,462
Commissioner of Agriculture,0280,130,188,318,1524,20.87%,126,160,13,6,305
Commissioner of Agriculture,0281,655,742,1397,2633,53.06%,682,573,22,33,1310
Commissioner of Agriculture,0282,314,455,769,2042,37.66%,488,226,28,8,750
Commissioner of Agriculture,0283,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of Agriculture,0284,574,335,910,3172,28.69%,410,427,16,26,879
Commissioner of Agriculture,0285,448,378,826,2540,32.52%,74,728,4,2,808
Commissioner of Agriculture,0286,1255,821,2076,6170,33.65%,184,1806,13,27,2030
Commissioner of Agriculture,0287,371,477,848,1621,52.31%,413,361,26,14,814
Commissioner of Agriculture,0288,532,313,845,2210,38.24%,17,807,3,10,837
Commissioner of Agriculture,0289,186,212,398,1564,25.45%,195,175,7,7,384
Commissioner of Agriculture,0290,245,298,543,1642,33.07%,396,115,17,9,537
Commissioner of Agriculture,0291,325,235,560,1225,45.71%,287,235,10,10,542
Commissioner of Agriculture,0292,207,147,354,1356,26.11%,39,300,5,3,347
Commissioner of Agriculture,0293,357,447,804,1759,45.71%,367,369,19,16,771
Commissioner of Agriculture,0294,488,221,709,2097,33.81%,10,677,5,6,698
Commissioner of Agriculture,0295,148,103,251,885,28.36%,7,238,0,4,249
Commissioner of Agriculture,0296,327,340,667,1713,38.94%,386,221,20,14,641
Commissioner of Agriculture,0297,280,249,529,2012,26.29%,231,259,9,10,509
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Sid Miller,DEM Jim Hogan,LIB David (Rocky) Palmquist,GRN Kenneth Kendrick,Totals
Commissioner of Agriculture,0298,415,358,773,2121,36.45%,449,260,25,11,745
Commissioner of Agriculture,0299,179,117,296,1353,21.88%,116,148,7,11,282
Commissioner of Agriculture,0300,1389,1016,2405,5406,44.49%,1897,381,45,16,2339
Commissioner of Agriculture,0301,210,255,465,2352,19.77%,176,253,9,8,446
Commissioner of Agriculture,0302,353,343,696,2720,25.59%,394,260,15,8,677
Commissioner of Agriculture,0303,924,784,1708,3245,52.63%,1382,245,19,13,1659
Commissioner of Agriculture,0304,606,505,1111,2298,48.35%,614,396,21,26,1057
Commissioner of Agriculture,0305,524,432,956,4191,22.81%,394,515,19,13,941
Commissioner of Agriculture,0306,550,342,992,1879,52.79%,730,220,16,4,970
Commissioner of Agriculture,0307,733,670,1403,3099,45.27%,939,343,50,25,1357
Commissioner of Agriculture,0308,199,130,329,1296,25.39%,106,194,9,5,314
Commissioner of Agriculture,0309,708,593,1301,2524,51.55%,1047,186,16,10,1259
Commissioner of Agriculture,0310,386,279,665,1435,46.34%,447,170,9,10,636
Commissioner of Agriculture,0311,485,421,907,2986,30.38%,488,347,9,19,863
Commissioner of Agriculture,0312,742,457,1199,3636,32.98%,785,352,22,15,1174
Commissioner of Agriculture,0313,9,0,9,62,14.52%,7,2,0,0,9
Commissioner of Agriculture,0314,1121,913,2034,5647,36.02%,1265,659,49,27,2000
Commissioner of Agriculture,0315,478,388,866,1608,53.86%,500,297,19,20,836
Commissioner of Agriculture,0316,412,341,753,1537,48.99%,423,272,16,16,727
Commissioner of Agriculture,0317,250,209,459,1588,28.90%,143,283,15,7,448
Commissioner of Agriculture,0318,834,568,1402,3660,38.31%,62,1287,10,13,1372
Commissioner of Agriculture,0319,512,230,742,2158,34.38%,39,668,4,13,724
Commissioner of Agriculture,0320,234,168,402,1537,26.15%,198,185,2,5,390
Commissioner of Agriculture,0321,262,191,453,2346,19.31%,163,258,10,12,443
Commissioner of Agriculture,0322,182,129,311,1226,25.37%,97,196,4,9,306
Commissioner of Agriculture,0323,278,211,489,1722,28.40%,228,213,10,14,465
Commissioner of Agriculture,0324,532,545,1178,2336,50.43%,730,348,25,24,1127
