Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Wesley Ward,DEM Barbara Gardner,Totals
"District Judge, 234th Judicial District",0056,282,278,560,1326,42.23%,374,162,536
"District Judge, 234th Judicial District",0057,710,831,1541,3153,48.87%,595,823,1418
"District Judge, 234th Judicial District",0058,469,556,1025,2690,38.10%,435,540,975
"District Judge, 234th Judicial District",0059,555,609,1164,2544,45.75%,452,634,1086
"District Judge, 234th Judicial District",0060,498,564,1062,2453,43.29%,260,726,986
"District Judge, 234th Judicial District",0061,172,204,376,1773,21.21%,159,191,350
"District Judge, 234th Judicial District",0062,145,322,467,2181,21.41%,117,325,442
"District Judge, 234th Judicial District",0063,264,354,618,1826,33.84%,497,103,600
"District Judge, 234th Judicial District",0064,191,221,412,2141,19.24%,87,301,388
"District Judge, 234th Judicial District",0065,172,230,402,2167,18.55%,90,289,379
"District Judge, 234th Judicial District",0066,69,143,212,1098,19.31%,34,166,200
"District Judge, 234th Judicial District",0067,304,282,586,2794,20.97%,161,389,550
"District Judge, 234th Judicial District",0068,553,352,905,2924,30.95%,24,862,886
"District Judge, 234th Judicial District",0069,80,124,204,1284,15.89%,43,146,189
"District Judge, 234th Judicial District",0070,882,664,1546,3337,46.33%,888,536,1424
"District Judge, 234th Judicial District",0071,602,722,1324,4197,31.55%,646,604,1250
"District Judge, 234th Judicial District",0072,220,293,513,1924,26.66%,164,324,488
"District Judge, 234th Judicial District",0073,252,414,666,1555,42.83%,361,250,611
"District Judge, 234th Judicial District",0074,1153,782,1935,3583,54.01%,1513,346,1859
"District Judge, 234th Judicial District",0075,254,280,534,1444,36.98%,201,303,504
"District Judge, 234th Judicial District",0076,373,374,747,2362,31.63%,443,275,718
"District Judge, 234th Judicial District",0077,43,46,89,566,15.72%,21,65,86
"District Judge, 234th Judicial District",0078,180,201,381,1522,25.03%,129,234,363
"District Judge, 234th Judicial District",0079,205,306,511,2927,17.46%,124,347,471
"District Judge, 234th Judicial District",0080,501,351,852,2725,31.27%,207,607,814
"District Judge, 234th Judicial District",0081,183,187,370,1835,20.16%,144,204,348
"District Judge, 234th Judicial District",0082,639,671,1310,3368,38.90%,980,294,1274
"District Judge, 234th Judicial District",0083,1296,888,2184,6625,32.97%,1061,1051,2112
"District Judge, 234th Judicial District",0084,208,218,426,1373,31.03%,307,104,411
"District Judge, 234th Judicial District",0085,271,248,519,2173,23.88%,21,489,510
"District Judge, 234th Judicial District",0086,447,568,1015,2910,34.88%,455,504,959
"District Judge, 234th Judicial District",0087,574,787,1461,2818,51.85%,926,431,1357
"District Judge, 234th Judicial District",0088,123,118,241,693,34.78%,151,76,227
"District Judge, 234th Judicial District",0089,165,371,536,1094,48.99%,295,197,492
"District Judge, 234th Judicial District",0090,844,790,1634,3700,44.16%,1187,379,1566
"District Judge, 234th Judicial District",0091,219,222,441,1505,29.30%,264,160,424
"District Judge, 234th Judicial District",0092,695,462,1157,2242,51.61%,764,322,1086
"District Judge, 234th Judicial District",0093,381,301,682,3356,20.32%,269,377,646
"District Judge, 234th Judicial District",0094,51,43,94,549,17.12%,26,64,90
"District Judge, 234th Judicial District",0095,917,576,1493,3177,46.99%,1086,343,1429
"District Judge, 234th Judicial District",0096,83,83,166,1296,12.81%,21,144,165
"District Judge, 234th Judicial District",0097,1024,725,1749,4828,36.23%,1290,397,1687
"District Judge, 234th Judicial District",0098,403,488,891,2651,33.61%,734,127,861
"District Judge, 234th Judicial District",0099,254,184,438,2092,20.94%,211,215,426
"District Judge, 234th Judicial District",0100,155,173,338,1730,19.54%,177,153,330
"District Judge, 234th Judicial District",0101,72,58,130,946,13.74%,48,80,128
"District Judge, 234th Judicial District",0102,207,121,328,1872,17.52%,88,228,316
"District Judge, 234th Judicial District",0103,700,714,1414,5371,26.33%,789,587,1376
"District Judge, 234th Judicial District",0104,530,231,761,1905,39.95%,17,733,750
"District Judge, 234th Judicial District",0105,195,210,406,2165,18.75%,130,248,378
"District Judge, 234th Judicial District",0106,15,7,25,294,8.50%,16,9,25
"District Judge, 234th Judicial District",0107,154,197,351,2032,17.27%,58,278,336
"District Judge, 234th Judicial District",0108,558,272,940,3365,27.93%,564,339,903
"District Judge, 234th Judicial District",0109,529,245,774,2824,27.41%,8,750,758
"District Judge, 234th Judicial District",0110,554,494,1148,3042,37.74%,736,371,1107
"District Judge, 234th Judicial District",0111,815,795,1611,4102,39.27%,1174,372,1546
"District Judge, 234th Judicial District",0112,542,485,1027,2976,34.51%,754,236,990
"District Judge, 234th Judicial District",0113,552,429,991,2647,37.44%,600,345,945
"District Judge, 234th Judicial District",0114,707,547,1254,3311,37.87%,1007,217,1224
"District Judge, 234th Judicial District",0115,238,150,388,1800,21.56%,51,326,377
"District Judge, 234th Judicial District",0116,982,776,1758,3147,55.86%,1330,320,1650
"District Judge, 234th Judicial District",0117,215,226,441,1880,23.46%,214,205,419
"District Judge, 234th Judicial District",0118,304,123,427,759,56.26%,360,53,413
"District Judge, 234th Judicial District",0119,1288,1024,2312,5500,42.04%,1871,359,2230
"District Judge, 234th Judicial District",0120,712,422,1134,3191,35.54%,736,352,1088
"District Judge, 234th Judicial District",0121,92,178,270,848,31.84%,188,69,257
"District Judge, 234th Judicial District",0122,352,225,577,1890,30.53%,19,544,563
"District Judge, 234th Judicial District",0123,284,288,572,1392,41.09%,142,396,538
"District Judge, 234th Judicial District",0124,1734,1292,3026,7254,41.71%,2401,548,2949
"District Judge, 234th Judicial District",0125,415,332,747,2405,31.06%,455,267,722
"District Judge, 234th Judicial District",0126,893,467,1360,3100,43.87%,1201,126,1327
"District Judge, 234th Judicial District",0127,435,154,589,1836,32.08%,420,135,555
"District Judge, 234th Judicial District",0128,445,707,1152,2290,50.31%,715,339,1054
"District Judge, 234th Judicial District",0129,1030,1200,2230,5746,38.81%,1407,713,2120
"District Judge, 234th Judicial District",0130,727,523,1250,2333,53.58%,918,268,1186
"District Judge, 234th Judicial District",0131,251,259,510,1935,26.36%,119,369,488
"District Judge, 234th Judicial District",0132,593,323,916,2387,38.37%,20,876,896
"District Judge, 234th Judicial District",0133,513,858,1371,2662,51.50%,799,468,1267
"District Judge, 234th Judicial District",0134,192,265,457,1437,31.80%,203,233,436
"District Judge, 234th Judicial District",0135,727,579,1305,2671,48.90%,928,307,1235
"District Judge, 234th Judicial District",0136,503,371,874,2013,43.42%,38,812,850
"District Judge, 234th Judicial District",0137,166,141,307,716,42.88%,151,132,283
"District Judge, 234th Judicial District",0138,296,199,495,1699,29.13%,14,471,485
"District Judge, 234th Judicial District",0139,699,551,1250,3037,41.16%,547,632,1179
"District Judge, 234th Judicial District",0140,699,480,1179,3214,36.68%,143,997,1140
"District Judge, 234th Judicial District",0141,80,80,160,855,18.71%,96,55,151
"District Judge, 234th Judicial District",0142,87,103,190,902,21.06%,63,116,179
"District Judge, 234th Judicial District",0143,1962,580,2542,6386,39.81%,1837,648,2485
"District Judge, 234th Judicial District",0144,216,158,374,1093,34.22%,9,356,365
"District Judge, 234th Judicial District",0145,264,213,477,1538,31.01%,9,456,465
"District Judge, 234th Judicial District",0146,426,519,945,2008,47.06%,410,485,895
"District Judge, 234th Judicial District",0147,589,329,1018,3008,33.84%,130,862,992
"District Judge, 234th Judicial District",0148,500,780,1280,2540,50.39%,494,684,1178
"District Judge, 234th Judicial District",0149,1621,737,2358,7993,29.50%,1212,1080,2292
"District Judge, 234th Judicial District",0150,236,169,405,1256,32.25%,11,390,401
"District Judge, 234th Judicial District",0151,137,79,216,826,26.15%,10,199,209
"District Judge, 234th Judicial District",0152,213,299,512,2788,18.36%,138,354,492
"District Judge, 234th Judicial District",0153,125,206,331,1808,18.31%,107,208,315
"District Judge, 234th Judicial District",0154,249,183,432,2190,19.73%,104,306,410
"District Judge, 234th Judicial District",0155,1022,619,1641,4109,39.94%,1150,439,1589
"District Judge, 234th Judicial District",0156,799,326,1125,3071,36.63%,41,1058,1099
"District Judge, 234th Judicial District",0157,448,214,662,2236,29.61%,24,623,647
"District Judge, 234th Judicial District",0158,600,315,915,3035,30.15%,19,879,898
"District Judge, 234th Judicial District",0159,116,127,243,998,24.35%,35,201,236
"District Judge, 234th Judicial District",0160,122,73,195,696,28.02%,5,187,192
"District Judge, 234th Judicial District",0161,163,141,304,991,30.68%,5,293,298
"District Judge, 234th Judicial District",0162,101,83,184,1265,14.55%,66,106,172
"District Judge, 234th Judicial District",0163,230,320,550,3037,18.11%,233,290,523
"District Judge, 234th Judicial District",0164,182,205,387,1420,27.25%,11,369,380
"District Judge, 234th Judicial District",0165,535,483,1018,2334,43.62%,675,296,971
"District Judge, 234th Judicial District",0166,158,233,391,1028,38.04%,114,256,370
"District Judge, 234th Judicial District",0167,3,0,3,24,12.50%,0,3,3
"District Judge, 234th Judicial District",0168,92,58,150,503,29.82%,2,145,147
"District Judge, 234th Judicial District",0169,518,251,767,2513,30.52%,13,736,749
"District Judge, 234th Judicial District",0170,271,141,412,1869,22.04%,212,181,393
"District Judge, 234th Judicial District",0171,202,198,400,1604,24.94%,9,384,393
"District Judge, 234th Judicial District",0172,88,80,166,621,26.73%,62,91,153
"District Judge, 234th Judicial District",0173,817,739,1556,3599,43.23%,1248,258,1506
"District Judge, 234th Judicial District",0174,829,733,1562,3296,47.39%,1066,415,1481
"District Judge, 234th Judicial District",0175,557,749,1306,2618,49.89%,669,547,1216
"District Judge, 234th Judicial District",0176,344,451,795,1602,49.63%,412,315,727
"District Judge, 234th Judicial District",0177,278,326,604,1496,40.37%,349,220,569
"District Judge, 234th Judicial District",0178,504,365,869,1765,49.24%,610,202,812
"District Judge, 234th Judicial District",0179,256,188,444,1575,28.19%,239,184,423
"District Judge, 234th Judicial District",0180,470,343,813,2834,28.69%,23,752,775
"District Judge, 234th Judicial District",0181,175,262,437,2061,21.20%,136,278,414
"District Judge, 234th Judicial District",0182,590,974,1564,3405,45.93%,944,489,1433
"District Judge, 234th Judicial District",0183,519,794,1313,2491,52.71%,861,365,1226
"District Judge, 234th Judicial District",0184,106,135,241,994,24.25%,79,142,221
"District Judge, 234th Judicial District",0185,283,292,575,1933,29.75%,208,344,552
"District Judge, 234th Judicial District",0186,97,106,203,798,25.44%,28,170,198
"District Judge, 234th Judicial District",0187,21,25,46,311,14.79%,14,31,45
"District Judge, 234th Judicial District",0188,153,146,299,1637,18.27%,137,150,287
"District Judge, 234th Judicial District",0189,239,360,599,1465,40.89%,314,240,554
"District Judge, 234th Judicial District",0190,120,177,297,1723,17.24%,120,162,282
"District Judge, 234th Judicial District",0191,79,126,205,1366,15.01%,84,113,197
"District Judge, 234th Judicial District",0192,380,225,605,1959,30.88%,27,565,592
"District Judge, 234th Judicial District",0193,173,187,360,1074,33.52%,8,340,348
"District Judge, 234th Judicial District",0194,350,431,781,1912,40.85%,242,501,743
"District Judge, 234th Judicial District",0195,269,278,547,1694,32.29%,16,517,533
"District Judge, 234th Judicial District",0196,52,32,84,316,26.58%,4,77,81
"District Judge, 234th Judicial District",0197,543,309,852,2914,29.24%,15,822,837
"District Judge, 234th Judicial District",0198,53,74,127,642,19.78%,2,124,126
"District Judge, 234th Judicial District",0199,812,661,1473,3216,45.80%,1144,266,1410
"District Judge, 234th Judicial District",0200,982,536,1498,3382,44.29%,680,709,1389
"District Judge, 234th Judicial District",0201,98,87,185,724,25.55%,2,180,182
"District Judge, 234th Judicial District",0202,217,189,406,1464,27.73%,12,385,397
"District Judge, 234th Judicial District",0203,107,68,175,960,18.23%,38,128,166
"District Judge, 234th Judicial District",0204,818,784,1600,3487,45.88%,887,603,1490
"District Judge, 234th Judicial District",0205,484,171,635,1664,38.16%,10,615,625
"District Judge, 234th Judicial District",0206,382,462,824,2779,29.65%,232,548,780
"District Judge, 234th Judicial District",0207,285,261,528,1188,44.28%,161,334,495
"District Judge, 234th Judicial District",0208,322,262,584,2195,26.61%,171,386,557
"District Judge, 234th Judicial District",0209,0,2,2,0,0.00%,2,0,2
"District Judge, 234th Judicial District",0210,502,467,969,2533,38.26%,102,839,941
"District Judge, 234th Judicial District",0211,307,386,693,2914,23.78%,262,398,660
"District Judge, 234th Judicial District",0212,98,155,251,1300,19.31%,49,193,242
"District Judge, 234th Judicial District",0213,828,913,1739,3350,51.91%,1373,258,1831
"District Judge, 234th Judicial District",0214,404,491,895,1854,48.27%,571,275,846
"District Judge, 234th Judicial District",0215,421,711,1132,2258,50.13%,686,371,1057
"District Judge, 234th Judicial District",0216,382,223,585,1945,30.08%,33,540,573
"District Judge, 234th Judicial District",0217,844,631,1475,2678,55.08%,976,396,1372
"District Judge, 234th Judicial District",0218,391,402,793,2292,34.60%,239,491,730
"District Judge, 234th Judicial District",0219,498,436,932,2767,33.68%,45,853,898
"District Judge, 234th Judicial District",0220,325,187,512,2310,22.16%,370,128,498
"District Judge, 234th Judicial District",0221,332,369,701,2529,27.72%,299,362,661
"District Judge, 234th Judicial District",0222,823,674,1297,2501,51.86%,624,571,1195
"District Judge, 234th Judicial District",0223,583,377,940,3582,26.24%,256,626,882
"District Judge, 234th Judicial District",0224,530,456,986,2238,44.06%,465,448,913
"District Judge, 234th Judicial District",0225,378,405,781,3305,23.63%,387,367,754
"District Judge, 234th Judicial District",0226,227,307,534,2436,21.92%,127,376,503
"District Judge, 234th Judicial District",0227,558,423,981,1785,54.96%,743,161,904
"District Judge, 234th Judicial District",0228,382,195,557,1050,53.05%,26,514,540
"District Judge, 234th Judicial District",0229,31,96,127,815,15.58%,59,60,119
"District Judge, 234th Judicial District",0230,185,116,301,1089,27.64%,7,286,293
"District Judge, 234th Judicial District",0231,233,264,497,2232,22.27%,120,348,468
"District Judge, 234th Judicial District",0232,361,474,835,1760,47.44%,465,315,780
"District Judge, 234th Judicial District",0233,890,801,1691,4445,38.04%,808,751,1559
"District Judge, 234th Judicial District",0234,1192,913,2105,3993,52.72%,1608,362,1970
"District Judge, 234th Judicial District",0235,240,158,398,1356,29.35%,13,375,388
"District Judge, 234th Judicial District",0236,354,235,589,2079,28.33%,12,564,576
"District Judge, 234th Judicial District",0237,416,253,669,2161,30.96%,9,649,658
"District Judge, 234th Judicial District",0238,339,245,584,1925,30.34%,13,556,569
"District Judge, 234th Judicial District",0239,383,236,619,1964,31.52%,21,590,611
"District Judge, 234th Judicial District",0240,585,243,828,2649,31.26%,20,793,813
"District Judge, 234th Judicial District",0241,222,229,451,2372,19.01%,185,247,432
"District Judge, 234th Judicial District",0242,173,162,335,1596,20.99%,193,126,319
"District Judge, 234th Judicial District",0243,138,43,181,457,39.61%,1,179,180
"District Judge, 234th Judicial District",0244,480,425,905,3117,29.03%,493,372,865
"District Judge, 234th Judicial District",0245,945,799,1745,5828,29.94%,1218,482,1700
"District Judge, 234th Judicial District",0246,584,513,1197,3315,36.11%,854,302,1156
"District Judge, 234th Judicial District",0247,173,254,427,1582,26.99%,13,409,422
"District Judge, 234th Judicial District",0248,161,167,328,2100,15.62%,91,223,314
"District Judge, 234th Judicial District",0249,461,348,809,2719,29.75%,564,217,781
"District Judge, 234th Judicial District",0250,109,164,273,964,28.32%,8,261,269
"District Judge, 234th Judicial District",0251,278,436,714,2089,34.18%,25,675,700
"District Judge, 234th Judicial District",0252,504,312,816,2377,34.33%,15,786,801
"District Judge, 234th Judicial District",0253,379,222,601,2177,27.61%,11,578,589
"District Judge, 234th Judicial District",0254,93,112,205,1550,13.23%,65,130,195
"District Judge, 234th Judicial District",0255,525,648,1173,2482,47.26%,541,553,1094
"District Judge, 234th Judicial District",0256,575,449,1024,3254,31.47%,483,492,975
"District Judge, 234th Judicial District",0257,204,245,449,2523,17.80%,127,299,426
"District Judge, 234th Judicial District",0258,839,800,1539,3322,49.34%,1200,327,1527
"District Judge, 234th Judicial District",0259,555,382,1038,2361,43.96%,26,993,1019
"District Judge, 234th Judicial District",0260,162,145,307,1260,24.37%,176,110,286
"District Judge, 234th Judicial District",0261,124,120,244,1417,17.22%,101,134,235
"District Judge, 234th Judicial District",0262,758,600,1358,4397,30.88%,831,447,1278
"District Judge, 234th Judicial District",0263,858,712,1570,3693,42.51%,1210,305,1515
"District Judge, 234th Judicial District",0264,480,457,937,2963,31.62%,568,311,879
"District Judge, 234th Judicial District",0265,988,759,1747,3584,48.74%,1306,327,1633
"District Judge, 234th Judicial District",0266,259,257,516,2104,24.52%,254,232,486
"District Judge, 234th Judicial District",0267,146,166,312,1327,23.51%,159,133,292
"District Judge, 234th Judicial District",0268,435,717,1152,2493,46.21%,657,385,1042
"District Judge, 234th Judicial District",0269,702,453,1155,2030,56.90%,921,170,1091
"District Judge, 234th Judicial District",0270,817,672,1489,3605,41.30%,814,587,1401
"District Judge, 234th Judicial District",0271,656,382,1038,2518,41.22%,24,1001,1025
"District Judge, 234th Judicial District",0272,264,292,555,2162,25.72%,218,313,531
"District Judge, 234th Judicial District",0273,548,689,1237,2470,50.08%,1007,169,1176
"District Judge, 234th Judicial District",0274,588,346,934,2153,43.38%,638,238,876
"District Judge, 234th Judicial District",0275,207,236,443,1850,23.95%,108,322,430
"District Judge, 234th Judicial District",0276,572,231,803,2536,31.66%,11,779,790
"District Judge, 234th Judicial District",0277,170,186,356,1492,23.86%,167,176,343
"District Judge, 234th Judicial District",0278,421,320,741,2454,30.20%,415,298,713
"District Judge, 234th Judicial District",0279,250,223,473,1941,24.37%,278,174,452
"District Judge, 234th Judicial District",0280,130,188,318,1524,20.87%,128,170,298
"District Judge, 234th Judicial District",0281,655,742,1397,2633,53.06%,669,591,1260
"District Judge, 234th Judicial District",0282,314,455,769,2042,37.66%,497,231,728
"District Judge, 234th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 234th Judicial District",0284,574,335,910,3172,28.69%,417,450,867
"District Judge, 234th Judicial District",0285,448,378,826,2540,32.52%,75,727,802
"District Judge, 234th Judicial District",0286,1255,821,2076,6170,33.65%,189,1828,2017
"District Judge, 234th Judicial District",0287,370,477,847,1621,52.25%,401,391,792
"District Judge, 234th Judicial District",0288,532,313,845,2210,38.24%,21,812,833
"District Judge, 234th Judicial District",0289,186,212,398,1564,25.45%,193,182,375
"District Judge, 234th Judicial District",0290,245,298,543,1642,33.07%,404,121,525
"District Judge, 234th Judicial District",0291,325,235,560,1225,45.71%,284,245,529
"District Judge, 234th Judicial District",0292,207,147,354,1356,26.11%,40,304,344
"District Judge, 234th Judicial District",0293,356,447,803,1759,45.65%,364,385,749
"District Judge, 234th Judicial District",0294,488,221,709,2097,33.81%,9,686,695
"District Judge, 234th Judicial District",0295,148,103,251,885,28.36%,10,238,248
"District Judge, 234th Judicial District",0296,327,340,667,1713,38.94%,386,236,622
"District Judge, 234th Judicial District",0297,280,249,529,2012,26.29%,229,266,495
"District Judge, 234th Judicial District",0298,415,358,773,2121,36.45%,455,272,727
"District Judge, 234th Judicial District",0299,178,117,295,1353,21.80%,117,158,275
"District Judge, 234th Judicial District",0300,1389,1016,2405,5406,44.49%,1898,411,2309
"District Judge, 234th Judicial District",0301,210,255,465,2352,19.77%,181,261,442
"District Judge, 234th Judicial District",0302,353,343,696,2720,25.59%,398,275,673
"District Judge, 234th Judicial District",0303,922,784,1706,3245,52.57%,1373,262,1635
"District Judge, 234th Judicial District",0304,606,505,1111,2298,48.35%,603,427,1030
"District Judge, 234th Judicial District",0305,524,432,956,4191,22.81%,406,521,927
"District Judge, 234th Judicial District",0306,649,342,991,1879,52.74%,722,213,935
"District Judge, 234th Judicial District",0307,733,670,1403,3099,45.27%,956,366,1322
"District Judge, 234th Judicial District",0308,199,130,329,1296,25.39%,113,203,316
"District Judge, 234th Judicial District",0309,708,593,1301,2524,51.55%,1036,191,1227
"District Judge, 234th Judicial District",0310,386,279,665,1435,46.34%,442,177,619
"District Judge, 234th Judicial District",0311,486,421,907,2986,30.38%,485,361,846
"District Judge, 234th Judicial District",0312,742,457,1199,3636,32.98%,783,364,1147
"District Judge, 234th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 234th Judicial District",0314,1121,913,2034,5647,36.02%,1277,695,1972
"District Judge, 234th Judicial District",0315,478,388,866,1608,53.86%,503,307,810
"District Judge, 234th Judicial District",0316,412,341,753,1537,48.99%,414,281,695
"District Judge, 234th Judicial District",0317,248,209,457,1588,28.78%,145,289,434
"District Judge, 234th Judicial District",0318,834,568,1402,3660,38.31%,62,1302,1364
"District Judge, 234th Judicial District",0319,512,230,742,2158,34.38%,44,677,721
"District Judge, 234th Judicial District",0320,234,168,402,1537,26.15%,198,188,386
"District Judge, 234th Judicial District",0321,262,191,453,2346,19.31%,163,261,424
"District Judge, 234th Judicial District",0322,181,129,310,1226,25.29%,104,195,299
"District Judge, 234th Judicial District",0323,278,211,489,1722,28.40%,234,223,457
"District Judge, 234th Judicial District",0324,532,646,1178,2336,50.43%,718,370,1088
"District Judge, 234th Judicial District",0325,289,193,482,2112,22.82%,103,363,466
"District Judge, 234th Judicial District",0326,87,74,161,698,23.07%,76,76,152
"District Judge, 234th Judicial District",0327,380,129,509,1729,29.44%,12,487,499
"District Judge, 234th Judicial District",0328,151,140,291,1434,20.29%,125,154,279
"District Judge, 234th Judicial District",0329,189,184,373,1397,26.70%,141,214,355
"District Judge, 234th Judicial District",0330,334,253,587,1936,30.32%,329,230,559
"District Judge, 234th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 234th Judicial District",0332,18,7,25,138,18.12%,11,11,22
"District Judge, 234th Judicial District",0333,524,714,1238,3021,40.98%,860,319,1179
"District Judge, 234th Judicial District",0334,83,42,125,742,16.85%,20,102,122
"District Judge, 234th Judicial District",0335,121,98,219,1300,16.85%,81,121,202
"District Judge, 234th Judicial District",0336,866,624,1490,4051,36.78%,132,1322,1454
"District Judge, 234th Judicial District",0337,124,103,227,1029,22.06%,40,178,218
"District Judge, 234th Judicial District",0338,730,391,1121,4934,22.72%,380,669,1049
"District Judge, 234th Judicial District",0339,202,222,424,1757,24.13%,96,300,396
"District Judge, 234th Judicial District",0340,1038,594,1632,3765,43.35%,1224,337,1561
"District Judge, 234th Judicial District",0341,91,167,258,1290,20.00%,84,166,250
"District Judge, 234th Judicial District",0342,675,605,1280,6526,19.61%,204,1046,1250
"District Judge, 234th Judicial District",0343,189,271,460,1964,23.42%,133,299,432
"District Judge, 234th Judicial District",0344,154,172,326,1160,28.10%,15,297,312
"District Judge, 234th Judicial District",0345,156,165,321,1804,17.79%,97,209,306
"District Judge, 234th Judicial District",0346,0,1,1,3,33.33%,1,0,1
"District Judge, 234th Judicial District",0347,592,436,1028,3387,30.35%,691,304,995
"District Judge, 234th Judicial District",0348,438,208,646,1708,37.82%,494,123,617
"District Judge, 234th Judicial District",0349,188,267,455,1349,33.73%,279,152,431
"District Judge, 234th Judicial District",0350,524,526,1050,2909,36.09%,415,555,970
"District Judge, 234th Judicial District",0351,1491,710,2201,4712,46.71%,1731,389,2120
"District Judge, 234th Judicial District",0352,520,339,859,3205,26.80%,624,203,827
"District Judge, 234th Judicial District",0353,665,451,1116,3862,28.90%,198,884,1082
"District Judge, 234th Judicial District",0354,715,338,1053,3388,31.08%,257,764,1021
"District Judge, 234th Judicial District",0355,301,264,565,1560,36.22%,50,501,551
"District Judge, 234th Judicial District",0356,594,538,1132,2972,38.09%,750,331,1081
"District Judge, 234th Judicial District",0357,837,575,1412,3517,40.15%,1032,329,1361
"District Judge, 234th Judicial District",0358,212,254,466,2492,18.70%,48,403,451
