Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0265,988,759,1747,3584,48.74%,1246,375,1621
"District Judge, 247th Judicial District",0266,259,257,516,2104,24.52%,247,237,484
"District Judge, 247th Judicial District",0267,146,166,312,1327,23.51%,166,128,294
"District Judge, 247th Judicial District",0268,435,717,1152,2493,46.21%,619,410,1029
"District Judge, 247th Judicial District",0269,702,453,1155,2030,56.90%,840,246,1086
"District Judge, 247th Judicial District",0270,817,672,1489,3605,41.30%,804,600,1404
"District Judge, 247th Judicial District",0271,656,382,1038,2518,41.22%,28,1000,1028
"District Judge, 247th Judicial District",0272,264,292,555,2162,25.72%,218,311,529
"District Judge, 247th Judicial District",0273,548,689,1237,2470,50.08%,959,215,1174
"District Judge, 247th Judicial District",0274,588,346,934,2153,43.38%,602,267,869
"District Judge, 247th Judicial District",0275,207,236,443,1850,23.95%,101,325,426
"District Judge, 247th Judicial District",0276,572,231,803,2536,31.66%,14,775,789
"District Judge, 247th Judicial District",0277,170,186,356,1492,23.86%,162,178,340
"District Judge, 247th Judicial District",0278,421,320,741,2454,30.20%,407,298,705
"District Judge, 247th Judicial District",0279,250,223,473,1941,24.37%,278,171,449
"District Judge, 247th Judicial District",0280,130,188,318,1524,20.87%,132,165,297
"District Judge, 247th Judicial District",0281,655,742,1397,2633,53.06%,595,655,1250
"District Judge, 247th Judicial District",0282,314,455,769,2042,37.66%,462,263,725
"District Judge, 247th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0284,574,335,910,3172,28.69%,412,453,865
"District Judge, 247th Judicial District",0285,448,378,826,2540,32.52%,72,728,800
"District Judge, 247th Judicial District",0286,1255,821,2076,6170,33.65%,191,1826,2017
"District Judge, 247th Judicial District",0287,370,477,847,1621,52.25%,391,400,791
"District Judge, 247th Judicial District",0288,532,313,845,2210,38.24%,18,813,831
"District Judge, 247th Judicial District",0289,186,212,398,1564,25.45%,198,177,375
"District Judge, 247th Judicial District",0290,245,298,543,1642,33.07%,405,122,527
"District Judge, 247th Judicial District",0291,325,235,560,1225,45.71%,272,251,523
"District Judge, 247th Judicial District",0292,207,147,354,1356,26.11%,42,303,345
"District Judge, 247th Judicial District",0293,356,447,803,1759,45.65%,353,390,743
"District Judge, 247th Judicial District",0294,488,221,709,2097,33.81%,12,684,696
"District Judge, 247th Judicial District",0295,148,103,251,885,28.36%,9,238,247
"District Judge, 247th Judicial District",0296,327,340,667,1713,38.94%,383,238,621
"District Judge, 247th Judicial District",0297,280,249,529,2012,26.29%,228,266,494
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0298,415,358,773,2121,36.45%,451,273,724
"District Judge, 247th Judicial District",0299,178,117,295,1353,21.80%,114,159,273
"District Judge, 247th Judicial District",0300,1389,1016,2405,5406,44.49%,1885,424,2309
"District Judge, 247th Judicial District",0301,210,255,465,2352,19.77%,186,255,441
"District Judge, 247th Judicial District",0302,353,343,696,2720,25.59%,403,266,669
"District Judge, 247th Judicial District",0303,922,784,1706,3245,52.57%,1301,320,1621
"District Judge, 247th Judicial District",0304,606,505,1111,2298,48.35%,582,447,1029
"District Judge, 247th Judicial District",0305,524,432,956,4191,22.81%,403,524,927
"District Judge, 247th Judicial District",0306,649,342,991,1879,52.74%,691,240,931
"District Judge, 247th Judicial District",0307,733,670,1403,3099,45.27%,931,388,1319
"District Judge, 247th Judicial District",0308,199,130,329,1296,25.39%,115,198,313
"District Judge, 247th Judicial District",0309,708,593,1301,2524,51.55%,986,235,1221
"District Judge, 247th Judicial District",0310,386,279,665,1435,46.34%,441,175,616
"District Judge, 247th Judicial District",0311,486,421,907,2986,30.38%,483,360,843
"District Judge, 247th Judicial District",0312,742,457,1199,3636,32.98%,749,392,1141
"District Judge, 247th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 247th Judicial District",0314,1121,913,2034,5647,36.02%,1268,702,1970
"District Judge, 247th Judicial District",0315,478,388,866,1608,53.86%,484,324,808
"District Judge, 247th Judicial District",0316,412,341,753,1537,48.99%,372,323,695
"District Judge, 247th Judicial District",0317,248,209,457,1588,28.78%,149,288,437
"District Judge, 247th Judicial District",0318,834,568,1402,3660,38.31%,64,1292,1356
"District Judge, 247th Judicial District",0319,512,230,742,2158,34.38%,43,678,721
"District Judge, 247th Judicial District",0320,234,168,402,1537,26.15%,200,184,384
"District Judge, 247th Judicial District",0321,262,191,453,2346,19.31%,171,256,427
"District Judge, 247th Judicial District",0322,181,129,310,1226,25.29%,99,199,298
"District Judge, 247th Judicial District",0323,278,211,489,1722,28.40%,230,229,459
"District Judge, 247th Judicial District",0324,532,646,1178,2336,50.43%,697,387,1084
"District Judge, 247th Judicial District",0325,289,193,482,2112,22.82%,108,354,462
"District Judge, 247th Judicial District",0326,87,74,161,698,23.07%,78,75,153
"District Judge, 247th Judicial District",0327,380,129,509,1729,29.44%,10,485,495
"District Judge, 247th Judicial District",0328,151,140,291,1434,20.29%,123,158,281
"District Judge, 247th Judicial District",0329,189,184,373,1397,26.70%,136,216,352
"District Judge, 247th Judicial District",0330,334,253,587,1936,30.32%,329,227,556
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Schmude,"DEM Clinton ""Chip"" Wells",Totals
"District Judge, 247th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"District Judge, 247th Judicial District",0332,18,7,25,138,18.12%,11,10,21
"District Judge, 247th Judicial District",0333,524,714,1238,3021,40.98%,859,318,1177
"District Judge, 247th Judicial District",0334,83,42,125,742,16.85%,21,101,122
"District Judge, 247th Judicial District",0335,121,98,219,1300,16.85%,81,121,202
"District Judge, 247th Judicial District",0336,866,624,1490,4051,36.78%,128,1322,1450
"District Judge, 247th Judicial District",0337,124,103,227,1029,22.06%,40,176,216
