Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM William Moody,LIB Tom Oxford,Totals
"Chief Justice, Supreme Court",0056,282,278,560,1326,42.23%,370,150,22,542
"Chief Justice, Supreme Court",0057,710,831,1541,3153,48.87%,627,803,56,1486
"Chief Justice, Supreme Court",0058,470,556,1026,2690,38.14%,422,533,37,992
"Chief Justice, Supreme Court",0059,555,609,1164,2544,45.75%,454,620,54,1128
"Chief Justice, Supreme Court",0060,500,564,1064,2453,43.38%,267,722,40,1029
"Chief Justice, Supreme Court",0061,172,204,376,1773,21.21%,155,193,5,353
"Chief Justice, Supreme Court",0062,145,322,467,2181,21.41%,117,322,4,443
"Chief Justice, Supreme Court",0063,264,354,618,1826,33.84%,490,106,12,608
"Chief Justice, Supreme Court",0064,191,221,412,2141,19.24%,86,296,7,389
"Chief Justice, Supreme Court",0065,172,230,402,2167,18.55%,98,273,14,385
"Chief Justice, Supreme Court",0066,69,143,212,1098,19.31%,35,161,6,202
"Chief Justice, Supreme Court",0067,304,282,586,2794,20.97%,157,386,14,557
"Chief Justice, Supreme Court",0068,553,352,905,2924,30.95%,18,867,6,891
"Chief Justice, Supreme Court",0069,80,124,204,1284,15.89%,40,148,4,192
"Chief Justice, Supreme Court",0070,882,664,1546,3337,46.33%,936,526,45,1507
"Chief Justice, Supreme Court",0071,602,722,1324,4197,31.55%,626,602,61,1289
"Chief Justice, Supreme Court",0072,220,293,513,1924,26.66%,155,327,11,493
"Chief Justice, Supreme Court",0073,252,414,666,1555,42.83%,377,239,19,635
"Chief Justice, Supreme Court",0074,1153,782,1935,3583,54.01%,1528,337,29,1894
"Chief Justice, Supreme Court",0075,254,280,534,1444,36.98%,207,287,21,515
"Chief Justice, Supreme Court",0076,373,374,747,2362,31.63%,440,284,10,734
"Chief Justice, Supreme Court",0077,43,46,89,566,15.72%,21,64,2,87
"Chief Justice, Supreme Court",0078,181,201,382,1522,25.10%,125,228,9,362
"Chief Justice, Supreme Court",0079,205,306,511,2927,17.46%,133,337,12,482
"Chief Justice, Supreme Court",0080,501,351,852,2725,31.27%,218,592,10,820
"Chief Justice, Supreme Court",0081,183,187,370,1835,20.16%,140,203,7,350
"Chief Justice, Supreme Court",0082,639,671,1310,3368,38.90%,966,285,40,1291
"Chief Justice, Supreme Court",0083,1298,888,2186,6625,33.00%,1058,1037,45,2140
"Chief Justice, Supreme Court",0084,208,218,426,1373,31.03%,308,94,12,414
"Chief Justice, Supreme Court",0085,271,248,519,2173,23.88%,21,485,6,512
"Chief Justice, Supreme Court",0086,448,568,1016,2910,34.91%,454,496,36,986
"Chief Justice, Supreme Court",0087,574,787,1461,2818,51.85%,961,441,30,1432
"Chief Justice, Supreme Court",0088,123,118,241,693,34.78%,153,70,9,232
"Chief Justice, Supreme Court",0089,165,371,536,1094,48.99%,303,203,12,518
"Chief Justice, Supreme Court",0090,845,790,1635,3700,44.19%,1197,351,50,1598
"Chief Justice, Supreme Court",0091,221,222,443,1505,29.44%,261,156,17,434
"Chief Justice, Supreme Court",0092,695,462,1157,2242,51.61%,781,320,27,1128
"Chief Justice, Supreme Court",0093,381,301,682,3356,20.32%,275,361,13,649
"Chief Justice, Supreme Court",0094,51,43,94,549,17.12%,28,62,1,91
"Chief Justice, Supreme Court",0095,917,576,1493,3177,46.99%,1103,325,39,1467
"Chief Justice, Supreme Court",0096,83,83,166,1296,12.81%,24,141,0,165
"Chief Justice, Supreme Court",0097,1024,725,1749,4828,36.23%,1305,379,35,1719
"Chief Justice, Supreme Court",0098,403,488,891,2651,33.61%,726,117,31,874
"Chief Justice, Supreme Court",0099,254,184,438,2092,20.94%,212,212,11,435
"Chief Justice, Supreme Court",0100,165,173,338,1730,19.54%,175,151,8,334
"Chief Justice, Supreme Court",0101,72,58,130,946,13.74%,44,78,5,127
"Chief Justice, Supreme Court",0102,207,121,328,1872,17.52%,90,224,5,319
"Chief Justice, Supreme Court",0103,700,714,1414,5371,26.33%,789,572,31,1392
"Chief Justice, Supreme Court",0104,530,231,761,1905,39.95%,17,734,2,753
"Chief Justice, Supreme Court",0105,196,210,406,2165,18.75%,132,243,10,385
"Chief Justice, Supreme Court",0106,18,7,25,294,8.50%,16,9,0,25
"Chief Justice, Supreme Court",0107,154,197,351,2032,17.27%,54,279,8,341
"Chief Justice, Supreme Court",0108,668,272,940,3365,27.93%,562,336,17,915
"Chief Justice, Supreme Court",0109,530,245,775,2824,27.44%,9,749,3,761
"Chief Justice, Supreme Court",0110,654,494,1148,3042,37.74%,737,364,22,1123
"Chief Justice, Supreme Court",0111,816,795,1611,4102,39.27%,1185,356,39,1580
"Chief Justice, Supreme Court",0112,542,485,1027,2976,34.51%,759,218,32,1009
"Chief Justice, Supreme Court",0113,562,429,991,2647,37.44%,608,336,23,967
"Chief Justice, Supreme Court",0114,707,547,1254,3311,37.87%,1021,204,18,1243
"Chief Justice, Supreme Court",0115,238,150,388,1800,21.56%,52,321,6,379
"Chief Justice, Supreme Court",0116,982,776,1758,3147,55.86%,1366,313,36,1715
"Chief Justice, Supreme Court",0117,216,226,442,1880,23.51%,221,199,9,429
"Chief Justice, Supreme Court",0118,304,123,427,759,56.26%,363,48,9,420
"Chief Justice, Supreme Court",0119,1290,1024,2314,5500,42.07%,1870,343,52,2265
"Chief Justice, Supreme Court",0120,713,422,1135,3191,35.57%,749,330,28,1107
"Chief Justice, Supreme Court",0121,92,178,270,848,31.84%,192,69,3,264
"Chief Justice, Supreme Court",0122,352,225,577,1890,30.53%,19,542,5,566
"Chief Justice, Supreme Court",0123,285,288,573,1392,41.16%,146,387,20,553
"Chief Justice, Supreme Court",0124,1734,1292,3026,7254,41.71%,2404,530,56,2990
"Chief Justice, Supreme Court",0125,415,332,747,2405,31.06%,451,260,19,730
"Chief Justice, Supreme Court",0126,893,467,1360,3100,43.87%,1197,119,29,1345
"Chief Justice, Supreme Court",0127,435,154,589,1836,32.08%,415,140,16,571
"Chief Justice, Supreme Court",0128,445,707,1152,2290,50.31%,750,331,26,1107
"Chief Justice, Supreme Court",0129,1031,1200,2231,5746,38.83%,1421,694,59,2174
"Chief Justice, Supreme Court",0130,727,523,1250,2333,53.58%,942,264,9,1215
"Chief Justice, Supreme Court",0131,251,259,510,1935,26.36%,125,364,6,495
"Chief Justice, Supreme Court",0132,593,323,916,2387,38.37%,18,876,6,900
"Chief Justice, Supreme Court",0133,514,858,1372,2662,51.54%,811,487,34,1332
"Chief Justice, Supreme Court",0134,192,265,457,1437,31.80%,209,226,11,446
"Chief Justice, Supreme Court",0135,730,579,1309,2671,49.01%,943,315,17,1275
"Chief Justice, Supreme Court",0136,503,371,874,2013,43.42%,36,815,10,861
"Chief Justice, Supreme Court",0137,166,141,307,716,42.88%,161,131,11,303
"Chief Justice, Supreme Court",0138,296,199,495,1699,29.13%,16,466,3,485
"Chief Justice, Supreme Court",0139,700,551,1251,3037,41.19%,565,619,37,1221
"Chief Justice, Supreme Court",0140,701,480,1181,3214,36.75%,141,992,26,1159
"Chief Justice, Supreme Court",0141,80,80,160,855,18.71%,100,51,3,154
"Chief Justice, Supreme Court",0142,87,103,190,902,21.06%,64,116,4,184
"Chief Justice, Supreme Court",0143,1962,580,2542,6386,39.81%,1824,643,49,2516
"Chief Justice, Supreme Court",0144,216,158,374,1093,34.22%,8,350,6,364
"Chief Justice, Supreme Court",0145,264,213,477,1538,31.01%,12,451,1,464
"Chief Justice, Supreme Court",0146,426,519,945,2008,47.06%,421,464,33,918
"Chief Justice, Supreme Court",0147,589,329,1018,3008,33.84%,129,863,8,1000
"Chief Justice, Supreme Court",0148,500,780,1280,2540,50.39%,548,660,29,1237
"Chief Justice, Supreme Court",0149,1621,737,2358,7993,29.50%,1210,1061,54,2325
"Chief Justice, Supreme Court",0150,236,169,405,1256,32.25%,12,389,1,402
"Chief Justice, Supreme Court",0151,137,79,216,826,26.15%,9,200,0,209
"Chief Justice, Supreme Court",0152,214,299,513,2788,18.40%,126,357,13,496
"Chief Justice, Supreme Court",0153,125,206,331,1808,18.31%,104,204,7,315
"Chief Justice, Supreme Court",0154,249,183,432,2190,19.73%,109,295,10,414
"Chief Justice, Supreme Court",0155,1022,619,1641,4109,39.94%,1163,422,25,1610
"Chief Justice, Supreme Court",0156,800,326,1126,3071,36.67%,38,1059,12,1109
"Chief Justice, Supreme Court",0157,448,214,662,2236,29.61%,20,625,5,650
"Chief Justice, Supreme Court",0158,600,315,915,3035,30.15%,23,874,4,901
"Chief Justice, Supreme Court",0159,116,127,243,998,24.35%,41,192,5,238
"Chief Justice, Supreme Court",0160,122,73,195,696,28.02%,8,185,0,193
"Chief Justice, Supreme Court",0161,163,141,304,991,30.68%,5,292,2,299
"Chief Justice, Supreme Court",0162,101,83,184,1265,14.55%,65,102,5,172
"Chief Justice, Supreme Court",0163,230,320,550,3037,18.11%,232,287,8,527
"Chief Justice, Supreme Court",0164,182,205,387,1420,27.25%,13,367,2,382
"Chief Justice, Supreme Court",0165,535,483,1018,2334,43.62%,677,289,25,991
"Chief Justice, Supreme Court",0166,158,233,391,1028,38.04%,110,247,22,379
"Chief Justice, Supreme Court",0167,3,0,3,24,12.50%,0,3,0,3
"Chief Justice, Supreme Court",0168,92,58,150,503,29.82%,2,143,0,145
"Chief Justice, Supreme Court",0169,516,251,767,2513,30.52%,15,731,4,750
"Chief Justice, Supreme Court",0170,271,141,412,1869,22.04%,217,173,10,400
"Chief Justice, Supreme Court",0171,202,198,400,1604,24.94%,10,380,3,393
"Chief Justice, Supreme Court",0172,86,80,166,621,26.73%,65,93,1,159
"Chief Justice, Supreme Court",0173,819,739,1558,3599,43.29%,1244,253,37,1534
"Chief Justice, Supreme Court",0174,830,733,1563,3296,47.42%,1102,389,33,1524
"Chief Justice, Supreme Court",0175,560,749,1309,2618,50.00%,696,541,26,1263
"Chief Justice, Supreme Court",0176,344,451,795,1602,49.63%,453,292,16,761
"Chief Justice, Supreme Court",0177,278,326,604,1496,40.37%,353,218,16,587
"Chief Justice, Supreme Court",0178,504,365,869,1765,49.24%,607,212,24,843
"Chief Justice, Supreme Court",0179,256,188,444,1575,28.19%,227,182,20,429
"Chief Justice, Supreme Court",0180,470,343,813,2834,28.69%,18,763,9,790
"Chief Justice, Supreme Court",0181,175,262,437,2061,21.20%,139,269,12,420
"Chief Justice, Supreme Court",0182,590,974,1564,3405,45.93%,998,481,26,1505
"Chief Justice, Supreme Court",0183,520,794,1314,2491,52.75%,895,356,24,1275
"Chief Justice, Supreme Court",0184,106,135,241,994,24.25%,80,135,5,220
"Chief Justice, Supreme Court",0185,283,292,575,1933,29.75%,207,341,8,556
"Chief Justice, Supreme Court",0186,97,106,203,798,25.44%,29,166,4,199
"Chief Justice, Supreme Court",0187,21,25,46,311,14.79%,12,28,4,44
"Chief Justice, Supreme Court",0188,153,146,299,1637,18.27%,132,146,12,290
"Chief Justice, Supreme Court",0189,239,360,599,1465,40.89%,303,246,31,580
"Chief Justice, Supreme Court",0190,120,177,297,1723,17.24%,114,160,13,287
"Chief Justice, Supreme Court",0191,79,126,205,1366,15.01%,89,105,7,201
"Chief Justice, Supreme Court",0192,381,225,606,1959,30.93%,31,552,6,589
"Chief Justice, Supreme Court",0193,173,187,360,1074,33.52%,10,336,3,349
"Chief Justice, Supreme Court",0194,351,431,782,1912,40.90%,241,490,33,764
"Chief Justice, Supreme Court",0195,269,278,547,1694,32.29%,22,510,5,537
"Chief Justice, Supreme Court",0196,52,32,84,316,26.58%,4,77,2,83
"Chief Justice, Supreme Court",0197,543,309,852,2914,29.24%,16,821,4,841
"Chief Justice, Supreme Court",0198,53,74,127,642,19.78%,3,122,1,126
"Chief Justice, Supreme Court",0199,812,661,1473,3216,45.80%,1136,257,45,1438
"Chief Justice, Supreme Court",0200,962,536,1498,3382,44.29%,691,704,41,1436
"Chief Justice, Supreme Court",0201,98,87,185,724,25.55%,4,176,1,181
"Chief Justice, Supreme Court",0202,217,189,406,1464,27.73%,12,384,2,398
"Chief Justice, Supreme Court",0203,107,68,175,960,18.23%,37,124,5,166
"Chief Justice, Supreme Court",0204,817,784,1601,3487,45.91%,892,577,59,1528
"Chief Justice, Supreme Court",0205,465,171,636,1664,38.22%,11,616,4,631
"Chief Justice, Supreme Court",0206,364,462,826,2779,29.72%,240,533,35,808
"Chief Justice, Supreme Court",0207,265,261,526,1188,44.28%,165,330,11,506
"Chief Justice, Supreme Court",0208,322,262,584,2195,26.61%,172,385,11,568
"Chief Justice, Supreme Court",0209,0,2,2,0,0.00%,2,0,0,2
"Chief Justice, Supreme Court",0210,502,467,969,2533,38.26%,108,835,14,957
"Chief Justice, Supreme Court",0211,307,386,693,2914,23.78%,265,389,16,670
"Chief Justice, Supreme Court",0212,96,155,251,1300,19.31%,52,187,4,243
"Chief Justice, Supreme Court",0213,826,913,1739,3350,51.91%,1420,248,27,1695
"Chief Justice, Supreme Court",0214,404,491,895,1854,48.27%,578,267,28,873
"Chief Justice, Supreme Court",0215,423,711,1134,2258,50.22%,714,357,39,1110
"Chief Justice, Supreme Court",0216,362,223,585,1945,30.08%,40,532,2,574
"Chief Justice, Supreme Court",0217,844,631,1475,2678,55.08%,1019,379,33,1431
"Chief Justice, Supreme Court",0218,392,402,794,2292,34.64%,257,475,20,752
"Chief Justice, Supreme Court",0219,497,436,933,2767,33.72%,48,855,6,909
"Chief Justice, Supreme Court",0220,325,187,512,2310,22.16%,364,126,9,499
"Chief Justice, Supreme Court",0221,332,369,701,2529,27.72%,302,347,16,665
"Chief Justice, Supreme Court",0222,623,674,1297,2501,51.86%,647,581,19,1247
"Chief Justice, Supreme Court",0223,563,377,940,3582,26.24%,265,603,43,911
"Chief Justice, Supreme Court",0224,531,456,987,2238,44.10%,488,436,28,952
"Chief Justice, Supreme Court",0225,376,405,781,3305,23.63%,387,358,20,765
"Chief Justice, Supreme Court",0226,227,307,534,2436,21.92%,127,370,14,511
"Chief Justice, Supreme Court",0227,558,423,981,1785,54.96%,780,161,13,954
"Chief Justice, Supreme Court",0228,362,195,557,1050,53.05%,22,504,13,539
"Chief Justice, Supreme Court",0229,31,96,127,815,15.58%,58,59,3,120
"Chief Justice, Supreme Court",0230,185,116,301,1089,27.64%,7,286,4,297
"Chief Justice, Supreme Court",0231,233,264,497,2232,22.27%,125,340,10,475
"Chief Justice, Supreme Court",0232,361,474,835,1760,47.44%,491,307,18,816
"Chief Justice, Supreme Court",0233,892,801,1693,4445,38.09%,838,740,60,1638
"Chief Justice, Supreme Court",0234,1192,913,2105,3993,52.72%,1692,334,22,2048
"Chief Justice, Supreme Court",0235,240,158,398,1356,29.35%,13,376,5,394
"Chief Justice, Supreme Court",0236,354,235,589,2079,28.33%,11,558,6,575
"Chief Justice, Supreme Court",0237,417,253,670,2161,31.00%,12,645,4,661
"Chief Justice, Supreme Court",0238,340,245,585,1925,30.39%,16,555,2,573
"Chief Justice, Supreme Court",0239,383,236,619,1964,31.52%,17,581,8,606
"Chief Justice, Supreme Court",0240,585,243,828,2649,31.26%,16,792,3,811
"Chief Justice, Supreme Court",0241,222,229,451,2372,19.01%,187,243,5,435
"Chief Justice, Supreme Court",0242,173,162,335,1596,20.99%,192,119,10,321
"Chief Justice, Supreme Court",0243,138,43,181,457,39.61%,1,179,1,181
"Chief Justice, Supreme Court",0244,480,425,905,3117,29.03%,497,359,24,880
"Chief Justice, Supreme Court",0245,945,799,1745,5828,29.94%,1193,461,61,1715
"Chief Justice, Supreme Court",0246,584,513,1197,3315,36.11%,852,297,27,1176
"Chief Justice, Supreme Court",0247,173,254,427,1582,26.99%,16,401,4,421
"Chief Justice, Supreme Court",0248,161,167,328,2100,15.62%,88,222,11,321
"Chief Justice, Supreme Court",0249,461,348,809,2719,29.75%,562,220,15,797
"Chief Justice, Supreme Court",0250,109,164,273,964,28.32%,7,259,2,268
"Chief Justice, Supreme Court",0251,278,436,714,2089,34.18%,23,680,2,705
"Chief Justice, Supreme Court",0252,504,312,816,2377,34.33%,16,785,5,806
"Chief Justice, Supreme Court",0253,379,222,601,2177,27.61%,9,575,3,587
"Chief Justice, Supreme Court",0254,93,112,205,1550,13.23%,65,127,5,197
"Chief Justice, Supreme Court",0255,526,648,1174,2482,47.30%,569,542,26,1137
"Chief Justice, Supreme Court",0256,575,449,1024,3254,31.47%,481,476,21,978
"Chief Justice, Supreme Court",0257,204,245,449,2523,17.80%,137,289,7,433
"Chief Justice, Supreme Court",0258,840,800,1640,3322,49.37%,1228,333,29,1590
"Chief Justice, Supreme Court",0259,555,382,1038,2361,43.96%,23,989,8,1020
"Chief Justice, Supreme Court",0260,162,145,307,1260,24.37%,179,107,7,293
"Chief Justice, Supreme Court",0261,124,120,244,1417,17.22%,99,131,4,234
"Chief Justice, Supreme Court",0262,758,600,1358,4397,30.88%,850,423,51,1324
"Chief Justice, Supreme Court",0263,858,712,1570,3693,42.51%,1199,307,38,1544
"Chief Justice, Supreme Court",0264,482,457,939,2963,31.69%,584,305,31,920
"Chief Justice, Supreme Court",0265,988,759,1747,3584,48.74%,1334,322,38,1694
"Chief Justice, Supreme Court",0266,259,257,516,2104,24.52%,258,217,12,487
"Chief Justice, Supreme Court",0267,146,166,312,1327,23.51%,162,123,10,295
"Chief Justice, Supreme Court",0268,435,717,1152,2493,46.21%,718,359,25,1102
"Chief Justice, Supreme Court",0269,702,453,1155,2030,56.90%,953,167,12,1132
"Chief Justice, Supreme Court",0270,819,672,1491,3605,41.36%,818,576,50,1444
"Chief Justice, Supreme Court",0271,656,382,1038,2518,41.22%,25,1002,1,1028
"Chief Justice, Supreme Court",0272,264,292,556,2162,25.72%,210,311,25,546
"Chief Justice, Supreme Court",0273,548,689,1237,2470,50.08%,1030,165,23,1218
"Chief Justice, Supreme Court",0274,588,346,934,2153,43.38%,658,230,20,908
"Chief Justice, Supreme Court",0275,207,236,443,1850,23.95%,105,321,9,435
"Chief Justice, Supreme Court",0276,572,231,803,2536,31.66%,8,772,8,788
"Chief Justice, Supreme Court",0277,170,186,356,1492,23.86%,171,168,9,348
"Chief Justice, Supreme Court",0278,421,320,741,2454,30.20%,413,296,13,722
"Chief Justice, Supreme Court",0279,251,223,474,1941,24.42%,280,168,15,463
"Chief Justice, Supreme Court",0280,130,188,318,1524,20.87%,135,160,13,308
"Chief Justice, Supreme Court",0281,655,742,1397,2633,53.06%,759,557,23,1339
"Chief Justice, Supreme Court",0282,314,455,769,2042,37.66%,500,230,23,753
"Chief Justice, Supreme Court",0283,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0284,574,336,910,3172,28.69%,421,442,16,879
"Chief Justice, Supreme Court",0285,448,378,826,2540,32.52%,73,735,3,811
"Chief Justice, Supreme Court",0286,1255,821,2076,6170,33.65%,198,1819,14,2031
"Chief Justice, Supreme Court",0287,371,477,848,1621,52.31%,426,376,22,824
"Chief Justice, Supreme Court",0288,532,313,845,2210,38.24%,19,812,5,836
"Chief Justice, Supreme Court",0289,186,212,398,1564,25.45%,196,172,11,379
"Chief Justice, Supreme Court",0290,245,298,543,1642,33.07%,403,117,18,538
"Chief Justice, Supreme Court",0291,325,235,560,1225,45.71%,291,239,12,542
"Chief Justice, Supreme Court",0292,207,147,354,1356,26.11%,42,303,4,349
"Chief Justice, Supreme Court",0293,357,447,804,1759,45.71%,364,373,32,769
"Chief Justice, Supreme Court",0294,488,221,709,2097,33.81%,10,683,5,698
"Chief Justice, Supreme Court",0295,148,103,251,885,28.36%,7,240,1,248
"Chief Justice, Supreme Court",0296,327,340,667,1713,38.94%,388,227,24,639
"Chief Justice, Supreme Court",0297,280,249,529,2012,26.29%,234,261,12,507
"Chief Justice, Supreme Court",0298,415,358,773,2121,36.45%,463,255,22,740
"Chief Justice, Supreme Court",0299,179,117,296,1353,21.88%,121,155,9,285
"Chief Justice, Supreme Court",0300,1389,1016,2405,5406,44.49%,1917,405,41,2363
"Chief Justice, Supreme Court",0301,210,255,465,2352,19.77%,180,254,8,442
"Chief Justice, Supreme Court",0302,353,343,696,2720,25.59%,395,271,12,678
"Chief Justice, Supreme Court",0303,924,784,1708,3245,52.63%,1414,244,18,1676
"Chief Justice, Supreme Court",0304,606,505,1111,2298,48.35%,661,391,16,1068
"Chief Justice, Supreme Court",0305,524,432,956,4191,22.81%,397,522,20,939
"Chief Justice, Supreme Court",0306,550,342,992,1879,52.79%,742,212,18,972
"Chief Justice, Supreme Court",0307,733,670,1403,3099,45.27%,971,345,49,1365
"Chief Justice, Supreme Court",0308,199,130,329,1296,25.39%,108,203,9,320
"Chief Justice, Supreme Court",0309,708,593,1301,2524,51.55%,1080,178,17,1275
"Chief Justice, Supreme Court",0310,386,279,665,1435,46.34%,461,170,8,639
"Chief Justice, Supreme Court",0311,486,421,907,2986,30.38%,495,352,14,861
"Chief Justice, Supreme Court",0312,742,457,1199,3636,32.98%,792,359,24,1175
"Chief Justice, Supreme Court",0313,9,0,9,62,14.52%,7,2,0,9
"Chief Justice, Supreme Court",0314,1121,913,2034,5647,36.02%,1281,671,52,2004
"Chief Justice, Supreme Court",0315,478,388,866,1608,53.86%,536,291,17,844
"Chief Justice, Supreme Court",0316,412,341,753,1537,48.99%,437,274,17,728
"Chief Justice, Supreme Court",0317,250,209,459,1588,28.90%,150,288,11,449
"Chief Justice, Supreme Court",0318,834,568,1402,3660,38.31%,71,1291,12,1374
"Chief Justice, Supreme Court",0319,512,230,742,2158,34.38%,42,676,4,722
"Chief Justice, Supreme Court",0320,234,168,402,1537,26.15%,199,187,5,391
"Chief Justice, Supreme Court",0321,262,191,453,2346,19.31%,161,269,6,436
"Chief Justice, Supreme Court",0322,182,129,311,1226,25.37%,102,197,6,305
"Chief Justice, Supreme Court",0323,278,211,489,1722,28.40%,232,223,12,467
"Chief Justice, Supreme Court",0324,532,545,1178,2336,50.43%,748,358,25,1131
"Chief Justice, Supreme Court",0325,289,193,482,2112,22.82%,105,351,14,470
"Chief Justice, Supreme Court",0326,87,74,161,698,23.07%,75,73,5,153
"Chief Justice, Supreme Court",0327,380,129,509,1729,29.44%,9,488,6,503
"Chief Justice, Supreme Court",0328,151,140,291,1434,20.29%,119,151,7,277
"Chief Justice, Supreme Court",0329,191,184,375,1397,26.84%,140,216,12,368
"Chief Justice, Supreme Court",0330,334,253,587,1936,30.32%,337,221,10,568
"Chief Justice, Supreme Court",0331,0,0,0,0,0.00%,0,0,0,0
"Chief Justice, Supreme Court",0332,18,7,25,138,18.12%,14,7,1,22
"Chief Justice, Supreme Court",0333,524,714,1238,3021,40.98%,858,306,48,1212
"Chief Justice, Supreme Court",0334,83,42,125,742,16.85%,21,100,1,122
"Chief Justice, Supreme Court",0335,121,98,219,1300,16.85%,86,123,4,213
"Chief Justice, Supreme Court",0336,870,624,1494,4051,36.88%,129,1322,18,1469
"Chief Justice, Supreme Court",0337,124,103,227,1029,22.06%,40,174,3,217
"Chief Justice, Supreme Court",0338,731,391,1122,4934,22.74%,393,651,19,1063
"Chief Justice, Supreme Court",0339,202,222,424,1757,24.13%,91,301,10,402
"Chief Justice, Supreme Court",0340,1038,594,1632,3765,43.35%,1216,322,54,1592
