Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,"REP Michael ""Mike"" Schneider",Totals
"Family District Judge, 315th Judicial District",0090,844,790,1634,3700,44.16%,1247,1247
"Family District Judge, 315th Judicial District",0091,219,222,441,1505,29.30%,295,295
"Family District Judge, 315th Judicial District",0092,695,462,1157,2242,51.61%,804,804
"Family District Judge, 315th Judicial District",0093,381,301,682,3356,20.32%,332,332
"Family District Judge, 315th Judicial District",0094,51,43,94,549,17.12%,38,38
"Family District Judge, 315th Judicial District",0095,917,576,1493,3177,46.99%,1126,1126
"Family District Judge, 315th Judicial District",0096,83,83,166,1296,12.81%,35,35
"Family District Judge, 315th Judicial District",0097,1024,725,1749,4828,36.23%,1352,1352
"Family District Judge, 315th Judicial District",0098,403,488,891,2651,33.61%,757,757
"Family District Judge, 315th Judicial District",0099,254,184,438,2092,20.94%,237,237
"Family District Judge, 315th Judicial District",0100,185,173,338,1730,19.54%,195,195
"Family District Judge, 315th Judicial District",0101,72,58,130,948,13.74%,80,80
"Family District Judge, 315th Judicial District",0102,207,121,328,1872,17.52%,110,110
"Family District Judge, 315th Judicial District",0103,700,714,1414,5371,28.33%,875,875
"Family District Judge, 315th Judicial District",0104,530,231,781,1905,39.95%,80,80
"Family District Judge, 315th Judicial District",0105,198,210,408,2185,18.75%,175,175
"Family District Judge, 315th Judicial District",0108,18,7,25,294,8.50%,18,18
"Family District Judge, 315th Judicial District",0107,154,197,351,2032,17.27%,88,88
"Family District Judge, 315th Judicial District",0108,558,272,940,3385,27.93%,810,810
"Family District Judge, 315th Judicial District",0109,529,245,774,2824,27.41%,34,34
"Family District Judge, 315th Judicial District",0110,854,494,1148,3042,37.74%,812,812
"Family District Judge, 315th Judicial District",0111,818,795,1811,4102,39.27%,1248,1248
"Family District Judge, 315th Judicial District",0112,542,485,1027,2978,34.51%,788,788
"Family District Judge, 315th Judicial District",0113,582,429,991,2847,37.44%,884,884
"Family District Judge, 315th Judicial District",0114,707,547,1254,3311,37.87%,1059,1059
"Family District Judge, 315th Judicial District",0115,238,150,388,1800,21.58%,81,81
"Family District Judge, 315th Judicial District",0118,982,778,1758,3147,55.88%,1384,1384
"Family District Judge, 315th Judicial District",0117,215,228,441,1880,23.48%,257,257
"Family District Judge, 315th Judicial District",0118,304,123,427,759,58.28%,383,383
"Family District Judge, 315th Judicial District",0119,1288,1024,2312,5500,42.04%,1948,1948
"Family District Judge, 315th Judicial District",0120,712,422,1134,3191,35.54%,793,793
"Family District Judge, 315th Judicial District",0121,92,178,270,848,31.84%,195,195
"Family District Judge, 315th Judicial District",0122,352,225,577,1890,30.53%,44,44
"Family District Judge, 315th Judicial District",0123,284,288,572,1392,41.09%,195,195
"Family District Judge, 315th Judicial District",0124,1734,1292,3028,7254,41.71%,2490,2490
"Family District Judge, 315th Judicial District",0125,415,332,747,2405,31.08%,508,508
"Family District Judge, 315th Judicial District",0128,893,487,1380,3100,43.87%,1218,1218
"Family District Judge, 315th Judicial District",0127,435,154,589,1838,32.08%,444,444
"Family District Judge, 315th Judicial District",0128,445,707,1152,2290,50.31%,780,780
"Family District Judge, 315th Judicial District",0129,1030,1200,2230,5748,38.81%,1514,1514
"Family District Judge, 315th Judicial District",0130,727,523,1250,2333,53.58%,950,950
"Family District Judge, 315th Judicial District",0131,251,259,510,1935,28.38%,153,153
"Family District Judge, 315th Judicial District",0132,593,323,918,2387,38.37%,55,55
"Family District Judge, 315th Judicial District",0133,513,858,1371,2662,51.50%,876,876
"Family District Judge, 315th Judicial District",0134,192,265,457,1437,31.80%,236,236
"Family District Judge, 315th Judicial District",0135,727,579,1306,2671,48.90%,941,941
"Family District Judge, 315th Judicial District",0136,503,371,874,2013,43.42%,110,110
"Family District Judge, 315th Judicial District",0137,166,141,307,716,42.88%,166,166
"Family District Judge, 315th Judicial District",0138,296,199,495,1699,29.13%,34,34
"Family District Judge, 315th Judicial District",0139,699,551,1250,3037,41.16%,641,641
"Family District Judge, 315th Judicial District",0140,699,480,1179,3214,36.68%,264,264
"Family District Judge, 315th Judicial District",0141,80,80,160,855,18.71%,103,103
"Family District Judge, 315th Judicial District",0142,87,103,190,902,21.06%,82,82
"Family District Judge, 315th Judicial District",0143,1962,580,2542,6386,39.81%,1933,1933
"Family District Judge, 315th Judicial District",0144,216,158,374,1093,34.22%,28,28
"Family District Judge, 315th Judicial District",0145,264,213,477,1538,31.01%,25,25
"Family District Judge, 315th Judicial District",0146,426,519,945,2008,47.06%,488,488
"Family District Judge, 315th Judicial District",0147,689,329,1018,3008,33.84%,200,200
"Family District Judge, 315th Judicial District",0148,500,780,1280,2540,50.39%,565,565
"Family District Judge, 315th Judicial District",0149,1621,737,2358,7993,29.50%,1370,1370
"Family District Judge, 315th Judicial District",0150,236,169,405,1256,32.25%,31,31
"Family District Judge, 315th Judicial District",0151,137,79,216,826,26.15%,20,20
"Family District Judge, 315th Judicial District",0152,213,299,512,2788,18.36%,200,200
"Family District Judge, 315th Judicial District",0153,125,206,331,1808,18.31%,144,144
"Family District Judge, 315th Judicial District",0154,249,183,432,2190,19.73%,156,156
"Family District Judge, 315th Judicial District",0155,1022,619,1641,4109,39.94%,1203,1203
"Family District Judge, 315th Judicial District",0156,799,326,1125,3071,36.63%,118,118
"Family District Judge, 315th Judicial District",0157,448,214,662,2236,29.61%,52,52
"Family District Judge, 315th Judicial District",0158,600,315,915,3035,30.15%,62,62
"Family District Judge, 315th Judicial District",0159,116,127,243,998,24.35%,65,65
"Family District Judge, 315th Judicial District",0160,122,73,195,696,28.02%,13,13
"Family District Judge, 315th Judicial District",0161,163,141,304,991,30.68%,20,20
"Family District Judge, 315th Judicial District",0162,101,83,184,1265,14.55%,82,82
"Family District Judge, 315th Judicial District",0163,230,320,550,3037,18.11%,280,280
"Family District Judge, 315th Judicial District",0164,182,205,387,1420,27.25%,25,25
"Family District Judge, 315th Judicial District",0165,535,483,1018,2334,43.62%,705,705
"Family District Judge, 315th Judicial District",0166,158,233,391,1028,38.04%,143,143
"Family District Judge, 315th Judicial District",0167,3,0,3,24,12.50%,1,1
"Family District Judge, 315th Judicial District",0168,92,58,150,503,29.82%,8,8
"Family District Judge, 315th Judicial District",0169,516,251,767,2513,30.52%,50,50
"Family District Judge, 315th Judicial District",0170,271,141,412,1869,22.04%,243,243
"Family District Judge, 315th Judicial District",0171,202,198,400,1604,24.94%,25,25
"Family District Judge, 315th Judicial District",0172,86,80,166,621,26.73%,74,74
"Family District Judge, 315th Judicial District",0173,817,739,1556,3599,43.23%,1303,1303
"Family District Judge, 315th Judicial District",0174,829,733,1562,3296,47.39%,1136,1136
"Family District Judge, 315th Judicial District",0175,557,749,1306,2618,49.89%,739,739
"Family District Judge, 315th Judicial District",0176,344,451,795,1602,49.63%,453,453
"Family District Judge, 315th Judicial District",0177,278,326,604,1496,40.37%,365,365
"Family District Judge, 315th Judicial District",0178,504,365,869,1765,49.24%,628,628
"Family District Judge, 315th Judicial District",0179,256,188,444,1575,28.19%,264,264
"Family District Judge, 315th Judicial District",0180,470,343,813,2834,28.69%,65,65
"Family District Judge, 315th Judicial District",0181,175,262,437,2061,21.20%,191,191
"Family District Judge, 315th Judicial District",0182,590,974,1564,3405,45.93%,1049,1049
"Family District Judge, 315th Judicial District",0183,519,794,1313,2491,52.71%,928,928
"Family District Judge, 315th Judicial District",0184,106,135,241,994,24.25%,102,102
"Family District Judge, 315th Judicial District",0185,283,292,575,1933,29.75%,250,250
"Family District Judge, 315th Judicial District",0186,97,106,203,798,25.44%,50,50
"Family District Judge, 315th Judicial District",0187,21,25,46,311,14.79%,21,21
"Family District Judge, 315th Judicial District",0188,153,146,299,1637,18.27%,155,155
"Family District Judge, 315th Judicial District",0189,239,360,599,1465,40.89%,349,349
"Family District Judge, 315th Judicial District",0190,120,177,297,1723,17.24%,147,147
"Family District Judge, 315th Judicial District",0191,79,126,205,1366,15.01%,104,104
"Family District Judge, 315th Judicial District",0192,380,225,605,1959,30.88%,66,66
"Family District Judge, 315th Judicial District",0193,173,187,360,1074,33.52%,33,33
"Family District Judge, 315th Judicial District",0194,350,431,781,1912,40.85%,310,310
"Family District Judge, 315th Judicial District",0195,269,278,547,1694,32.29%,51,51
"Family District Judge, 315th Judicial District",0196,52,32,84,316,26.58%,13,13
"Family District Judge, 315th Judicial District",0197,543,309,852,2914,29.24%,71,71
"Family District Judge, 315th Judicial District",0198,53,74,127,642,19.78%,12,12
"Family District Judge, 315th Judicial District",0199,812,661,1473,3216,45.80%,1184,1184
"Family District Judge, 315th Judicial District",0200,962,536,1498,3382,44.29%,786,786
"Family District Judge, 315th Judicial District",0201,98,87,185,724,25.55%,12,12
"Family District Judge, 315th Judicial District",0202,217,189,406,1464,27.73%,31,31
"Family District Judge, 315th Judicial District",0203,107,68,175,960,18.23%,57,57
"Family District Judge, 315th Judicial District",0204,816,784,1600,3487,45.88%,975,975
"Family District Judge, 315th Judicial District",0205,464,171,635,1664,38.16%,46,46
"Family District Judge, 315th Judicial District",0206,362,462,824,2779,29.65%,315,315
"Family District Judge, 315th Judicial District",0207,265,261,526,1188,44.28%,219,219
"Family District Judge, 315th Judicial District",0208,322,262,584,2195,26.61%,209,209
"Family District Judge, 315th Judicial District",0209,0,2,2,0,0.00%,2,2
"Family District Judge, 315th Judicial District",0210,502,467,969,2533,38.26%,189,189
"Family District Judge, 315th Judicial District",0211,307,386,693,2914,23.78%,327,327
"Family District Judge, 315th Judicial District",0212,96,155,251,1300,19.31%,77,77
"Family District Judge, 315th Judicial District",0213,826,913,1739,3350,51.91%,1415,1415
"Family District Judge, 315th Judicial District",0214,404,491,895,1854,48.27%,600,600
"Family District Judge, 315th Judicial District",0215,421,711,1132,2258,50.13%,741,741
"Family District Judge, 315th Judicial District",0216,362,223,585,1945,30.08%,69,69
"Family District Judge, 315th Judicial District",0217,844,631,1475,2678,55.08%,999,999
"Family District Judge, 315th Judicial District",0218,391,402,793,2292,34.60%,333,333
"Family District Judge, 315th Judicial District",0219,496,436,932,2767,33.68%,103,103
"Family District Judge, 315th Judicial District",0220,325,187,512,2310,22.16%,385,385
"Family District Judge, 315th Judicial District",0221,332,369,701,2529,27.72%,373,373
"Family District Judge, 315th Judicial District",0222,623,674,1297,2501,51.86%,670,670
"Family District Judge, 315th Judicial District",0223,563,377,940,3582,26.24%,373,373
"Family District Judge, 315th Judicial District",0224,530,456,986,2238,44.06%,505,505
"Family District Judge, 315th Judicial District",0225,376,405,781,3305,23.63%,452,452
"Family District Judge, 315th Judicial District",0226,227,307,534,2436,21.92%,184,184
"Family District Judge, 315th Judicial District",0227,558,423,981,1785,54.96%,743,743
"Family District Judge, 315th Judicial District",0228,362,195,557,1050,53.05%,53,53
"Family District Judge, 315th Judicial District",0229,31,96,127,815,15.58%,69,69
"Family District Judge, 315th Judicial District",0230,185,116,301,1089,27.64%,20,20
"Family District Judge, 315th Judicial District",0231,233,264,497,2232,22.27%,183,183
"Family District Judge, 315th Judicial District",0232,361,474,835,1760,47.44%,503,503
"Family District Judge, 315th Judicial District",0233,890,801,1691,4445,38.04%,935,935
"Family District Judge, 315th Judicial District",0234,1192,913,2105,3993,52.72%,1661,1661
"Family District Judge, 315th Judicial District",0235,240,158,398,1356,29.35%,28,28
"Family District Judge, 315th Judicial District",0236,354,235,589,2079,28.33%,37,37
"Family District Judge, 315th Judicial District",0237,416,253,669,2161,30.96%,40,40
"Family District Judge, 315th Judicial District",0238,339,245,584,1925,30.34%,43,43
"Family District Judge, 315th Judicial District",0239,383,236,619,1964,31.52%,43,43
"Family District Judge, 315th Judicial District",0240,585,243,828,2649,31.26%,63,63
"Family District Judge, 315th Judicial District",0241,222,229,451,2372,19.01%,217,217
"Family District Judge, 315th Judicial District",0242,173,162,335,1596,20.99%,212,212
"Family District Judge, 315th Judicial District",0243,138,43,181,457,39.61%,13,13
"Family District Judge, 315th Judicial District",0244,480,425,905,3117,29.03%,562,562
"Family District Judge, 315th Judicial District",0245,946,799,1745,5828,29.94%,1293,1293
"Family District Judge, 315th Judicial District",0246,684,513,1197,3315,36.11%,896,896
"Family District Judge, 315th Judicial District",0247,173,254,427,1582,26.99%,46,46
"Family District Judge, 315th Judicial District",0248,161,167,328,2100,15.62%,119,119
"Family District Judge, 315th Judicial District",0249,461,348,809,2719,29.75%,598,598
"Family District Judge, 315th Judicial District",0250,109,164,273,964,28.32%,22,22
"Family District Judge, 315th Judicial District",0251,278,436,714,2089,34.18%,60,60
"Family District Judge, 315th Judicial District",0252,504,312,816,2377,34.33%,48,48
"Family District Judge, 315th Judicial District",0253,379,222,601,2177,27.61%,38,38
"Family District Judge, 315th Judicial District",0254,93,112,205,1550,13.23%,76,76
"Family District Judge, 315th Judicial District",0255,525,648,1173,2482,47.26%,612,612
"Family District Judge, 315th Judicial District",0256,575,449,1024,3254,31.47%,539,539
"Family District Judge, 315th Judicial District",0257,204,245,449,2523,17.80%,172,172
"Family District Judge, 315th Judicial District",0258,839,800,1639,3322,49.34%,1232,1232
"Family District Judge, 315th Judicial District",0259,656,382,1038,2361,43.96%,68,68
"Family District Judge, 315th Judicial District",0260,162,145,307,1260,24.37%,198,198
"Family District Judge, 315th Judicial District",0261,124,120,244,1417,17.22%,121,121
"Family District Judge, 315th Judicial District",0262,758,600,1358,4397,30.88%,917,917
"Family District Judge, 315th Judicial District",0263,858,712,1570,3693,42.51%,1243,1243
"Family District Judge, 315th Judicial District",0264,480,457,937,2963,31.62%,625,625
"Family District Judge, 315th Judicial District",0265,988,759,1747,3584,48.74%,1351,1351
"Family District Judge, 315th Judicial District",0266,259,257,516,2104,24.52%,297,297
"Family District Judge, 315th Judicial District",0267,146,166,312,1327,23.51%,185,185
"Family District Judge, 315th Judicial District",0268,435,717,1152,2493,46.21%,726,726
"Family District Judge, 315th Judicial District",0269,702,453,1155,2030,56.90%,930,930
"Family District Judge, 315th Judicial District",0270,817,672,1489,3605,41.30%,925,925
"Family District Judge, 315th Judicial District",0271,656,382,1038,2518,41.22%,67,67
"Family District Judge, 315th Judicial District",0272,264,292,556,2162,25.72%,269,269
"Family District Judge, 315th Judicial District",0273,548,689,1237,2470,50.08%,1027,1027
"Family District Judge, 315th Judicial District",0274,588,346,934,2153,43.38%,657,657
"Family District Judge, 315th Judicial District",0275,207,236,443,1850,23.95%,136,136
"Family District Judge, 315th Judicial District",0276,572,231,803,2536,31.66%,39,39
"Family District Judge, 315th Judicial District",0277,170,186,356,1492,23.86%,193,193
"Family District Judge, 315th Judicial District",0278,421,320,741,2454,30.20%,459,459
"Family District Judge, 315th Judicial District",0279,250,223,473,1941,24.37%,311,311
"Family District Judge, 315th Judicial District",0280,130,188,318,1524,20.87%,154,154
"Family District Judge, 315th Judicial District",0281,655,742,1397,2633,53.06%,761,761
"Family District Judge, 315th Judicial District",0282,314,455,769,2042,37.66%,522,522
"Family District Judge, 315th Judicial District",0283,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0284,574,336,910,3172,28.69%,473,473
"Family District Judge, 315th Judicial District",0285,448,378,826,2540,32.52%,125,125
"Family District Judge, 315th Judicial District",0286,1255,821,2076,6170,33.65%,355,355
"Family District Judge, 315th Judicial District",0287,370,477,847,1621,52.25%,455,455
"Family District Judge, 315th Judicial District",0288,532,313,845,2210,38.24%,52,52
"Family District Judge, 315th Judicial District",0289,186,212,398,1564,25.45%,228,228
"Family District Judge, 315th Judicial District",0290,245,298,543,1642,33.07%,420,420
"Family District Judge, 315th Judicial District",0291,325,235,560,1225,45.71%,309,309
"Family District Judge, 315th Judicial District",0292,207,147,354,1356,26.11%,64,64
"Family District Judge, 315th Judicial District",0293,356,447,803,1759,45.65%,424,424
"Family District Judge, 315th Judicial District",0294,488,221,709,2097,33.81%,34,34
"Family District Judge, 315th Judicial District",0295,148,103,251,885,28.36%,17,17
"Family District Judge, 315th Judicial District",0296,327,340,667,1713,38.94%,414,414
"Family District Judge, 315th Judicial District",0297,280,249,529,2012,26.29%,271,271
"Family District Judge, 315th Judicial District",0298,415,358,773,2121,36.45%,492,492
"Family District Judge, 315th Judicial District",0299,178,117,295,1353,21.80%,143,143
"Family District Judge, 315th Judicial District",0300,1389,1016,2405,5406,44.49%,2002,2002
"Family District Judge, 315th Judicial District",0301,210,255,465,2352,19.77%,216,216
"Family District Judge, 315th Judicial District",0302,353,343,696,2720,25.59%,461,461
"Family District Judge, 315th Judicial District",0303,922,784,1706,3245,52.57%,1382,1382
"Family District Judge, 315th Judicial District",0304,606,505,1111,2298,48.35%,679,679
"Family District Judge, 315th Judicial District",0305,524,432,956,4191,22.81%,464,464
"Family District Judge, 315th Judicial District",0306,549,342,991,1879,52.74%,736,736
"Family District Judge, 315th Judicial District",0307,733,670,1403,3099,45.27%,1009,1009
"Family District Judge, 315th Judicial District",0308,199,130,329,1296,25.39%,138,138
"Family District Judge, 315th Judicial District",0309,708,593,1301,2524,51.55%,1061,1061
"Family District Judge, 315th Judicial District",0310,386,279,665,1435,46.34%,471,471
"Family District Judge, 315th Judicial District",0311,486,421,907,2986,30.38%,529,529
"Family District Judge, 315th Judicial District",0312,742,457,1199,3636,32.98%,838,838
"Family District Judge, 315th Judicial District",0313,9,0,9,62,14.52%,7,7
"Family District Judge, 315th Judicial District",0314,1121,913,2034,5647,36.02%,1377,1377
"Family District Judge, 315th Judicial District",0315,478,388,866,1608,53.86%,548,548
"Family District Judge, 315th Judicial District",0316,412,341,753,1537,48.99%,453,453
"Family District Judge, 315th Judicial District",0317,248,209,457,1588,28.78%,179,179
"Family District Judge, 315th Judicial District",0318,834,568,1402,3660,38.31%,172,172
"Family District Judge, 315th Judicial District",0319,512,230,742,2158,34.38%,82,82
"Family District Judge, 315th Judicial District",0320,234,168,402,1537,26.15%,225,225
"Family District Judge, 315th Judicial District",0321,262,191,453,2346,19.31%,205,205
"Family District Judge, 315th Judicial District",0322,181,129,310,1226,25.29%,127,127
"Family District Judge, 315th Judicial District",0323,278,211,489,1722,28.40%,255,255
"Family District Judge, 315th Judicial District",0324,532,646,1178,2336,50.43%,770,770
"Family District Judge, 315th Judicial District",0325,289,193,482,2112,22.82%,135,135
"Family District Judge, 315th Judicial District",0326,87,74,161,698,23.07%,94,94
"Family District Judge, 315th Judicial District",0327,380,129,509,1729,29.44%,43,43
"Family District Judge, 315th Judicial District",0328,151,140,291,1434,20.29%,151,151
"Family District Judge, 315th Judicial District",0329,189,184,373,1397,26.70%,176,176
"Family District Judge, 315th Judicial District",0330,334,253,587,1936,30.32%,365,365
"Family District Judge, 315th Judicial District",0331,0,0,0,0,0.00%,0,0
"Family District Judge, 315th Judicial District",0332,18,7,25,138,18.12%,14,14
"Family District Judge, 315th Judicial District",0333,524,714,1238,3021,40.98%,909,909
"Family District Judge, 315th Judicial District",0334,83,42,125,742,16.85%,27,27
"Family District Judge, 315th Judicial District",0335,121,98,219,1300,16.85%,99,99
"Family District Judge, 315th Judicial District",0336,866,624,1490,4051,36.78%,293,293
"Family District Judge, 315th Judicial District",0337,124,103,227,1029,22.06%,59,59
"Family District Judge, 315th Judicial District",0338,730,391,1121,4934,22.72%,448,448
"Family District Judge, 315th Judicial District",0339,202,222,424,1757,24.13%,131,131
"Family District Judge, 315th Judicial District",0340,1038,594,1632,3765,43.35%,1259,1259
"Family District Judge, 315th Judicial District",0341,91,167,258,1290,20.00%,103,103
"Family District Judge, 315th Judicial District",0342,675,605,1280,6526,19.61%,321,321
"Family District Judge, 315th Judicial District",0343,189,271,460,1964,23.42%,183,183
"Family District Judge, 315th Judicial District",0344,154,172,326,1160,28.10%,28,28
"Family District Judge, 315th Judicial District",0345,156,165,321,1804,17.79%,124,124
"Family District Judge, 315th Judicial District",0346,0,1,1,3,33.33%,1,1
"Family District Judge, 315th Judicial District",0347,592,436,1028,3387,30.35%,748,748
"Family District Judge, 315th Judicial District",0348,438,208,646,1708,37.82%,517,517
"Family District Judge, 315th Judicial District",0349,188,267,455,1349,33.73%,305,305
"Family District Judge, 315th Judicial District",0350,524,526,1050,2909,36.09%,514,514
"Family District Judge, 315th Judicial District",0351,1491,710,2201,4712,46.71%,1799,1799
"Family District Judge, 315th Judicial District",0352,520,339,859,3205,26.80%,665,665
"Family District Judge, 315th Judicial District",0353,665,451,1116,3862,28.90%,288,288
"Family District Judge, 315th Judicial District",0354,715,338,1053,3388,31.08%,322,322
"Family District Judge, 315th Judicial District",0355,301,264,565,1560,36.22%,91,91
"Family District Judge, 315th Judicial District",0356,594,538,1132,2972,38.09%,790,790
"Family District Judge, 315th Judicial District",0357,837,575,1412,3517,40.15%,1090,1090
"Family District Judge, 315th Judicial District",0358,212,254,466,2492,18.70%,91,91
"Family District Judge, 315th Judicial District",0359,234,224,458,3061,14.96%,98,98
"Family District Judge, 315th Judicial District",0360,522,380,902,2146,42.03%,516,516
