Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0048,158,142,300,940,31.91%,163,49,212
PROPOSITION 1,0049,584,482,1066,3343,31.89%,655,195,850
PROPOSITION 1,0050,785,771,1556,5211,29.86%,1016,226,1242
PROPOSITION 1,0051,353,243,596,1689,35.29%,377,106,483
PROPOSITION 1,0052,422,447,869,2457,35.37%,632,129,761
PROPOSITION 1,0053,564,726,1290,2971,43.42%,882,212,1094
PROPOSITION 1,0054,270,364,634,1487,42.64%,459,113,572
PROPOSITION 1,0055,191,251,442,1506,29.35%,309,71,380
PROPOSITION 1,0056,282,278,560,1326,42.23%,358,110,468
PROPOSITION 1,0057,710,831,1541,3153,48.87%,1080,274,1354
PROPOSITION 1,0058,470,556,1026,2690,38.14%,689,183,872
PROPOSITION 1,0059,555,609,1164,2544,45.75%,788,220,1008
PROPOSITION 1,0060,500,564,1064,2453,43.38%,735,175,910
PROPOSITION 1,0061,172,204,376,1773,21.21,%,223,65,288
PROPOSITION 1,0062,145,322,467,2181,21.41%,258,98,356
PROPOSITION 1,0063,264,354,618,1826,33.84%,355,107,462
PROPOSITION 1,0064,191,221,412,2141,19.24%,225,69,294
PROPOSITION 1,0065,172,230,402,2167,18.55%,224,84,308
PROPOSITION 1,0066,69,143,212,1098,19.31%,120,38,158
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0067,304,282,586,2794,20.97%,380,86,466
PROPOSITION 1,0068,553,352,905,2924,30.95%,573,139,712
PROPOSITION 1,0069,80,124,204,1284,15,89%,107,33,140
PROPOSITION 1,0070,882,664,1546,3337,46.33%,1111,252,1363
PROPOSITION 1,0071,602,722,1324,4197,31.55%,941,231,1172
PROPOSITION 1,0072,220,293,513,1924,26.66%,319,108,427
PROPOSITION 1,0073,252,414,666,1555,42.83%,429,137,566
PROPOSITION 1,0074,1153,782,1935,3583,54.01%,1235,308,1543
PROPOSITION 1,0075,254,280,534,1444,36.98%,337,118,455
PROPOSITION 1,0076,373,374,747,2362,31.63%,481,136,617
PROPOSITION 1,0077,43,46,89,566,15.72%,61,8,69
PROPOSITION 1,0078,181,201,382,1522,25.10%,246,80,326
PROPOSITION 1,0079,205,306,511,2927,17.46%,272,100,372
PROPOSITION 1,0080,501,351,852,2725,31.27%,526,153,679
PROPOSITION 1,0081,183,187,370,1835,20.16%,240,53,293
PROPOSITION 1,0082,639,671,1310,3368,38.90%,843,189,1032
PROPOSITION 1,0083,1298,888,2186,6625,33.00%,1434,379,1813
PROPOSITION 1,0084,208,218,426,1373,31.03%,273,68,341
PROPOSITION 1,0085,271,248,519,2173,23.88%,352,61,413
PROPOSITION 1,0086,448,568,1016,2910,34.91%,731,156,887
PROPOSITION 1,0087,674,787,1461,2818,51.85%,996,246,1242
PROPOSITION 1,0088,123,118,241,693,34.78%,141,38,179
PROPOSITION 1,0089,165,371,536,1094,48.99%,358,96,454
PROPOSITION 1,0090,845,790,1635,3700,44.19%,1088,270,1358
PROPOSITION 1,0091,221,222,443,1505,29.44%,277,72,349
PROPOSITION 1,0092,695,462,1157,2242,51.61%,779,219,998
PROPOSITION 1,0093,381,301,682,3356,20.32%,413,112,525
PROPOSITION 1,0094,51,43,94,549,17.12%,64,16,80
PROPOSITION 1,0095,917,576,1493,3177,46.99%,1043,235,1278
PROPOSITION 1,0096,83,83,166,1296,12.81%,112,30,142
PROPOSITION 1,0097,1024,725,1749,4828,36.23%,1111,309,1420
PROPOSITION 1,0098,403,488,891,2651,33.61%,485,220,705
PROPOSITION 1,0099,254,184,438,2092,20.94%,294,74,368
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0100,155,173,338,1730,19.54%,197,50,247
PROPOSITION 1,0101,72,58,130,946,13.74%,73,26,99
PROPOSITION 1,0102,207,121,328,1872,17.52%,224,34,258
PROPOSITION 1,0103,700,714,1414,5371,26.33%,830,238,1068
PROPOSITION 1,0104,530,231,761,1905,39.95%,396,112,508
PROPOSITION 1,0105,195,210,406,2165,18.75%,234,93,327
PROPOSITION 1,0106,15,7,25,294,8.50%,14,4,18
PROPOSITION 1,0107,154,197,351,2032,17.27%,211,65,276
PROPOSITION 1,0108,558,272,940,3365,27.93%,565,153,718
PROPOSITION 1,0109,530,245,775,2824,27.44%,418,79,497
PROPOSITION 1,0110,554,494,1148,3042,37.74%,736,195,931
PROPOSITION 1,0111,815,795,1611,4102,39.27%,1091,227,1318
PROPOSITION 1,0112,542,485,1027,2976,34.51%,636,153,789
PROPOSITION 1,0113,552,429,991,2647,37.44%,652,139,791
PROPOSITION 1,0114,707,547,1254,3311,37.87%,780,206,985
PROPOSITION 1,0115,238,150,388,1800,21.56%,201,53,254
PROPOSITION 1,0116,982,776,1758,3147,55.86%,1203,279,1482
PROPOSITION 1,0117,215,226,442,1880,23.51%,274,92,366
PROPOSITION 1,0118,304,123,427,759,56.26%,289,62,351
PROPOSITION 1,0119,1290,1024,2314,5500,42.07%,1691,442,2133
PROPOSITION 1,0120,713,422,1135,3191,35.57%,727,205,932
PROPOSITION 1,0121,92,178,270,848,31.84%,167,33,200
PROPOSITION 1,0122,352,225,577,1890,30.53%,347,62,409
PROPOSITION 1,0123,285,288,573,1392,41.16%,391,94,485
PROPOSITION 1,0124,1734,1292,3026,7254,41.71%,1952,458,2410
PROPOSITION 1,0125,415,332,747,2405,31.06%,462,139,601
PROPOSITION 1,0126,893,467,1360,3100,43.87%,797,228,1025
PROPOSITION 1,0127,435,154,589,1836,32.08%,334,94,428
PROPOSITION 1,0128,445,707,1152,2290,50.31%,809,179,988
PROPOSITION 1,0129,1031,1200,2231,5746,38.83%,1508,335,1843
PROPOSITION 1,0130,727,523,1250,2333,53.58%,805,193,998
PROPOSITION 1,0131,251,259,510,1935,26.36%,287,95,382
PROPOSITION 1,0132,593,323,916,2387,38.37%,548,148,696
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0133,514,858,1372,2662,51.54%,923,227,1150
PROPOSITION 1,0134,192,265,457,1437,31.80%,296,85,381
PROPOSITION 1,0135,730,579,1309,2671,49.01%,892,194,1086
PROPOSITION 1,0136,503,371,874,2013,43.42%,552,142,694
PROPOSITION 1,0137,166,141,307,716,42.88%,232,43,275
PROPOSITION 1,0138,296,199,495,1699,29.13%,249,75,324
PROPOSITION 1,0139,700,551,1251,3037,41.19%,878,171,1049
PROPOSITION 1,0140,701,480,1181,3214,36.75%,776,199,975
PROPOSITION 1,0141,80,80,160,855,18.71%,97,17,114
PROPOSITION 1,0142,87,103,190,902,21.06%,106,50,156
PROPOSITION 1,0143,1962,580,2542,6386,39.81%,1708,347,2055
PROPOSITION 1,0144,216,158,374,1093,34.22%,190,57,247
PROPOSITION 1,0145,264,213,477,1538,31.01%,218,71,289
PROPOSITION 1,0146,426,519,945,2008,47.06%,603,200,803
PROPOSITION 1,0147,589,329,1018,3008,33.84%,609,152,761
PROPOSITION 1,0148,500,780,1280,2540,50.39%,907,211,1118
PROPOSITION 1,0149,1621,737,2358,7993,29.50%,1578,440,2018
PROPOSITION 1,0150,236,169,405,1256,32.25%,219,57,276
PROPOSITION 1,0151,137,79,216,826,26.15%,99,25,124
PROPOSITION 1,0152,214,299,513,2788,18.40%,289,100,389
PROPOSITION 1,0153,125,206,331,1808,18.31%,218,64,282
PROPOSITION 1,0154,249,183,432,2190,19.73%,275,83,358
PROPOSITION 1,0155,1022,619,1641,4109,39.94%,1064,243,1307
PROPOSITION 1,0156,800,326,1126,3071,36.67%,635,165,800
PROPOSITION 1,0157,448,214,662,2236,29.61%,355,67,422
PROPOSITION 1,0158,600,315,915,3035,30.15%,584,145,729
PROPOSITION 1,0159,116,127,243,998,24.35%,152,33,185
PROPOSITION 1,0160,122,73,195,696,28.02%,103,34,137
PROPOSITION 1,0161,163,141,304,991,30.68%,157,56,213
PROPOSITION 1,0162,101,83,184,1265,14.55%,109,31,140
PROPOSITION 1,0163,230,320,550,3037,18.11%,336,77,413
PROPOSITION 1,0164,182,205,387,1420,27.25%,204,47,251
PROPOSITION 1,0165,535,483,1018,2334,43.62%,661,200,861
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0166,158,233,391,1028,38.04%,260,74,334
PROPOSITION 1,0167,3,0,3,24,12.50%,2,1,3
PROPOSITION 1,0168,92,58,150,503,29.82%,79,19,98
PROPOSITION 1,0169,518,251,767,2513,30.52%,425,83,508
PROPOSITION 1,0170,271,141,412,1869,22.04%,246,84,330
PROPOSITION 1,0171,202,198,400,1604,24.94%,188,66,254
PROPOSITION 1,0172,86,80,166,621,26.73%,119,30,149
PROPOSITION 1,0173,819,739,1558,3599,43.29%,1034,223,1257
PROPOSITION 1,0174,830,733,1563,3296,47.42%,1094,237,1331
PROPOSITION 1,0175,580,749,1309,2618,50.00%,906,224,1130
PROPOSITION 1,0176,344,451,795,1602,49.63%,562,117,679
PROPOSITION 1,0177,278,326,604,1496,40.37%,407,102,509
PROPOSITION 1,0178,504,365,869,1765,49.24%,588,156,744
PROPOSITION 1,0179,256,188,444,1575,28.19%,282,78,360
PROPOSITION 1,0180,470,343,813,2834,28.69%,411,117,528
PROPOSITION 1,0181,175,262,437,2061,21.20%,288,83,371
PROPOSITION 1,0182,590,974,1564,3405,45.93%,1066,239,1305
PROPOSITION 1,0183,520,794,1314,2491,52.75%,910,197,1107
PROPOSITION 1,0184,106,135,241,994,24.25%,135,39,174
PROPOSITION 1,0185,283,292,575,1933,29.75%,302,111,413
PROPOSITION 1,0186,97,106,203,798,25.44%,103,32,135
PROPOSITION 1,0187,21,25,46,311,14.79%,25,13,38
PROPOSITION 1,0188,153,146,299,1637,18.27%,203,44,247
PROPOSITION 1,0189,239,360,599,1465,40.89%,401,129,530
PROPOSITION 1,0190,120,177,297,1723,17.24%,193,45,238
PROPOSITION 1,0191,79,126,205,1366,15.01%,141,28,169
PROPOSITION 1,0192,381,225,606,1959,30.93%,371,84,455
PROPOSITION 1,0193,173,187,360,1074,33.52%,197,58,255
PROPOSITION 1,0194,351,431,782,1912,40.90%,555,125,680
PROPOSITION 1,0195,269,278,547,1694,32.29%,316,70,386
PROPOSITION 1,0196,52,32,84,316,26.58%,57,8,65
PROPOSITION 1,0197,543,309,852,2914,29.24%,480,118,598
PROPOSITION 1,0198,53,74,127,642,19.78%,56,15,71
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0199,812,661,1473,3216,45.80%,866,384,1250
PROPOSITION 1,0200,962,536,1498,3382,44.29%,1068,191,1259
PROPOSITION 1,0201,98,87,185,724,25.55%,106,18,124
PROPOSITION 1,0202,217,189,406,1464,27.73%,200,54,254
PROPOSITION 1,0203,107,68,175,960,18.23%,106,29,135
PROPOSITION 1,0204,817,784,1601,3487,45.91%,1084,300,1384
PROPOSITION 1,0205,465,171,636,1664,38.22%,368,82,450
PROPOSITION 1,0206,364,462,826,2779,29.72%,537,164,701
PROPOSITION 1,0207,265,261,526,1188,44.28%,359,98,457
PROPOSITION 1,0208,322,262,584,2195,26.61%,339,65,404
PROPOSITION 1,0209,0,2,2,0,0.00%,2,0,2
PROPOSITION 1,0210,502,467,969,2533,38.26%,617,144,761
PROPOSITION 1,0211,307,386,693,2914,23.78%,411,142,553
PROPOSITION 1,0212,96,155,251,1300,19.31%,150,35,185
PROPOSITION 1,0213,826,913,1739,3350,51.91%,1183,226,1409
PROPOSITION 1,0214,404,491,895,1854,48.27%,611,144,755
PROPOSITION 1,0215,423,711,1134,2258,50.22%,776,177,953
PROPOSITION 1,0216,362,223,585,1945,30.08%,342,88,430
PROPOSITION 1,0217,844,631,1475,2678,55.08%,1047,196,1243
PROPOSITION 1,0218,392,402,794,2292,34.64%,515,153,668
PROPOSITION 1,0219,497,436,933,2767,33.72%,514,138,652
PROPOSITION 1,0220,325,187,512,2310,22.16%,233,117,350
PROPOSITION 1,0221,332,369,701,2529,27.72%,469,115,584
PROPOSITION 1,0222,623,674,1297,2501,51.86%,940,232,1172
PROPOSITION 1,0223,563,377,940,3582,26.24%,694,148,842
PROPOSITION 1,0224,531,456,987,2238,44.10%,689,160,849
PROPOSITION 1,0225,376,405,781,3305,23.63%,485,106,591
PROPOSITION 1,0226,227,307,534,2436,21.92%,369,76,445
PROPOSITION 1,0227,558,423,981,1785,54.96%,681,158,839
PROPOSITION 1,0228,362,195,557,1050,53.05%,352,94,446
PROPOSITION 1,0229,31,96,127,815,15.58%,67,19,86
PROPOSITION 1,0230,185,116,301,1089,27.64%,145,39,184
PROPOSITION 1,0231,233,264,497,2232,22.27%,324,97,421
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0232,361,474,835,1760,47.44%,560,149,709
PROPOSITION 1,0233,892,801,1693,4445,38.09%,1235,239,1474
PROPOSITION 1,0234,1192,913,2105,3993,52.72%,1474,249,1723
PROPOSITION 1,0235,240,158,398,1356,29.35%,219,60,279
PROPOSITION 1,0236,354,235,589,2079,28.33%,296,108,404
PROPOSITION 1,0237,417,253,670,2161,31.00%,369,112,481
PROPOSITION 1,0238,340,245,585,1925,30.39%,331,72,403
PROPOSITION 1,0239,383,236,619,1964,31.52%,341,101,442
PROPOSITION 1,0240,585,243,828,2649,31.26%,420,119,539
PROPOSITION 1,0241,222,229,451,2372,19.01%,275,50,325
PROPOSITION 1,0242,173,162,335,1596,20.99%,216,62,278
PROPOSITION 1,0243,138,43,181,457,39.61%,108,36,144
PROPOSITION 1,0244,480,425,905,3117,29.03%,546,162,708
PROPOSITION 1,0245,946,799,1745,5828,29.94%,1134,260,1394
PROPOSITION 1,0246,684,513,1197,3315,36.11%,759,189,948
PROPOSITION 1,0247,173,254,427,1582,26.99%,232,64,296
PROPOSITION 1,0248,161,167,328,2100,15.62%,191,55,246
PROPOSITION 1,0249,461,348,809,2719,29.75%,545,117,662
PROPOSITION 1,0250,109,164,273,964,28.32%,172,33,205
PROPOSITION 1,0251,278,436,714,2089,34.18%,357,84,441
PROPOSITION 1,0252,504,312,816,2377,34.33%,413,123,536
PROPOSITION 1,0253,379,222,601,2177,27.61%,301,88,389
PROPOSITION 1,0254,93,112,205,1550,13.23%,107,30,137
PROPOSITION 1,0255,526,648,1174,2482,47.30%,787,213,1000
PROPOSITION 1,0256,575,449,1024,3254,31.47%,645,215,860
PROPOSITION 1,0257,204,245,449,2523,17.80%,277,74,351
PROPOSITION 1,0258,840,800,1640,3322,49.37%,1089,289,1378
PROPOSITION 1,0259,656,382,1038,2361,43.96%,605,140,745
PROPOSITION 1,0260,162,145,307,1260,24.37%,188,54,242
PROPOSITION 1,0261,124,120,244,1417,17.22%,158,41,199
PROPOSITION 1,0262,758,600,1358,4397,30.88%,877,291,1168
PROPOSITION 1,0263,858,712,1570,3693,42.51%,996,241,1237
PROPOSITION 1,0264,482,457,939,2963,31.69%,625,177,802
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0265,988,759,1747,3584,48.74%,1162,287,1449
PROPOSITION 1,0266,259,257,516,2104,24.52%,330,99,429
PROPOSITION 1,0267,146,166,312,1327,23.51%,194,61,255
PROPOSITION 1,0268,435,717,1152,2493,46.21%,806,148,954
PROPOSITION 1,0269,702,453,1155,2030,56.90%,825,120,945
PROPOSITION 1,0270,819,672,1491,3605,41.36%,1026,269,1295
PROPOSITION 1,0271,656,382,1038,2518,41.22%,659,167,826
PROPOSITION 1,0272,264,292,556,2162,25.72%,378,84,462
PROPOSITION 1,0273,548,689,1237,2470,50.08%,787,184,971
PROPOSITION 1,0274,588,346,934,2153,43.38%,639,137,776
PROPOSITION 1,0275,207,236,443,1850,23.95%,313,71,384
PROPOSITION 1,0276,572,231,803,2536,31.66%,406,115,521
PROPOSITION 1,0277,170,186,356,1492,23.86%,259,47,306
PROPOSITION 1,0278,421,320,741,2454,30.20%,540,105,645
PROPOSITION 1,0279,251,223,474,1941,24.42%,337,69,406
PROPOSITION 1,0280,130,188,318,1524,20.87%,206,36,242
PROPOSITION 1,0281,655,742,1397,2633,53.06%,1046,189,1235
PROPOSITION 1,0282,314,455,769,2042,37.66%,521,130,651
PROPOSITION 1,0283,0,0,0,0,0.00%,0,0,0
PROPOSITION 1,0284,574,336,910,3172,28.69%,603,133,736
PROPOSITION 1,0285,448,378,826,2540,32.52%,464,115,579
PROPOSITION 1,0286,1255,821,2076,6170,33.65%,1312,359,1671
PROPOSITION 1,0287,371,477,848,1621,52.31%,545,165,710
PROPOSITION 1,0288,532,313,845,2210,38.24%,487,127,614
PROPOSITION 1,0289,186,212,398,1564,25.45%,225,105,330
PROPOSITION 1,0290,245,298,543,1642,33.07%,327,100,427
PROPOSITION 1,0291,325,235,560,1225,45.71%,401,79,480
PROPOSITION 1,0292,207,147,354,1356,26.11%,202,57,259
PROPOSITION 1,0293,357,447,804,1759,45.71%,540,136,676
PROPOSITION 1,0294,488,221,709,2097,33.81%,429,115,544
PROPOSITION 1,0295,148,103,251,885,28.36%,149,47,196
PROPOSITION 1,0296,327,340,667,1713,38.94%,423,115,538
PROPOSITION 1,0297,280,249,529,2012,26.29%,332,78,410
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0298,415,358,773,2121,36.45%,485,137,622
PROPOSITION 1,0299,179,117,296,1353,21.88%,185,54,239
PROPOSITION 1,0300,1389,1016,2405,5406,44.49%,1649,285,1934
PROPOSITION 1,0301,210,255,465,2352,19.77%,282,83,365
PROPOSITION 1,0302,353,343,696,2720,25.59%,424,118,542
PROPOSITION 1,0303,924,784,1708,3245,52.63%,1164,207,1371
PROPOSITION 1,0304,606,505,1111,2298,48.35%,794,155,949
PROPOSITION 1,0305,524,432,956,4191,22.81%,606,152,758
PROPOSITION 1,0306,550,342,992,1879,52.79%,704,179,883
PROPOSITION 1,0307,733,670,1403,3099,45.27%,1033,189,1222
PROPOSITION 1,0308,199,130,329,1296,25.39%,207,69,276
PROPOSITION 1,0309,708,593,1301,2524,51.55%,896,194,1090
PROPOSITION 1,0310,386,279,665,1435,46.34%,448,116,564
PROPOSITION 1,0311,486,421,907,2986,30.38%,546,130,676
PROPOSITION 1,0312,742,457,1199,3636,32.98%,795,193,988
PROPOSITION 1,0313,9,0,9,62,14.52%,3,2,5
PROPOSITION 1,0314,1121,913,2034,5647,36.02%,1348,285,1633
PROPOSITION 1,0315,478,388,866,1608,53.86%,613,143,756
PROPOSITION 1,0316,412,341,753,1537,48.99%,527,134,661
PROPOSITION 1,0317,250,209,459,1588,28.90%,320,72,392
PROPOSITION 1,0318,834,568,1402,3660,38.31%,883,216,1099
PROPOSITION 1,0319,512,230,742,2158,34.38%,427,121,548
PROPOSITION 1,0320,234,168,402,1537,26.15%,239,79,318
PROPOSITION 1,0321,262,191,453,2346,19.31%,267,81,348
PROPOSITION 1,0322,182,129,311,1226,25.37%,193,51,244
PROPOSITION 1,0323,278,211,489,1722,28.40%,321,85,406
PROPOSITION 1,0324,532,646,1178,2336,50.43%,793,235,1028
PROPOSITION 1,0325,289,193,482,2112,22.82%,245,89,334
PROPOSITION 1,0326,87,74,161,698,23.07%,95,32,127
PROPOSITION 1,0327,380,129,509,1729,29.44%,288,58,346
PROPOSITION 1,0328,151,140,291,1434,20.29%,177,56,233
PROPOSITION 1,0329,191,184,375,1397,26.84%,254,60,314
PROPOSITION 1,0330,334,253,587,1936,30.32%,395,93,488
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0331,0,0,0,0,0.00%,0,0,0
PROPOSITION 1,0332,18,7,25,138,18.12%,18,2,20
PROPOSITION 1,0333,524,714,1238,3021,40.98%,825,210,1035
PROPOSITION 1,0334,83,42,125,742,16.85%,71,11,82
PROPOSITION 1,0335,121,98,219,1300,16.85%,160,26,186
PROPOSITION 1,0336,870,624,1494,4051,36.88%,931,272,1203
PROPOSITION 1,0337,124,103,227,1029,22.06%,130,48,178
PROPOSITION 1,0338,731,391,1122,4934,22.74%,693,132,825
PROPOSITION 1,0339,202,222,424,1757,24.13%,229,78,307
PROPOSITION 1,0340,1038,594,1632,3765,43.35%,966,422,1388
PROPOSITION 1,0341,91,167,258,1290,20.00%,140,57,197
PROPOSITION 1,0342,675,605,1280,6526,19.61%,753,182,935
PROPOSITION 1,0343,189,271,460,1964,23.42%,264,107,371
PROPOSITION 1,0344,154,172,326,1160,28.10%,154,50,204
PROPOSITION 1,0345,156,165,321,1804,17.79%,219,41,260
PROPOSITION 1,0346,0,1,1,3,33.33%,0,0,0
PROPOSITION 1,0347,592,436,1028,3387,30.35%,670,181,851
PROPOSITION 1,0348,438,208,646,1708,37.82%,430,96,526
PROPOSITION 1,0349,188,267,455,1349,33.73%,268,98,366
PROPOSITION 1,0350,525,526,1051,2909,36.13%,740,155,895
PROPOSITION 1,0351,1491,710,2201,4712,46.71%,1373,407,1780
PROPOSITION 1,0352,520,339,859,3205,26.80%,537,137,674
PROPOSITION 1,0353,665,451,1116,3862,28.90%,625,164,789
PROPOSITION 1,0354,715,338,1053,3388,31.08%,642,153,795
PROPOSITION 1,0355,301,264,565,1560,36.22%,330,89,419
PROPOSITION 1,0356,594,538,1132,2972,38.09%,743,223,966
PROPOSITION 1,0357,837,575,1412,3517,40.15%,854,361,1215
PROPOSITION 1,0358,213,254,467,2492,18.74%,282,64,346
PROPOSITION 1,0359,235,224,459,3061,15.00%,273,51,324
PROPOSITION 1,0360,524,380,904,2146,42.12%,613,130,743
PROPOSITION 1,0361,41,295,336,1673,20.08%,256,49,305
PROPOSITION 1,0362,1138,887,2025,5086,39.82%,1474,292,1766
PROPOSITION 1,0363,620,412,1032,3677,28.07%,594,177,771
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,FOR,AGAINST,Totals
PROPOSITION 1,0364,489,405,894,2658,33.63%,567,178,745
PROPOSITION 1,0365,478,231,709,1305,54.33%,463,103,566
PROPOSITION 1,0366,252,270,522,2454,21.27%,299,63,362
PROPOSITION 1,0367,170,138,308,1130,27.26%,209,30,239
PROPOSITION 1,0368,178,88,266,958,27.77%,155,46,201
PROPOSITION 1,0369,32,29,61,559,10.91%,44,6,50
PROPOSITION 1,0370,1532,1105,2637,6593,40.00%,1702,365,2067
PROPOSITION 1,0371,122,52,174,502,34.66%,107,24,131
PROPOSITION 1,0372,221,170,391,1224,31.94%,252,62,314
PROPOSITION 1,0373,21,12,33,157,21.02%,13,6,19
PROPOSITION 1,0374,65,93,158,738,21.41,%,92,26,118
PROPOSITION 1,0375,254,220,474,2645,17.92%,278,84,362
PROPOSITION 1,0376,278,205,483,1910,25.29%,256,82,338
PROPOSITION 1,0377,525,583,1109,2920,37.98%,673,197,870
PROPOSITION 1,0378,232,354,586,1829,32.04%,377,91,468
PROPOSITION 1,0379,432,289,721,2027,35.57%,421,136,557
PROPOSITION 1,0380,1303,995,2298,5666,40.56%,1410,411,1821
PROPOSITION 1,0381,412,248,660,2855,23.12%,338,109,447
PROPOSITION 1,0382,132,157,289,922,31.34%,150,37,187
PROPOSITION 1,0383,289,263,552,2173,25.40%,318,94,412
PROPOSITION 1,0384,573,373,946,2657,35.60%,613,141,754
PROPOSITION 1,0385,583,670,1253,2207,56.77%,829,191,1020
PROPOSITION 1,0386,662,469,1131,2922,38.71%,693,176,869
PROPOSITION 1,0387,555,672,1227,3935,31.18%,707,214,921
PROPOSITION 1,0388,1432,1010,2442,6888,35.45%,1459,458,1917
PROPOSITION 1,0389,91,208,299,1026,29.14%,196,38,234
PROPOSITION 1,0390,356,263,619,1480,41.82%,410,88,498
PROPOSITION 1,0391,508,260,768,1883,40.79%,514,104,618
