Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0066,69,143,212,1098,19.31%,36,163,199
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0067,304,282,586,2794,20.97%,168,375,543
District Clerk,0068,553,352,905,2924,30.95%,25,861,886
District Clerk,0069,80,124,204,1284,15.89%,47,144,191
District Clerk,0070,882,664,1546,3337,46.33%,939,501,1440
District Clerk,0071,602,722,1324,4197,31.55%,660,601,1261
District Clerk,0072,220,293,513,1924,26.66%,166,324,490
District Clerk,0073,252,414,666,1555,42.83%,383,239,622
District Clerk,0074,1153,782,1935,3583,54.01%,1539,326,1865
District Clerk,0075,254,280,534,1444,36.98%,205,297,502
District Clerk,0076,373,374,747,2362,31.63%,448,270,718
District Clerk,0077,43,46,89,566,15.72%,22,64,86
District Clerk,0078,180,201,381,1522,25.03%,138,222,360
District Clerk,0079,205,306,511,2927,17.46%,131,338,469
District Clerk,0080,501,351,852,2725,31.27%,219,596,815
District Clerk,0081,183,187,370,1835,20.16%,157,191,348
District Clerk,0082,639,671,1310,3368,38.90%,999,279,1278
District Clerk,0083,1296,888,2184,6625,32.97%,1082,1042,2124
District Clerk,0084,208,218,426,1373,31.03%,308,101,409
District Clerk,0085,271,248,519,2173,23.88%,24,486,510
District Clerk,0086,447,568,1015,2910,34.88%,472,494,966
District Clerk,0087,574,787,1461,2818,51.85%,940,428,1368
District Clerk,0088,123,118,241,693,34.78%,155,75,230
District Clerk,0089,165,371,536,1094,48.99%,309,191,500
District Clerk,0090,844,790,1634,3700,44.16%,1209,358,1567
District Clerk,0091,219,222,441,1505,29.30%,267,156,423
District Clerk,0092,695,462,1157,2242,51.61%,777,310,1087
District Clerk,0093,381,301,682,3356,20.32%,277,360,637
District Clerk,0094,51,43,94,549,17.12%,28,63,91
District Clerk,0095,917,576,1493,3177,46.99%,1108,329,1437
District Clerk,0096,83,83,166,1296,12.81%,22,141,163
District Clerk,0097,1024,725,1749,4828,36.23%,1304,392,1696
District Clerk,0098,403,488,891,2651,33.61%,740,123,863
District Clerk,0099,254,184,438,2092,20.94%,215,211,426
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0100,155,173,338,1730,19.54%,182,145,327
District Clerk,0101,72,58,130,946,13.74%,49,78,127
District Clerk,0102,207,121,328,1872,17.52%,93,221,314
District Clerk,0103,700,714,1414,5371,26.33%,804,569,1373
District Clerk,0104,530,231,761,1905,39.95%,18,727,745
District Clerk,0105,195,210,406,2165,18.75%,141,233,374
District Clerk,0106,15,7,25,294,8.50%,15,9,24
District Clerk,0107,154,197,351,2032,17.27%,60,275,335
District Clerk,0108,558,272,940,3365,27.93%,574,335,909
District Clerk,0109,529,245,774,2824,27.41%,9,745,754
District Clerk,0110,554,494,1148,3042,37.74%,756,356,1112
District Clerk,0111,815,795,1611,4102,39.27%,1191,359,1550
District Clerk,0112,542,485,1027,2976,34.51%,758,227,985
District Clerk,0113,552,429,991,2647,37.44%,613,339,952
District Clerk,0114,707,547,1254,3311,37.87%,1023,205,1228
District Clerk,0115,238,150,388,1800,21.56%,49,326,375
District Clerk,0116,982,776,1758,3147,55.86%,1363,299,1662
District Clerk,0117,215,226,441,1880,23.46%,227,194,421
District Clerk,0118,304,123,427,759,56.26%,357,58,415
District Clerk,0119,1288,1024,2312,5500,42.04%,1888,340,2228
District Clerk,0120,712,422,1134,3191,35.54%,748,344,1092
District Clerk,0121,92,178,270,848,31.84%,189,70,259
District Clerk,0122,352,225,577,1890,30.53%,22,532,554
District Clerk,0123,284,288,572,1392,41.09%,161,385,546
District Clerk,0124,1734,1292,3026,7254,41.71%,2422,530,2952
District Clerk,0125,415,332,747,2405,31.06%,463,262,725
District Clerk,0126,893,467,1360,3100,43.87%,1212,117,1329
District Clerk,0127,435,154,589,1836,32.08%,426,132,558
District Clerk,0128,445,707,1152,2290,50.31%,753,312,1065
District Clerk,0129,1030,1200,2230,5746,38.81%,1433,693,2126
District Clerk,0130,727,523,1250,2333,53.58%,938,254,1192
District Clerk,0131,251,259,510,1935,26.36%,126,362,488
District Clerk,0132,593,323,916,2387,38.37%,25,867,892
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0133,513,858,1371,2662,51.50%,824,451,1275
District Clerk,0134,192,265,457,1437,31.80%,216,223,439
District Clerk,0135,727,579,1306,2671,48.90%,931,299,1230
District Clerk,0136,503,371,874,2013,43.42%,40,804,844
District Clerk,0137,166,141,307,716,42.88%,157,127,284
District Clerk,0138,296,199,495,1699,29.13%,17,466,483
District Clerk,0139,699,551,1250,3037,41.16%,581,604,1185
District Clerk,0140,699,480,1179,3214,36.68%,150,988,1138
District Clerk,0141,80,80,160,855,18.71%,96,57,153
District Clerk,0142,87,103,190,902,21.06%,64,120,184
District Clerk,0143,1962,580,2542,6386,39.81%,1831,649,2480
District Clerk,0144,216,158,374,1093,34.22%,11,355,366
District Clerk,0145,264,213,477,1538,31.01%,10,452,462
District Clerk,0146,426,519,945,2008,47.06%,426,469,895
District Clerk,0147,689,329,1018,3008,33.84%,138,858,996
District Clerk,0148,500,780,1280,2540,50.39%,527,665,1192
District Clerk,0149,1621,737,2358,7993,29.50%,1246,1058,2304
District Clerk,0150,236,169,405,1256,32.25%,17,380,397
District Clerk,0151,137,79,216,826,26.15%,11,199,210
District Clerk,0152,213,299,512,2788,18.36%,139,350,489
District Clerk,0153,125,206,331,1808,18.31%,110,205,315
District Clerk,0154,249,183,432,2190,19.73%,118,290,408
District Clerk,0155,1022,619,1641,4109,39.94%,1159,429,1588
District Clerk,0156,799,326,1125,3071,36.63%,41,1052,1093
District Clerk,0157,448,214,662,2236,29.61%,26,613,639
District Clerk,0158,600,315,915,3035,30.15%,28,865,893
District Clerk,0159,116,127,243,998,24.35%,42,194,236
District Clerk,0160,122,73,195,696,28.02%,5,186,191
District Clerk,0161,163,141,304,991,30.68%,6,288,294
District Clerk,0162,101,83,184,1265,14.55%,74,98,172
District Clerk,0163,230,320,550,3037,18.11%,244,274,518
District Clerk,0164,182,205,387,1420,27.25%,12,369,381
District Clerk,0165,535,483,1018,2334,43.62%,680,294,974
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0166,158,233,391,1028,38.04%,115,251,366
District Clerk,0167,3,0,3,24,12.50%,0,3,3
District Clerk,0168,92,58,150,503,29.82%,2,144,146
District Clerk,0169,518,251,767,2513,30.52%,18,729,747
District Clerk,0170,271,141,412,1869,22.04%,216,176,392
District Clerk,0171,202,198,400,1604,24.94%,13,377,390
District Clerk,0172,88,80,166,621,26.73%,67,88,155
District Clerk,0173,817,739,1556,3599,43.23%,1267,249,1516
District Clerk,0174,829,733,1562,3296,47.39%,1102,391,1493
District Clerk,0175,557,749,1306,2618,49.89%,685,529,1214
District Clerk,0176,344,451,795,1602,49.63%,434,295,729
District Clerk,0177,278,326,604,1496,40.37%,352,221,573
District Clerk,0178,504,365,869,1765,49.24%,611,197,808
District Clerk,0179,256,188,444,1575,28.19%,241,183,424
District Clerk,0180,470,343,813,2834,28.69%,23,754,777
District Clerk,0181,175,262,437,2061,21.20%,142,274,416
District Clerk,0182,590,974,1564,3405,45.93%,987,464,1451
District Clerk,0183,519,794,1313,2491,52.71%,889,337,1226
District Clerk,0184,106,135,241,994,24.25%,87,133,220
District Clerk,0185,283,292,575,1933,29.75%,214,339,553
District Clerk,0186,97,106,203,798,25.44%,38,157,195
District Clerk,0187,21,25,46,311,14.79%,14,30,44
District Clerk,0188,153,146,299,1637,18.27%,147,143,290
District Clerk,0189,239,360,599,1465,40.89%,325,237,562
District Clerk,0190,120,177,297,1723,17.24%,127,158,285
District Clerk,0191,79,126,205,1366,15.01%,91,107,198
District Clerk,0192,380,225,605,1959,30.88%,30,556,586
District Clerk,0193,173,187,360,1074,33.52%,8,341,349
District Clerk,0194,350,431,781,1912,40.85%,249,493,742
District Clerk,0195,269,278,547,1694,32.29%,25,508,533
District Clerk,0196,52,32,84,316,26.58%,5,77,82
District Clerk,0197,543,309,852,2914,29.24%,17,819,836
District Clerk,0198,53,74,127,642,19.78%,4,121,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0199,812,661,1473,3216,45.80%,1154,259,1413
District Clerk,0200,962,536,1498,3382,44.29%,700,702,1402
District Clerk,0201,98,87,185,724,25.55%,3,178,181
District Clerk,0202,217,189,406,1464,27.73%,15,382,397
District Clerk,0203,107,68,175,960,18.23%,46,120,166
District Clerk,0204,816,784,1600,3487,45.88%,910,593,1503
District Clerk,0205,464,171,635,1664,38.16%,14,611,625
District Clerk,0206,362,462,824,2779,29.65%,247,533,780
District Clerk,0207,265,261,526,1188,44.28%,180,313,493
District Clerk,0208,322,262,584,2195,26.61%,181,376,557
District Clerk,0209,0,2,2,0,0.00%,2,0,2
District Clerk,0210,502,467,969,2533,38.26%,114,829,943
District Clerk,0211,307,386,693,2914,23.78%,269,380,649
District Clerk,0212,96,155,251,1300,19.31%,55,187,242
District Clerk,0213,826,913,1739,3350,51.91%,1392,232,1624
District Clerk,0214,404,491,895,1854,48.27%,586,260,846
District Clerk,0215,421,711,1132,2258,50.13%,698,355,1053
District Clerk,0216,362,223,585,1945,30.08%,42,531,573
District Clerk,0217,844,631,1475,2678,55.08%,990,382,1372
District Clerk,0218,391,402,793,2292,34.60%,261,481,742
District Clerk,0219,496,436,932,2767,33.68%,51,845,896
District Clerk,0220,325,187,512,2310,22.16%,372,122,494
District Clerk,0221,332,369,701,2529,27.72%,302,367,669
District Clerk,0222,623,674,1297,2501,51.86%,645,557,1202
District Clerk,0223,563,377,940,3582,26.24%,261,623,884
District Clerk,0224,530,456,986,2238,44.06%,479,442,921
District Clerk,0225,376,405,781,3305,23.63%,397,360,757
District Clerk,0226,227,307,534,2436,21.92%,136,370,506
District Clerk,0227,558,423,981,1785,54.96%,746,152,898
District Clerk,0228,362,195,557,1050,53.05%,31,508,539
District Clerk,0229,31,96,127,815,15.58%,58,63,121
District Clerk,0230,185,116,301,1089,27.64%,7,285,292
District Clerk,0231,233,264,497,2232,22.27%,125,345,470
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0232,351,474,835,1760,47.44%,472,312,784
District Clerk,0233,890,801,1691,4445,38.04%,840,733,1573
District Clerk,0234,1192,913,2105,3993,52.72%,1636,333,1969
District Clerk,0235,240,158,398,1356,29.35%,12,374,386
District Clerk,0236,354,235,589,2079,28.33%,16,558,574
District Clerk,0237,416,253,669,2161,30.96%,14,639,653
District Clerk,0238,339,245,584,1925,30.34%,13,558,571
District Clerk,0239,383,236,619,1964,31.52%,23,583,606
District Clerk,0240,585,243,828,2649,31.26%,28,784,812
District Clerk,0241,222,229,451,2372,19.01%,192,238,430
District Clerk,0242,173,162,335,1596,20.99%,194,124,318
District Clerk,0243,138,43,181,457,39.61%,1,179,180
District Clerk,0244,480,425,905,3117,29.03%,511,356,867
District Clerk,0245,945,799,1745,5828,29.94%,1235,473,1708
District Clerk,0246,584,513,1197,3315,36.11%,863,301,1164
District Clerk,0247,173,254,427,1582,26.99%,15,406,421
District Clerk,0248,161,167,328,2100,15.62%,98,217,315
District Clerk,0249,461,348,809,2719,29.75%,568,214,782
District Clerk,0250,109,164,273,964,28.32%,9,259,268
District Clerk,0251,278,436,714,2089,34.18%,32,668,700
District Clerk,0252,504,312,816,2377,34.33%,20,781,801
District Clerk,0253,379,222,601,2177,27.61%,13,576,589
District Clerk,0254,93,112,205,1550,13.23%,66,129,195
District Clerk,0255,525,648,1173,2482,47.26%,578,525,1103
District Clerk,0256,575,449,1024,3254,31.47%,489,479,968
District Clerk,0257,204,245,449,2523,17.80%,144,287,431
District Clerk,0258,839,800,1539,3322,49.34%,1225,315,1540
District Clerk,0259,555,382,1038,2361,43.96%,29,979,1008
District Clerk,0260,152,145,307,1260,24.37%,180,110,290
District Clerk,0261,124,120,244,1417,17.22%,102,131,233
District Clerk,0262,758,600,1358,4397,30.88%,865,418,1283
District Clerk,0263,858,712,1570,3693,42.51%,1210,302,1512
District Clerk,0264,480,457,937,2963,31.62%,597,297,894
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0265,988,759,1747,3584,48.74%,1336,303,1639
District Clerk,0266,259,257,516,2104,24.52%,262,229,491
District Clerk,0267,146,166,312,1327,23.51%,168,123,291
District Clerk,0268,435,717,1152,2493,46.21%,682,359,1041
District Clerk,0269,702,453,1155,2030,56.90%,940,158,1098
District Clerk,0270,817,672,1489,3605,41.30%,838,579,1417
District Clerk,0271,656,382,1038,2518,41.22%,31,994,1025
District Clerk,0272,264,292,555,2162,25.72%,226,306,532
District Clerk,0273,548,689,1237,2470,50.08%,1012,167,1179
District Clerk,0274,588,346,934,2153,43.38%,648,228,876
District Clerk,0275,207,236,443,1850,23.95%,113,317,430
District Clerk,0276,572,231,803,2536,31.66%,8,778,786
District Clerk,0277,170,186,356,1492,23.86%,168,170,338
District Clerk,0278,421,320,741,2454,30.20%,425,287,712
District Clerk,0279,250,223,473,1941,24.37%,284,171,455
District Clerk,0280,130,188,318,1524,20.87%,140,161,301
District Clerk,0281,655,742,1397,2633,53.06%,699,570,1269
District Clerk,0282,314,455,769,2042,37.66%,507,221,728
District Clerk,0283,0,0,0,0,0.00%,0,0,0
District Clerk,0284,574,336,910,3172,28.69%,428,440,868
District Clerk,0285,448,378,826,2540,32.52%,82,716,798
District Clerk,0286,1255,821,2076,6170,33.65%,203,1806,2009
District Clerk,0287,370,477,847,1621,52.25%,415,378,793
District Clerk,0288,532,313,845,2210,38.24%,20,811,831
District Clerk,0289,186,212,398,1564,25.45%,208,174,382
District Clerk,0290,245,298,543,1642,33.07%,412,113,525
District Clerk,0291,325,235,560,1225,45.71%,292,238,530
District Clerk,0292,207,147,354,1356,26.11%,42,299,341
District Clerk,0293,356,447,803,1759,45.65%,383,370,753
District Clerk,0294,488,221,709,2097,33.81%,10,684,694
District Clerk,0295,148,103,251,885,28.36%,8,238,246
District Clerk,0296,327,340,667,1713,38.94%,390,230,620
District Clerk,0297,280,249,529,2012,26.29%,230,262,492
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0298,415,358,773,2121,36.45%,463,264,727
District Clerk,0299,178,117,295,1353,21.80%,116,154,270
District Clerk,0300,1389,1016,2405,5406,44.49%,1921,394,2315
District Clerk,0301,210,255,465,2352,19.77%,185,257,442
District Clerk,0302,353,343,696,2720,25.59%,407,267,674
District Clerk,0303,922,784,1706,3245,52.57%,1388,243,1631
District Clerk,0304,606,505,1111,2298,48.35%,646,392,1038
District Clerk,0305,524,432,956,4191,22.81%,411,521,932
District Clerk,0306,649,342,991,1879,52.74%,731,212,943
District Clerk,0307,733,670,1403,3099,45.27%,978,349,1327
District Clerk,0308,199,130,329,1296,25.39%,116,203,319
District Clerk,0309,708,593,1301,2524,51.55%,1058,182,1240
District Clerk,0310,386,279,665,1435,46.34%,455,165,620
District Clerk,0311,486,421,907,2986,30.38%,503,346,849
District Clerk,0312,742,457,1199,3636,32.98%,794,360,1154
District Clerk,0313,9,0,9,62,14.52%,7,1,8
District Clerk,0314,1121,913,2034,5647,36.02%,1293,677,1970
District Clerk,0315,478,388,866,1608,53.86%,518,300,818
District Clerk,0316,412,341,753,1537,48.99%,431,271,702
District Clerk,0317,248,209,457,1588,28.78%,148,285,433
District Clerk,0318,834,568,1402,3660,38.31%,77,1285,1362
District Clerk,0319,512,230,742,2158,34.38%,49,666,715
District Clerk,0320,234,168,402,1537,26.15%,205,177,382
District Clerk,0321,262,191,453,2346,19.31%,177,255,432
District Clerk,0322,181,129,310,1226,25.29%,99,200,299
District Clerk,0323,278,211,489,1722,28.40%,241,224,465
District Clerk,0324,532,646,1178,2336,50.43%,734,361,1095
District Clerk,0325,289,193,482,2112,22.82%,110,352,462
District Clerk,0326,87,74,161,698,23.07%,78,76,154
District Clerk,0327,380,129,509,1729,29.44%,14,479,493
District Clerk,0328,151,140,291,1434,20.29%,131,147,278
District Clerk,0329,189,184,373,1397,26.70%,146,210,356
District Clerk,0330,334,253,587,1936,30.32%,332,227,559
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0331,0,0,0,0,0.00%,0,0,0
District Clerk,0332,18,7,25,138,18.12%,16,8,24
District Clerk,0333,524,714,1238,3021,40.98%,867,309,1176
District Clerk,0334,83,42,125,742,16.85%,21,99,120
District Clerk,0335,121,98,219,1300,16.85%,89,117,206
District Clerk,0336,866,624,1490,4051,36.78%,143,1313,1456
District Clerk,0337,124,103,227,1029,22.06%,43,173,216
District Clerk,0338,730,391,1121,4934,22.72%,392,659,1051
District Clerk,0339,202,222,424,1757,24.13%,94,301,395
District Clerk,0340,1038,594,1632,3765,43.35%,1243,322,1565
District Clerk,0341,91,167,258,1290,20.00%,89,160,249
District Clerk,0342,675,605,1280,6526,19.61%,215,1037,1252
District Clerk,0343,189,271,460,1964,23.42%,135,302,437
District Clerk,0344,154,172,326,1160,28.10%,17,295,312
District Clerk,0345,156,165,321,1804,17.79%,102,202,304
District Clerk,0346,0,1,1,3,33.33%,1,0,1
District Clerk,0347,592,436,1028,3387,30.35%,703,292,995
District Clerk,0348,438,208,646,1708,37.82%,495,121,616
District Clerk,0349,188,267,455,1349,33.73%,287,146,433
District Clerk,0350,524,526,1050,2909,36.09%,432,539,971
District Clerk,0351,1491,710,2201,4712,46.71%,1757,374,2131
District Clerk,0352,520,339,859,3205,26.80%,636,193,829
District Clerk,0353,665,451,1116,3862,28.90%,214,867,1081
District Clerk,0354,715,338,1053,3388,31.08%,265,753,1018
District Clerk,0355,301,264,565,1560,36.22%,52,498,550
District Clerk,0356,594,538,1132,2972,38.09%,759,330,1089
District Clerk,0357,837,575,1412,3517,40.15%,1046,322,1368
District Clerk,0358,212,254,466,2492,18.70%,55,397,452
District Clerk,0359,234,224,458,3061,14.96%,65,383,448
District Clerk,0360,522,380,902,2146,42.03%,500,335,835
District Clerk,0361,41,295,336,1673,20.08%,49,244,293
District Clerk,0362,1138,887,2025,5086,39.82%,1508,424,1932
District Clerk,0363,620,412,1032,3677,28.07%,478,528,1006
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0364,488,405,893,2658,33.60%,526,332,858
District Clerk,0365,478,231,709,1305,54.33%,53,638,691
District Clerk,0366,252,270,522,2454,21.27%,140,368,508
District Clerk,0367,170,138,308,1130,27.26%,68,234,302
District Clerk,0368,178,88,266,958,27.77%,75,183,258
District Clerk,0369,32,29,61,559,10.91%,18,41,59
District Clerk,0370,1532,1105,2637,6593,40.00%,1996,556,2552
District Clerk,0371,122,52,174,502,34.66%,8,160,168
District Clerk,0372,221,170,391,1224,31.94%,59,318,377
District Clerk,0373,21,12,33,157,21.02%,2,29,31
District Clerk,0374,85,93,158,738,21.41,%,56,95,151
District Clerk,0375,254,220,474,2645,17.92%,240,200,440
District Clerk,0376,278,205,483,1910,25.29%,217,245,462
District Clerk,0377,525,583,1109,2920,37.98%,818,239,1057
District Clerk,0378,232,354,586,1829,32.04%,369,192,561
District Clerk,0379,431,289,720,2027,35.52%,80,620,700
District Clerk,0380,1299,995,2294,5666,40.49%,1270,953,2223
District Clerk,0381,412,248,660,2855,23.12%,317,317,634
District Clerk,0382,132,157,289,922,31.34%,214,67,281
District Clerk,0383,289,263,552,2173,25.40%,233,295,528
District Clerk,0384,573,373,946,2657,35.60%,201,709,910
District Clerk,0385,583,670,1253,2207,56.77%,979,207,1186
District Clerk,0386,662,469,1131,2922,38.71%,831,258,1089
District Clerk,0387,555,672,1227,3935,31.18%,905,287,1192
District Clerk,0388,1430,1010,2440,6888,35.42%,1419,956,2375
District Clerk,0389,91,208,299,1026,29.14%,41,234,275
District Clerk,0390,356,263,619,1480,41.82%,82,513,595
District Clerk,0391,508,260,768,1883,40.79%,493,247,740
District Clerk,0392,387,155,542,1446,37.48%,7,524,531
District Clerk,0393,165,185,350,1292,27.09%,164,175,339
District Clerk,0394,69,73,142,834,17.03%,73,62,135
District Clerk,0395,469,404,873,1846,47.29%,641,196,837
District Clerk,0396,622,216,838,2082,40.25%,19,796,815
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0397,86,78,164,760,21.58%,79,80,159
District Clerk,0398,615,521,1136,4022,28.24%,616,491,1107
District Clerk,0399,402,366,768,2791,27.52%,430,316,746
District Clerk,0400,620,359,979,2411,40.61%,720,217,937
District Clerk,0401,330,205,535,1913,27.97%,20,501,521
District Clerk,0402,466,266,732,1794,40.80%,41,668,709
District Clerk,0403,475,498,973,1715,56.73%,561,333,894
District Clerk,0404,419,330,749,2585,28.97%,444,279,723
District Clerk,0405,0,0,0,0,0.00%,0,0,0
District Clerk,0406,137,67,204,628,32.48%,4,193,197
District Clerk,0407,688,793,1481,3769,39.29%,1009,400,1409
District Clerk,0408,146,153,299,1691,17.68%,143,143,286
District Clerk,0409,122,149,271,1459,18.57%,116,145,261
District Clerk,0410,132,80,212,899,23.58%,43,158,201
District Clerk,0411,235,200,435,2339,18.60%,162,250,412
District Clerk,0412,74,44,118,468,25.21%,6,104,110
District Clerk,0413,767,386,1153,2992,38.54%,466,640,1106
District Clerk,0414,654,480,1134,3453,32.84%,886,203,1089
District Clerk,0415,539,598,1137,2203,51.61%,783,304,1087
District Clerk,0416,538,558,1096,3791,28.91%,617,440,1057
District Clerk,0417,353,385,738,2448,30.15%,379,328,707
District Clerk,0418,403,469,872,3584,24.33%,367,463,830
District Clerk,0419,571,324,895,2658,33.67%,601,258,859
District Clerk,0420,1036,874,1910,4762,40.11%,1571,267,1838
District Clerk,0421,36,37,73,410,17.80%,27,43,70
District Clerk,0422,731,402,1133,3345,33.87%,38,1073,1111
District Clerk,0423,108,120,228,1376,16.57%,79,141,220
District Clerk,0424,240,111,351,967,36.30%,212,123,335
District Clerk,0425,107,123,230,883,26.05%,90,131,221
District Clerk,0426,260,183,443,1218,36.37%,266,155,421
District Clerk,0427,179,134,313,1092,28.66%,145,151,296
District Clerk,0428,619,421,1040,4538,22.92%,329,631,960
District Clerk,0429,445,314,759,3197,23.74%,216,501,717
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Chris Daniel,DEM Judith Snively,Totals
District Clerk,0430,161,133,294,1657,17.74%,96,184,280
District Clerk,0431,327,84,411,3417,12.03%,155,237,392
District Clerk,0432,123,157,280,1455,19.24%,110,160,270
District Clerk,0433,50,63,113,581,19.45%,30,77,107
District Clerk,0434,370,289,659,1503,43.85%,428,197,625
