Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0072,220,293,513,1924,26.66%,170,317,487
"Judge, County Criminal Court No.4",0073,252,414,666,1555,42.83%,371,234,605
"Judge, County Criminal Court No.4",0074,1153,782,1935,3583,54.01%,1519,333,1852
"Judge, County Criminal Court No.4",0075,254,280,534,1444,36.98%,204,292,496
"Judge, County Criminal Court No.4",0076,373,374,747,2362,31.63%,443,273,716
"Judge, County Criminal Court No.4",0077,43,46,89,566,15.72%,21,64,85
"Judge, County Criminal Court No.4",0078,180,201,381,1522,25.03%,138,219,357
"Judge, County Criminal Court No.4",0079,205,306,511,2927,17.46%,128,339,467
"Judge, County Criminal Court No.4",0080,501,351,852,2725,31.27%,226,583,809
"Judge, County Criminal Court No.4",0081,183,187,370,1835,20.16%,153,193,346
"Judge, County Criminal Court No.4",0082,639,671,1310,3368,38.90%,988,284,1272
"Judge, County Criminal Court No.4",0083,1296,888,2184,6625,32.97%,1071,1034,2105
"Judge, County Criminal Court No.4",0084,208,218,426,1373,31.03%,301,107,408
"Judge, County Criminal Court No.4",0085,271,248,519,2173,23.88%,20,491,511
"Judge, County Criminal Court No.4",0086,447,568,1015,2910,34.88%,464,489,953
"Judge, County Criminal Court No.4",0087,574,787,1461,2818,51.85%,923,422,1345
"Judge, County Criminal Court No.4",0088,123,118,241,693,34.78%,156,73,229
"Judge, County Criminal Court No.4",0089,165,371,536,1094,48.99%,294,191,485
"Judge, County Criminal Court No.4",0090,844,790,1634,3700,44.16%,1197,365,1562
"Judge, County Criminal Court No.4",0091,219,222,441,1505,29.30%,265,157,422
"Judge, County Criminal Court No.4",0092,695,462,1157,2242,51.61,%,775,305,1080
"Judge, County Criminal Court No.4",0093,381,301,682,3356,20.32%,277,362,639
"Judge, County Criminal Court No.4",0094,51,43,94,549,17.12%,29,62,91
"Judge, County Criminal Court No.4",0095,917,576,1493,3177,46.99%,1090,328,1418
"Judge, County Criminal Court No.4",0096,83,83,166,1296,12.81%,20,144,164
"Judge, County Criminal Court No.4",0097,1024,725,1749,4828,36.23%,1298,385,1683
"Judge, County Criminal Court No.4",0098,403,488,891,2651,33.61%,736,123,859
"Judge, County Criminal Court No.4",0099,254,184,438,2092,20.94%,213,209,422
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0100,155,173,338,1730,19.54%,182,148,330
"Judge, County Criminal Court No.4",0101,72,58,130,946,13.74%,49,78,127
"Judge, County Criminal Court No.4",0102,207,121,328,1872,17.52%,90,225,315
"Judge, County Criminal Court No.4",0103,700,714,1414,5371,26.33%,802,568,1370
"Judge, County Criminal Court No.4",0104,530,231,761,1905,39.95%,17,728,745
"Judge, County Criminal Court No.4",0105,195,210,406,2165,18.75%,134,239,373
"Judge, County Criminal Court No.4",0106,15,7,25,294,8.50%,15,9,24
"Judge, County Criminal Court No.4",0107,154,197,351,2032,17.27%,58,277,335
"Judge, County Criminal Court No.4",0108,558,272,940,3365,27.93%,571,337,908
"Judge, County Criminal Court No.4",0109,529,245,774,2824,27.41%,9,747,756
"Judge, County Criminal Court No.4",0110,554,494,1148,3042,37.74%,747,365,1112
"Judge, County Criminal Court No.4",0111,815,795,1611,4102,39.27%,1180,353,1533
"Judge, County Criminal Court No.4",0112,542,485,1027,2976,34.51%,754,231,985
"Judge, County Criminal Court No.4",0113,552,429,991,2647,37.44%,608,332,940
"Judge, County Criminal Court No.4",0114,707,547,1254,3311,37.87%,1008,214,1222
"Judge, County Criminal Court No.4",0115,238,150,388,1800,21.56%,52,327,379
"Judge, County Criminal Court No.4",0116,982,776,1758,3147,55.86%,1350,294,1644
"Judge, County Criminal Court No.4",0117,215,226,441,1880,23.46%,217,199,416
"Judge, County Criminal Court No.4",0118,304,123,427,759,56.26%,354,55,409
"Judge, County Criminal Court No.4",0119,1288,1024,2312,5500,42.04%,1878,335,2213
"Judge, County Criminal Court No.4",0120,712,422,1134,3191,35.54%,741,341,1082
"Judge, County Criminal Court No.4",0121,92,178,270,848,31.84%,191,68,259
"Judge, County Criminal Court No.4",0122,352,225,577,1890,30.53%,20,534,554
"Judge, County Criminal Court No.4",0123,284,288,572,1392,41.09%,149,378,527
"Judge, County Criminal Court No.4",0124,1734,1292,3026,7254,41.71%,2410,533,2943
"Judge, County Criminal Court No.4",0125,415,332,747,2405,31.06%,455,267,722
"Judge, County Criminal Court No.4",0126,893,467,1360,3100,43.87%,1199,119,1318
"Judge, County Criminal Court No.4",0127,435,154,589,1836,32.08%,425,131,556
"Judge, County Criminal Court No.4",0128,445,707,1152,2290,50.31%,738,304,1042
"Judge, County Criminal Court No.4",0129,1030,1200,2230,5746,38.81%,1410,695,2105
"Judge, County Criminal Court No.4",0130,727,523,1250,2333,53.58%,932,248,1180
"Judge, County Criminal Court No.4",0131,251,259,510,1935,26.36%,119,368,487
"Judge, County Criminal Court No.4",0132,593,323,916,2387,38.37%,20,875,895
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0133,513,858,1371,2662,51.50%,793,454,1247
"Judge, County Criminal Court No.4",0134,192,265,457,1437,31.80%,210,224,434
"Judge, County Criminal Court No.4",0135,727,579,1306,2671,48.90%,920,297,1217
"Judge, County Criminal Court No.4",0136,503,371,874,2013,43.42%,33,814,847
"Judge, County Criminal Court No.4",0137,166,141,307,716,42.88%,146,130,276
"Judge, County Criminal Court No.4",0138,296,199,495,1699,29.13%,15,468,483
"Judge, County Criminal Court No.4",0139,699,551,1250,3037,41.16%,556,606,1162
"Judge, County Criminal Court No.4",0140,699,480,1179,3214,36.68%,138,1002,1140
"Judge, County Criminal Court No.4",0141,80,80,160,855,18.71%,98,54,152
"Judge, County Criminal Court No.4",0142,87,103,190,902,21.06%,65,117,182
"Judge, County Criminal Court No.4",0143,1962,580,2542,6386,39.81%,1835,636,2471
"Judge, County Criminal Court No.4",0144,216,158,374,1093,34.22%,11,356,367
"Judge, County Criminal Court No.4",0145,264,213,477,1538,31.01%,10,454,464
"Judge, County Criminal Court No.4",0146,426,519,945,2008,47.06%,421,468,889
"Judge, County Criminal Court No.4",0147,689,329,1018,3008,33.84%,127,866,993
"Judge, County Criminal Court No.4",0148,500,780,1280,2540,50.39%,499,652,1151
"Judge, County Criminal Court No.4",0149,1621,737,2358,7993,29.50%,1228,1072,2300
"Judge, County Criminal Court No.4",0150,236,169,405,1256,32.25%,11,386,397
"Judge, County Criminal Court No.4",0151,137,79,216,826,26.15%,11,198,209
"Judge, County Criminal Court No.4",0152,213,299,512,2788,18.36%,139,352,491
"Judge, County Criminal Court No.4",0153,125,206,331,1808,18.31%,109,207,316
"Judge, County Criminal Court No.4",0154,249,183,432,2190,19.73%,119,287,406
"Judge, County Criminal Court No.4",0155,1022,619,1641,4109,39.94%,1146,428,1574
"Judge, County Criminal Court No.4",0156,799,326,1125,3071,36.63%,41,1056,1097
"Judge, County Criminal Court No.4",0157,448,214,662,2236,29.61%,23,622,645
"Judge, County Criminal Court No.4",0158,600,315,915,3035,30.15%,26,866,892
"Judge, County Criminal Court No.4",0159,116,127,243,998,24.35%,41,194,235
"Judge, County Criminal Court No.4",0160,122,73,195,696,28.02%,4,187,191
"Judge, County Criminal Court No.4",0161,163,141,304,991,30.68%,5,290,295
"Judge, County Criminal Court No.4",0162,101,83,184,1265,14.55%,70,101,171
"Judge, County Criminal Court No.4",0163,230,320,550,3037,18.11%,242,279,521
"Judge, County Criminal Court No.4",0164,182,205,387,1420,27.25%,12,368,380
"Judge, County Criminal Court No.4",0165,535,483,1018,2334,43.62%,679,285,964
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0166,158,233,391,1028,38.04%,119,248,367
"Judge, County Criminal Court No.4",0167,3,0,3,24,12.50%,0,3,3
"Judge, County Criminal Court No.4",0168,92,58,150,503,29.82%,5,141,146
"Judge, County Criminal Court No.4",0169,518,251,767,2513,30.52%,11,737,748
"Judge, County Criminal Court No.4",0170,271,141,412,1869,22.04%,215,176,391
"Judge, County Criminal Court No.4",0171,202,198,400,1604,24.94%,13,377,390
"Judge, County Criminal Court No.4",0172,88,80,166,621,26.73%,67,87,154
"Judge, County Criminal Court No.4",0173,817,739,1556,3599,43.23%,1253,250,1503
"Judge, County Criminal Court No.4",0174,829,733,1562,3296,47.39%,1078,394,1472
"Judge, County Criminal Court No.4",0175,557,749,1306,2618,49.89%,664,532,1196
"Judge, County Criminal Court No.4",0176,344,451,795,1602,49.63%,421,288,709
"Judge, County Criminal Court No.4",0177,278,326,604,1496,40.37%,343,215,558
"Judge, County Criminal Court No.4",0178,504,365,869,1765,49.24%,597,195,792
"Judge, County Criminal Court No.4",0179,256,188,444,1575,28.19%,240,179,419
"Judge, County Criminal Court No.4",0180,470,343,813,2834,28.69%,18,759,777
"Judge, County Criminal Court No.4",0181,175,262,437,2061,21.20%,141,273,414
"Judge, County Criminal Court No.4",0182,590,974,1564,3405,45.93%,961,465,1426
"Judge, County Criminal Court No.4",0183,519,794,1313,2491,52.71%,872,341,1213
"Judge, County Criminal Court No.4",0184,106,135,241,994,24.25%,81,136,217
"Judge, County Criminal Court No.4",0185,283,292,575,1933,29.75%,211,339,550
"Judge, County Criminal Court No.4",0186,97,106,203,798,25.44%,36,158,194
"Judge, County Criminal Court No.4",0187,21,25,46,311,14.79%,15,29,44
"Judge, County Criminal Court No.4",0188,153,146,299,1637,18.27%,139,145,284
"Judge, County Criminal Court No.4",0189,239,360,599,1465,40.89%,318,232,550
"Judge, County Criminal Court No.4",0190,120,177,297,1723,17.24%,131,153,284
"Judge, County Criminal Court No.4",0191,79,126,205,1366,15.01%,88,107,195
"Judge, County Criminal Court No.4",0192,380,225,605,1959,30.88%,26,560,586
"Judge, County Criminal Court No.4",0193,173,187,360,1074,33.52%,8,340,348
"Judge, County Criminal Court No.4",0194,350,431,781,1912,40.85%,250,482,732
"Judge, County Criminal Court No.4",0195,269,278,547,1694,32.29%,17,516,533
"Judge, County Criminal Court No.4",0196,52,32,84,316,26.58%,5,75,80
"Judge, County Criminal Court No.4",0197,543,309,852,2914,29.24%,12,824,836
"Judge, County Criminal Court No.4",0198,53,74,127,642,19.78%,3,122,125
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0199,812,661,1473,3216,45.80%,1147,259,1406
"Judge, County Criminal Court No.4",0200,962,536,1498,3382,44.29%,669,709,1378
"Judge, County Criminal Court No.4",0201,98,87,185,724,25.55%,2,179,181
"Judge, County Criminal Court No.4",0202,217,189,406,1464,27.73%,12,384,396
"Judge, County Criminal Court No.4",0203,107,68,175,960,18.23%,41,124,165
"Judge, County Criminal Court No.4",0204,816,784,1600,3487,45.88%,893,581,1474
"Judge, County Criminal Court No.4",0205,464,171,635,1664,38.16%,8,617,625
"Judge, County Criminal Court No.4",0206,362,462,824,2779,29.65%,236,532,768
"Judge, County Criminal Court No.4",0207,265,261,526,1188,44.28%,169,320,489
"Judge, County Criminal Court No.4",0208,322,262,584,2195,26.61%,178,379,557
"Judge, County Criminal Court No.4",0209,0,2,2,0,0.00%,2,0,2
"Judge, County Criminal Court No.4",0210,502,467,969,2533,38.26%,104,835,939
"Judge, County Criminal Court No.4",0211,307,386,693,2914,23.78%,255,390,645
"Judge, County Criminal Court No.4",0212,96,155,251,1300,19.31%,58,184,242
"Judge, County Criminal Court No.4",0213,826,913,1739,3350,51.91%,1370,239,1609
"Judge, County Criminal Court No.4",0214,404,491,895,1854,48.27%,578,255,833
"Judge, County Criminal Court No.4",0215,421,711,1132,2258,50.13%,692,349,1041
"Judge, County Criminal Court No.4",0216,362,223,585,1945,30.08%,39,534,573
"Judge, County Criminal Court No.4",0217,844,631,1475,2678,55.08%,953,391,1344
"Judge, County Criminal Court No.4",0218,391,402,793,2292,34.60%,258,476,734
"Judge, County Criminal Court No.4",0219,496,436,932,2767,33.68%,48,848,896
"Judge, County Criminal Court No.4",0220,325,187,512,2310,22.16%,371,123,494
"Judge, County Criminal Court No.4",0221,332,369,701,2529,27.72%,302,361,663
"Judge, County Criminal Court No.4",0222,623,674,1297,2501,51.86%,625,558,1183
"Judge, County Criminal Court No.4",0223,563,377,940,3582,26.24%,264,619,883
"Judge, County Criminal Court No.4",0224,530,456,986,2238,44.06%,465,442,907
"Judge, County Criminal Court No.4",0225,376,405,781,3305,23.63%,387,362,749
"Judge, County Criminal Court No.4",0226,227,307,534,2436,21.92%,135,374,509
"Judge, County Criminal Court No.4",0227,558,423,981,1785,54.96%,743,142,885
"Judge, County Criminal Court No.4",0228,362,195,557,1050,53.05%,26,509,535
"Judge, County Criminal Court No.4",0229,31,96,127,815,15.58%,62,60,122
"Judge, County Criminal Court No.4",0230,185,116,301,1089,27.64%,7,284,291
"Judge, County Criminal Court No.4",0231,233,264,497,2232,22.27%,124,344,468
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0232,361,474,835,1760,47.44%,465,306,771
"Judge, County Criminal Court No.4",0233,890,801,1691,4445,38.04%,805,739,1544
"Judge, County Criminal Court No.4",0234,1192,913,2105,3993,52.72%,1603,334,1937
"Judge, County Criminal Court No.4",0235,240,158,398,1356,29.35%,11,376,387
"Judge, County Criminal Court No.4",0236,354,235,589,2079,28.33%,14,561,575
"Judge, County Criminal Court No.4",0237,416,253,669,2161,30.96%,8,642,650
"Judge, County Criminal Court No.4",0238,339,245,584,1925,30.34%,17,556,573
"Judge, County Criminal Court No.4",0239,383,236,619,1964,31.52%,21,586,607
"Judge, County Criminal Court No.4",0240,585,243,828,2649,31.26%,15,796,811
"Judge, County Criminal Court No.4",0241,222,229,451,2372,19.01%,192,236,428
"Judge, County Criminal Court No.4",0242,173,162,335,1596,20.99%,198,119,317
"Judge, County Criminal Court No.4",0243,138,43,181,457,39.61%,1,179,180
"Judge, County Criminal Court No.4",0244,480,425,905,3117,29.03%,501,365,866
"Judge, County Criminal Court No.4",0245,946,799,1745,5828,29.94%,1223,482,1705
"Judge, County Criminal Court No.4",0246,584,513,1197,3315,36.11%,851,307,1158
"Judge, County Criminal Court No.4",0247,173,254,427,1582,26.99%,13,408,421
"Judge, County Criminal Court No.4",0248,161,167,328,2100,15.62%,95,218,313
"Judge, County Criminal Court No.4",0249,461,348,809,2719,29.75%,566,215,781
"Judge, County Criminal Court No.4",0250,109,164,273,964,28.32%,7,261,268
"Judge, County Criminal Court No.4",0251,278,436,714,2089,34.18%,25,674,699
"Judge, County Criminal Court No.4",0252,504,312,816,2377,34.33%,13,785,798
"Judge, County Criminal Court No.4",0253,379,222,601,2177,27.61%,10,578,588
"Judge, County Criminal Court No.4",0254,93,112,205,1550,13.23%,67,129,196
"Judge, County Criminal Court No.4",0255,525,648,1173,2482,47.26%,559,523,1082
"Judge, County Criminal Court No.4",0256,575,449,1024,3254,31.47%,486,474,960
"Judge, County Criminal Court No.4",0257,204,245,449,2523,17.80%,132,290,422
"Judge, County Criminal Court No.4",0258,839,800,1539,3322,49.34%,1202,314,1516
"Judge, County Criminal Court No.4",0259,555,382,1038,2361,43.96%,28,983,1011
"Judge, County Criminal Court No.4",0260,162,145,307,1260,24.37%,178,107,285
"Judge, County Criminal Court No.4",0261,124,120,244,1417,17.22%,105,129,234
"Judge, County Criminal Court No.4",0262,758,600,1358,4397,30.88%,851,425,1276
"Judge, County Criminal Court No.4",0263,858,712,1570,3693,42.51%,1213,303,1516
"Judge, County Criminal Court No.4",0264,480,457,937,2963,31.62%,585,292,877
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0265,988,759,1747,3584,48.74%,1326,292,1618
"Judge, County Criminal Court No.4",0266,259,257,516,2104,24.52%,259,224,483
"Judge, County Criminal Court No.4",0267,146,166,312,1327,23.51%,159,131,290
"Judge, County Criminal Court No.4",0268,435,717,1152,2493,46.21%,667,356,1023
"Judge, County Criminal Court No.4",0269,702,453,1155,2030,56.90%,920,159,1079
"Judge, County Criminal Court No.4",0270,817,672,1489,3605,41.30%,830,567,1397
"Judge, County Criminal Court No.4",0271,656,382,1038,2518,41.22%,26,998,1024
"Judge, County Criminal Court No.4",0272,264,292,556,2162,25.72%,219,308,527
"Judge, County Criminal Court No.4",0273,548,689,1237,2470,50.08%,1003,167,1170
"Judge, County Criminal Court No.4",0274,588,346,934,2153,43.38%,629,232,861
"Judge, County Criminal Court No.4",0275,207,236,443,1850,23.95%,111,320,431
"Judge, County Criminal Court No.4",0276,572,231,803,2536,31.66%,7,778,785
"Judge, County Criminal Court No.4",0277,170,186,356,1492,23.86%,168,170,338
"Judge, County Criminal Court No.4",0278,421,320,741,2454,30.20%,418,292,710
"Judge, County Criminal Court No.4",0279,250,223,473,1941,24.37%,280,170,450
"Judge, County Criminal Court No.4",0280,130,188,318,1524,20.87%,136,164,300
"Judge, County Criminal Court No.4",0281,655,742,1397,2633,53.06%,688,560,1248
"Judge, County Criminal Court No.4",0282,314,455,769,2042,37.66%,486,240,726
"Judge, County Criminal Court No.4",0283,0,0,0,0,0.00%,0,0,0
"Judge, County Criminal Court No.4",0284,574,336,910,3172,28.69%,424,439,863
"Judge, County Criminal Court No.4",0285,448,378,826,2540,32.52%,77,722,799
"Judge, County Criminal Court No.4",0286,1255,821,2076,6170,33.65%,197,1815,2012
"Judge, County Criminal Court No.4",0287,370,477,847,1621,52.25%,410,372,782
"Judge, County Criminal Court No.4",0288,532,313,845,2210,38.24%,14,815,829
"Judge, County Criminal Court No.4",0289,186,212,398,1564,25.45%,207,168,375
"Judge, County Criminal Court No.4",0290,245,298,543,1642,33.07%,405,120,525
"Judge, County Criminal Court No.4",0291,325,235,560,1225,45.71%,286,236,522
"Judge, County Criminal Court No.4",0292,207,147,354,1356,26.11%,43,305,348
"Judge, County Criminal Court No.4",0293,356,447,803,1759,45.65%,373,370,743
"Judge, County Criminal Court No.4",0294,488,221,709,2097,33.81%,8,686,694
"Judge, County Criminal Court No.4",0295,148,103,251,885,28.36%,7,239,246
"Judge, County Criminal Court No.4",0296,327,340,667,1713,38.94%,384,225,609
"Judge, County Criminal Court No.4",0297,280,249,529,2012,26.29%,237,254,491
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Clinton,"DEM Nikita ""Niki"" Harmon",Totals
"Judge, County Criminal Court No.4",0298,415,358,773,2121,36.45%,453,270,723
"Judge, County Criminal Court No.4",0299,178,117,295,1353,21.80%,115,159,274
"Judge, County Criminal Court No.4",0300,1389,1016,2405,5406,44.49%,1909,390,2299
"Judge, County Criminal Court No.4",0301,210,255,465,2352,19.77%,188,252,440
"Judge, County Criminal Court No.4",0302,353,343,696,2720,25.59%,403,268,671
"Judge, County Criminal Court No.4",0303,922,784,1706,3245,52.57%,1376,237,1613
"Judge, County Criminal Court No.4",0304,606,505,1111,2298,48.35%,616,402,1018
"Judge, County Criminal Court No.4",0305,524,432,956,4191,22.81%,396,529,925
"Judge, County Criminal Court No.4",0306,649,342,991,1879,52.74%,723,205,928
"Judge, County Criminal Court No.4",0307,733,670,1403,3099,45.27%,956,358,1314
"Judge, County Criminal Court No.4",0308,199,130,329,1296,25.39%,115,200,315
"Judge, County Criminal Court No.4",0309,708,593,1301,2524,51.55%,1037,179,1216
"Judge, County Criminal Court No.4",0310,386,279,665,1435,46.34%,449,169,618
"Judge, County Criminal Court No.4",0311,486,421,907,2986,30.38%,497,344,841
"Judge, County Criminal Court No.4",0312,742,457,1199,3636,32.98%,789,352,1141
"Judge, County Criminal Court No.4",0313,9,0,9,62,14.52%,7,1,8
"Judge, County Criminal Court No.4",0314,1121,913,2034,5647,36.02%,1284,682,1966
"Judge, County Criminal Court No.4",0315,478,388,866,1608,53.86%,504,300,804
"Judge, County Criminal Court No.4",0316,412,341,753,1537,48.99%,423,268,691
"Judge, County Criminal Court No.4",0317,248,209,457,1588,28.78%,145,288,433
"Judge, County Criminal Court No.4",0318,834,568,1402,3660,38.31%,67,1295,1362
"Judge, County Criminal Court No.4",0319,512,230,742,2158,34.38%,44,674,718
"Judge, County Criminal Court No.4",0320,234,168,402,1537,26.15%,200,179,379
"Judge, County Criminal Court No.4",0321,262,191,453,2346,19.31%,174,255,429
"Judge, County Criminal Court No.4",0322,181,129,310,1226,25.29%,103,195,298
"Judge, County Criminal Court No.4",0323,278,211,489,1722,28.40%,236,222,458
"Judge, County Criminal Court No.4",0324,532,646,1178,2336,50.43%,726,351,1077
"Judge, County Criminal Court No.4",0325,289,193,482,2112,22.82%,105,353,458
"Judge, County Criminal Court No.4",0326,87,74,161,698,23.07%,80,73,153
"Judge, County Criminal Court No.4",0327,380,129,509,1729,29.44%,8,485,493
"Judge, County Criminal Court No.4",0328,151,140,291,1434,20.29%,130,146,276
"Judge, County Criminal Court No.4",0329,189,184,373,1397,26.70%,148,205,353
"Judge, County Criminal Court No.4",0330,334,253,587,1936,30.32%,329,224,553
