Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP J. Kent Adams,Totals
"Justice of the Peace, Precinct No. 4, Place 1",0480,936,555,1491,2267,65.77%,1126,1126
"Justice of the Peace, Precinct No. 4, Place 1",0481,1463,852,2315,3298,70.19%,1827,1827
"Justice of the Peace, Precinct No. 4, Place 1",0482,1963,836,2799,4129,67.79%,2137,2137
"Justice of the Peace, Precinct No. 4, Place 1",0484,2236,1008,3244,4594,70.61%,2512,2512
"Justice of the Peace, Precinct No. 4, Place 1",0485,2421,990,3411,4838,70.50%,2721,2721
"Justice of the Peace, Precinct No. 4, Place 1",0486,1843,805,2648,3572,74.13%,2179,2179
"Justice of the Peace, Precinct No. 4, Place 1",0495,1120,494,1614,2284,70.67%,1228,1228
"Justice of the Peace, Precinct No. 4, Place 1",0500,1507,746,2253,3175,70.96%,1687,1687
"Justice of the Peace, Precinct No. 4, Place 1",0513,1605,507,2112,2752,76.74%,1690,1690
"Justice of the Peace, Precinct No. 4, Place 1",0514,1966,860,2826,3941,71.71%,2220,2220
"Justice of the Peace, Precinct No. 4, Place 1",0515,1692,708,2400,3173,75.64%,2011,2011
"Justice of the Peace, Precinct No. 4, Place 1",0516,2179,1066,3245,4934,65.77%,1875,1875
"Justice of the Peace, Precinct No. 4, Place 1",0518,1478,919,2397,3755,63.83%,1683,1683
"Justice of the Peace, Precinct No. 4, Place 1",0519,1234,645,1879,2951,63.67%,1462,1462
"Justice of the Peace, Precinct No. 4, Place 1",0520,1542,857,2399,4064,59.03%,687,687
"Justice of the Peace, Precinct No. 4, Place 1",0529,1987,441,2428,3616,67.15%,2078,2078
"Justice of the Peace, Precinct No. 4, Place 1",0548,720,476,1196,2129,56.18%,669,669
"Justice of the Peace, Precinct No. 4, Place 1",0549,944,586,1530,2530,60.47%,382,382
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP J. Kent Adams,Totals
"Justice of the Peace, Precinct No. 4, Place 1",0550,1134,629,1763,2847,61.92%,1038,1038
"Justice of the Peace, Precinct No. 4, Place 1",0551,3088,1527,4615,6135,75.22%,3616,3616
"Justice of the Peace, Precinct No. 4, Place 1",0552,1621,844,2465,3241,76.06%,2086,2086
"Justice of the Peace, Precinct No. 4, Place 1",0563,1699,415,2114,2969,71.20%,1699,1699
"Justice of the Peace, Precinct No. 4, Place 1",0575,27,9,36,79,45.57%,34,34
"Justice of the Peace, Precinct No. 4, Place 1",0586,1306,1189,2495,4230,58.98%,1698,1698
"Justice of the Peace, Precinct No. 4, Place 1",0587,933,465,1398,2174,64.31%,634,634
"Justice of the Peace, Precinct No. 4, Place 1",0588,1536,871,2407,3468,69.41%,1846,1846
"Justice of the Peace, Precinct No. 4, Place 1",0590,1158,463,1621,2136,75.89%,1315,1315
"Justice of the Peace, Precinct No. 4, Place 1",0592,370,288,658,1258,52.31%,220,220
"Justice of the Peace, Precinct No. 4, Place 1",0596,945,690,1635,2848,57.41%,1009,1009
"Justice of the Peace, Precinct No. 4, Place 1",0597,1067,719,1786,3267,54.67%,830,830
"Justice of the Peace, Precinct No. 4, Place 1",0598,335,1,03,438,724,60.50%,346,346
"Justice of the Peace, Precinct No. 4, Place 1",0599,1895,866,2761,4135,66.77%,1233,1233
"Justice of the Peace, Precinct No. 4, Place 1",0601,2028,858,2886,3990,72.33%,2301,2301
"Justice of the Peace, Precinct No. 4, Place 1",0602,562,296,858,1237,69.36%,649,649
"Justice of the Peace, Precinct No. 4, Place 1",0609,1364,844,2208,3261,67.71%,1529,1529
"Justice of the Peace, Precinct No. 4, Place 1",0612,1700,579,2279,3272,69.65%,1816,1816
"Justice of the Peace, Precinct No. 4, Place 1",0613,495,309,804,1450,55.45%,216,216
"Justice of the Peace, Precinct No. 4, Place 1",0614,1631,812,2443,3932,62.13%,1086,1086
"Justice of the Peace, Precinct No. 4, Place 1",0615,931,404,1335,1926,69.31%,899,899
"Justice of the Peace, Precinct No. 4, Place 1",0623,1708,626,2334,3481,67.05%,1670,1670
"Justice of the Peace, Precinct No. 4, Place 1",0624,9,0,9,16,56.25%,5,5
"Justice of the Peace, Precinct No. 4, Place 1",0629,175,127,302,629,48.01%,79,79
"Justice of the Peace, Precinct No. 4, Place 1",0631,1489,392,1881,2733,68.83%,1443,1443
"Justice of the Peace, Precinct No. 4, Place 1",0633,1782,678,2460,3257,75.53%,1921,1921
"Justice of the Peace, Precinct No. 4, Place 1",0534,1020,734,1754,2922,60.03%,1191,1191
"Justice of the Peace, Precinct No. 4, Place 1",0635,1326,706,2032,3280,61.95%,1652,1652
"Justice of the Peace, Precinct No. 4, Place 1",0640,1382,723,2105,3548,59.33%,1381,1381
"Justice of the Peace, Precinct No. 4, Place 1",0641,1265,878,2143,3375,63.50%,1461,1461
"Justice of the Peace, Precinct No. 4, Place 1",0648,1590,668,2258,3197,70.63%,1724,1724
"Justice of the Peace, Precinct No. 4, Place 1",0657,490,268,758,1200,63.17%,385,385
"Justice of the Peace, Precinct No. 4, Place 1",0658,985,708,1693,2824,59.95%,1169,1169
"Justice of the Peace, Precinct No. 4, Place 1",0659,2141,1091,3232,4588,70.44%,2480,2480
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP J. Kent Adams,Totals
"Justice of the Peace, Precinct No. 4, Place 1",0660,2460,932,3392,5048,67.19%,729,729
"Justice of the Peace, Precinct No. 4, Place 1",0661,1614,1012,2626,4179,62.84%,1656,1656
"Justice of the Peace, Precinct No. 4, Place 1",0668,927,655,1582,2458,64.36%,1117,1117
"Justice of the Peace, Precinct No. 4, Place 1",0669,1606,823,2429,3243,74.90%,1884,1884
"Justice of the Peace, Precinct No. 4, Place 1",0670,1566,518,2084,2952,70.60%,1705,1705
"Justice of the Peace, Precinct No. 4, Place 1",0671,1090,773,1863,2942,63.32%,1228,1228
"Justice of the Peace, Precinct No. 4, Place 1",0672,2301,1078,3379,4710,71.74%,2451,2451
"Justice of the Peace, Precinct No. 4, Place 1",0674,2092,813,2905,4055,71.64%,2315,2315
"Justice of the Peace, Precinct No. 4, Place 1",0687,1084,641,1725,2497,69.08%,1252,1252
"Justice of the Peace, Precinct No. 4, Place 1",0688,1815,673,2488,3266,76.18%,2088,2088
"Justice of the Peace, Precinct No. 4, Place 1",0690,1965,1116,3081,4184,73.64%,2553,2553
"Justice of the Peace, Precinct No. 4, Place 1",0691,10,2,12,34,35.29%,6,6
"Justice of the Peace, Precinct No. 4, Place 1",0698,1137,659,1796,2948,60.92%,345,345
"Justice of the Peace, Precinct No. 4, Place 1",0705,358,238,596,1520,39.21%,99,99
"Justice of the Peace, Precinct No. 4, Place 1",0713,665,436,1101,1827,60.26%,670,670
"Justice of the Peace, Precinct No. 4, Place 1",0717,826,362,1188,1927,61.65%,285,285
"Justice of the Peace, Precinct No. 4, Place 1",0726,1141,304,1445,1987,72.72%,1271,1271
"Justice of the Peace, Precinct No. 4, Place 1",0729,208,93,301,446,67.49%,198,198
"Justice of the Peace, Precinct No. 4, Place 1",0734,3209,1114,4323,5952,72.63%,3208,3208
"Justice of the Peace, Precinct No. 4, Place 1",0735,9,0,9,23,39.1,3%,8,8
"Justice of the Peace, Precinct No. 4, Place 1",0737,25,5,30,53,56.60%,27,27
"Justice of the Peace, Precinct No. 4, Place 1",0738,470,219,689,1294,53.25%,151,151
"Justice of the Peace, Precinct No. 4, Place 1",0747,1200,873,2073,3490,59.40%,1206,1206
"Justice of the Peace, Precinct No. 4, Place 1",0753,106,61,167,260,64.23%,122,122
"Justice of the Peace, Precinct No. 4, Place 1",0756,582,300,882,1539,57.31%,376,376
"Justice of the Peace, Precinct No. 4, Place 1",0757,1416,690,2106,3498,60.21%,624,624
"Justice of the Peace, Precinct No. 4, Place 1",0758,1996,783,2779,3781,73.50%,2328,2328
"Justice of the Peace, Precinct No. 4, Place 1",0759,1109,590,1699,2625,64.72%,1154,1154
"Justice of the Peace, Precinct No. 4, Place 1",0760,2346,647,2993,4154,72.05%,2582,2582
"Justice of the Peace, Precinct No. 4, Place 1",0764,2270,1050,3320,4931,67.33%,2333,2333
"Justice of the Peace, Precinct No. 4, Place 1",0767,20,15,35,90,38.89%,27,27
"Justice of the Peace, Precinct No. 4, Place 1",0768,2854,1159,4013,5364,74.81%,3326,3326
"Justice of the Peace, Precinct No. 4, Place 1",0776,1113,741,1854,2855,64.94%,1235,1235
"Justice of the Peace, Precinct No. 4, Place 1",0783,103,43,146,265,55.09%,91,91
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP J. Kent Adams,Totals
"Justice of the Peace, Precinct No. 4, Place 1",0794,575,484,1059,2602,40.70%,199,199
"Justice of the Peace, Precinct No. 4, Place 1",0805,1509,529,2038,2812,72.48%,1690,1690
"Justice of the Peace, Precinct No. 4, Place 1",0823,1849,1015,2864,4710,60.81%,1767,1767
"Justice of the Peace, Precinct No. 4, Place 1",0828,1074,343,1417,1875,75.57%,1182,1182
"Justice of the Peace, Precinct No. 4, Place 1",0840,712,251,963,1621,59.41%,402,402
"Justice of the Peace, Precinct No. 4, Place 1",0841,0,2,2,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0851,2192,816,3008,4317,69.68%,2170,2170
"Justice of the Peace, Precinct No. 4, Place 1",0853,1412,605,2017,2773,72.74%,1627,1627
"Justice of the Peace, Precinct No. 4, Place 1",0873,253,125,378,701,53.92%,143,143
"Justice of the Peace, Precinct No. 4, Place 1",0874,1534,748,2282,3107,73.45%,1851,1851
"Justice of the Peace, Precinct No. 4, Place 1",0876,1629,639,2268,3013,75.27%,1767,1767
"Justice of the Peace, Precinct No. 4, Place 1",0878,853,350,1203,1641,73.31%,1038,1038
"Justice of the Peace, Precinct No. 4, Place 1",0880,1068,472,1540,2007,76.73%,1272,1272
"Justice of the Peace, Precinct No. 4, Place 1",0883,1918,1042,2960,4651,63.64%,901,901
"Justice of the Peace, Precinct No. 4, Place 1",0885,1222,541,1763,2466,71.49%,1189,1189
"Justice of the Peace, Precinct No. 4, Place 1",0888,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0897,742,375,1117,1624,68.78%,688,688
"Justice of the Peace, Precinct No. 4, Place 1",0898,0,0,0,2,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0901,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0904,0,1,1,1,100.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0911,227,79,306,570,53.68%,217,217
"Justice of the Peace, Precinct No. 4, Place 1",0912,675,221,896,1235,72.55%,606,606
"Justice of the Peace, Precinct No. 4, Place 1",0913,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0914,169,67,236,221,106.79%,190,190
"Justice of the Peace, Precinct No. 4, Place 1",0915,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0916,604,182,786,1045,75.22%,660,660
"Justice of the Peace, Precinct No. 4, Place 1",0926,361,120,481,621,77.46%,394,394
"Justice of the Peace, Precinct No. 4, Place 1",0934,12,1,13,41,31.71%,8,8
"Justice of the Peace, Precinct No. 4, Place 1",0957,261,115,376,551,68.24%,106,106
"Justice of the Peace, Precinct No. 4, Place 1",0958,289,266,555,989,56.12%,172,172
"Justice of the Peace, Precinct No. 4, Place 1",0959,0,4,4,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",0960,362,143,505,586,86.18%,194,194
"Justice of the Peace, Precinct No. 4, Place 1",0967,48,15,63,98,64.29%,33,33
"Justice of the Peace, Precinct No. 4, Place 1",0968,243,83,326,517,63.06%,102,102
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP J. Kent Adams,Totals
"Justice of the Peace, Precinct No. 4, Place 1",0978,201,102,303,506,59.88%,105,105
"Justice of the Peace, Precinct No. 4, Place 1",0979,5,6,11,26,42.31%,11,11
"Justice of the Peace, Precinct No. 4, Place 1",0980,595,356,951,1323,71.88%,744,744
"Justice of the Peace, Precinct No. 4, Place 1",0982,534,218,752,1021,73.65%,621,621
"Justice of the Peace, Precinct No. 4, Place 1",0983,41,28,69,165,41.82%,46,46
"Justice of the Peace, Precinct No. 4, Place 1",0997,429,328,757,1439,52.61%,247,247
"Justice of the Peace, Precinct No. 4, Place 1",0998,15,9,24,35,68.57%,20,20
"Justice of the Peace, Precinct No. 4, Place 1",0999,30,16,46,65,70.77%,36,36
"Justice of the Peace, Precinct No. 4, Place 1",1007,555,295,850,1371,62.00%,311,311
"Justice of the Peace, Precinct No. 4, Place 1",1012,395,318,713,1235,57.73%,266,266
"Justice of the Peace, Precinct No. 4, Place 1",1013,8,14,22,60,36.67%,18,18
"Justice of the Peace, Precinct No. 4, Place 1",1,014,9,7,1,6,36,44.44%,6,6
"Justice of the Peace, Precinct No. 4, Place 1",1015,11,7,18,29,62.07%,5,5
"Justice of the Peace, Precinct No. 4, Place 1",1017,127,50,177,232,76.29%,69,69
"Justice of the Peace, Precinct No. 4, Place 1",1018,209,92,301,468,64.32%,172,172
"Justice of the Peace, Precinct No. 4, Place 1",1,021,1,0,1,2,50.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",1022,190,30,220,426,51.64%,184,184
"Justice of the Peace, Precinct No. 4, Place 1",1,025,4,0,4,1,8,22.22%,1,1
"Justice of the Peace, Precinct No. 4, Place 1",1026,0,0,0,0,0.00%,0,0
"Justice of the Peace, Precinct No. 4, Place 1",1028,0,1,1,0,0.00%,1,1
"Justice of the Peace, Precinct No. 4, Place 1",1029,1021,641,1662,1802,92.23%,1380,1380
"Justice of the Peace, Precinct No. 4, Place 1",1,030,397,1,05,502,655,76.64%,448,448
"Justice of the Peace, Precinct No. 4, Place 1",1035,24,13,37,139,26.62%,10,10
"Justice of the Peace, Precinct No. 4, Place 1",1036,144,46,190,433,43.88%,158,158
"Justice of the Peace, Precinct No. 4, Place 1",1038,133,43,176,266,66.17%,16,16
"Justice of the Peace, Precinct No. 4, Place 1",1042,227,50,277,498,55.62%,107,107
"Justice of the Peace, Precinct No. 4, Place 1",1043,12,2,14,31,45.16%,5,5
"Justice of the Peace, Precinct No. 4, Place 1",1044,29,5,34,59,57.63%,15,15
"Justice of the Peace, Precinct No. 4, Place 1",1045,611,321,932,1439,64.77%,256,256
"Justice of the Peace, Precinct No. 4, Place 1",1047,563,288,851,1242,68.52%,378,378
"Justice of the Peace, Precinct No. 4, Place 1",Totals:,211247,97799,309046,457752,,213164,213164
