Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"City of Houston, Proposition A",0153,328,437,765,1755,43.59%,391,179,570
"City of Houston, Proposition A",0154,593,360,953,2133,44.68%,497,225,722
"City of Houston, Proposition A",0156,1427,457,1884,3134,60.11%,900,457,1357
"City of Houston, Proposition A",0157,881,382,1263,2311,54.65%,508,299,807
"City of Houston, Proposition A",0158,1304,435,1739,3016,57.66%,819,343,1162
"City of Houston, Proposition A",0159,313,187,500,976,51.23%,272,80,352
"City of Houston, Proposition A",0160,246,140,386,688,56.10%,167,70,237
"City of Houston, Proposition A",0161,395,190,585,1030,56.80%,276,92,368
"City of Houston, Proposition A",0162,232,262,494,1249,39.55%,203,113,316
"City of Houston, Proposition A",0163,0,2,2,0,0.00%,0,0,0
"City of Houston, Proposition A",0164,505,304,809,1434,56.42%,367,124,491
"City of Houston, Proposition A",0165,918,557,1475,2284,64.58%,702,532,1234
"City of Houston, Proposition A",0166,281,311,592,1016,58.27%,342,156,498
"City of Houston, Proposition A",0167,5,2,7,23,30.43%,5,1,6
"City of Houston, Proposition A",0168,188,126,314,519,60.50%,122,51,173
"City of Houston, Proposition A",0169,1059,433,1492,2531,58.95%,631,358,989
"City of Houston, Proposition A",0171,514,294,808,1613,50.09%,352,128,480
"City of Houston, Proposition A",0172,161,147,308,600,51.33%,164,86,250
"City of Houston, Proposition A",0174,0,3,3,0,0.00%,0,2,2
"City of Houston, Proposition A",0175,1064,867,1931,2506,77.06%,1149,561,1710
"City of Houston, Proposition A",0176,626,530,1156,1581,73.12%,647,342,989
"City of Houston, Proposition A",0177,672,385,1057,1478,71.52%,608,271,879
"City of Houston, Proposition A",0178,913,368,1281,1718,74.56%,668,442,1110
"City of Houston, Proposition A",0179,449,321,770,1508,51.06%,399,213,612
"City of Houston, Proposition A",0180,966,552,1518,2795,54.31%,702,312,1014
"City of Houston, Proposition A",0181,416,514,930,1968,47.26%,466,210,676
"City of Houston, Proposition A",0182,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0184,214,256,470,969,48.50%,235,86,321
"City of Houston, Proposition A",0185,592,494,1086,1910,56.86%,504,268,772
"City of Houston, Proposition A",0186,204,170,374,795,47.04%,148,62,210
"City of Houston, Proposition A",0187,48,65,113,309,36.57%,54,27,81
"City of Houston, Proposition A",0189,492,473,965,1453,66.41%,534,296,830
"City of Houston, Proposition A",0192,746,332,1078,2045,52.71%,482,219,701
"City of Houston, Proposition A",0193,341,269,610,1050,58.10%,281,124,405
"City of Houston, Proposition A",0194,704,504,1208,1735,69.63%,712,302,1014
"City of Houston, Proposition A",0195,539,419,958,1721,55.67%,455,197,652
"City of Houston, Proposition A",0196,121,55,176,323,54.49%,82,47,129
"City of Houston, Proposition A",0197,1109,497,1606,2895,55.47%,676,342,1018
"City of Houston, Proposition A",0198,143,158,301,657,45.81%,119,49,168
"City of Houston, Proposition A",0199,1407,773,2180,3159,69.01%,722,1022,1744
"City of Houston, Proposition A",0200,1638,585,2223,3222,68.99%,1312,593,1905
"City of Houston, Proposition A",0201,229,125,354,728,48.63%,158,70,228
"City of Houston, Proposition A",0202,488,332,820,1479,55.44%,383,146,529
"City of Houston, Proposition A",0203,266,156,422,900,46.89%,210,84,294
"City of Houston, Proposition A",0204,1489,914,2403,3462,69.41%,1173,882,2055
"City of Houston, Proposition A",0205,856,201,1057,1667,63.41%,410,238,648
"City of Houston, Proposition A",0206,651,659,1310,2662,49.21%,743,333,1076
"City of Houston, Proposition A",0207,409,310,719,1144,62.85%,392,216,608
"City of Houston, Proposition A",0208,6,40,46,0,0.00%,15,2,17
"City of Houston, Proposition A",0209,0,4,4,0,0.00%,1,2,3
"City of Houston, Proposition A",0210,1013,542,1555,2300,67.61%,823,374,1197
"City of Houston, Proposition A",0211,710,686,1396,2797,49.91%,654,353,1007
"City of Houston, Proposition A",0212,218,314,532,1266,42.02%,260,95,355
"City of Houston, Proposition A",0215,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0216,784,320,1104,1917,57.59%,569,230,799
"City of Houston, Proposition A",0217,1396,651,2047,2637,77.63%,1137,615,1752
"City of Houston, Proposition A",0218,690,608,1298,2274,57.08%,713,336,1049
"City of Houston, Proposition A",0219,1117,587,1704,2654,64.20%,823,362,1185
"City of Houston, Proposition A",0220,0,5,5,0,0.00%,3,1,4
"City of Houston, Proposition A",0221,699,611,1310,2489,52.63%,596,410,1006
"City of Houston, Proposition A",0222,1000,792,1792,2384,75.17%,1104,485,1589
"City of Houston, Proposition A",0223,1350,760,2110,3528,59.81%,1307,439,1746
"City of Houston, Proposition A",0224,894,649,1543,2259,68.30%,892,417,1309
"City of Houston, Proposition A",0225,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0226,529,545,1074,2393,44.88%,549,235,784
"City of Houston, Proposition A",0227,947,451,1398,1767,79.12%,683,507,1190
"City of Houston, Proposition A",0228,583,165,748,1073,69.71%,419,216,635
"City of Houston, Proposition A",0229,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0230,421,153,574,1096,52.37%,210,120,330
"City of Houston, Proposition A",0231,562,471,1033,2219,46.55%,521,261,782
"City of Houston, Proposition A",0232,685,546,1231,1696,72.58%,696,374,1070
"City of Houston, Proposition A",0233,1826,1063,2889,4132,69.92%,1647,744,2391
"City of Houston, Proposition A",0234,2088,885,2973,3854,77.14%,1445,973,2418
"City of Houston, Proposition A",0235,466,242,708,1305,54.25%,343,167,510
"City of Houston, Proposition A",0236,779,342,1121,2144,52.29%,510,209,719
"City of Houston, Proposition A",0237,793,441,1234,2181,56.58%,502,270,772
"City of Houston, Proposition A",0238,640,422,1062,1901,55.87%,459,190,649
"City of Houston, Proposition A",0239,765,357,1122,1997,56.18%,485,229,714
"City of Houston, Proposition A",0240,1157,402,1559,2688,58.00%,675,367,1042
"City of Houston, Proposition A",0243,254,50,304,452,67.26%,142,59,201
"City of Houston, Proposition A",0247,421,403,824,1607,51.28%,368,197,565
"City of Houston, Proposition A",0252,1111,356,1467,2350,62.43%,476,318,794
"City of Houston, Proposition A",0253,923,325,1248,2252,55.42%,434,244,678
"City of Houston, Proposition A",0254,71,74,145,378,38.36%,61,42,103
"City of Houston, Proposition A",0255,995,797,1792,2411,74.33%,982,563,1545
"City of Houston, Proposition A",0256,1059,766,1825,3226,56.57%,936,489,1425
"City of Houston, Proposition A",0257,553,571,1124,2403,46.77%,550,232,782
"City of Houston, Proposition A",0258,1577,888,2465,3286,75.02%,1165,844,2009
"City of Houston, Proposition A",0259,1210,460,1670,2408,69.35%,778,418,1196
"City of Houston, Proposition A",0260,0,5,5,0,0.00%,2,2,4
"City of Houston, Proposition A",0261,176,133,309,749,41.26%,152,91,243
"City of Houston, Proposition A",0262,1470,906,2376,4232,56.14%,1152,724,1876
"City of Houston, Proposition A",0264,936,639,1575,2939,53.59%,722,530,1252
"City of Houston, Proposition A",0265,1934,555,2600,3617,71.88%,1249,855,2104
"City of Houston, Proposition A",0266,552,542,1094,2119,51.63%,479,312,791
"City of Houston, Proposition A",0269,1143,444,1587,1981,80.11%,753,555,1308
"City of Houston, Proposition A",0270,1401,870,2271,3517,64.57%,1176,744,1920
"City of Houston, Proposition A",0271,1303,371,1674,2469,67.80%,804,381,1185
"City of Houston, Proposition A",0272,610,484,1094,2112,51.80%,567,293,860
"City of Houston, Proposition A",0274,1008,355,1363,1997,68.25%,675,440,1115
"City of Houston, Proposition A",0275,567,410,977,1730,56.47%,513,204,717
"City of Houston, Proposition A",0276,1139,404,1543,2532,60.94%,694,326,1020
"City of Houston, Proposition A",0280,303,360,663,1515,43.76%,303,165,468
"City of Houston, Proposition A",0281,1087,903,1990,2610,76.25%,1223,523,1746
"City of Houston, Proposition A",0282,690,591,1281,1988,64.44%,652,412,1064
"City of Houston, Proposition A",0283,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0284,1135,595,1730,3262,53.03%,893,421,1314
"City of Houston, Proposition A",0285,988,509,1497,2505,59.76%,702,320,1022
"City of Houston, Proposition A",0286,2657,1053,3710,5719,64.87%,1903,883,2786
"City of Houston, Proposition A",0287,647,542,1189,1616,73.58%,650,375,1025
"City of Houston, Proposition A",0288,1036,380,1416,2259,62.68%,655,307,962
"City of Houston, Proposition A",0289,374,397,771,1510,51.06%,329,232,561
"City of Houston, Proposition A",0291,541,298,839,1203,69.74%,454,258,712
"City of Houston, Proposition A",0292,477,238,713,1272,58.05%,318,159,477
"City of Houston, Proposition A",0293,820,557,1177,1733,87.92%,842,322,984
"City of Houston, Proposition A",0294,989,298,1287,2107,81.08%,589,298,887
"City of Houston, Proposition A",0295,314,189,503,882,58.35%,237,85,322
"City of Houston, Proposition A",0298,802,432,1034,1893,81.08%,513,294,807
"City of Houston, Proposition A",0297,578,445,1021,1978,51.82%,491,241,732
"City of Houston, Proposition A",0298,847,475,1322,2083,83.47%,854,413,1087
"City of Houston, Proposition A",0299,328,213,541,1231,43.95%,289,121,390
"City of Houston, Proposition A",0303,1772,755,2527,3172,79.87%,1217,838,2055
"City of Houston, Proposition A",0304,970,848,1818,2288,71.40%,880,508,1388
"City of Houston, Proposition A",0308,1013,323,1338,1847,72.33%,800,503,1103
"City of Houston, Proposition A",0308,444,238,882,1288,53.87%,331,173,504
"City of Houston, Proposition A",0309,1385,812,1997,2529,78.98%,988,712,1878
"City of Houston, Proposition A",0310,817,348,985,1437,87.15%,437,318,755
"City of Houston, Proposition A",0311,852,699,1581,2997,52.09%,847,487,1114
"City of Houston, Proposition A",0312,1559,711,2270,3588,83.27%,1183,815,1798
"City of Houston, Proposition A",0313,22,1,23,80,38.33%,8,11,17
"City of Houston, Proposition A",0315,711,479,1190,1818,73.55%,834,388,1000
"City of Houston, Proposition A",0318,882,411,1093,1522,71.81%,808,333,941
"City of Houston, Proposition A",0317,551,338,887,1489,80.38%,514,174,888
"City of Houston, Proposition A",0318,1708,511,2319,3531,85.88%,1223,517,1740
"City of Houston, Proposition A",0319,985,290,1255,2081,80.31%,835,284,919
"City of Houston, Proposition A",0320,19,20,39,82,47.58%,22,4,28
"City of Houston, Proposition A",0321,222,148,388,889,42.35%,177,109,288
"City of Houston, Proposition A",0322,397,237,834,1322,47.98%,318,153,471
"City of Houston, Proposition A",0323,482,332,814,1719,47.35%,397,285,882
"City of Houston, Proposition A",0324,987,718,1885,2339,72.04%,792,887,1479
"City of Houston, Proposition A",0325,858,397,1053,2251,48.78%,487,254,741
"City of Houston, Proposition A",0328,202,128,330,878,48.87%,188,83,249
"City of Houston, Proposition A",0327,728,244,970,1751,55.40%,375,235,810
"City of Houston, Proposition A",0328,344,270,814,1381,45.11%,272,144,418
"City of Houston, Proposition A",0329,405,307,712,1387,52.08%,340,184,524
"City of Houston, Proposition A",0330,590,378,988,1849,52.24%,495,253,748
"City of Houston, Proposition A",0331,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition A",0332,23,4,27,128,21.09%,11,11,22
"City of Houston, Proposition A",0334,205,91,296,603,49.09%,137,43,180
"City of Houston, Proposition A",0335,285,246,531,1227,43.28%,254,105,359
"City of Houston, Proposition A",0336,1818,588,2406,3161,76.12%,1301,518,1819
"City of Houston, Proposition A",0337,309,206,515,951,54.15%,265,123,388
"City of Houston, Proposition A",0338,1437,766,2203,4392,50.16%,1014,467,1481
"City of Houston, Proposition A",0339,369,373,742,1716,43.24%,416,142,558
"City of Houston, Proposition A",0340,1446,748,2194,3162,69.39%,817,962,1779
"City of Houston, Proposition A",0341,246,316,562,1248,45.03%,282,123,405
"City of Houston, Proposition A",0342,215,176,391,1167,33.50%,176,66,242
"City of Houston, Proposition A",0343,436,483,919,1904,48.27%,435,214,649
"City of Houston, Proposition A",0344,395,245,640,1207,53.02%,260,134,394
"City of Houston, Proposition A",0345,428,357,785,1708,45.96%,434,147,581
"City of Houston, Proposition A",0346,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0347,96,59,155,341,45.45%,57,36,93
"City of Houston, Proposition A",0350,1112,780,1892,2906,65.11%,1139,420,1559
"City of Houston, Proposition A",0351,250,59,309,412,75.00%,103,147,250
"City of Houston, Proposition A",0353,22,14,36,131,27.48%,16,6,22
"City of Houston, Proposition A",0354,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0355,700,286,986,1384,71.24%,458,242,700
"City of Houston, Proposition A",0356,1382,618,2000,2836,70.52%,1036,626,1662
"City of Houston, Proposition A",0357,1633,709,2342,3371,69.47%,924,965,1889
"City of Houston, Proposition A",0358,466,292,758,1583,47.88%,364,123,487
"City of Houston, Proposition A",0359,706,482,1188,3008,39.49%,633,179,812
"City of Houston, Proposition A",0360,969,515,1484,2190,67.76%,843,378,1221
"City of Houston, Proposition A",0361,135,691,826,1585,52.11%,553,113,666
"City of Houston, Proposition A",0363,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0364,614,463,1077,1798,59.90%,499,339,838
"City of Houston, Proposition A",0365,734,245,979,1302,75.19%,457,281,738
"City of Houston, Proposition A",0367,328,212,540,1019,52.99%,305,117,422
"City of Houston, Proposition A",0368,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0369,107,53,160,490,32.65%,92,32,124
"City of Houston, Proposition A",0371,226,69,295,475,62.11%,96,60,156
"City of Houston, Proposition A",0372,498,231,729,1215,60.00%,368,172,540
"City of Houston, Proposition A",0373,61,16,77,159,48.43%,29,18,47
"City of Houston, Proposition A",0374,139,187,326,748,43.58%,158,67,225
"City of Houston, Proposition A",0375,10,5,15,58,25.86%,6,4,10
"City of Houston, Proposition A",0376,271,110,381,738,51.63%,176,76,252
"City of Houston, Proposition A",0379,800,338,1138,2017,56.42%,516,295,811
"City of Houston, Proposition A",0380,84,33,117,150,78.00%,33,52,85
"City of Houston, Proposition A",0381,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0382,0,4,4,0,0.00%,0,2,2
"City of Houston, Proposition A",0383,599,485,1084,2076,52.22%,469,286,755
"City of Houston, Proposition A",0384,1172,505,1677,2596,64.60%,844,415,1259
"City of Houston, Proposition A",0385,1099,621,1720,2175,79.08%,799,628,1427
"City of Houston, Proposition A",0388,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition A",0389,283,261,544,975,55.79%,314,101,415
"City of Houston, Proposition A",0390,644,368,1012,1565,64.66%,575,226,801
"City of Houston, Proposition A",0391,555,253,908,1326,68.48%,451,292,743
"City of Houston, Proposition A",0392,737,197,934,1441,64.82%,438,209,647
"City of Houston, Proposition A",0393,346,281,627,1206,51.99%,318,148,466
"City of Houston, Proposition A",0395,830,491,1321,1820,72.58%,663,462,1125
"City of Houston, Proposition A",0396,1157,219,1376,2073,66.38%,475,301,776
"City of Houston, Proposition A",0397,0,1,1,2,50.00%,0,1,1
"City of Houston, Proposition A",0398,0,1,1,0,0.00%,0,0,0
"City of Houston, Proposition A",0400,0,6,6,0,0.00%,3,1,4
"City of Houston, Proposition A",0401,723,284,1007,1876,53.68%,322,230,552
"City of Houston, Proposition A",0402,840,234,1074,1622,66.21%,462,315,777
"City of Houston, Proposition A",0403,791,527,1318,1703,77.39%,761,378,1139
"City of Houston, Proposition A",0405,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition A",0406,281,72,353,610,57.87%,131,74,205
"City of Houston, Proposition A",0407,1317,1000,2317,3652,63.44%,1091,786,1877
"City of Houston, Proposition A",0408,31,10,41,104,39.42%,16,13,29
"City of Houston, Proposition A",0410,337,102,439,849,51.71%,191,94,285
"City of Houston, Proposition A",0411,1,100,101,0,0.00%,50,11,61
"City of Houston, Proposition A",0412,193,74,267,433,61.66%,115,59,174
"City of Houston, Proposition A",0413,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0416,918,850,1768,2956,59.81%,886,466,1352
"City of Houston, Proposition A",0417,403,258,661,1127,58.65%,300,211,511
"City of Houston, Proposition A",0418,1057,758,1815,3420,53.07%,895,424,1319
"City of Houston, Proposition A",0421,124,92,216,467,46.25%,113,44,157
"City of Houston, Proposition A",0422,1,1456,585,2041,3345,61.02%,973,426,1399
"City of Houston, Proposition A",0423,176,293,469,851,55.11%,191,119,310
"City of Houston, Proposition A",0424,435,1,57,592,888,66.67%,31,8,1,66,484
"City of Houston, Proposition A",0425,227,234,461,875,52.69%,208,116,324
"City of Houston, Proposition A",0426,415,283,698,1224,57.03%,333,224,557
"City of Houston, Proposition A",0427,325,249,574,1115,51.48%,276,149,425
"City of Houston, Proposition A",0428,49,34,83,160,51.88%,47,18,65
"City of Houston, Proposition A",0429,1091,777,1868,3929,47.54%,889,345,1234
"City of Houston, Proposition A",0430,403,335,738,1654,44.62%,341,128,469
"City of Houston, Proposition A",0431,819,403,1222,3188,38.33%,649,232,881
"City of Houston, Proposition A",0432,311,271,582,1344,43.30%,318,139,457
"City of Houston, Proposition A",0433,139,106,245,573,42.76%,134,39,173
"City of Houston, Proposition A",0434,628,371,999,1386,72.08%,556,253,809
"City of Houston, Proposition A",0435,1534,768,2302,3097,74.33%,1194,665,1859
"City of Houston, Proposition A",0436,1334,709,2043,3012,67.83%,1106,572,1678
"City of Houston, Proposition A",0437,951,542,1493,2007,74.39%,703,545,1248
"City of Houston, Proposition A",0438,1046,387,1433,1802,79.52%,699,490,1189
"City of Houston, Proposition A",0439,1526,905,2431,3416,71.17%,1145,837,1982
"City of Houston, Proposition A",0440,0,6,6,0,0.00%,4,1,5
"City of Houston, Proposition A",0441,0,2,2,0,0.00%,1,0,1
"City of Houston, Proposition A",0443,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0444,1258,731,1989,3172,62.70%,907,692,1599
"City of Houston, Proposition A",0445,860,443,1303,1938,67.23%,636,440,1076
"City of Houston, Proposition A",0446,70,52,122,268,45.52%,59,38,97
"City of Houston, Proposition A",0447,271,108,379,583,65.01%,229,84,313
"City of Houston, Proposition A",0448,1239,869,2108,3081,68.42%,1063,742,1805
"City of Houston, Proposition A",0449,62,37,99,164,60.37%,44,12,56
"City of Houston, Proposition A",0450,856,537,1393,2622,53.13%,740,327,1067
"City of Houston, Proposition A",0452,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition A",0453,559,475,1034,1885,54.85%,543,205,748
"City of Houston, Proposition A",0454,1226,311,1537,2571,59.78%,532,280,812
"City of Houston, Proposition A",0455,748,216,964,1679,57.42%,393,174,567
"City of Houston, Proposition A",0457,0,0,0,0,0.00%,0,0,0
