Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Kevin H. Hoffman,Angela M. Wesley,Totals
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0481,1463,852,2315,3298,70.19%,1048,463,1511
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0484,1624,824,2448,3460,70.75%,1068,500,1568
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0495,1120,494,1614,2284,70.67%,668,298,966
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0496,496,560,1056,2086,50.62%,289,283,572
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0498,757,498,1255,2120,59.20%,352,349,701
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0512,1558,1127,2685,4582,58.60%,817,784,1601
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0513,921,335,1256,1659,75.71%,553,223,776
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0516,283,129,412,726,56.75%,87,129,216
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Kevin H. Hoffman,Angela M. Wesley,Totals
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0517,650,362,1012,1854,54.58%,342,284,626
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0518,1478,919,2397,3755,63.83%,848,560,1408
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0519,1234,645,1879,2951,63.67%,766,390,1156
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0548,720,476,1196,2129,56.18%,371,358,729
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0553,1465,951,2416,4355,55.48%,766,709,1475
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0593,1036,872,1908,3444,55.40%,533,506,1039
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0597,809,606,1415,2539,55.73%,405,401,806
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0602,562,296,858,1237,69.36%,347,197,544
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0609,1364,844,2208,3261,67.71%,769,523,1292
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0616,1352,970,2322,3378,68.74%,937,564,1501
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0617,1318,849,2167,3546,61.11%,670,670,1340
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0622,1722,829,2551,4305,59.26%,800,697,1497
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0628,0,0,0,0,0.00%,0,0,0
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0640,1382,723,2105,3548,59.33%,747,533,1280
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0641,1265,878,2143,3375,63.50%,836,481,1317
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0642,871,447,1318,1779,74.09%,617,226,843
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0643,2157,994,3151,5310,59.34%,919,929,1848
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0650,1328,939,2267,3151,71.95%,1015,484,1499
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0651,2085,1070,3155,4931,63.98%,1259,757,2016
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0661,1614,1012,2626,4179,62.84%,831,642,1473
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0667,989,547,1536,2181,70.43%,746,261,1007
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0669,1606,823,2429,3243,74.90%,1039,498,1537
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0671,1090,773,1863,2942,63.32%,670,451,1121
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0687,1084,641,1725,2497,69.08%,602,413,1015
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0688,1815,673,2488,3266,76.18%,1195,402,1597
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0689,505,651,1156,2276,50.79%,320,328,648
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0691,10,2,12,34,35.29%,5,2,7
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0701,142,115,257,554,46.39%,73,68,141
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0709,2996,1297,4293,6239,68.81%,1595,1098,2693
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0712,1200,858,2058,3348,61.47%,555,667,1222
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0713,665,436,1101,1827,60.26%,317,292,609
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0734,3209,1114,4323,5952,72.63%,1701,963,2664
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0753,106,61,167,260,64.23%,64,33,97
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0759,1109,590,1699,2625,64.72%,539,449,988
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Kevin H. Hoffman,Angela M. Wesley,Totals
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0768,2854,1159,4013,5364,74.81%,1625,811,2436
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0771,457,326,783,1519,51.55%,232,226,458
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0800,1188,795,1983,2817,70.39%,832,431,1263
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0803,1305,630,1935,2718,71.19%,811,375,1186
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0804,389,178,567,909,62.38%,173,158,331
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0805,1509,529,2038,2812,72.48%,948,361,1309
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0823,1849,1015,2864,4710,60.81%,949,741,1690
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0828,1074,343,1417,1875,75.57%,658,248,906
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0875,1719,927,2646,4031,65.64%,888,834,1722
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0877,756,470,1226,1878,65.28%,354,408,762
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0881,1510,877,2387,3619,65.96%,659,797,1456
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0882,940,457,1397,2328,60.01%,491,370,861
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0904,0,1,1,1,100.00%,0,1,1
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0919,0,3,3,3,100.00%,1,2,3
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0921,71,9,80,87,91.95%,32,20,52
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0923,663,87,750,826,90.80%,298,160,458
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0934,12,1,13,41,31.71%,2,7,9
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0939,1,0,1,1,100.00%,0,1,1
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0951,79,44,123,218,56.42%,25,54,79
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0966,305,160,465,1073,43.34%,120,144,264
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0979,5,e,11,26,42.31%,6,2,8
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0980,595,356,951,1323,71.88%,517,140,657
"Cypress-Fairbanks I.S.D., Trustee, Position 4",0991,0,0,0,1,0.00%,0,0,0
"Cypress-Fairbanks I.S.D., Trustee, Position 4",1016,591,364,955,1626,58.73%,280,290,570
"Cypress-Fairbanks I.S.D., Trustee, Position 4",1021,1,0,1,2,50.00%,1,0,1
"Cypress-Fairbanks I.S.D., Trustee, Position 4",1022,190,30,220,426,51.64%,105,37,142
"Cypress-Fairbanks I.S.D., Trustee, Position 4",1023,894,401,1295,1964,65.94%,586,260,846
"Cypress-Fairbanks I.S.D., Trustee, Position 4",1028,0,1,1,0,0.00%,1,0,1
"Cypress-Fairbanks I.S.D., Trustee, Position 4",1033,0,0,0,0,0.00%,0,0,0
"Cypress-Fairbanks I.S.D., Trustee, Position 4",1062,59,26,85,168,50.60%,24,28,52
"Cypress-Fairbanks I.S.D., Trustee, Position 4",Totals:,109202,55227,164429,247535,,61774,39119,100893
