Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0098,874,607,1481,2403,61.63%,1187,230,1417
"Justice, 14th Court of Appeals District, Place 8",0099,568,311,879,2040,43.09%,378,460,838
"Justice, 14th Court of Appeals District, Place 8",0100,427,324,751,1754,42.82%,313,406,719
"Justice, 14th Court of Appeals District, Place 8",0101,204,186,390,941,41.45%,86,292,378
"Justice, 14th Court of Appeals District, Place 8",0102,493,268,761,1910,39.84%,173,559,732
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0103,1915,1065,2980,4751,62.72%,1506,1345,2851
"Justice, 14th Court of Appeals District, Place 8",0104,992,238,1230,1847,66.59%,25,1170,1195
"Justice, 14th Court of Appeals District, Place 8",0105,462,453,915,2153,42.50%,208,644,852
"Justice, 14th Court of Appeals District, Place 8",0106,49,37,86,284,30.28%,41,42,83
"Justice, 14th Court of Appeals District, Place 8",0107,412,441,853,1905,44.78%,123,693,816
"Justice, 14th Court of Appeals District, Place 8",0108,1194,514,1708,3229,52.90%,864,758,1622
"Justice, 14th Court of Appeals District, Place 8",0109,1160,430,1590,2884,55.13%,24,1519,1543
"Justice, 14th Court of Appeals District, Place 8",0110,1465,589,2054,2853,71.99%,1198,747,1945
"Justice, 14th Court of Appeals District, Place 8",0111,1868,848,2716,3638,74.66%,1976,585,2561
"Justice, 14th Court of Appeals District, Place 8",0112,1262,668,1930,2894,66.69%,1319,520,1839
"Justice, 14th Court of Appeals District, Place 8",0113,1125,590,1715,2537,67.60%,950,676,1626
"Justice, 14th Court of Appeals District, Place 8",0114,1454,546,2000,2650,75.47%,1523,394,1917
"Justice, 14th Court of Appeals District, Place 8",0115,598,305,903,1764,51.19%,96,779,875
"Justice, 14th Court of Appeals District, Place 8",0116,1626,747,2373,3014,78.73%,1811,425,2236
"Justice, 14th Court of Appeals District, Place 8",0117,398,462,860,1878,45.79%,333,481,814
"Justice, 14th Court of Appeals District, Place 8",0118,460,148,608,743,81.83%,483,91,574
"Justice, 14th Court of Appeals District, Place 8",0119,1924,1265,3189,4892,65.19%,2466,608,3074
"Justice, 14th Court of Appeals District, Place 8",0120,1198,632,1830,2986,61.29%,1062,647,1709
"Justice, 14th Court of Appeals District, Place 8",0121,193,244,437,679,64.36%,283,134,417
"Justice, 14th Court of Appeals District, Place 8",0122,895,349,1244,2199,56.57%,38,1154,1192
"Justice, 14th Court of Appeals District, Place 8",0123,440,350,790,1356,58.26%,229,500,729
"Justice, 14th Court of Appeals District, Place 8",0124,3522,1281,4803,5952,80.70%,3741,845,4586
"Justice, 14th Court of Appeals District, Place 8",0125,896,534,1430,2281,62.69%,808,557,1365
"Justice, 14th Court of Appeals District, Place 8",0126,1630,407,2037,2799,72.78%,1719,223,1942
"Justice, 14th Court of Appeals District, Place 8",0127,854,182,1036,1703,60.83%,712,275,987
"Justice, 14th Court of Appeals District, Place 8",0128,936,736,1672,2257,74.08%,1052,451,1503
"Justice, 14th Court of Appeals District, Place 8",0129,2294,1449,3743,5495,68.12%,2294,1216,3510
"Justice, 14th Court of Appeals District, Place 8",0130,1203,523,1726,2240,77.05%,1259,360,1619
"Justice, 14th Court of Appeals District, Place 8",0131,604,374,978,1721,56.83%,220,717,937
"Justice, 14th Court of Appeals District, Place 8",0132,1119,397,1516,2449,61.90%,32,1435,1467
"Justice, 14th Court of Appeals District, Place 8",0133,1088,940,2028,2605,77.85%,1253,616,1869
"Justice, 14th Court of Appeals District, Place 8",0134,420,392,812,1444,56.23%,326,437,763
"Justice, 14th Court of Appeals District, Place 8",0135,1425,634,2059,2750,74.87%,1319,579,1898
"Justice, 14th Court of Appeals District, Place 8",0136,981,451,1432,2111,67.84%,51,1332,1383
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0137,305,193,498,740,67.30%,255,198,453
"Justice, 14th Court of Appeals District, Place 8",0138,661,259,920,1749,52.60%,16,871,887
"Justice, 14th Court of Appeals District, Place 8",0139,1290,747,2037,2746,74.18%,992,860,1852
"Justice, 14th Court of Appeals District, Place 8",0140,1315,683,1998,3104,64.37%,288,1594,1882
"Justice, 14th Court of Appeals District, Place 8",0141,181,143,324,872,37.16%,193,110,303
"Justice, 14th Court of Appeals District, Place 8",0142,212,171,383,870,44.02%,80,278,358
"Justice, 14th Court of Appeals District, Place 8",0143,2994,660,3654,4598,79.47%,2506,1001,3507
"Justice, 14th Court of Appeals District, Place 8",0144,477,204,681,1143,59.58%,11,650,661
"Justice, 14th Court of Appeals District, Place 8",0145,663,245,908,1580,57.47%,14,877,891
"Justice, 14th Court of Appeals District, Place 8",0146,759,614,1373,1953,70.30%,601,669,1270
"Justice, 14th Court of Appeals District, Place 8",0147,1255,485,1740,2813,61.86%,192,1504,1696
"Justice, 14th Court of Appeals District, Place 8",0148,908,924,1832,2467,74.26%,822,857,1679
"Justice, 14th Court of Appeals District, Place 8",0149,2860,1322,4182,6103,68.52%,1799,2209,4008
"Justice, 14th Court of Appeals District, Place 8",0150,539,207,746,1212,61.55%,19,704,723
"Justice, 14th Court of Appeals District, Place 8",0151,316,148,464,846,54.85%,19,419,438
"Justice, 14th Court of Appeals District, Place 8",0152,483,602,1085,2701,40.17%,204,830,1034
"Justice, 14th Court of Appeals District, Place 8",0153,328,437,765,1755,43.59%,163,554,717
"Justice, 14th Court of Appeals District, Place 8",0154,593,360,953,2133,44.68%,168,704,872
"Justice, 14th Court of Appeals District, Place 8",0155,1957,834,2791,4087,68.29%,1852,793,2645
"Justice, 14th Court of Appeals District, Place 8",0156,1427,457,1884,3134,60.11%,40,1767,1807
"Justice, 14th Court of Appeals District, Place 8",0157,881,382,1263,2311,54.65%,42,1190,1232
"Justice, 14th Court of Appeals District, Place 8",0158,1304,435,1739,3016,57.66%,27,1673,1700
"Justice, 14th Court of Appeals District, Place 8",0159,313,187,500,976,51.23%,55,424,479
"Justice, 14th Court of Appeals District, Place 8",0160,246,140,386,688,56.10%,9,362,371
"Justice, 14th Court of Appeals District, Place 8",0161,395,190,585,1030,56.80%,8,561,569
"Justice, 14th Court of Appeals District, Place 8",0162,232,262,494,1249,39.55%,125,319,444
"Justice, 14th Court of Appeals District, Place 8",0163,778,635,1413,3054,46.27%,358,905,1263
"Justice, 14th Court of Appeals District, Place 8",0164,505,304,809,1434,56.42%,10,779,789
"Justice, 14th Court of Appeals District, Place 8",0165,918,557,1475,2284,64.58%,915,476,1391
"Justice, 14th Court of Appeals District, Place 8",0166,281,311,592,1016,58.27%,181,373,554
"Justice, 14th Court of Appeals District, Place 8",0167,5,2,7,23,30.43%,0,7,7
"Justice, 14th Court of Appeals District, Place 8",0168,188,126,314,519,60.50%,5,293,298
"Justice, 14th Court of Appeals District, Place 8",0169,1060,433,1493,2531,58.99%,22,1437,1459
"Justice, 14th Court of Appeals District, Place 8",0170,481,353,834,1887,44.20%,385,391,776
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0171,514,294,808,1613,50.09%,22,756,778
"Justice, 14th Court of Appeals District, Place 8",0172,161,147,308,600,51.33%,89,197,286
"Justice, 14th Court of Appeals District, Place 8",0173,1798,619,2417,3105,77.84%,1818,486,2304
"Justice, 14th Court of Appeals District, Place 8",0174,1554,767,2321,3159,73.47%,1551,612,2163
"Justice, 14th Court of Appeals District, Place 8",0175,1065,867,1932,2506,77.09%,1015,755,1770
"Justice, 14th Court of Appeals District, Place 8",0176,627,530,1157,1581,73.18%,617,433,1050
"Justice, 14th Court of Appeals District, Place 8",0177,672,385,1057,1478,71.52%,638,355,993
"Justice, 14th Court of Appeals District, Place 8",0178,914,368,1282,1718,74.62%,859,320,1179
"Justice, 14th Court of Appeals District, Place 8",0179,449,321,770,1508,51.06%,340,381,721
"Justice, 14th Court of Appeals District, Place 8",0180,966,552,1518,2795,54.31%,41,1416,1457
"Justice, 14th Court of Appeals District, Place 8",0181,416,514,930,1968,47.26%,234,638,872
"Justice, 14th Court of Appeals District, Place 8",0182,1321,1081,2402,3289,73.03%,1432,734,2166
"Justice, 14th Court of Appeals District, Place 8",0183,970,943,1913,2451,78.05%,1308,462,1770
"Justice, 14th Court of Appeals District, Place 8",0184,214,256,470,969,48.50%,117,319,436
"Justice, 14th Court of Appeals District, Place 8",0185,592,494,1086,1910,56.86%,328,691,1019
"Justice, 14th Court of Appeals District, Place 8",0186,204,170,374,795,47.04%,38,313,351
"Justice, 14th Court of Appeals District, Place 8",0187,48,65,113,309,36.57%,22,87,109
"Justice, 14th Court of Appeals District, Place 8",0188,307,378,685,1616,42.39%,225,428,653
"Justice, 14th Court of Appeals District, Place 8",0189,492,473,965,1453,66.41%,498,375,873
"Justice, 14th Court of Appeals District, Place 8",0190,275,401,676,1720,39.30%,212,419,631
"Justice, 14th Court of Appeals District, Place 8",0191,197,313,510,1391,36.66%,162,325,487
"Justice, 14th Court of Appeals District, Place 8",0192,746,332,1078,2045,52.71%,32,1009,1041
"Justice, 14th Court of Appeals District, Place 8",0193,341,269,610,1050,58.10%,12,577,589
"Justice, 14th Court of Appeals District, Place 8",0194,706,504,1210,1735,69.74%,354,768,1122
"Justice, 14th Court of Appeals District, Place 8",0195,539,419,958,1721,55.67%,24,901,925
"Justice, 14th Court of Appeals District, Place 8",0196,121,55,176,323,54.49%,5,165,170
"Justice, 14th Court of Appeals District, Place 8",0197,1109,497,1606,2895,55.47%,32,1525,1557
"Justice, 14th Court of Appeals District, Place 8",0198,143,158,301,657,45.81%,7,284,291
"Justice, 14th Court of Appeals District, Place 8",0199,1407,773,2180,3159,69.01%,1622,452,2074
"Justice, 14th Court of Appeals District, Place 8",0200,1638,585,2223,3222,68.99%,1042,1005,2047
"Justice, 14th Court of Appeals District, Place 8",0201,229,125,354,728,48.63%,13,332,345
"Justice, 14th Court of Appeals District, Place 8",0202,488,332,820,1479,55.44%,13,771,784
"Justice, 14th Court of Appeals District, Place 8",0203,266,156,422,900,46.89%,74,326,400
"Justice, 14th Court of Appeals District, Place 8",0204,1491,914,2405,3462,69.47%,1351,884,2235
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0205,856,201,1057,1667,63.41%,19,1007,1026
"Justice, 14th Court of Appeals District, Place 8",0206,651,659,1310,2662,49.21%,370,860,1230
"Justice, 14th Court of Appeals District, Place 8",0207,410,310,720,1144,62.94%,224,455,679
"Justice, 14th Court of Appeals District, Place 8",0208,806,364,1170,2201,53.16%,276,825,1101
"Justice, 14th Court of Appeals District, Place 8",0209,0,4,4,0,0.00%,4,0,4
"Justice, 14th Court of Appeals District, Place 8",0210,1013,542,1555,2300,67.61%,167,1308,1475
"Justice, 14th Court of Appeals District, Place 8",0211,710,686,1396,2797,49.91%,447,852,1299
"Justice, 14th Court of Appeals District, Place 8",0212,218,314,532,1266,42.02%,88,418,506
"Justice, 14th Court of Appeals District, Place 8",0213,1603,939,2542,3308,76.84%,1975,414,2389
"Justice, 14th Court of Appeals District, Place 8",0214,798,544,1342,1795,74.76%,826,408,1234
"Justice, 14th Court of Appeals District, Place 8",0215,844,786,1630,2168,75.18%,1004,514,1518
"Justice, 14th Court of Appeals District, Place 8",0216,784,320,1104,1917,57.59%,68,994,1062
"Justice, 14th Court of Appeals District, Place 8",0217,1396,651,2047,2637,77.63%,1374,516,1890
"Justice, 14th Court of Appeals District, Place 8",0218,690,608,1298,2274,57.08%,347,858,1205
"Justice, 14th Court of Appeals District, Place 8",0219,1117,587,1704,2654,64.20%,132,1478,1610
"Justice, 14th Court of Appeals District, Place 8",0220,711,353,1064,2360,45.08%,714,294,1008
"Justice, 14th Court of Appeals District, Place 8",0221,699,611,1310,2489,52.63%,487,726,1213
"Justice, 14th Court of Appeals District, Place 8",0222,1000,792,1792,2384,75.17%,852,753,1605
"Justice, 14th Court of Appeals District, Place 8",0223,1350,760,2110,3528,59.81%,601,1342,1943
"Justice, 14th Court of Appeals District, Place 8",0224,896,649,1545,2259,68.39%,730,688,1418
"Justice, 14th Court of Appeals District, Place 8",0225,1111,720,1831,3155,58.03%,752,992,1744
"Justice, 14th Court of Appeals District, Place 8",0226,529,545,1074,2393,44.88%,180,815,995
"Justice, 14th Court of Appeals District, Place 8",0227,947,451,1398,1767,79.12%,1066,232,1298
"Justice, 14th Court of Appeals District, Place 8",0228,583,165,748,1073,69.71%,31,696,727
"Justice, 14th Court of Appeals District, Place 8",0229,152,207,359,811,44.27%,86,252,338
"Justice, 14th Court of Appeals District, Place 8",0230,421,153,574,1096,52.37%,10,540,550
"Justice, 14th Court of Appeals District, Place 8",0231,562,471,1033,2219,46.55%,227,760,987
"Justice, 14th Court of Appeals District, Place 8",0232,685,546,1231,1696,72.58%,719,411,1130
"Justice, 14th Court of Appeals District, Place 8",0233,1830,1063,2893,4132,70.01%,1489,1187,2676
"Justice, 14th Court of Appeals District, Place 8",0234,2090,885,2975,3854,77.19%,2273,505,2778
"Justice, 14th Court of Appeals District, Place 8",0235,466,242,708,1305,54.25%,23,665,688
"Justice, 14th Court of Appeals District, Place 8",0236,779,342,1121,2144,52.29%,23,1048,1071
"Justice, 14th Court of Appeals District, Place 8",0237,793,441,1234,2181,56.58%,17,1189,1206
"Justice, 14th Court of Appeals District, Place 8",0238,640,422,1062,1901,55.87%,17,1005,1022
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0239,765,357,1122,1997,56.18%,26,1064,1090
"Justice, 14th Court of Appeals District, Place 8",0240,1157,402,1559,2688,58.00%,18,1490,1508
"Justice, 14th Court of Appeals District, Place 8",0241,494,479,973,2296,42.38%,351,574,925
"Justice, 14th Court of Appeals District, Place 8",0242,363,323,686,1570,43.69%,339,314,653
"Justice, 14th Court of Appeals District, Place 8",0243,254,50,304,452,67.26%,4,291,295
"Justice, 14th Court of Appeals District, Place 8",0244,1100,656,1756,2912,60.30%,877,803,1680
"Justice, 14th Court of Appeals District, Place 8",0245,2340,1115,3455,5240,65.94%,2245,1079,3324
"Justice, 14th Court of Appeals District, Place 8",0246,1584,624,2208,2999,73.62%,1442,664,2106
"Justice, 14th Court of Appeals District, Place 8",0247,421,403,824,1607,51.28%,11,792,803
"Justice, 14th Court of Appeals District, Place 8",0248,408,405,813,2122,38.31%,172,596,768
"Justice, 14th Court of Appeals District, Place 8",0249,1028,481,1509,2676,56.39%,970,466,1436
"Justice, 14th Court of Appeals District, Place 8",0250,306,247,553,951,58.15%,10,533,543
"Justice, 14th Court of Appeals District, Place 8",0251,809,529,1338,2072,64.58%,55,1234,1289
"Justice, 14th Court of Appeals District, Place 8",0252,1111,356,1467,2350,62.43%,24,1401,1425
"Justice, 14th Court of Appeals District, Place 8",0253,923,325,1248,2252,55.42%,14,1214,1228
"Justice, 14th Court of Appeals District, Place 8",0254,220,282,502,1476,34.01%,110,358,468
"Justice, 14th Court of Appeals District, Place 8",0255,995,797,1792,2411,74.33%,820,841,1661
"Justice, 14th Court of Appeals District, Place 8",0256,1059,766,1825,3226,56.57%,675,1017,1692
"Justice, 14th Court of Appeals District, Place 8",0257,553,571,1124,2403,46.77%,243,835,1078
"Justice, 14th Court of Appeals District, Place 8",0258,1577,888,2465,3286,75.02%,1773,493,2266
"Justice, 14th Court of Appeals District, Place 8",0259,1,1210,460,1670,2408,69.35%,27,1608,1635
"Justice, 14th Court of Appeals District, Place 8",0260,420,290,710,1187,59.81%,366,310,676
"Justice, 14th Court of Appeals District, Place 8",0261,176,133,309,749,41.26%,87,206,293
"Justice, 14th Court of Appeals District, Place 8",0262,1470,906,2376,4232,56.14%,1345,856,2201
"Justice, 14th Court of Appeals District, Place 8",0263,1785,719,2504,3319,75.44%,1838,561,2399
"Justice, 14th Court of Appeals District, Place 8",0264,936,639,1575,2939,53.59%,816,629,1445
"Justice, 14th Court of Appeals District, Place 8",0265,1936,674,2610,3617,72.16%,1915,512,2427
"Justice, 14th Court of Appeals District, Place 8",0266,552,542,1094,2119,51.63%,471,566,1037
"Justice, 14th Court of Appeals District, Place 8",0267,294,305,599,1346,44.50%,253,304,557
"Justice, 14th Court of Appeals District, Place 8",0268,931,810,1741,2387,72.94%,1041,535,1576
"Justice, 14th Court of Appeals District, Place 8",0269,1143,444,1587,1981,80.11%,1236,240,1476
"Justice, 14th Court of Appeals District, Place 8",0270,1401,870,2271,3517,64.57%,1233,870,2103
"Justice, 14th Court of Appeals District, Place 8",0271,1303,371,1674,2469,67.80%,13,1613,1626
"Justice, 14th Court of Appeals District, Place 8",0272,610,484,1094,2112,51.80%,392,640,1032
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP John Donovan,DEM Julia Maldonado,Totals
"Justice, 14th Court of Appeals District, Place 8",0273,1141,634,1775,2426,73.17%,1411,266,1677
"Justice, 14th Court of Appeals District, Place 8",0274,1049,364,1413,2063,68.49%,941,384,1325
"Justice, 14th Court of Appeals District, Place 8",0275,567,410,977,1730,56.47%,146,797,943
"Justice, 14th Court of Appeals District, Place 8",0276,1139,404,1543,2532,60.94%,10,1497,1507
"Justice, 14th Court of Appeals District, Place 8",0277,342,305,647,1473,43.92%,262,363,625
"Justice, 14th Court of Appeals District, Place 8",0278,756,607,1363,2405,56.67%,660,628,1288
"Justice, 14th Court of Appeals District, Place 8",0279,548,383,931,1899,49.03%,542,345,887
"Justice, 14th Court of Appeals District, Place 8",0280,303,360,663,1515,43.76%,212,406,618
"Justice, 14th Court of Appeals District, Place 8",0281,1087,903,1990,2610,76.25%,1001,755,1756
"Justice, 14th Court of Appeals District, Place 8",0282,690,591,1281,1988,64.44%,742,466,1208
