Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0130,1203,523,1726,2240,77.05%,1286,331,1617
"Justice, 14th Court of Appeals District, Place 5",0131,604,374,978,1721,56.83%,232,703,935
"Justice, 14th Court of Appeals District, Place 5",0132,1119,397,1516,2449,61.90%,28,1442,1470
"Justice, 14th Court of Appeals District, Place 5",0133,1088,940,2028,2605,77.85%,1303,559,1862
"Justice, 14th Court of Appeals District, Place 5",0134,420,392,812,1444,56.23%,350,407,757
"Justice, 14th Court of Appeals District, Place 5",0135,1425,634,2059,2750,74.87%,1376,544,1920
"Justice, 14th Court of Appeals District, Place 5",0136,981,451,1432,2111,67.84%,58,1323,1381
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0137,305,193,498,740,67.30%,263,186,449
"Justice, 14th Court of Appeals District, Place 5",0138,661,259,920,1749,52.60%,20,866,886
"Justice, 14th Court of Appeals District, Place 5",0139,1290,747,2037,2746,74.18%,1042,824,1866
"Justice, 14th Court of Appeals District, Place 5",0140,1315,683,1998,3104,64.37%,298,1571,1869
"Justice, 14th Court of Appeals District, Place 5",0141,181,143,324,872,37.16%,195,108,303
"Justice, 14th Court of Appeals District, Place 5",0142,212,171,383,870,44.02%,102,256,358
"Justice, 14th Court of Appeals District, Place 5",0143,2994,660,3654,4598,79.47%,2546,954,3500
"Justice, 14th Court of Appeals District, Place 5",0144,477,204,681,1143,59.58%,6,655,661
"Justice, 14th Court of Appeals District, Place 5",0145,663,245,908,1580,57.47%,14,874,888
"Justice, 14th Court of Appeals District, Place 5",0146,759,614,1373,1953,70.30%,624,643,1267
"Justice, 14th Court of Appeals District, Place 5",0147,1255,485,1740,2813,61.86%,204,1492,1696
"Justice, 14th Court of Appeals District, Place 5",0148,908,924,1832,2467,74.26%,858,820,1678
"Justice, 14th Court of Appeals District, Place 5",0149,2860,1322,4182,6103,68.52%,1866,2136,4002
"Justice, 14th Court of Appeals District, Place 5",0150,539,207,746,1212,61.55%,15,709,724
"Justice, 14th Court of Appeals District, Place 5",0151,316,148,464,846,54.85%,20,420,440
"Justice, 14th Court of Appeals District, Place 5",0152,483,602,1085,2701,40.17%,240,787,1027
"Justice, 14th Court of Appeals District, Place 5",0153,328,437,765,1755,43.59%,187,524,711
"Justice, 14th Court of Appeals District, Place 5",0154,593,360,953,2133,44.68%,211,644,855
"Justice, 14th Court of Appeals District, Place 5",0155,1957,834,2791,4087,68.29%,1890,755,2645
"Justice, 14th Court of Appeals District, Place 5",0156,1427,457,1884,3134,60.11%,51,1756,1807
"Justice, 14th Court of Appeals District, Place 5",0157,881,382,1263,2311,54.65%,37,1188,1225
"Justice, 14th Court of Appeals District, Place 5",0158,1304,435,1739,3016,57.66%,31,1663,1694
"Justice, 14th Court of Appeals District, Place 5",0159,313,187,500,976,51.23%,64,412,476
"Justice, 14th Court of Appeals District, Place 5",0160,246,140,386,688,56.10%,10,361,371
"Justice, 14th Court of Appeals District, Place 5",0161,395,190,585,1030,56.80%,9,558,567
"Justice, 14th Court of Appeals District, Place 5",0162,232,262,494,1249,39.55%,140,307,447
"Justice, 14th Court of Appeals District, Place 5",0163,778,635,1413,3054,46.27%,397,852,1249
"Justice, 14th Court of Appeals District, Place 5",0164,505,304,809,1434,56.42%,13,777,790
"Justice, 14th Court of Appeals District, Place 5",0165,918,557,1475,2284,64.58%,939,446,1385
"Justice, 14th Court of Appeals District, Place 5",0166,281,311,592,1016,58.27%,195,358,553
"Justice, 14th Court of Appeals District, Place 5",0167,5,2,7,23,30.43%,0,7,7
"Justice, 14th Court of Appeals District, Place 5",0168,188,126,314,519,60.50%,7,293,300
"Justice, 14th Court of Appeals District, Place 5",0169,1060,433,1493,2531,58.99%,24,1436,1460
"Justice, 14th Court of Appeals District, Place 5",0170,481,353,834,1887,44.20%,404,371,775
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0171,514,294,808,1613,50.09%,28,748,776
"Justice, 14th Court of Appeals District, Place 5",0172,161,147,308,600,51.33%,104,176,280
"Justice, 14th Court of Appeals District, Place 5",0173,1798,619,2417,3105,77.84%,1842,458,2300
"Justice, 14th Court of Appeals District, Place 5",0174,1554,767,2321,3159,73.47%,1590,561,2151
"Justice, 14th Court of Appeals District, Place 5",0175,1065,867,1932,2506,77.09%,1052,717,1769
"Justice, 14th Court of Appeals District, Place 5",0176,627,530,1157,1581,73.18%,650,401,1051
"Justice, 14th Court of Appeals District, Place 5",0177,672,385,1057,1478,71.52%,659,335,994
"Justice, 14th Court of Appeals District, Place 5",0178,914,368,1282,1718,74.62%,900,290,1190
"Justice, 14th Court of Appeals District, Place 5",0179,449,321,770,1508,51.06%,346,370,716
"Justice, 14th Court of Appeals District, Place 5",0180,966,552,1518,2795,54.31%,38,1412,1450
"Justice, 14th Court of Appeals District, Place 5",0181,416,514,930,1968,47.26%,267,603,870
"Justice, 14th Court of Appeals District, Place 5",0182,1321,1081,2402,3289,73.03%,1515,661,2176
"Justice, 14th Court of Appeals District, Place 5",0183,970,943,1913,2451,78.05%,1313,457,1770
"Justice, 14th Court of Appeals District, Place 5",0184,214,256,470,969,48.50%,132,299,431
"Justice, 14th Court of Appeals District, Place 5",0185,592,494,1086,1910,56.86%,343,673,1016
"Justice, 14th Court of Appeals District, Place 5",0186,204,170,374,795,47.04%,42,307,349
"Justice, 14th Court of Appeals District, Place 5",0187,48,65,113,309,36.57%,27,80,107
"Justice, 14th Court of Appeals District, Place 5",0188,307,378,685,1616,42.39%,245,403,648
"Justice, 14th Court of Appeals District, Place 5",0189,492,473,965,1453,66.41%,518,361,879
"Justice, 14th Court of Appeals District, Place 5",0190,275,401,676,1720,39.30%,240,389,629
"Justice, 14th Court of Appeals District, Place 5",0191,197,313,510,1391,36.66%,175,310,485
"Justice, 14th Court of Appeals District, Place 5",0192,746,332,1078,2045,52.71%,41,1002,1043
"Justice, 14th Court of Appeals District, Place 5",0193,341,269,610,1050,58.10%,12,578,590
"Justice, 14th Court of Appeals District, Place 5",0194,706,504,1210,1735,69.74%,381,745,1126
"Justice, 14th Court of Appeals District, Place 5",0195,539,419,958,1721,55.67%,30,895,925
"Justice, 14th Court of Appeals District, Place 5",0196,121,55,176,323,54.49%,11,160,171
"Justice, 14th Court of Appeals District, Place 5",0197,1109,497,1606,2895,55.47%,33,1523,1556
"Justice, 14th Court of Appeals District, Place 5",0198,143,158,301,657,45.81%,8,282,290
"Justice, 14th Court of Appeals District, Place 5",0199,1407,773,2180,3159,69.01%,1647,428,2075
"Justice, 14th Court of Appeals District, Place 5",0200,1638,585,2223,3222,68.99%,1062,974,2036
"Justice, 14th Court of Appeals District, Place 5",0201,229,125,354,728,48.63%,11,333,344
"Justice, 14th Court of Appeals District, Place 5",0202,488,332,820,1479,55.44%,17,767,784
"Justice, 14th Court of Appeals District, Place 5",0203,266,156,422,900,46.89%,84,314,398
"Justice, 14th Court of Appeals District, Place 5",0204,1491,914,2405,3462,69.47%,1382,854,2236
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0205,856,201,1057,1667,63.41%,22,1003,1025
"Justice, 14th Court of Appeals District, Place 5",0206,651,659,1310,2662,49.21%,404,816,1220
"Justice, 14th Court of Appeals District, Place 5",0207,410,310,720,1144,62.94%,250,407,657
"Justice, 14th Court of Appeals District, Place 5",0208,806,364,1170,2201,53.16%,291,806,1097
"Justice, 14th Court of Appeals District, Place 5",0209,0,4,4,0,0.00%,4,0,4
"Justice, 14th Court of Appeals District, Place 5",0210,1013,542,1555,2300,67.61%,174,1303,1477
"Justice, 14th Court of Appeals District, Place 5",0211,710,686,1396,2797,49.91%,487,805,1292
"Justice, 14th Court of Appeals District, Place 5",0212,218,314,532,1266,42.02%,92,410,502
"Justice, 14th Court of Appeals District, Place 5",0213,1603,939,2542,3308,76.84%,2041,369,2410
"Justice, 14th Court of Appeals District, Place 5",0214,798,544,1342,1795,74.76%,859,369,1228
"Justice, 14th Court of Appeals District, Place 5",0215,844,786,1630,2168,75.18%,1032,476,1508
"Justice, 14th Court of Appeals District, Place 5",0216,784,320,1104,1917,57.59%,76,985,1061
"Justice, 14th Court of Appeals District, Place 5",0217,1396,651,2047,2637,77.63%,1452,468,1920
"Justice, 14th Court of Appeals District, Place 5",0218,690,608,1298,2274,57.08%,397,794,1191
"Justice, 14th Court of Appeals District, Place 5",0219,1117,587,1704,2654,64.20%,143,1468,1611
"Justice, 14th Court of Appeals District, Place 5",0220,711,353,1064,2360,45.08%,716,288,1004
"Justice, 14th Court of Appeals District, Place 5",0221,699,611,1310,2489,52.63%,525,674,1199
"Justice, 14th Court of Appeals District, Place 5",0222,1000,792,1792,2384,75.17%,936,690,1626
"Justice, 14th Court of Appeals District, Place 5",0223,1350,760,2110,3528,59.81%,611,1327,1938
"Justice, 14th Court of Appeals District, Place 5",0224,896,649,1545,2259,68.39%,757,659,1416
"Justice, 14th Court of Appeals District, Place 5",0225,1111,720,1831,3155,58.03%,770,977,1747
"Justice, 14th Court of Appeals District, Place 5",0226,529,545,1074,2393,44.88%,226,756,982
"Justice, 14th Court of Appeals District, Place 5",0227,947,451,1398,1767,79.12%,1103,214,1317
"Justice, 14th Court of Appeals District, Place 5",0228,583,165,748,1073,69.71%,37,688,725
"Justice, 14th Court of Appeals District, Place 5",0229,152,207,359,811,44.27%,101,238,339
"Justice, 14th Court of Appeals District, Place 5",0230,421,153,574,1096,52.37%,10,540,550
"Justice, 14th Court of Appeals District, Place 5",0231,562,471,1033,2219,46.55%,253,723,976
"Justice, 14th Court of Appeals District, Place 5",0232,685,546,1231,1696,72.58%,736,390,1126
"Justice, 14th Court of Appeals District, Place 5",0233,1830,1063,2893,4132,70.01%,1518,1150,2668
"Justice, 14th Court of Appeals District, Place 5",0234,2090,885,2975,3854,77.19%,2321,472,2793
"Justice, 14th Court of Appeals District, Place 5",0235,466,242,708,1305,54.25%,24,663,687
"Justice, 14th Court of Appeals District, Place 5",0236,779,342,1121,2144,52.29%,30,1045,1075
"Justice, 14th Court of Appeals District, Place 5",0237,793,441,1234,2181,56.58%,20,1187,1207
"Justice, 14th Court of Appeals District, Place 5",0238,640,422,1062,1901,55.87%,20,1001,1021
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0239,765,357,1122,1997,56.18%,27,1057,1084
"Justice, 14th Court of Appeals District, Place 5",0240,1157,402,1559,2688,58.00%,25,1483,1508
"Justice, 14th Court of Appeals District, Place 5",0241,494,479,973,2296,42.38%,368,556,924
"Justice, 14th Court of Appeals District, Place 5",0242,363,323,686,1570,43.69%,355,294,649
"Justice, 14th Court of Appeals District, Place 5",0243,254,50,304,452,67.26%,3,293,296
"Justice, 14th Court of Appeals District, Place 5",0244,1100,656,1756,2912,60.30%,915,763,1678
"Justice, 14th Court of Appeals District, Place 5",0245,2340,1115,3455,5240,65.94%,2296,1027,3323
"Justice, 14th Court of Appeals District, Place 5",0246,1584,624,2208,2999,73.62%,1468,633,2101
"Justice, 14th Court of Appeals District, Place 5",0247,421,403,824,1607,51.28%,12,791,803
"Justice, 14th Court of Appeals District, Place 5",0248,408,405,813,2122,38.31%,196,571,767
"Justice, 14th Court of Appeals District, Place 5",0249,1028,481,1509,2676,56.39%,977,456,1433
"Justice, 14th Court of Appeals District, Place 5",0250,306,247,553,951,58.15%,9,536,545
"Justice, 14th Court of Appeals District, Place 5",0251,809,529,1338,2072,64.58%,56,1229,1285
"Justice, 14th Court of Appeals District, Place 5",0252,1111,356,1467,2350,62.43%,24,1406,1430
"Justice, 14th Court of Appeals District, Place 5",0253,923,325,1248,2252,55.42%,16,1212,1228
"Justice, 14th Court of Appeals District, Place 5",0254,220,282,502,1476,34.01%,121,344,465
"Justice, 14th Court of Appeals District, Place 5",0255,995,797,1792,2411,74.33%,848,818,1666
"Justice, 14th Court of Appeals District, Place 5",0256,1059,766,1825,3226,56.57%,718,965,1683
"Justice, 14th Court of Appeals District, Place 5",0257,553,571,1124,2403,46.77%,268,801,1069
"Justice, 14th Court of Appeals District, Place 5",0258,1577,888,2465,3286,75.02%,1806,458,2264
"Justice, 14th Court of Appeals District, Place 5",0259,1,1210,460,1670,2408,69.35%,27,1607,1634
"Justice, 14th Court of Appeals District, Place 5",0260,420,290,710,1187,59.81%,379,296,675
"Justice, 14th Court of Appeals District, Place 5",0261,176,133,309,749,41.26%,92,199,291
"Justice, 14th Court of Appeals District, Place 5",0262,1470,906,2376,4232,56.14%,1369,836,2205
"Justice, 14th Court of Appeals District, Place 5",0263,1785,719,2504,3319,75.44%,1834,558,2392
"Justice, 14th Court of Appeals District, Place 5",0264,936,639,1575,2939,53.59%,839,616,1455
"Justice, 14th Court of Appeals District, Place 5",0265,1936,674,2610,3617,72.16%,1938,497,2435
"Justice, 14th Court of Appeals District, Place 5",0266,552,542,1094,2119,51.63%,496,536,1032
"Justice, 14th Court of Appeals District, Place 5",0267,294,305,599,1346,44.50%,261,290,551
"Justice, 14th Court of Appeals District, Place 5",0268,931,810,1741,2387,72.94%,1090,497,1587
"Justice, 14th Court of Appeals District, Place 5",0269,1143,444,1587,1981,80.11%,1276,221,1497
"Justice, 14th Court of Appeals District, Place 5",0270,1401,870,2271,3517,64.57%,1259,836,2095
"Justice, 14th Court of Appeals District, Place 5",0271,1303,371,1674,2469,67.80%,21,1608,1629
"Justice, 14th Court of Appeals District, Place 5",0272,610,484,1094,2112,51.80%,414,618,1032
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Martha Hill Jamison,DEM Tanner Garth,Totals
"Justice, 14th Court of Appeals District, Place 5",0273,1141,634,1775,2426,73.17%,1451,234,1685
"Justice, 14th Court of Appeals District, Place 5",0274,1049,364,1413,2063,68.49%,957,379,1336
"Justice, 14th Court of Appeals District, Place 5",0275,567,410,977,1730,56.47%,174,762,936
"Justice, 14th Court of Appeals District, Place 5",0276,1139,404,1543,2532,60.94%,17,1490,1507
"Justice, 14th Court of Appeals District, Place 5",0277,342,305,647,1473,43.92%,277,347,624
"Justice, 14th Court of Appeals District, Place 5",0278,756,607,1363,2405,56.67%,713,570,1283
"Justice, 14th Court of Appeals District, Place 5",0279,548,383,931,1899,49.03%,552,322,874
"Justice, 14th Court of Appeals District, Place 5",0280,303,360,663,1515,43.76%,228,394,622
"Justice, 14th Court of Appeals District, Place 5",0281,1087,903,1990,2610,76.25%,1037,724,1761
