Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Wise,DEM Donna Roth,Totals
"District Judge, 334th Judicial District",0081,540,309,849,1839,48.17%,283,524,787
"District Judge, 334th Judicial District",0082,1353,818,2189,3284,88.05%,1585,484,2089
"District Judge, 334th Judicial District",0083,2825,1181,3808,5598,87.99%,1789,1857,3848
"District Judge, 334th Judicial District",0084,444,348,790,1389,58.88%,550,208,758
"District Judge, 334th Judicial District",0085,730,548,1278,2079,81.47%,25,1188,1213
"District Judge, 334th Judicial District",0088,1054,889,1743,2837,88.10%,808,798,1804
"District Judge, 334th Judicial District",0087,1222,881,2083,2749,75.77%,1390,511,1901
"District Judge, 334th Judicial District",0088,235,182,397,878,58.55%,251,128,379
"District Judge, 334th Judicial District",0089,342,454,798,1104,72.10%,495,234,729
"District Judge, 334th Judicial District",0090,1498,958,2458,3571,88.78%,1777,535,2312
"District Judge, 334th Judicial District",0091,488,333,799,1248,84.02%,479,287,788
"District Judge, 334th Judicial District",0092,1105,534,1839,2228,73.58%,1097,414,1511
"District Judge, 334th Judicial District",0093,782,843,1425,3295,43.25%,503,813,1318
"District Judge, 334th Judicial District",0094,148,104,252,537,48.93%,50,188,238
"District Judge, 334th Judicial District",0095,1884,871,2355,3179,74.08%,1808,594,2200
"District Judge, 334th Judicial District",0098,384,237,801,1241,48.43%,59,521,580
"District Judge, 334th Judicial District",0097,2393,784,3157,4588,89.14%,2252,731,2983
"District Judge, 334th Judicial District",0098,874,807,1481,2403,81.83%,1202,212,1414
"District Judge, 334th Judicial District",0099,588,311,879,2040,43.09%,384,458,840
"District Judge, 334th Judicial District",0100,427,324,751,1754,42.82%,324,393,717
"District Judge, 334th Judicial District",0101,203,188,389,941,41.34%,85,293,378
"District Judge, 334th Judicial District",0102,493,288,781,1910,39.84%,188,545,733
"District Judge, 334th Judicial District",0103,1915,1065,2980,4751,62.72%,1536,1304,2840
"District Judge, 334th Judicial District",0104,992,238,1230,1847,66.59%,25,1170,1195
"District Judge, 334th Judicial District",0105,462,453,915,2153,42.50%,226,619,845
"District Judge, 334th Judicial District",0106,49,37,86,284,30.28%,43,39,82
"District Judge, 334th Judicial District",0107,412,441,853,1905,44.78%,132,685,817
"District Judge, 334th Judicial District",0108,1193,514,1707,3229,52.86%,869,745,1614
"District Judge, 334th Judicial District",0109,1160,430,1590,2884,55.13%,24,1513,1537
"District Judge, 334th Judicial District",0110,1465,589,2054,2853,71.99%,1213,720,1933
"District Judge, 334th Judicial District",0111,1868,848,2716,3638,74.66%,1984,570,2554
"District Judge, 334th Judicial District",0112,1262,668,1930,2894,66.69%,1329,503,1832
"District Judge, 334th Judicial District",0113,1125,590,1715,2537,67.60%,960,655,1615
"District Judge, 334th Judicial District",0114,1454,546,2000,2650,75.47%,1535,381,1916
"District Judge, 334th Judicial District",0115,598,305,903,1764,51.19%,99,772,871
"District Judge, 334th Judicial District",0116,1626,747,2373,3014,78.73%,1816,418,2234
"District Judge, 334th Judicial District",0117,398,462,860,1878,45.79%,343,465,808
"District Judge, 334th Judicial District",0118,460,148,608,743,81.83%,473,97,570
"District Judge, 334th Judicial District",0119,1924,1265,3189,4892,65.19%,2472,589,3061
"District Judge, 334th Judicial District",0120,1197,632,1829,2986,61.25%,1072,629,1701
"District Judge, 334th Judicial District",0121,193,244,437,679,64.36%,284,132,416
"District Judge, 334th Judicial District",0122,895,349,1244,2199,56.57%,41,1150,1191
"District Judge, 334th Judicial District",0123,440,350,790,1356,58.26%,228,500,728
"District Judge, 334th Judicial District",0124,3522,1281,4803,5952,80.70%,3743,820,4563
"District Judge, 334th Judicial District",0125,896,534,1430,2281,62.69%,809,552,1361
"District Judge, 334th Judicial District",0126,1630,407,2037,2799,72.78%,1718,223,1941
"District Judge, 334th Judicial District",0127,854,182,1036,1703,60.83%,712,274,986
"District Judge, 334th Judicial District",0128,936,736,1672,2257,74.08%,1075,418,1493
"District Judge, 334th Judicial District",0129,2294,1449,3743,5495,68.12%,2311,1182,3493
"District Judge, 334th Judicial District",0130,1201,523,1724,2240,76.96%,1272,338,1610
"District Judge, 334th Judicial District",0131,604,374,978,1721,56.83%,234,699,933
"District Judge, 334th Judicial District",0132,1119,397,1516,2449,61.90%,27,1433,1460
"District Judge, 334th Judicial District",0133,1083,940,2023,2605,77.66%,1251,592,1843
"District Judge, 334th Judicial District",0134,419,392,811,1444,56.16%,350,402,752
"District Judge, 334th Judicial District",0135,1424,634,2058,2750,74.84%,1347,558,1905
"District Judge, 334th Judicial District",0136,981,451,1432,2111,67.84%,51,1323,1374
"District Judge, 334th Judicial District",0137,305,193,498,740,67.30%,261,192,453
"District Judge, 334th Judicial District",0138,661,259,920,1749,52.60%,18,866,884
"District Judge, 334th Judicial District",0139,1290,747,2037,2746,74.18%,1010,840,1850
"District Judge, 334th Judicial District",0140,1311,683,1994,3104,64.24%,293,1570,1863
"District Judge, 334th Judicial District",0141,181,143,324,872,37.16%,194,108,302
"District Judge, 334th Judicial District",0142,212,171,383,870,44.02%,95,260,355
"District Judge, 334th Judicial District",0143,2993,660,3653,4598,79.45%,2522,968,3490
"District Judge, 334th Judicial District",0144,476,204,680,1143,59.49%,11,649,660
"District Judge, 334th Judicial District",0145,663,245,908,1580,57.47%,13,875,888
"District Judge, 334th Judicial District",0146,759,614,1373,1953,70.30%,602,652,1254
"District Judge, 334th Judicial District",0147,1255,485,1740,2813,61.86%,193,1499,1692
"District Judge, 334th Judicial District",0148,908,924,1832,2467,74.26%,826,834,1660
"District Judge, 334th Judicial District",0149,2859,1322,4181,6103,68.51%,1842,2152,3994
"District Judge, 334th Judicial District",0150,539,207,746,1212,61.55%,18,707,725
"District Judge, 334th Judicial District",0151,316,148,464,846,54.85%,20,421,441
"District Judge, 334th Judicial District",0152,483,602,1085,2701,40.17%,221,800,1021
"District Judge, 334th Judicial District",0153,328,437,765,1755,43.59%,184,525,709
"District Judge, 334th Judicial District",0154,593,360,953,2133,44.68%,199,655,854
"District Judge, 334th Judicial District",0155,1957,834,2791,4087,68.29%,1856,776,2632
"District Judge, 334th Judicial District",0156,1427,457,1884,3134,60.11%,51,1750,1801
"District Judge, 334th Judicial District",0157,881,382,1263,2311,54.65%,42,1182,1224
"District Judge, 334th Judicial District",0158,1304,435,1739,3016,57.66%,28,1668,1696
"District Judge, 334th Judicial District",0159,313,187,500,976,51.23%,62,414,476
"District Judge, 334th Judicial District",0160,246,140,386,688,56.10%,12,359,371
"District Judge, 334th Judicial District",0161,395,190,585,1030,56.80%,11,556,567
"District Judge, 334th Judicial District",0162,232,262,494,1249,39.55%,134,310,444
"District Judge, 334th Judicial District",0163,778,635,1413,3054,46.27%,385,855,1240
"District Judge, 334th Judicial District",0164,505,304,809,1434,56.42%,12,775,787
"District Judge, 334th Judicial District",0165,918,557,1475,2284,64.58%,925,462,1387
"District Judge, 334th Judicial District",0166,281,311,592,1016,58.27%,199,347,546
"District Judge, 334th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 334th Judicial District",0168,188,126,314,519,60.50%,6,291,297
"District Judge, 334th Judicial District",0169,1059,433,1492,2531,58.95%,19,1436,1455
"District Judge, 334th Judicial District",0170,481,353,834,1887,44.20%,392,380,772
"District Judge, 334th Judicial District",0171,514,294,808,1613,50.09%,24,751,775
"District Judge, 334th Judicial District",0172,161,147,308,600,51.33%,98,180,278
"District Judge, 334th Judicial District",0173,1798,619,2417,3105,77.84%,1822,474,2296
"District Judge, 334th Judicial District",0174,1554,767,2321,3159,73.47%,1551,595,2146
"District Judge, 334th Judicial District",0175,1064,867,1931,2506,77.06%,1032,715,1747
"District Judge, 334th Judicial District",0176,626,530,1156,1581,73.12%,633,407,1040
"District Judge, 334th Judicial District",0177,672,385,1057,1478,71.52%,647,338,985
"District Judge, 334th Judicial District",0178,913,368,1281,1718,74.56%,873,301,1174
"District Judge, 334th Judicial District",0179,449,321,770,1508,51.06%,341,376,717
"District Judge, 334th Judicial District",0180,966,552,1518,2795,54.31%,37,1408,1445
"District Judge, 334th Judicial District",0181,416,514,930,1968,47.26%,251,612,863
"District Judge, 334th Judicial District",0182,1321,1081,2402,3289,73.03%,1453,700,2153
"District Judge, 334th Judicial District",0183,970,943,1913,2451,78.05%,1288,458,1746
"District Judge, 334th Judicial District",0184,214,256,470,969,48.50%,133,298,431
"District Judge, 334th Judicial District",0185,592,494,1086,1910,56.86%,334,679,1013
"District Judge, 334th Judicial District",0186,204,170,374,795,47.04%,40,306,346
"District Judge, 334th Judicial District",0187,48,65,113,309,36.57%,27,81,108
"District Judge, 334th Judicial District",0188,307,378,685,1616,42.39%,240,407,647
"District Judge, 334th Judicial District",0189,492,473,965,1453,66.41%,519,350,869
"District Judge, 334th Judicial District",0190,275,401,676,1720,39.30%,225,410,635
"District Judge, 334th Judicial District",0191,195,313,509,1391,36.59%,171,313,484
"District Judge, 334th Judicial District",0192,746,332,1078,2045,52.71%,37,1003,1040
"District Judge, 334th Judicial District",0193,341,269,610,1050,58.10%,11,575,586
"District Judge, 334th Judicial District",0194,704,504,1208,1735,69.63%,362,759,1121
"District Judge, 334th Judicial District",0195,539,419,958,1721,55.67%,28,894,922
"District Judge, 334th Judicial District",0196,121,55,176,323,54.49%,8,160,168
"District Judge, 334th Judicial District",0197,1109,497,1606,2895,55.47%,37,1517,1554
"District Judge, 334th Judicial District",0198,143,158,301,657,45.81%,6,281,287
"District Judge, 334th Judicial District",0199,1407,773,2180,3159,69.01%,1625,434,2059
"District Judge, 334th Judicial District",0200,1638,585,2223,3222,68.99%,1055,965,2020
"District Judge, 334th Judicial District",0201,229,125,354,728,48.63%,11,333,344
"District Judge, 334th Judicial District",0202,488,332,820,1479,55.44%,14,770,784
"District Judge, 334th Judicial District",0203,266,156,422,900,46.89%,83,313,396
"District Judge, 334th Judicial District",0204,1489,914,2403,3462,69.41%,1367,848,2215
"District Judge, 334th Judicial District",0205,856,201,1057,1667,63.41%,22,1005,1027
"District Judge, 334th Judicial District",0206,651,659,1310,2662,49.21%,405,814,1219
"District Judge, 334th Judicial District",0207,409,310,719,1144,62.85%,251,403,654
"District Judge, 334th Judicial District",0208,806,364,1170,2201,53.16%,283,808,1091
"District Judge, 334th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 334th Judicial District",0210,1013,542,1555,2300,67.61%,168,1299,1467
"District Judge, 334th Judicial District",0211,710,686,1396,2797,49.91%,468,817,1285
"District Judge, 334th Judicial District",0212,218,314,532,1266,42.02%,94,409,503
"District Judge, 334th Judicial District",0213,1603,939,2542,3308,76.84%,1973,397,2370
"District Judge, 334th Judicial District",0214,798,544,1342,1795,74.76%,835,392,1227
"District Judge, 334th Judicial District",0215,844,786,1630,2168,75.18%,1011,479,1490
"District Judge, 334th Judicial District",0216,784,320,1104,1917,57.59%,68,985,1053
"District Judge, 334th Judicial District",0217,1396,651,2047,2637,77.63%,1381,495,1876
"District Judge, 334th Judicial District",0218,690,608,1298,2274,57.08%,382,801,1183
"District Judge, 334th Judicial District",0219,1117,587,1704,2654,64.20%,127,1478,1605
"District Judge, 334th Judicial District",0220,711,353,1064,2360,45.08%,726,277,1003
"District Judge, 334th Judicial District",0221,699,611,1310,2489,52.63%,523,682,1205
"District Judge, 334th Judicial District",0222,1000,792,1792,2384,75.17%,897,697,1594
"District Judge, 334th Judicial District",0223,1350,760,2110,3528,59.81%,609,1313,1922
"District Judge, 334th Judicial District",0224,894,649,1543,2259,68.30%,740,673,1413
"District Judge, 334th Judicial District",0225,1109,720,1829,3155,57.97%,756,983,1739
"District Judge, 334th Judicial District",0226,529,545,1074,2393,44.88%,206,772,978
"District Judge, 334th Judicial District",0227,947,451,1398,1767,79.12%,1073,216,1289
"District Judge, 334th Judicial District",0228,583,165,748,1073,69.71%,34,693,727
"District Judge, 334th Judicial District",0229,152,207,359,811,44.27%,99,239,338
"District Judge, 334th Judicial District",0230,421,153,574,1096,52.37%,11,539,550
"District Judge, 334th Judicial District",0231,562,471,1033,2219,46.55%,252,725,977
"District Judge, 334th Judicial District",0232,685,546,1231,1696,72.58%,737,388,1125
"District Judge, 334th Judicial District",0233,1826,1063,2889,4132,69.92%,1490,1153,2643
"District Judge, 334th Judicial District",0234,2088,885,2973,3854,77.14%,2269,490,2759
"District Judge, 334th Judicial District",0235,466,242,708,1305,54.25%,20,670,690
"District Judge, 334th Judicial District",0236,779,342,1121,2144,52.29%,23,1046,1069
"District Judge, 334th Judicial District",0237,793,441,1234,2181,56.58%,20,1184,1204
"District Judge, 334th Judicial District",0238,640,422,1062,1901,55.87%,15,1010,1025
"District Judge, 334th Judicial District",0239,765,357,1122,1997,56.18%,29,1056,1085
"District Judge, 334th Judicial District",0240,1157,402,1559,2688,58.00%,19,1487,1506
"District Judge, 334th Judicial District",0241,494,479,973,2296,42.38%,372,546,918
"District Judge, 334th Judicial District",0242,363,323,686,1570,43.69%,346,302,648
"District Judge, 334th Judicial District",0243,254,50,304,452,67.26%,2,294,296
"District Judge, 334th Judicial District",0244,1100,656,1756,2912,60.30%,892,782,1674
"District Judge, 334th Judicial District",0245,2340,1115,3455,5240,65.94%,2255,1052,3307
"District Judge, 334th Judicial District",0246,1,1584,624,2208,2999,73.62%,1453,645,2098
"District Judge, 334th Judicial District",0247,421,403,824,1607,51.28%,15,787,802
"District Judge, 334th Judicial District",0248,408,405,813,2122,38.31%,191,576,767
"District Judge, 334th Judicial District",0249,1028,481,1509,2676,56.39%,971,458,1429
"District Judge, 334th Judicial District",0250,306,247,553,951,58.15%,9,536,545
"District Judge, 334th Judicial District",0251,809,529,1338,2072,64.58%,52,1233,1285
"District Judge, 334th Judicial District",0252,1111,356,1467,2350,62.43%,23,1398,1421
"District Judge, 334th Judicial District",0253,923,325,1248,2252,55.42%,16,1212,1228
"District Judge, 334th Judicial District",0254,220,282,502,1476,34.01%,115,348,463
"District Judge, 334th Judicial District",0255,995,797,1792,2411,74.33%,837,817,1654
"District Judge, 334th Judicial District",0256,1059,766,1825,3226,56.57%,699,984,1683
"District Judge, 334th Judicial District",0257,553,571,1124,2403,46.77%,256,812,1068
"District Judge, 334th Judicial District",0258,1577,888,2465,3286,75.02%,1773,479,2252
"District Judge, 334th Judicial District",0259,1,1210,460,1670,2408,69.35%,29,1597,1626
"District Judge, 334th Judicial District",0260,420,290,710,1187,59.81%,371,301,672
"District Judge, 334th Judicial District",0261,176,133,309,749,41.26%,91,201,292
"District Judge, 334th Judicial District",0262,1470,906,2376,4232,56.14%,1356,843,2199
"District Judge, 334th Judicial District",0263,1785,719,2504,3319,75.44%,1830,564,2394
"District Judge, 334th Judicial District",0264,936,639,1575,2939,53.59%,826,622,1448
"District Judge, 334th Judicial District",0265,1936,674,2610,3617,72.16%,1910,504,2414
"District Judge, 334th Judicial District",0266,552,542,1094,2119,51.63%,492,534,1026
"District Judge, 334th Judicial District",0267,294,305,599,1346,44.50%,265,286,551
"District Judge, 334th Judicial District",0268,931,810,1741,2387,72.94%,1043,523,1566
"District Judge, 334th Judicial District",0269,1143,444,1587,1981,80.11%,1259,223,1482
"District Judge, 334th Judicial District",0270,1401,870,2271,3517,64.57%,1264,835,2099
"District Judge, 334th Judicial District",0271,1303,371,1674,2469,67.80%,13,1612,1625
"District Judge, 334th Judicial District",0272,610,484,1094,2112,51.80%,398,634,1032
"District Judge, 334th Judicial District",0273,1139,634,1773,2426,73.08%,1421,244,1665
"District Judge, 334th Judicial District",0274,1049,364,1413,2063,68.49%,948,381,1329
"District Judge, 334th Judicial District",0275,567,410,977,1730,56.47%,163,772,935
"District Judge, 334th Judicial District",0276,1139,404,1543,2532,60.94%,15,1490,1505
"District Judge, 334th Judicial District",0277,342,305,647,1473,43.92%,276,345,621
"District Judge, 334th Judicial District",0278,756,607,1363,2405,56.67%,690,593,1283
"District Judge, 334th Judicial District",0279,548,383,931,1899,49.03%,543,331,874
"District Judge, 334th Judicial District",0280,303,360,663,1515,43.76%,224,395,619
"District Judge, 334th Judicial District",0281,1087,903,1990,2610,76.25%,1026,727,1753
"District Judge, 334th Judicial District",0282,690,591,1281,1988,64.44%,759,454,1213
"District Judge, 334th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 334th Judicial District",0284,1135,595,1730,3262,53.03%,644,999,1643
"District Judge, 334th Judicial District",0285,988,509,1497,2505,59.76%,101,1331,1432
"District Judge, 334th Judicial District",0286,2657,1053,3710,5719,64.87%,296,3248,3544
"District Judge, 334th Judicial District",0287,647,542,1189,1616,73.58%,620,476,1096
"District Judge, 334th Judicial District",0288,1036,380,1416,2259,62.68%,25,1340,1365
"District Judge, 334th Judicial District",0289,374,397,771,1510,51.06%,302,410,712
"District Judge, 334th Judicial District",0290,577,429,1006,1567,64.20%,749,220,969
"District Judge, 334th Judicial District",0291,541,298,839,1203,69.74%,400,372,772
"District Judge, 334th Judicial District",0292,477,236,713,1272,56.05%,89,595,684
"District Judge, 334th Judicial District",0293,620,557,1177,1733,67.92%,539,549,1088
"District Judge, 334th Judicial District",0294,989,298,1287,2107,61.08%,10,1227,1237
"District Judge, 334th Judicial District",0295,314,189,503,862,58.35%,6,484,490
"District Judge, 334th Judicial District",0296,602,432,1034,1693,61.08%,582,348,930
"District Judge, 334th Judicial District",0297,576,445,1021,1978,51.62%,366,580,946
"District Judge, 334th Judicial District",0298,847,475,1322,2083,63.47%,718,507,1225
"District Judge, 334th Judicial District",0299,328,213,541,1231,43.95%,169,335,504
"District Judge, 334th Judicial District",0300,3013,922,3935,5040,78.08%,2967,725,3692
"District Judge, 334th Judicial District",0301,450,655,1105,2397,46.10%,395,648,1043
"District Judge, 334th Judicial District",0302,713,635,1348,2724,49.49%,706,551,1257
"District Judge, 334th Judicial District",0303,1772,755,2527,3172,79.67%,2013,354,2367
"District Judge, 334th Judicial District",0304,970,648,1618,2266,71.40%,921,546,1467
"District Judge, 334th Judicial District",0305,1319,858,2177,3621,60.12%,792,1283,2075
"District Judge, 334th Judicial District",0306,1013,323,1336,1847,72.33%,982,264,1246
"District Judge, 334th Judicial District",0307,1242,876,2118,2931,72.26%,1441,552,1993
"District Judge, 334th Judicial District",0308,444,238,682,1266,53.87%,180,460,640
"District Judge, 334th Judicial District",0309,1385,612,1997,2529,78.96%,1587,288,1875
"District Judge, 334th Judicial District",0310,517,348,965,1437,67.15%,626,264,890
"District Judge, 334th Judicial District",0311,862,699,1561,2997,52.09%,681,715,1396
"District Judge, 334th Judicial District",0312,1600,718,2318,3669,63.18%,1267,904,2171
"District Judge, 334th Judicial District",0313,22,1,23,60,38.33%,11,9,20
"District Judge, 334th Judicial District",0314,2494,1221,3715,5225,71.10%,2220,1336,3556
"District Judge, 334th Judicial District",0315,711,479,1190,1618,73.55%,710,382,1092
"District Judge, 334th Judicial District",0316,682,411,1093,1522,71.81%,613,381,994
"District Judge, 334th Judicial District",0317,551,336,887,1469,60.38%,256,585,841
"District Judge, 334th Judicial District",0318,1708,611,2319,3531,65.68%,97,2132,2229
"District Judge, 334th Judicial District",0319,965,290,1255,2081,60.31%,75,1127,1202
"District Judge, 334th Judicial District",0320,464,300,764,1505,50.76%,327,386,713
"District Judge, 334th Judicial District",0321,442,305,748,2029,36.87%,246,460,706
"District Judge, 334th Judicial District",0322,397,237,634,1322,47.96%,162,449,611
"District Judge, 334th Judicial District",0323,482,332,814,1719,47.35%,329,420,749
"District Judge, 334th Judicial District",0324,967,718,1685,2339,72.04%,1070,468,1538
"District Judge, 334th Judicial District",0325,656,397,1053,2251,46.78%,223,773,996
"District Judge, 334th Judicial District",0326,202,128,330,678,48.67%,124,171,295
"District Judge, 334th Judicial District",0327,725,244,970,1751,55.40%,14,925,939
"District Judge, 334th Judicial District",0328,344,270,614,1361,45.11%,221,361,582
"District Judge, 334th Judicial District",0329,405,307,712,1367,52.08%,218,445,663
"District Judge, 334th Judicial District",0330,590,376,966,1849,52.24%,429,466,895
"District Judge, 334th Judicial District",0331,0,1,1,0,0.00%,1,0,1
"District Judge, 334th Judicial District",0332,23,4,27,128,21.09%,9,16,25
"District Judge, 334th Judicial District",0333,1018,939,1957,2901,67.46%,1368,472,1840
"District Judge, 334th Judicial District",0334,255,114,369,755,48.87%,71,284,355
"District Judge, 334th Judicial District",0335,285,246,531,1227,43.28%,156,316,472
"District Judge, 334th Judicial District",0336,1818,588,2406,3161,76.12%,206,2112,2318
"District Judge, 334th Judicial District",0337,309,207,516,951,54.26%,81,420,501
"District Judge, 334th Judicial District",0338,1540,824,2364,4673,50.59%,649,1567,2216
"District Judge, 334th Judicial District",0339,369,373,742,1716,43.24%,151,523,674
"District Judge, 334th Judicial District",0340,1778,833,2611,3717,70.24%,1884,555,2439
"District Judge, 334th Judicial District",0341,246,316,562,1248,45.03%,142,388,530
"District Judge, 334th Judicial District",0342,2029,1113,3142,5718,54.95%,428,2608,3036
"District Judge, 334th Judicial District",0343,436,483,919,1904,48.27%,216,611,827
"District Judge, 334th Judicial District",0344,395,245,640,1207,53.02%,18,594,612
"District Judge, 334th Judicial District",0345,428,357,785,1708,45.96%,162,578,740
"District Judge, 334th Judicial District",0346,1,2,3,1,300.00%,3,0,3
"District Judge, 334th Judicial District",0347,1250,614,1864,3299,56.50%,1139,631,1770
"District Judge, 334th Judicial District",0348,751,280,1031,1740,59.25%,723,255,978
