Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0027,821,895,1518,3005,50.45%,714,391,1105
"City of Houston, Proposition No. 1",0030,798,588,1388,2034,88.14%,789,239,1008
"City of Houston, Proposition No. 1",0031,911,528,1437,2518,57.07%,814,333,947
"City of Houston, Proposition No. 1",0032,798,558,1352,2171,82.28%,838,208,1044
"City of Houston, Proposition No. 1",0033,1479,843,2322,3540,85.59%,1518,375,1893
"City of Houston, Proposition No. 1",0034,1012,749,1781,2878,85.81%,1192,244,1438
"City of Houston, Proposition No. 1",0035,3,0,3,10,30.00%,1,1,2
"City of Houston, Proposition No. 1",0038,993,479,1472,2888,51.32%,843,379,1022
"City of Houston, Proposition No. 1",0037,801,479,1280,1885,87.90%,853,211,1084
"City of Houston, Proposition No. 1",0038,1241,873,1914,2703,70.81%,1244,329,1573
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0039,1063,723,1786,2726,65.52%,1216,262,1478
"City of Houston, Proposition No. 1",0040,239,135,374,524,71.37%,243,56,299
"City of Houston, Proposition No. 1",0042,505,139,644,1121,57.45%,233,137,370
"City of Houston, Proposition No. 1",0043,520,372,892,1644,54.26%,430,235,665
"City of Houston, Proposition No. 1",0044,492,314,806,1976,40.79%,390,181,571
"City of Houston, Proposition No. 1",0045,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0046,538,433,971,2468,39.34%,504,204,708
"City of Houston, Proposition No. 1",0047,535,345,880,1624,54.19%,422,162,584
"City of Houston, Proposition No. 1",0048,371,193,564,992,56.85%,254,111,365
"City of Houston, Proposition No. 1",0049,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0050,13,0,13,32,40.63%,5,1,6
"City of Houston, Proposition No. 1",0052,970,620,1590,2299,69.16%,992,291,1283
"City of Houston, Proposition No. 1",0053,1102,884,1986,2808,70.73%,1251,362,1613
"City of Houston, Proposition No. 1",0054,606,402,1008,1408,71.59%,631,194,825
"City of Houston, Proposition No. 1",0055,441,394,835,1305,63.98%,483,169,652
"City of Houston, Proposition No. 1",0056,548,307,855,1285,66.54%,459,239,698
"City of Houston, Proposition No. 1",0057,1273,956,2229,3062,72.80%,1448,447,1895
"City of Houston, Proposition No. 1",0058,881,747,1628,2521,64.58%,986,299,1285
"City of Houston, Proposition No. 1",0059,914,751,1665,2283,72.93%,1044,296,1340
"City of Houston, Proposition No. 1",0060,839,664,1503,2263,66.42%,1000,218,1218
"City of Houston, Proposition No. 1",0061,411,519,930,2189,42.49%,370,264,634
"City of Houston, Proposition No. 1",0062,419,528,947,2190,43.24%,380,249,629
"City of Houston, Proposition No. 1",0064,410,420,830,2090,39.71%,336,214,550
"City of Houston, Proposition No. 1",0065,404,532,936,2178,42.98%,423,209,632
"City of Houston, Proposition No. 1",0066,172,279,451,1090,41.38%,175,112,287
"City of Houston, Proposition No. 1",0067,664,574,1238,2742,45.15%,558,303,861
"City of Houston, Proposition No. 1",0068,1198,486,1684,2782,60.53%,639,401,1040
"City of Houston, Proposition No. 1",0069,218,284,502,1303,38.53%,175,146,321
"City of Houston, Proposition No. 1",0070,1633,726,2359,3142,75.08%,1428,469,1897
"City of Houston, Proposition No. 1",0071,1419,948,2367,3662,64.64%,1381,470,1851
"City of Houston, Proposition No. 1",0072,441,562,1003,1882,53.29%,458,285,743
"City of Houston, Proposition No. 1",0073,499,496,995,1494,66.60%,561,280,841
"City of Houston, Proposition No. 1",0074,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0075,481,370,851,1329,64.03%,490,198,688
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0076,731,480,1211,2009,60.28%,510,380,890
"City of Houston, Proposition No. 1",0077,168,81,249,565,44.07%,105,53,158
"City of Houston, Proposition No. 1",0078,359,344,703,1479,47.53%,340,200,540
"City of Houston, Proposition No. 1",0079,511,717,1228,2959,41.50%,490,322,812
"City of Houston, Proposition No. 1",0080,1159,481,1640,2712,60.47%,681,456,1137
"City of Houston, Proposition No. 1",0081,0,3,3,1,300.00%,3,0,3
"City of Houston, Proposition No. 1",0082,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0083,166,124,290,613,47.31%,119,88,207
"City of Houston, Proposition No. 1",0085,730,548,1278,2079,61.47%,563,367,930
"City of Houston, Proposition No. 1",0086,1054,689,1743,2637,66.10%,1039,338,1377
"City of Houston, Proposition No. 1",0092,1105,534,1639,2228,73.56%,933,397,1330
"City of Houston, Proposition No. 1",0094,148,104,252,537,46.93%,104,86,190
"City of Houston, Proposition No. 1",0095,1684,671,2355,3179,74.08%,1353,532,1885
"City of Houston, Proposition No. 1",0096,364,237,601,1241,48.43%,268,150,418
"City of Houston, Proposition No. 1",0097,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0098,874,607,1481,2403,61.63%,522,529,1051
"City of Houston, Proposition No. 1",0101,149,140,289,722,40.03%,121,70,191
"City of Houston, Proposition No. 1",0102,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0104,992,238,1230,1847,66.59%,394,282,676
"City of Houston, Proposition No. 1",0105,462,453,915,2153,42.50%,374,295,669
"City of Houston, Proposition No. 1",0106,0,3,3,4,75.00%,0,2,2
"City of Houston, Proposition No. 1",0107,412,441,853,1905,44.78%,368,212,580
"City of Houston, Proposition No. 1",0108,0,3,3,0,0.00%,0,2,2
"City of Houston, Proposition No. 1",0109,1101,368,1469,2663,55.16%,532,455,987
"City of Houston, Proposition No. 1",0110,24,6,30,46,65.22%,14,7,21
"City of Houston, Proposition No. 1",0111,0,1,1,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0112,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0113,4,588,592,8,7400.00%,267,108,375
"City of Houston, Proposition No. 1",0114,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0115,598,305,903,1764,51.19%,307,232,539
"City of Houston, Proposition No. 1",0117,398,462,860,1878,45.79%,349,278,627
"City of Houston, Proposition No. 1",0118,460,148,608,743,81.83%,338,159,497
"City of Houston, Proposition No. 1",0119,1,0,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0120,1197,632,1829,2986,61.25%,970,468,1438
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0121,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0122,895,349,1244,2199,58.57%,508,281,789
"City of Houston, Proposition No. 1",0123,440,350,790,1358,58.28%,492,131,823
"City of Houston, Proposition No. 1",0124,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0125,3,4,7,5,140.00%,2,1,3
"City of Houston, Proposition No. 1",0128,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0129,2294,1449,3743,5495,88.12%,2054,871,2925
"City of Houston, Proposition No. 1",0130,1201,523,1724,2240,78.98%,879,484,1383
"City of Houston, Proposition No. 1",0131,257,124,381,908,42.05%,140,128,288
"City of Houston, Proposition No. 1",0132,1119,397,1518,2449,81.90%,821,323,944
"City of Houston, Proposition No. 1",0133,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0134,419,392,811,1444,58.18%,351,288,837
"City of Houston, Proposition No. 1",0135,1424,834,2058,2750,74.84%,1238,424,1882
"City of Houston, Proposition No. 1",0138,981,451,1432,2111,87.84%,739,319,1058
"City of Houston, Proposition No. 1",0137,305,193,498,740,87.30%,327,77,404
"City of Houston, Proposition No. 1",0138,881,259,920,1749,52.80%,348,177,523
"City of Houston, Proposition No. 1",0139,1290,747,2037,2748,74.18%,1288,344,1810
"City of Houston, Proposition No. 1",0140,1311,883,1994,3104,84.24%,1142,404,1548
"City of Houston, Proposition No. 1",0141,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0142,212,171,383,870,44.02%,153,113,288
"City of Houston, Proposition No. 1",0143,0,1,1,4,25.00%,1,0,1
"City of Houston, Proposition No. 1",0144,478,204,880,1143,59.49%,243,139,382
"City of Houston, Proposition No. 1",0145,883,245,908,1580,57.47%,339,184,523
"City of Houston, Proposition No. 1",0148,759,814,1373,1953,70.30%,824,303,1127
"City of Houston, Proposition No. 1",0147,1255,485,1740,2813,81.88%,779,459,1238
"City of Houston, Proposition No. 1",0148,908,924,1832,2487,74.28%,1245,299,1544
"City of Houston, Proposition No. 1",0149,1,0,1,1,100.00%,1,0,1
"City of Houston, Proposition No. 1",0150,539,207,748,1212,81.55%,257,174,431
"City of Houston, Proposition No. 1",0151,318,148,484,848,54.85%,181,99,280
"City of Houston, Proposition No. 1",0152,482,801,1083,2895,40.19%,447,327,774
"City of Houston, Proposition No. 1",0153,328,437,785,1755,43.59%,303,244,547
"City of Houston, Proposition No. 1",0154,593,380,953,2133,44.88%,418,288,882
"City of Houston, Proposition No. 1",0155,0,388,388,0,0.00%,185,54,239
"City of Houston, Proposition No. 1",0158,1427,457,1884,3134,80.11%,815,487,1302
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0157,881,382,1263,2311,54.65%,491,316,807
"City of Houston, Proposition No. 1",0158,1304,435,1739,3016,57.66%,702,415,1117
"City of Houston, Proposition No. 1",0159,313,187,500,976,51.23%,256,82,338
"City of Houston, Proposition No. 1",0160,245,140,386,688,56.10%,149,80,229
"City of Houston, Proposition No. 1",0161,395,190,585,1030,56.80%,254,110,364
"City of Houston, Proposition No. 1",0162,232,262,494,1249,39.55%,191,115,306
"City of Houston, Proposition No. 1",0163,0,2,2,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0164,505,304,809,1434,56.42%,320,153,473
"City of Houston, Proposition No. 1",0165,918,557,1475,2284,64.58%,753,447,1200
"City of Houston, Proposition No. 1",0166,281,311,592,1016,58.27%,330,144,474
"City of Houston, Proposition No. 1",0167,5,2,7,23,30.43%,4,2,6
"City of Houston, Proposition No. 1",0168,188,126,314,519,60.50%,98,71,169
"City of Houston, Proposition No. 1",0169,1059,433,1492,2531,58.95%,611,362,973
"City of Houston, Proposition No. 1",0171,514,294,808,1613,50.09%,307,153,460
"City of Houston, Proposition No. 1",0172,151,147,308,600,51.33%,139,102,241
"City of Houston, Proposition No. 1",0173,0,2,2,0,0.00%,1,1,2
"City of Houston, Proposition No. 1",0174,0,3,3,0,0.00%,2,0,2
"City of Houston, Proposition No. 1",0175,1064,867,1931,2506,77.06%,1274,346,1620
"City of Houston, Proposition No. 1",0176,626,530,1156,1581,73.12%,714,230,944
"City of Houston, Proposition No. 1",0177,672,385,1057,1478,71.52%,648,190,838
"City of Houston, Proposition No. 1",0178,913,358,1281,1718,74.56%,751,312,1063
"City of Houston, Proposition No. 1",0179,449,321,770,1508,51.06%,363,217,580
"City of Houston, Proposition No. 1",0180,966,552,1518,2795,54.31%,590,385,975
"City of Houston, Proposition No. 1",0181,416,514,930,1968,47.26%,368,274,642
"City of Houston, Proposition No. 1",0182,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0184,214,256,470,969,48.50%,191,113,304
"City of Houston, Proposition No. 1",0185,592,494,1086,1910,56.86%,430,315,745
"City of Houston, Proposition No. 1",0186,204,170,374,795,47.04%,121,80,201
"City of Houston, Proposition No. 1",0187,48,65,113,309,36.57%,39,40,79
"City of Houston, Proposition No. 1",0189,492,473,965,1453,66.41%,549,231,780
"City of Houston, Proposition No. 1",0192,746,332,1078,2045,52.71%,424,245,669
"City of Houston, Proposition No. 1",0193,341,269,610,1050,58.10%,256,135,391
"City of Houston, Proposition No. 1",0194,704,504,1208,1735,69.63%,759,209,968
"City of Houston, Proposition No. 1",0195,539,419,958,1721,55.67%,400,222,622
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0196,121,55,176,323,54.49%,62,61,123
"City of Houston, Proposition No. 1",0197,1109,497,1606,2895,55.47%,596,389,985
"City of Houston, Proposition No. 1",0198,143,158,301,657,45.81%,112,52,164
"City of Houston, Proposition No. 1",0199,1407,773,2180,3159,69.01%,936,767,1703
"City of Houston, Proposition No. 1",0200,1638,585,2223,3222,68.99%,1461,368,1829
"City of Houston, Proposition No. 1",0201,229,125,354,728,48.63%,144,88,232
"City of Houston, Proposition No. 1",0202,488,332,820,1479,55.44%,369,140,509
"City of Houston, Proposition No. 1",0203,266,156,422,900,46.89%,174,113,287
"City of Houston, Proposition No. 1",0204,1489,914,2403,3462,69.41%,1321,639,1960
"City of Houston, Proposition No. 1",0205,855,201,1057,1667,63.41%,361,247,608
"City of Houston, Proposition No. 1",0206,651,659,1310,2662,49.21%,696,334,1030
"City of Houston, Proposition No. 1",0207,409,310,719,1144,62.85%,381,193,574
"City of Houston, Proposition No. 1",0208,6,40,46,0,0.00%,13,4,17
"City of Houston, Proposition No. 1",0209,0,4,4,0,0.00%,2,1,3
"City of Houston, Proposition No. 1",0210,1013,542,1555,2300,67.61%,839,300,1139
"City of Houston, Proposition No. 1",0211,710,686,1396,2797,49.91%,552,414,966
"City of Houston, Proposition No. 1",0212,218,314,532,1266,42.02%,214,127,341
"City of Houston, Proposition No. 1",0215,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0216,784,320,1104,1917,57.59%,480,270,750
"City of Houston, Proposition No. 1",0217,1396,651,2047,2637,77.63%,1274,413,1687
"City of Houston, Proposition No. 1",0218,690,508,1298,2274,57.08%,675,334,1009
"City of Houston, Proposition No. 1",0219,1117,587,1704,2654,64.20%,779,369,1148
"City of Houston, Proposition No. 1",0220,0,5,5,0,0.00%,2,3,5
"City of Houston, Proposition No. 1",0221,699,611,1310,2489,52.63%,560,407,967
"City of Houston, Proposition No. 1",0222,1000,792,1792,2384,75.17%,1231,290,1521
"City of Houston, Proposition No. 1",0223,1350,760,2110,3528,59.81%,1281,374,1655
"City of Houston, Proposition No. 1",0224,894,649,1543,2259,68.30%,948,300,1248
"City of Houston, Proposition No. 1",0225,0,1,1,0,0.00%,0,1,1
"City of Houston, Proposition No. 1",0226,529,545,1074,2393,44.88%,433,306,739
"City of Houston, Proposition No. 1",0227,947,451,1398,1767,79.12%,831,309,1140
"City of Houston, Proposition No. 1",0228,583,165,748,1073,69.71%,446,165,611
"City of Houston, Proposition No. 1",0229,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0230,421,153,574,1096,52.37%,196,114,310
"City of Houston, Proposition No. 1",0231,552,471,1033,2219,46.55%,453,300,753
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0232,685,546,1231,1696,72.58%,802,233,1035
"City of Houston, Proposition No. 1",0233,1826,1063,2889,4132,69.92%,1763,532,2295
"City of Houston, Proposition No. 1",0234,2088,885,2973,3854,77.14%,1665,658,2323
"City of Houston, Proposition No. 1",0235,466,242,708,1305,54.25%,329,173,502
"City of Houston, Proposition No. 1",0236,779,342,1121,2144,52.29%,418,274,692
"City of Houston, Proposition No. 1",0237,793,441,1234,2181,56.58%,447,311,758
"City of Houston, Proposition No. 1",0238,640,422,1062,1901,55.87%,420,203,623
"City of Houston, Proposition No. 1",0239,765,357,1122,1997,56.18%,439,257,696
"City of Houston, Proposition No. 1",0240,1157,402,1559,2688,58.00%,608,398,1006
"City of Houston, Proposition No. 1",0241,0,3,3,0,0.00%,2,0,2
"City of Houston, Proposition No. 1",0243,254,50,304,452,67.26%,123,69,192
"City of Houston, Proposition No. 1",0244,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0245,0,0,0,1,0.00%,0,0,0
"City of Houston, Proposition No. 1",0246,7,5,12,9,133.33%,5,3,8
"City of Houston, Proposition No. 1",0247,421,403,824,1607,51.28%,334,213,547
"City of Houston, Proposition No. 1",0252,1111,356,1467,2350,62.43%,446,309,755
"City of Houston, Proposition No. 1",0253,923,325,1248,2252,55.42%,397,260,657
"City of Houston, Proposition No. 1",0254,71,74,145,378,38.36%,48,50,98
"City of Houston, Proposition No. 1",0255,995,797,1792,2411,74.33%,1033,431,1464
"City of Houston, Proposition No. 1",0256,1059,766,1825,3226,56.57%,858,507,1365
"City of Houston, Proposition No. 1",0257,553,571,1124,2403,46.77%,488,271,759
"City of Houston, Proposition No. 1",0258,1577,888,2465,3286,75.02%,1342,589,1931
"City of Houston, Proposition No. 1",0259,1210,460,1670,2408,69.35%,659,484,1143
"City of Houston, Proposition No. 1",0260,0,5,5,1,500.00%,4,1,5
"City of Houston, Proposition No. 1",0261,176,133,309,749,41.26%,131,103,234
"City of Houston, Proposition No. 1",0262,1470,906,2376,4232,56.14%,1145,663,1808
"City of Houston, Proposition No. 1",0263,1,8,9,1,900.00%,6,2,8
"City of Houston, Proposition No. 1",0264,936,639,1575,2939,53.59%,732,469,1201
"City of Houston, Proposition No. 1",0265,1934,666,2600,3617,71.88%,1422,581,2003
"City of Houston, Proposition No. 1",0266,552,542,1094,2119,51.63%,455,327,782
"City of Houston, Proposition No. 1",0269,1143,444,1587,1981,80.11%,876,374,1250
"City of Houston, Proposition No. 1",0270,1401,870,2271,3517,64.57%,1180,660,1840
"City of Houston, Proposition No. 1",0271,1303,371,1674,2469,67.80%,717,427,1144
"City of Houston, Proposition No. 1",0272,610,484,1094,2112,51.80%,576,240,816
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0274,1008,355,1363,1997,68.25%,757,315,1072
"City of Houston, Proposition No. 1",0275,567,410,977,1730,56.47%,470,234,704
"City of Houston, Proposition No. 1",0276,1139,404,1543,2532,60.94%,582,413,995
"City of Houston, Proposition No. 1",0280,303,360,663,1515,43.76%,275,182,457
"City of Houston, Proposition No. 1",0281,1087,903,1990,2610,76.25%,1291,357,1648
"City of Houston, Proposition No. 1",0282,690,591,1281,1988,64.44%,694,326,1020
"City of Houston, Proposition No. 1",0283,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0284,1135,595,1730,3262,53.03%,822,438,1260
"City of Houston, Proposition No. 1",0285,988,509,1497,2505,59.76%,606,386,992
"City of Houston, Proposition No. 1",0286,2657,1053,3710,5719,64.87%,1701,1007,2708
"City of Houston, Proposition No. 1",0287,647,542,1189,1616,73.58%,667,303,970
"City of Houston, Proposition No. 1",0288,1036,380,1416,2259,62.68%,589,347,936
"City of Houston, Proposition No. 1",0289,374,397,771,1510,51.06%,295,246,541
"City of Houston, Proposition No. 1",0291,541,298,839,1203,69.74%,495,190,685
"City of Houston, Proposition No. 1",0292,477,236,713,1272,56.05%,285,186,471
"City of Houston, Proposition No. 1",0293,620,557,1177,1733,67.92%,661,253,914
"City of Houston, Proposition No. 1",0294,989,298,1287,2107,61.08%,543,309,852
"City of Houston, Proposition No. 1",0295,314,189,503,862,58.35%,183,120,303
"City of Houston, Proposition No. 1",0296,602,432,1034,1693,61.08%,505,278,783
"City of Houston, Proposition No. 1",0297,576,445,1021,1978,51.62%,465,235,700
"City of Houston, Proposition No. 1",0298,847,475,1322,2083,63.47%,707,327,1034
"City of Houston, Proposition No. 1",0299,328,213,541,1231,43.95%,232,139,371
"City of Houston, Proposition No. 1",0300,0,2,2,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0303,1772,755,2527,3172,79.67%,1351,594,1945
"City of Houston, Proposition No. 1",0304,970,648,1618,2266,71.40%,928,386,1314
"City of Houston, Proposition No. 1",0306,1013,323,1336,1847,72.33%,758,321,1079
"City of Houston, Proposition No. 1",0308,444,238,682,1266,53.87%,301,179,480
"City of Houston, Proposition No. 1",0309,1385,612,1997,2529,78.96%,1144,481,1625
"City of Houston, Proposition No. 1",0310,617,348,965,1437,67.15%,430,295,725
"City of Houston, Proposition No. 1",0311,862,699,1561,2997,52.09%,704,380,1084
"City of Houston, Proposition No. 1",0312,1559,711,2270,3588,63.27%,1239,490,1729
"City of Houston, Proposition No. 1",0313,22,1,23,60,38.33%,8,9,17
"City of Houston, Proposition No. 1",0314,0,2,2,0,0.00%,2,0,2
"City of Houston, Proposition No. 1",0315,711,479,1190,1618,73.55%,692,271,963
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0318,882,411,1093,1522,71.81%,849,239,888
"City of Houston, Proposition No. 1",0317,551,338,887,1489,80.38%,488,188,872
"City of Houston, Proposition No. 1",0318,1708,811,2319,3531,85.88%,1107,577,1884
"City of Houston, Proposition No. 1",0319,985,290,1255,2081,80.31%,587,328,893
"City of Houston, Proposition No. 1",0320,19,20,39,82,47.58%,21,5,28
"City of Houston, Proposition No. 1",0321,222,148,388,889,42.35%,152,128,278
"City of Houston, Proposition No. 1",0322,397,237,834,1322,47.98%,290,158,448
"City of Houston, Proposition No. 1",0323,482,332,814,1719,47.35%,384,258,840
"City of Houston, Proposition No. 1",0324,987,718,1885,2339,72.04%,927,488,1415
"City of Houston, Proposition No. 1",0325,858,397,1053,2251,48.78%,440,287,727
"City of Houston, Proposition No. 1",0328,202,128,330,878,48.87%,131,101,232
"City of Houston, Proposition No. 1",0327,728,244,970,1751,55.40%,325,273,598
"City of Houston, Proposition No. 1",0328,344,270,814,1381,45.11%,253,185,418
"City of Houston, Proposition No. 1",0329,405,307,712,1387,52.08%,288,212,500
"City of Houston, Proposition No. 1",0330,590,378,988,1849,52.24%,492,233,725
"City of Houston, Proposition No. 1",0331,0,1,1,0,0.00%,1,0,1
"City of Houston, Proposition No. 1",0332,23,4,27,128,21.09%,11,10,21
"City of Houston, Proposition No. 1",0334,205,91,298,803,49.09%,107,89,178
"City of Houston, Proposition No. 1",0335,285,248,531,1227,43.28%,235,108,343
"City of Houston, Proposition No. 1",0338,1818,588,2408,3181,78.12%,1198,539,1737
"City of Houston, Proposition No. 1",0337,309,208,515,951,54.15%,233,148,379
"City of Houston, Proposition No. 1",0338,1437,788,2203,4392,50.18%,917,505,1422
"City of Houston, Proposition No. 1",0339,389,373,742,1718,43.24%,327,204,531
"City of Houston, Proposition No. 1",0340,1448,748,2194,3182,89.39%,927,809,1738
"City of Houston, Proposition No. 1",0341,248,318,582,1248,45.03%,233,155,388
"City of Houston, Proposition No. 1",0342,298,208,508,1348,37.59%,204,118,320
"City of Houston, Proposition No. 1",0343,438,483,919,1904,48.27%,382,283,825
"City of Houston, Proposition No. 1",0344,395,245,840,1207,53.02%,239,132,371
"City of Houston, Proposition No. 1",0345,428,357,785,1708,45.98%,388,177,585
"City of Houston, Proposition No. 1",0348,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0347,98,59,155,341,45.45%,52,40,92
"City of Houston, Proposition No. 1",0349,1,0,1,3,33.33%,1,0,1
"City of Houston, Proposition No. 1",0350,1112,780,1892,2908,85.11%,1198,289,1485
"City of Houston, Proposition No. 1",0351,250,59,309,412,75.00%,148,97,243
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,Yes,No,Totals
"City of Houston, Proposition No. 1",0353,22,14,36,131,27.48%,14,8,22
"City of Houston, Proposition No. 1",0354,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0355,700,286,986,1384,71.24%,431,239,670
"City of Houston, Proposition No. 1",0356,1382,518,2000,2836,70.52%,1097,492,1589
"City of Houston, Proposition No. 1",0357,1633,709,2342,3371,69.47%,1062,784,1846
"City of Houston, Proposition No. 1",0358,466,292,758,1583,47.88%,289,189,478
"City of Houston, Proposition No. 1",0359,706,482,1188,3008,39.49%,547,273,820
"City of Houston, Proposition No. 1",0360,969,515,1484,2190,67.76%,877,273,1150
"City of Houston, Proposition No. 1",0361,135,691,826,1585,52.11%,591,60,651
"City of Houston, Proposition No. 1",0362,0,5,5,0,0.00%,4,1,5
"City of Houston, Proposition No. 1",0363,58,15,73,100,73.00%,44,9,53
"City of Houston, Proposition No. 1",0364,614,463,1077,1798,59.90%,485,332,817
"City of Houston, Proposition No. 1",0365,734,245,979,1302,75.19%,451,247,698
"City of Houston, Proposition No. 1",0366,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0367,328,212,540,1019,52.99%,283,115,398
"City of Houston, Proposition No. 1",0368,3,0,3,2,150.00%,2,1,3
"City of Houston, Proposition No. 1",0369,107,53,160,490,32.65%,90,29,119
"City of Houston, Proposition No. 1",0370,0,1,2,1,2,0,0.00%,8,4,1,2
"City of Houston, Proposition No. 1",0371,226,69,295,475,62.11%,84,65,149
"City of Houston, Proposition No. 1",0372,498,231,729,1215,60.00%,371,153,524
"City of Houston, Proposition No. 1",0373,51,1e,77,159,48.43%,26,20,46
"City of Houston, Proposition No. 1",0374,139,187,326,748,43.58%,123,101,224
"City of Houston, Proposition No. 1",0375,14,5,19,69,27.54%,3,8,11
"City of Houston, Proposition No. 1",0376,271,110,381,738,51.63%,162,80,242
"City of Houston, Proposition No. 1",0379,800,338,1138,2017,56.42%,484,299,783
"City of Houston, Proposition No. 1",0380,2441,1150,3591,4633,77.51%,1827,797,2624
"City of Houston, Proposition No. 1",0381,0,0,0,0,0.00%,0,0,0
"City of Houston, Proposition No. 1",0382,0,4,4,0,0.00%,1,1,2
