Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0103,1915,1065,2980,4751,62.72%,1563,1282,2845
"Justice, 14th Court of Appeals District, Place 4",0104,992,238,1230,1847,66.59%,30,1161,1191
"Justice, 14th Court of Appeals District, Place 4",0105,462,453,915,2153,42.50%,235,615,850
"Justice, 14th Court of Appeals District, Place 4",0106,49,37,86,284,30.28%,42,39,81
"Justice, 14th Court of Appeals District, Place 4",0107,412,441,853,1905,44.78%,134,680,814
"Justice, 14th Court of Appeals District, Place 4",0108,1194,514,1708,3229,52.90%,891,725,1616
"Justice, 14th Court of Appeals District, Place 4",0109,1160,430,1590,2884,55.13%,30,1515,1545
"Justice, 14th Court of Appeals District, Place 4",0110,1465,589,2054,2853,71.99%,1237,705,1942
"Justice, 14th Court of Appeals District, Place 4",0111,1868,848,2716,3638,74.66%,2001,554,2555
"Justice, 14th Court of Appeals District, Place 4",0112,1262,668,1930,2894,66.69%,1356,481,1837
"Justice, 14th Court of Appeals District, Place 4",0113,1125,590,1715,2537,67.60%,975,648,1623
"Justice, 14th Court of Appeals District, Place 4",0114,1454,546,2000,2650,75.47%,1556,362,1918
"Justice, 14th Court of Appeals District, Place 4",0115,598,305,903,1764,51.19%,105,771,876
"Justice, 14th Court of Appeals District, Place 4",0116,1626,747,2373,3014,78.73%,1826,415,2241
"Justice, 14th Court of Appeals District, Place 4",0117,398,452,860,1878,45.79%,360,453,813
"Justice, 14th Court of Appeals District, Place 4",0118,460,148,608,743,81.83%,488,87,575
"Justice, 14th Court of Appeals District, Place 4",0119,1924,1265,3189,4892,65.19%,2498,579,3077
"Justice, 14th Court of Appeals District, Place 4",0120,1198,632,1830,2986,61.29%,1097,614,1711
"Justice, 14th Court of Appeals District, Place 4",0121,193,244,437,679,64.36%,282,132,414
"Justice, 14th Court of Appeals District, Place 4",0122,895,349,1244,2199,56.57%,36,1154,1190
"Justice, 14th Court of Appeals District, Place 4",0123,440,350,790,1356,58.26%,237,493,730
"Justice, 14th Court of Appeals District, Place 4",0124,3522,1281,4803,5952,80.70%,3771,812,4583
"Justice, 14th Court of Appeals District, Place 4",0125,896,534,1430,2281,62.69%,824,542,1366
"Justice, 14th Court of Appeals District, Place 4",0126,1630,407,2037,2799,72.78%,1732,210,1942
"Justice, 14th Court of Appeals District, Place 4",0127,854,182,1036,1703,60.83%,723,271,994
"Justice, 14th Court of Appeals District, Place 4",0128,936,736,1672,2257,74.08%,1095,414,1509
"Justice, 14th Court of Appeals District, Place 4",0129,2294,1449,3743,5495,68.12%,2341,1174,3515
"Justice, 14th Court of Appeals District, Place 4",0130,1203,523,1726,2240,77.05%,1281,339,1620
"Justice, 14th Court of Appeals District, Place 4",0131,604,374,978,1721,56.83%,228,709,937
"Justice, 14th Court of Appeals District, Place 4",0132,1119,397,1516,2449,61.90%,29,1438,1467
"Justice, 14th Court of Appeals District, Place 4",0133,1088,940,2028,2605,77.85%,1278,571,1849
"Justice, 14th Court of Appeals District, Place 4",0134,420,392,812,1444,56.23%,358,401,759
"Justice, 14th Court of Appeals District, Place 4",0135,1425,634,2059,2750,74.87%,1346,553,1899
"Justice, 14th Court of Appeals District, Place 4",0136,981,451,1432,2111,67.84%,57,1324,1381
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0137,305,193,498,740,67.30%,256,193,449
"Justice, 14th Court of Appeals District, Place 4",0138,661,259,920,1749,52.60%,23,862,885
"Justice, 14th Court of Appeals District, Place 4",0139,1290,747,2037,2746,74.18%,1022,831,1853
"Justice, 14th Court of Appeals District, Place 4",0140,1315,683,1998,3104,64.37%,303,1571,1874
"Justice, 14th Court of Appeals District, Place 4",0141,181,143,324,872,37.16%,193,111,304
"Justice, 14th Court of Appeals District, Place 4",0142,212,171,383,870,44.02%,104,253,357
"Justice, 14th Court of Appeals District, Place 4",0143,2994,660,3654,4598,79.47%,2560,944,3504
"Justice, 14th Court of Appeals District, Place 4",0144,477,204,681,1143,59.58%,6,656,662
"Justice, 14th Court of Appeals District, Place 4",0145,663,245,908,1580,57.47%,16,872,888
"Justice, 14th Court of Appeals District, Place 4",0146,759,614,1373,1953,70.30%,641,628,1269
"Justice, 14th Court of Appeals District, Place 4",0147,1255,485,1740,2813,61.86%,206,1494,1700
"Justice, 14th Court of Appeals District, Place 4",0148,908,924,1832,2467,74.26%,850,829,1679
"Justice, 14th Court of Appeals District, Place 4",0149,2860,1322,4182,6103,68.52%,1868,2135,4003
"Justice, 14th Court of Appeals District, Place 4",0150,539,207,746,1212,61.55%,17,708,725
"Justice, 14th Court of Appeals District, Place 4",0151,316,148,464,846,54.85%,20,417,437
"Justice, 14th Court of Appeals District, Place 4",0152,483,602,1085,2701,40.17%,240,785,1025
"Justice, 14th Court of Appeals District, Place 4",0153,328,437,765,1755,43.59%,196,513,709
"Justice, 14th Court of Appeals District, Place 4",0154,593,360,953,2133,44.68%,213,643,856
"Justice, 14th Court of Appeals District, Place 4",0155,1957,834,2791,4087,68.29%,1899,746,2645
"Justice, 14th Court of Appeals District, Place 4",0156,1427,457,1884,3134,60.11%,52,1742,1794
"Justice, 14th Court of Appeals District, Place 4",0157,881,382,1263,2311,54.65%,44,1180,1224
"Justice, 14th Court of Appeals District, Place 4",0158,1304,435,1739,3016,57.66%,29,1668,1697
"Justice, 14th Court of Appeals District, Place 4",0159,313,187,500,976,51.23%,61,414,475
"Justice, 14th Court of Appeals District, Place 4",0160,246,140,386,688,56.10%,15,356,371
"Justice, 14th Court of Appeals District, Place 4",0161,395,190,585,1030,56.80%,8,559,567
"Justice, 14th Court of Appeals District, Place 4",0162,232,262,494,1249,39.55%,145,304,449
"Justice, 14th Court of Appeals District, Place 4",0163,778,635,1413,3054,46.27%,414,836,1250
"Justice, 14th Court of Appeals District, Place 4",0164,505,304,809,1434,56.42%,12,775,787
"Justice, 14th Court of Appeals District, Place 4",0165,918,557,1475,2284,64.58%,939,449,1388
"Justice, 14th Court of Appeals District, Place 4",0166,281,311,592,1016,58.27%,202,346,548
"Justice, 14th Court of Appeals District, Place 4",0167,5,2,7,23,30.43%,0,7,7
"Justice, 14th Court of Appeals District, Place 4",0168,188,126,314,519,60.50%,7,294,301
"Justice, 14th Court of Appeals District, Place 4",0169,1060,433,1493,2531,58.99%,24,1436,1460
"Justice, 14th Court of Appeals District, Place 4",0170,481,353,834,1887,44.20%,402,370,772
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0171,514,294,808,1613,50.09%,30,745,775
"Justice, 14th Court of Appeals District, Place 4",0172,161,147,308,600,51.33%,102,179,281
"Justice, 14th Court of Appeals District, Place 4",0173,1798,619,2417,3105,77.84%,1850,454,2304
"Justice, 14th Court of Appeals District, Place 4",0174,1554,767,2321,3159,73.47%,1584,566,2150
"Justice, 14th Court of Appeals District, Place 4",0175,1065,867,1932,2506,77.09%,1051,718,1769
"Justice, 14th Court of Appeals District, Place 4",0176,627,530,1157,1581,73.18%,661,391,1052
"Justice, 14th Court of Appeals District, Place 4",0177,672,385,1057,1478,71.52%,651,339,990
"Justice, 14th Court of Appeals District, Place 4",0178,914,368,1282,1718,74.62%,864,308,1172
"Justice, 14th Court of Appeals District, Place 4",0179,449,321,770,1508,51.06%,348,369,717
"Justice, 14th Court of Appeals District, Place 4",0180,966,552,1518,2795,54.31%,34,1416,1450
"Justice, 14th Court of Appeals District, Place 4",0181,416,514,930,1968,47.26%,270,598,868
"Justice, 14th Court of Appeals District, Place 4",0182,1321,1081,2402,3289,73.03%,1507,663,2170
"Justice, 14th Court of Appeals District, Place 4",0183,970,943,1913,2451,78.05%,1303,455,1758
"Justice, 14th Court of Appeals District, Place 4",0184,214,256,470,969,48.50%,134,295,429
"Justice, 14th Court of Appeals District, Place 4",0185,592,494,1086,1910,56.86%,346,668,1014
"Justice, 14th Court of Appeals District, Place 4",0186,204,170,374,795,47.04%,45,303,348
"Justice, 14th Court of Appeals District, Place 4",0187,48,65,113,309,36.57%,26,81,107
"Justice, 14th Court of Appeals District, Place 4",0188,307,378,685,1616,42.39%,241,405,646
"Justice, 14th Court of Appeals District, Place 4",0189,492,473,965,1453,66.41%,511,363,874
"Justice, 14th Court of Appeals District, Place 4",0190,275,401,676,1720,39.30%,233,398,631
"Justice, 14th Court of Appeals District, Place 4",0191,197,313,510,1391,36.66%,176,308,484
"Justice, 14th Court of Appeals District, Place 4",0192,746,332,1078,2045,52.71%,41,1004,1045
"Justice, 14th Court of Appeals District, Place 4",0193,341,269,610,1050,58.10%,13,576,589
"Justice, 14th Court of Appeals District, Place 4",0194,706,504,1210,1735,69.74%,380,744,1124
"Justice, 14th Court of Appeals District, Place 4",0195,539,419,958,1721,55.67%,32,893,925
"Justice, 14th Court of Appeals District, Place 4",0196,121,55,176,323,54.49%,9,161,170
"Justice, 14th Court of Appeals District, Place 4",0197,1109,497,1606,2895,55.47%,34,1521,1555
"Justice, 14th Court of Appeals District, Place 4",0198,143,158,301,657,45.81%,7,282,289
"Justice, 14th Court of Appeals District, Place 4",0199,1407,773,2180,3159,69.01%,1643,428,2071
"Justice, 14th Court of Appeals District, Place 4",0200,1638,585,2223,3222,68.99%,1067,968,2035
"Justice, 14th Court of Appeals District, Place 4",0201,229,125,354,728,48.63%,12,333,345
"Justice, 14th Court of Appeals District, Place 4",0202,488,332,820,1479,55.44%,14,771,785
"Justice, 14th Court of Appeals District, Place 4",0203,266,156,422,900,46.89%,86,313,399
"Justice, 14th Court of Appeals District, Place 4",0204,1491,914,2405,3462,69.47%,1387,839,2226
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0205,856,201,1057,1667,63.41%,20,1006,1026
"Justice, 14th Court of Appeals District, Place 4",0206,651,659,1310,2662,49.21%,407,811,1218
"Justice, 14th Court of Appeals District, Place 4",0207,410,310,720,1144,62.94%,253,397,650
"Justice, 14th Court of Appeals District, Place 4",0208,806,364,1170,2201,53.16%,306,786,1092
"Justice, 14th Court of Appeals District, Place 4",0209,0,4,4,0,0.00%,4,0,4
"Justice, 14th Court of Appeals District, Place 4",0210,1013,542,1555,2300,67.61%,177,1301,1478
"Justice, 14th Court of Appeals District, Place 4",0211,710,686,1396,2797,49.91%,487,799,1286
"Justice, 14th Court of Appeals District, Place 4",0212,218,314,532,1266,42.02%,97,405,502
"Justice, 14th Court of Appeals District, Place 4",0213,1603,939,2542,3308,76.84%,2017,375,2392
"Justice, 14th Court of Appeals District, Place 4",0214,798,544,1342,1795,74.76%,860,358,1218
"Justice, 14th Court of Appeals District, Place 4",0215,844,786,1630,2168,75.18%,1034,471,1505
"Justice, 14th Court of Appeals District, Place 4",0216,784,320,1104,1917,57.59%,77,984,1061
"Justice, 14th Court of Appeals District, Place 4",0217,1396,651,2047,2637,77.63%,1411,481,1892
"Justice, 14th Court of Appeals District, Place 4",0218,690,608,1298,2274,57.08%,399,791,1190
"Justice, 14th Court of Appeals District, Place 4",0219,1117,587,1704,2654,64.20%,146,1468,1614
"Justice, 14th Court of Appeals District, Place 4",0220,711,353,1064,2360,45.08%,731,271,1002
"Justice, 14th Court of Appeals District, Place 4",0221,699,611,1310,2489,52.63%,540,660,1200
"Justice, 14th Court of Appeals District, Place 4",0222,1000,792,1792,2384,75.17%,899,706,1605
"Justice, 14th Court of Appeals District, Place 4",0223,1350,760,2110,3528,59.81%,623,1318,1941
"Justice, 14th Court of Appeals District, Place 4",0224,896,649,1545,2259,68.39%,745,665,1410
"Justice, 14th Court of Appeals District, Place 4",0225,1111,720,1831,3155,58.03%,780,967,1747
"Justice, 14th Court of Appeals District, Place 4",0226,529,545,1074,2393,44.88%,225,759,984
"Justice, 14th Court of Appeals District, Place 4",0227,947,451,1398,1767,79.12%,1086,216,1302
"Justice, 14th Court of Appeals District, Place 4",0228,583,165,748,1073,69.71%,33,695,728
"Justice, 14th Court of Appeals District, Place 4",0229,152,207,359,811,44.27%,103,236,339
"Justice, 14th Court of Appeals District, Place 4",0230,421,153,574,1096,52.37%,14,535,549
"Justice, 14th Court of Appeals District, Place 4",0231,562,471,1033,2219,46.55%,257,718,975
"Justice, 14th Court of Appeals District, Place 4",0232,685,546,1231,1696,72.58%,739,390,1129
"Justice, 14th Court of Appeals District, Place 4",0233,1830,1063,2893,4132,70.01%,1514,1161,2675
"Justice, 14th Court of Appeals District, Place 4",0234,2090,885,2975,3854,77.19%,2295,487,2782
"Justice, 14th Court of Appeals District, Place 4",0235,466,242,708,1305,54.25%,21,665,686
"Justice, 14th Court of Appeals District, Place 4",0236,779,342,1121,2144,52.29%,24,1048,1072
"Justice, 14th Court of Appeals District, Place 4",0237,793,441,1234,2181,56.58%,22,1185,1207
"Justice, 14th Court of Appeals District, Place 4",0238,640,422,1062,1901,55.87%,21,1002,1023
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0239,765,357,1122,1997,56.18%,30,1057,1087
"Justice, 14th Court of Appeals District, Place 4",0240,1157,402,1559,2688,58.00%,21,1489,1510
"Justice, 14th Court of Appeals District, Place 4",0241,494,479,973,2296,42.38%,386,536,922
"Justice, 14th Court of Appeals District, Place 4",0242,363,323,686,1570,43.69%,356,291,647
"Justice, 14th Court of Appeals District, Place 4",0243,254,50,304,452,67.26%,4,292,296
"Justice, 14th Court of Appeals District, Place 4",0244,1100,656,1756,2912,60.30%,914,768,1682
"Justice, 14th Court of Appeals District, Place 4",0245,2340,1115,3455,5240,65.94%,2292,1029,3321
"Justice, 14th Court of Appeals District, Place 4",0246,1584,624,2208,2999,73.62%,1478,625,2103
"Justice, 14th Court of Appeals District, Place 4",0247,421,403,824,1607,51.28%,12,792,804
"Justice, 14th Court of Appeals District, Place 4",0248,408,405,813,2122,38.31%,193,574,767
"Justice, 14th Court of Appeals District, Place 4",0249,1028,481,1509,2676,56.39%,986,445,1431
"Justice, 14th Court of Appeals District, Place 4",0250,306,247,553,951,58.15%,11,532,543
"Justice, 14th Court of Appeals District, Place 4",0251,809,529,1338,2072,64.58%,54,1236,1290
"Justice, 14th Court of Appeals District, Place 4",0252,1111,356,1467,2350,62.43%,22,1404,1426
"Justice, 14th Court of Appeals District, Place 4",0253,923,325,1248,2252,55.42%,15,1211,1226
"Justice, 14th Court of Appeals District, Place 4",0254,220,282,502,1476,34.01%,123,345,468
"Justice, 14th Court of Appeals District, Place 4",0255,995,797,1792,2411,74.33%,858,804,1662
"Justice, 14th Court of Appeals District, Place 4",0256,1059,766,1825,3226,56.57%,721,962,1683
"Justice, 14th Court of Appeals District, Place 4",0257,553,571,1124,2403,46.77%,259,808,1067
"Justice, 14th Court of Appeals District, Place 4",0258,1577,888,2465,3286,75.02%,1807,469,2276
"Justice, 14th Court of Appeals District, Place 4",0259,1210,460,1670,2408,69.35%,31,1605,1636
"Justice, 14th Court of Appeals District, Place 4",0260,420,290,710,1187,59.81%,378,296,674
"Justice, 14th Court of Appeals District, Place 4",0261,176,133,309,749,41.26%,93,199,292
"Justice, 14th Court of Appeals District, Place 4",0262,1470,906,2376,4232,56.14%,1372,830,2202
"Justice, 14th Court of Appeals District, Place 4",0263,1785,719,2504,3319,75.44%,1849,544,2393
"Justice, 14th Court of Appeals District, Place 4",0264,936,639,1575,2939,53.59%,849,605,1454
"Justice, 14th Court of Appeals District, Place 4",0265,1936,674,2610,3617,72.16%,1939,492,2431
"Justice, 14th Court of Appeals District, Place 4",0266,552,542,1094,2119,51.63%,501,531,1032
"Justice, 14th Court of Appeals District, Place 4",0267,294,305,599,1346,44.50%,265,285,550
"Justice, 14th Court of Appeals District, Place 4",0268,931,810,1741,2387,72.94%,1080,501,1581
"Justice, 14th Court of Appeals District, Place 4",0269,1143,444,1587,1981,80.11%,1264,221,1485
"Justice, 14th Court of Appeals District, Place 4",0270,1401,870,2271,3517,64.57%,1278,816,2094
"Justice, 14th Court of Appeals District, Place 4",0271,1303,371,1674,2469,67.80%,17,1606,1623
"Justice, 14th Court of Appeals District, Place 4",0272,610,484,1094,2112,51.80%,411,623,1034
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jeff Brown,DEM Jim Wrotenbery,Totals
"Justice, 14th Court of Appeals District, Place 4",0273,1141,634,1775,2426,73.17%,1434,246,1680
"Justice, 14th Court of Appeals District, Place 4",0274,1049,364,1413,2063,68.49%,955,379,1334
"Justice, 14th Court of Appeals District, Place 4",0275,567,410,977,1730,56.47%,168,769,937
"Justice, 14th Court of Appeals District, Place 4",0276,1139,404,1543,2532,60.94%,16,1487,1503
"Justice, 14th Court of Appeals District, Place 4",0277,342,305,647,1473,43.92%,281,345,626
"Justice, 14th Court of Appeals District, Place 4",0278,756,607,1363,2405,56.67%,719,566,1285
"Justice, 14th Court of Appeals District, Place 4",0279,548,383,931,1899,49.03%,554,323,877
"Justice, 14th Court of Appeals District, Place 4",0280,303,360,663,1515,43.76%,231,389,620
"Justice, 14th Court of Appeals District, Place 4",0281,1087,903,1990,2610,76.25%,1061,703,1764
