Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0066,172,279,451,1090,41.38%,63,349,412
"District Judge, 176th Judicial District",0067,664,574,1238,2742,45.15%,271,859,1130
"District Judge, 176th Judicial District",0068,1198,486,1684,2782,60.53%,28,1592,1620
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0089,218,284,502,1303,38.53%,79,388,447
"District Judge, 176th Judicial District",0070,1833,728,2359,3142,75.08%,1409,781,2170
"District Judge, 176th Judicial District",0071,1419,948,2387,3882,84.84%,1208,979,2187
"District Judge, 176th Judicial District",0072,441,582,1003,1882,53.29%,275,837,912
"District Judge, 176th Judicial District",0073,499,498,995,1494,88.80%,559,351,910
"District Judge, 176th Judicial District",0074,2212,530,2742,3832,75.50%,2082,472,2554
"District Judge, 176th Judicial District",0075,481,370,851,1329,84.03%,337,442,779
"District Judge, 176th Judicial District",0078,814,589,1383,2328,59.41%,735,548,1281
"District Judge, 176th Judicial District",0077,188,81,249,585,44.07%,52,180,232
"District Judge, 176th Judicial District",0078,359,344,703,1479,47.53%,202,422,824
"District Judge, 176th Judicial District",0079,511,717,1228,2959,41.50%,225,892,1117
"District Judge, 176th Judicial District",0080,1159,481,1840,2712,80.47%,340,1207,1547
"District Judge, 176th Judicial District",0081,540,309,849,1839,48.17%,288,518,782
"District Judge, 176th Judicial District",0082,1353,818,2189,3284,88.05%,1592,474,2088
"District Judge, 176th Judicial District",0083,2825,1181,3808,5598,87.99%,1829,1828,3857
"District Judge, 176th Judicial District",0084,444,348,790,1389,58.88%,553,204,757
"District Judge, 176th Judicial District",0085,730,548,1278,2079,81.47%,23,1198,1219
"District Judge, 176th Judicial District",0088,1054,889,1743,2837,88.10%,798,805,1801
"District Judge, 176th Judicial District",0087,1222,881,2083,2749,75.77%,1288,594,1880
"District Judge, 176th Judicial District",0088,235,182,397,878,58.55%,248,132,380
"District Judge, 176th Judicial District",0089,342,454,798,1104,72.10%,438,273,709
"District Judge, 176th Judicial District",0090,1498,958,2458,3571,88.78%,1758,549,2305
"District Judge, 176th Judicial District",0091,488,333,799,1248,84.02%,489,277,788
"District Judge, 176th Judicial District",0092,1105,534,1839,2228,73.58%,1084,434,1518
"District Judge, 176th Judicial District",0093,782,843,1425,3295,43.25%,502,819,1321
"District Judge, 176th Judicial District",0094,148,104,252,537,48.93%,58,180,238
"District Judge, 176th Judicial District",0095,1884,871,2355,3179,74.08%,1578,818,2194
"District Judge, 176th Judicial District",0098,384,237,801,1241,48.43%,80,522,582
"District Judge, 176th Judicial District",0097,2393,784,3157,4588,89.14%,2274,712,2988
"District Judge, 176th Judicial District",0098,874,807,1481,2403,81.83%,1198,213,1411
"District Judge, 176th Judicial District",0099,588,311,879,2040,43.09%,391,449,840
"District Judge, 176th Judicial District",0100,427,324,751,1754,42.82%,332,385,717
"District Judge, 176th Judicial District",0101,203,188,389,941,41.34%,91,288,377
"District Judge, 176th Judicial District",0102,493,288,781,1910,39.84%,195,538,733
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0103,1915,1065,2980,4751,62.72%,1550,1286,2836
"District Judge, 176th Judicial District",0104,992,238,1230,1847,66.59%,22,1174,1196
"District Judge, 176th Judicial District",0105,462,453,915,2153,42.50%,231,616,847
"District Judge, 176th Judicial District",0106,49,37,86,284,30.28%,38,41,79
"District Judge, 176th Judicial District",0107,412,441,853,1905,44.78%,139,679,818
"District Judge, 176th Judicial District",0108,1193,514,1707,3229,52.86%,872,742,1614
"District Judge, 176th Judicial District",0109,1160,430,1590,2884,55.13%,25,1517,1542
"District Judge, 176th Judicial District",0110,1465,589,2054,2853,71.99%,1220,716,1936
"District Judge, 176th Judicial District",0111,1868,848,2716,3638,74.66%,1977,573,2550
"District Judge, 176th Judicial District",0112,1262,668,1930,2894,66.69%,1338,490,1828
"District Judge, 176th Judicial District",0113,1125,590,1715,2537,67.60%,958,661,1619
"District Judge, 176th Judicial District",0114,1454,546,2000,2650,75.47%,1549,369,1918
"District Judge, 176th Judicial District",0115,598,305,903,1764,51.19%,103,769,872
"District Judge, 176th Judicial District",0116,1626,747,2373,3014,78.73%,1781,451,2232
"District Judge, 176th Judicial District",0117,398,462,860,1878,45.79%,353,457,810
"District Judge, 176th Judicial District",0118,460,148,608,743,81.83%,472,102,574
"District Judge, 176th Judicial District",0119,1924,1265,3189,4892,65.19%,2479,587,3066
"District Judge, 176th Judicial District",0120,1197,632,1829,2986,61.25%,1086,619,1705
"District Judge, 176th Judicial District",0121,193,244,437,679,64.36%,285,130,415
"District Judge, 176th Judicial District",0122,895,349,1244,2199,56.57%,36,1155,1191
"District Judge, 176th Judicial District",0123,440,350,790,1356,58.26%,219,508,727
"District Judge, 176th Judicial District",0124,3522,1281,4803,5952,80.70%,3753,819,4572
"District Judge, 176th Judicial District",0125,896,534,1430,2281,62.69%,819,542,1361
"District Judge, 176th Judicial District",0126,1630,407,2037,2799,72.78%,1726,214,1940
"District Judge, 176th Judicial District",0127,854,182,1036,1703,60.83%,710,276,986
"District Judge, 176th Judicial District",0128,936,736,1672,2257,74.08%,1029,456,1485
"District Judge, 176th Judicial District",0129,2294,1449,3743,5495,68.12%,2286,1208,3494
"District Judge, 176th Judicial District",0130,1201,523,1724,2240,76.96%,1241,360,1601
"District Judge, 176th Judicial District",0131,604,374,978,1721,56.83%,230,706,936
"District Judge, 176th Judicial District",0132,1119,397,1516,2449,61.90%,23,1435,1458
"District Judge, 176th Judicial District",0133,1083,940,2023,2605,77.66%,1204,625,1829
"District Judge, 176th Judicial District",0134,419,392,811,1444,56.16%,356,400,756
"District Judge, 176th Judicial District",0135,1424,634,2058,2750,74.84%,1285,598,1883
"District Judge, 176th Judicial District",0136,981,451,1432,2111,67.84%,56,1320,1376
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0137,305,193,498,740,67.30%,251,199,450
"District Judge, 176th Judicial District",0138,661,259,920,1749,52.60%,18,866,884
"District Judge, 176th Judicial District",0139,1290,747,2037,2746,74.18%,970,869,1839
"District Judge, 176th Judicial District",0140,1311,683,1994,3104,64.24%,285,1581,1866
"District Judge, 176th Judicial District",0141,181,143,324,872,37.16%,191,109,300
"District Judge, 176th Judicial District",0142,212,171,383,870,44.02%,94,262,356
"District Judge, 176th Judicial District",0143,2993,660,3653,4598,79.45%,2533,969,3502
"District Judge, 176th Judicial District",0144,476,204,680,1143,59.49%,10,650,660
"District Judge, 176th Judicial District",0145,663,245,908,1580,57.47%,14,874,888
"District Judge, 176th Judicial District",0146,759,614,1373,1953,70.30%,583,678,1261
"District Judge, 176th Judicial District",0147,1255,485,1740,2813,61.86%,206,1487,1693
"District Judge, 176th Judicial District",0148,908,924,1832,2467,74.26%,738,919,1657
"District Judge, 176th Judicial District",0149,2859,1322,4181,6103,68.51%,1842,2148,3990
"District Judge, 176th Judicial District",0150,539,207,746,1212,61.55%,15,712,727
"District Judge, 176th Judicial District",0151,316,148,464,846,54.85%,19,418,437
"District Judge, 176th Judicial District",0152,483,602,1085,2701,40.17%,236,789,1025
"District Judge, 176th Judicial District",0153,328,437,765,1755,43.59%,191,517,708
"District Judge, 176th Judicial District",0154,593,360,953,2133,44.68%,209,640,849
"District Judge, 176th Judicial District",0155,1957,834,2791,4087,68.29%,1870,764,2634
"District Judge, 176th Judicial District",0156,1427,457,1884,3134,60.11%,43,1761,1804
"District Judge, 176th Judicial District",0157,881,382,1263,2311,54.65%,38,1190,1228
"District Judge, 176th Judicial District",0158,1304,435,1739,3016,57.66%,23,1671,1694
"District Judge, 176th Judicial District",0159,313,187,500,976,51.23%,62,415,477
"District Judge, 176th Judicial District",0160,246,140,386,688,56.10%,10,359,369
"District Judge, 176th Judicial District",0161,395,190,585,1030,56.80%,9,556,565
"District Judge, 176th Judicial District",0162,232,262,494,1249,39.55%,137,305,442
"District Judge, 176th Judicial District",0163,778,635,1413,3054,46.27%,398,841,1239
"District Judge, 176th Judicial District",0164,505,304,809,1434,56.42%,10,778,788
"District Judge, 176th Judicial District",0165,918,557,1475,2284,64.58%,916,471,1387
"District Judge, 176th Judicial District",0166,281,311,592,1016,58.27%,188,353,541
"District Judge, 176th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 176th Judicial District",0168,188,126,314,519,60.50%,5,294,299
"District Judge, 176th Judicial District",0169,1059,433,1492,2531,58.95%,21,1432,1453
"District Judge, 176th Judicial District",0170,481,353,834,1887,44.20%,403,366,769
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0171,514,294,808,1613,50.09%,26,747,773
"District Judge, 176th Judicial District",0172,161,147,308,600,51.33%,98,180,278
"District Judge, 176th Judicial District",0173,1798,619,2417,3105,77.84%,1832,460,2292
"District Judge, 176th Judicial District",0174,1554,767,2321,3159,73.47%,1525,623,2148
"District Judge, 176th Judicial District",0175,1064,867,1931,2506,77.06%,964,771,1735
"District Judge, 176th Judicial District",0176,626,530,1156,1581,73.12%,597,438,1035
"District Judge, 176th Judicial District",0177,672,385,1057,1478,71.52%,624,355,979
"District Judge, 176th Judicial District",0178,913,368,1281,1718,74.56%,843,323,1166
"District Judge, 176th Judicial District",0179,449,321,770,1508,51.06%,339,378,717
"District Judge, 176th Judicial District",0180,966,552,1518,2795,54.31%,34,1414,1448
"District Judge, 176th Judicial District",0181,416,514,930,1968,47.26%,253,614,867
"District Judge, 176th Judicial District",0182,1321,1081,2402,3289,73.03%,1408,740,2148
"District Judge, 176th Judicial District",0183,970,943,1913,2451,78.05%,1229,510,1739
"District Judge, 176th Judicial District",0184,214,256,470,969,48.50%,134,298,432
"District Judge, 176th Judicial District",0185,592,494,1086,1910,56.86%,347,668,1015
"District Judge, 176th Judicial District",0186,204,170,374,795,47.04%,41,309,350
"District Judge, 176th Judicial District",0187,48,65,113,309,36.57%,28,80,108
"District Judge, 176th Judicial District",0188,307,378,685,1616,42.39%,245,402,647
"District Judge, 176th Judicial District",0189,492,473,965,1453,66.41%,523,353,876
"District Judge, 176th Judicial District",0190,275,401,676,1720,39.30%,232,400,632
"District Judge, 176th Judicial District",0191,196,313,509,1391,36.59%,171,313,484
"District Judge, 176th Judicial District",0192,746,332,1078,2045,52.71%,38,1002,1040
"District Judge, 176th Judicial District",0193,341,269,610,1050,58.10%,11,576,587
"District Judge, 176th Judicial District",0194,704,504,1208,1735,69.63%,358,762,1120
"District Judge, 176th Judicial District",0195,539,419,958,1721,55.67%,27,896,923
"District Judge, 176th Judicial District",0196,121,55,176,323,54.49%,8,161,169
"District Judge, 176th Judicial District",0197,1109,497,1606,2895,55.47%,32,1526,1558
"District Judge, 176th Judicial District",0198,143,158,301,657,45.81%,6,281,287
"District Judge, 176th Judicial District",0199,1407,773,2180,3159,69.01%,1617,445,2062
"District Judge, 176th Judicial District",0200,1638,585,2223,3222,68.99%,1002,1011,2013
"District Judge, 176th Judicial District",0201,229,125,354,728,48.63%,12,332,344
"District Judge, 176th Judicial District",0202,488,332,820,1479,55.44%,14,768,782
"District Judge, 176th Judicial District",0203,266,156,422,900,46.89%,79,318,397
"District Judge, 176th Judicial District",0204,1489,914,2403,3462,69.41%,1355,870,2225
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0205,856,201,1057,1667,63.41%,21,1005,1026
"District Judge, 176th Judicial District",0206,651,659,1310,2662,49.21%,400,818,1218
"District Judge, 176th Judicial District",0207,409,310,719,1144,62.85%,245,403,648
"District Judge, 176th Judicial District",0208,806,364,1170,2201,53.16%,295,796,1091
"District Judge, 176th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 176th Judicial District",0210,1013,542,1555,2300,67.61%,171,1300,1471
"District Judge, 176th Judicial District",0211,710,686,1396,2797,49.91%,473,811,1284
"District Judge, 176th Judicial District",0212,218,314,532,1266,42.02%,95,408,503
"District Judge, 176th Judicial District",0213,1603,939,2542,3308,76.84%,1909,443,2352
"District Judge, 176th Judicial District",0214,798,544,1342,1795,74.76%,816,405,1221
"District Judge, 176th Judicial District",0215,844,786,1630,2168,75.18%,966,527,1493
"District Judge, 176th Judicial District",0216,784,320,1104,1917,57.59%,75,978,1053
"District Judge, 176th Judicial District",0217,1396,651,2047,2637,77.63%,1308,560,1868
"District Judge, 176th Judicial District",0218,690,608,1298,2274,57.08%,391,795,1186
"District Judge, 176th Judicial District",0219,1117,587,1704,2654,64.20%,132,1482,1614
"District Judge, 176th Judicial District",0220,711,353,1064,2360,45.08%,727,273,1000
"District Judge, 176th Judicial District",0221,699,611,1310,2489,52.63%,535,672,1207
"District Judge, 176th Judicial District",0222,1000,792,1792,2384,75.17%,810,778,1588
"District Judge, 176th Judicial District",0223,1350,760,2110,3528,59.81%,603,1319,1922
"District Judge, 176th Judicial District",0224,894,649,1543,2259,68.30%,708,698,1406
"District Judge, 176th Judicial District",0225,1109,720,1829,3155,57.97%,766,975,1741
"District Judge, 176th Judicial District",0226,529,545,1074,2393,44.88%,217,759,976
"District Judge, 176th Judicial District",0227,947,451,1398,1767,79.12%,1013,267,1280
"District Judge, 176th Judicial District",0228,583,165,748,1073,69.71%,25,696,721
"District Judge, 176th Judicial District",0229,152,207,359,811,44.27%,98,240,338
"District Judge, 176th Judicial District",0230,421,153,574,1096,52.37%,11,537,548
"District Judge, 176th Judicial District",0231,562,471,1033,2219,46.55%,254,718,972
"District Judge, 176th Judicial District",0232,685,546,1231,1696,72.58%,685,427,1112
"District Judge, 176th Judicial District",0233,1826,1063,2889,4132,69.92%,1458,1169,2627
"District Judge, 176th Judicial District",0234,2088,885,2973,3854,77.14%,2179,577,2756
"District Judge, 176th Judicial District",0235,466,242,708,1305,54.25%,20,667,687
"District Judge, 176th Judicial District",0236,779,342,1121,2144,52.29%,26,1045,1071
"District Judge, 176th Judicial District",0237,793,441,1234,2181,56.58%,20,1182,1202
"District Judge, 176th Judicial District",0238,640,422,1062,1901,55.87%,17,1006,1023
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0239,765,357,1122,1997,56.18%,26,1061,1087
"District Judge, 176th Judicial District",0240,1157,402,1559,2688,58.00%,18,1490,1508
"District Judge, 176th Judicial District",0241,494,479,973,2296,42.38%,376,538,914
"District Judge, 176th Judicial District",0242,363,323,686,1570,43.69%,355,296,651
"District Judge, 176th Judicial District",0243,254,50,304,452,67.26%,3,293,296
"District Judge, 176th Judicial District",0244,1100,656,1756,2912,60.30%,909,770,1679
"District Judge, 176th Judicial District",0245,2340,1115,3455,5240,65.94%,2281,1027,3308
"District Judge, 176th Judicial District",0246,1584,624,2208,2999,73.62%,1466,640,2106
"District Judge, 176th Judicial District",0247,421,403,824,1607,51.28%,12,790,802
"District Judge, 176th Judicial District",0248,408,405,813,2122,38.31%,199,568,767
"District Judge, 176th Judicial District",0249,1028,481,1509,2676,56.39%,972,457,1429
"District Judge, 176th Judicial District",0250,306,247,553,951,58.15%,10,535,545
"District Judge, 176th Judicial District",0251,809,529,1338,2072,64.58%,51,1235,1286
"District Judge, 176th Judicial District",0252,1111,356,1467,2350,62.43%,19,1403,1422
"District Judge, 176th Judicial District",0253,923,325,1248,2252,55.42%,15,1210,1225
"District Judge, 176th Judicial District",0254,220,282,502,1476,34.01%,118,345,463
"District Judge, 176th Judicial District",0255,995,797,1792,2411,74.33%,820,834,1654
"District Judge, 176th Judicial District",0256,1059,766,1825,3226,56.57%,699,980,1679
"District Judge, 176th Judicial District",0257,553,571,1124,2403,46.77%,262,807,1069
"District Judge, 176th Judicial District",0258,1577,888,2465,3286,75.02%,1717,529,2246
"District Judge, 176th Judicial District",0259,1,1210,460,1670,2408,69.35%,27,1600,1627
"District Judge, 176th Judicial District",0260,420,290,710,1187,59.81%,372,301,673
"District Judge, 176th Judicial District",0261,176,133,309,749,41.26%,89,200,289
"District Judge, 176th Judicial District",0262,1470,906,2376,4232,56.14%,1350,841,2191
"District Judge, 176th Judicial District",0263,1785,719,2504,3319,75.44%,1840,554,2394
"District Judge, 176th Judicial District",0264,936,639,1575,2939,53.59%,827,623,1450
"District Judge, 176th Judicial District",0265,1936,674,2610,3617,72.16%,1845,551,2396
"District Judge, 176th Judicial District",0266,552,542,1094,2119,51.63%,487,542,1029
"District Judge, 176th Judicial District",0267,294,305,599,1346,44.50%,263,290,553
"District Judge, 176th Judicial District",0268,931,810,1741,2387,72.94%,1020,532,1552
"District Judge, 176th Judicial District",0269,1143,444,1587,1981,80.11%,1209,263,1472
"District Judge, 176th Judicial District",0270,1401,870,2271,3517,64.57%,1252,836,2088
"District Judge, 176th Judicial District",0271,1303,371,1674,2469,67.80%,13,1617,1630
"District Judge, 176th Judicial District",0272,610,484,1094,2112,51.80%,405,624,1029
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0273,1139,634,1773,2426,73.08%,1388,266,1654
"District Judge, 176th Judicial District",0274,1049,364,1413,2063,68.49%,920,413,1333
"District Judge, 176th Judicial District",0275,567,410,977,1730,56.47%,161,773,934
"District Judge, 176th Judicial District",0276,1139,404,1543,2532,60.94%,13,1493,1506
"District Judge, 176th Judicial District",0277,342,305,647,1473,43.92%,276,343,619
"District Judge, 176th Judicial District",0278,756,607,1363,2405,56.67%,686,596,1282
"District Judge, 176th Judicial District",0279,548,383,931,1899,49.03%,551,323,874
"District Judge, 176th Judicial District",0280,303,360,663,1515,43.76%,225,393,618
"District Judge, 176th Judicial District",0281,1087,903,1990,2610,76.25%,945,791,1736
"District Judge, 176th Judicial District",0282,690,591,1281,1988,64.44%,733,472,1205
"District Judge, 176th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 176th Judicial District",0284,1135,595,1730,3262,53.03%,638,996,1634
"District Judge, 176th Judicial District",0285,988,509,1497,2505,59.76%,109,1329,1438
"District Judge, 176th Judicial District",0286,2657,1053,3710,5719,64.87%,322,3224,3546
"District Judge, 176th Judicial District",0287,647,542,1189,1616,73.58%,599,491,1090
"District Judge, 176th Judicial District",0288,1036,380,1416,2259,62.68%,17,1352,1369
"District Judge, 176th Judicial District",0289,374,397,771,1510,51.06%,299,412,711
"District Judge, 176th Judicial District",0290,577,429,1006,1567,64.20%,761,208,969
"District Judge, 176th Judicial District",0291,541,298,839,1203,69.74%,390,387,777
"District Judge, 176th Judicial District",0292,477,236,713,1272,56.05%,90,595,685
"District Judge, 176th Judicial District",0293,620,557,1177,1733,67.92%,529,554,1083
"District Judge, 176th Judicial District",0294,989,298,1287,2107,61.08%,10,1227,1237
"District Judge, 176th Judicial District",0295,314,189,503,862,58.35%,5,483,488
"District Judge, 176th Judicial District",0296,602,432,1034,1693,61.08%,568,359,927
"District Judge, 176th Judicial District",0297,576,445,1021,1978,51.62%,367,576,943
"District Judge, 176th Judicial District",0298,847,475,1322,2083,63.47%,717,507,1224
"District Judge, 176th Judicial District",0299,328,213,541,1231,43.95%,174,330,504
"District Judge, 176th Judicial District",0300,3013,922,3935,5040,78.08%,2978,712,3690
"District Judge, 176th Judicial District",0301,450,655,1105,2397,46.10%,400,642,1042
"District Judge, 176th Judicial District",0302,713,635,1348,2724,49.49%,710,549,1259
"District Judge, 176th Judicial District",0303,1772,755,2527,3172,79.67%,1959,394,2353
"District Judge, 176th Judicial District",0304,970,648,1618,2266,71.40%,888,576,1464
"District Judge, 176th Judicial District",0305,1319,858,2177,3621,60.12%,799,1281,2080
"District Judge, 176th Judicial District",0306,1013,323,1336,1847,72.33%,930,309,1239
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Stacey Bond,DEM Shawna L. Reagin,Totals
"District Judge, 176th Judicial District",0307,1242,876,2118,2931,72.26%,1425,565,1990
"District Judge, 176th Judicial District",0308,444,238,682,1266,53.87%,185,454,639
"District Judge, 176th Judicial District",0309,1385,612,1997,2529,78.96%,1553,315,1868
"District Judge, 176th Judicial District",0310,617,348,965,1437,67.15%,619,274,893
"District Judge, 176th Judicial District",0311,862,699,1561,2997,52.09%,663,724,1387
"District Judge, 176th Judicial District",0312,1600,718,2318,3669,63.18%,1234,935,2169
"District Judge, 176th Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 176th Judicial District",0314,2494,1221,3715,5225,71.10%,2238,1322,3560
"District Judge, 176th Judicial District",0315,711,479,1190,1618,73.55%,690,401,1091
"District Judge, 176th Judicial District",0316,682,411,1093,1522,71.81%,578,417,995
"District Judge, 176th Judicial District",0317,551,336,887,1469,60.38%,260,586,846
"District Judge, 176th Judicial District",0318,1708,611,2319,3531,65.68%,99,2131,2230
"District Judge, 176th Judicial District",0319,965,290,1255,2081,60.31%,74,1125,1199
"District Judge, 176th Judicial District",0320,464,300,764,1505,50.76%,332,380,712
"District Judge, 176th Judicial District",0321,442,306,748,2029,36.87%,248,455,703
"District Judge, 176th Judicial District",0322,397,237,634,1322,47.96%,158,452,610
"District Judge, 176th Judicial District",0323,482,332,814,1719,47.35%,321,425,746
"District Judge, 176th Judicial District",0324,967,718,1685,2339,72.04%,1064,478,1542
"District Judge, 176th Judicial District",0325,656,397,1053,2251,46.78%,232,761,993
"District Judge, 176th Judicial District",0326,202,128,330,678,48.67%,127,167,294
"District Judge, 176th Judicial District",0327,726,244,970,1751,55.40%,15,921,936
"District Judge, 176th Judicial District",0328,344,270,614,1361,45.11%,226,356,582
"District Judge, 176th Judicial District",0329,405,307,712,1367,52.08%,218,444,662
