Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0098,874,607,1481,2403,61.63%,1202,215,1417
"Justice, 1st Court of Appeals District, Place 7",0099,568,311,879,2040,43.09%,385,459,844
"Justice, 1st Court of Appeals District, Place 7",0100,427,324,751,1754,42.82%,322,392,714
"Justice, 1st Court of Appeals District, Place 7",0101,204,186,390,941,41.45%,88,292,380
"Justice, 1st Court of Appeals District, Place 7",0102,493,268,761,1910,39.84%,193,542,735
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0103,1915,1065,2980,4751,62.72%,1538,1311,2849
"Justice, 1st Court of Appeals District, Place 7",0104,992,238,1230,1847,66.59%,22,1173,1195
"Justice, 1st Court of Appeals District, Place 7",0105,462,453,915,2153,42.50%,229,618,847
"Justice, 1st Court of Appeals District, Place 7",0106,49,37,86,284,30.28%,42,40,82
"Justice, 1st Court of Appeals District, Place 7",0107,412,441,853,1905,44.78%,132,685,817
"Justice, 1st Court of Appeals District, Place 7",0108,1194,514,1708,3229,52.90%,883,739,1622
"Justice, 1st Court of Appeals District, Place 7",0109,1160,430,1590,2884,55.13%,23,1519,1542
"Justice, 1st Court of Appeals District, Place 7",0110,1465,589,2054,2853,71.99%,1223,722,1945
"Justice, 1st Court of Appeals District, Place 7",0111,1868,848,2716,3638,74.66%,1992,567,2559
"Justice, 1st Court of Appeals District, Place 7",0112,1262,668,1930,2894,66.69%,1339,504,1843
"Justice, 1st Court of Appeals District, Place 7",0113,1125,590,1715,2537,67.60%,968,660,1628
"Justice, 1st Court of Appeals District, Place 7",0114,1454,546,2000,2650,75.47%,1542,376,1918
"Justice, 1st Court of Appeals District, Place 7",0115,598,305,903,1764,51.19%,101,775,876
"Justice, 1st Court of Appeals District, Place 7",0116,1626,747,2373,3014,78.73%,1798,436,2234
"Justice, 1st Court of Appeals District, Place 7",0117,398,462,860,1878,45.79%,352,462,814
"Justice, 1st Court of Appeals District, Place 7",0118,460,148,608,743,81.83%,482,94,576
"Justice, 1st Court of Appeals District, Place 7",0119,1924,1265,3189,4892,65.19%,2494,586,3080
"Justice, 1st Court of Appeals District, Place 7",0120,1198,632,1830,2986,61.29%,1089,629,1718
"Justice, 1st Court of Appeals District, Place 7",0121,193,244,437,679,64.36%,285,130,415
"Justice, 1st Court of Appeals District, Place 7",0122,895,349,1244,2199,56.57%,38,1150,1188
"Justice, 1st Court of Appeals District, Place 7",0123,440,350,790,1356,58.26%,232,500,732
"Justice, 1st Court of Appeals District, Place 7",0124,3522,1281,4803,5952,80.70%,3762,823,4585
"Justice, 1st Court of Appeals District, Place 7",0125,896,534,1430,2281,62.69%,811,556,1367
"Justice, 1st Court of Appeals District, Place 7",0126,1630,407,2037,2799,72.78%,1730,214,1944
"Justice, 1st Court of Appeals District, Place 7",0127,854,182,1036,1703,60.83%,717,273,990
"Justice, 1st Court of Appeals District, Place 7",0128,936,736,1672,2257,74.08%,1058,455,1513
"Justice, 1st Court of Appeals District, Place 7",0129,2294,1449,3743,5495,68.12%,2299,1215,3514
"Justice, 1st Court of Appeals District, Place 7",0130,1203,523,1726,2240,77.05%,1262,352,1614
"Justice, 1st Court of Appeals District, Place 7",0131,604,374,978,1721,56.83%,234,701,935
"Justice, 1st Court of Appeals District, Place 7",0132,1119,397,1516,2449,61.90%,26,1437,1463
"Justice, 1st Court of Appeals District, Place 7",0133,1088,940,2028,2605,77.85%,1241,610,1851
"Justice, 1st Court of Appeals District, Place 7",0134,420,392,812,1444,56.23%,350,410,760
"Justice, 1st Court of Appeals District, Place 7",0135,1425,634,2059,2750,74.87%,1346,555,1901
"Justice, 1st Court of Appeals District, Place 7",0136,981,451,1432,2111,67.84%,50,1326,1376
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0137,305,193,498,740,67.30%,255,197,452
"Justice, 1st Court of Appeals District, Place 7",0138,661,259,920,1749,52.60%,18,868,886
"Justice, 1st Court of Appeals District, Place 7",0139,1290,747,2037,2746,74.18%,998,861,1859
"Justice, 1st Court of Appeals District, Place 7",0140,1315,683,1998,3104,64.37%,295,1589,1884
"Justice, 1st Court of Appeals District, Place 7",0141,181,143,324,872,37.16%,195,109,304
"Justice, 1st Court of Appeals District, Place 7",0142,212,171,383,870,44.02%,99,259,358
"Justice, 1st Court of Appeals District, Place 7",0143,2994,660,3654,4598,79.47%,2538,974,3512
"Justice, 1st Court of Appeals District, Place 7",0144,477,204,681,1143,59.58%,9,651,660
"Justice, 1st Court of Appeals District, Place 7",0145,663,245,908,1580,57.47%,15,875,890
"Justice, 1st Court of Appeals District, Place 7",0146,759,614,1373,1953,70.30%,607,668,1275
"Justice, 1st Court of Appeals District, Place 7",0147,1255,485,1740,2813,61.86%,198,1500,1698
"Justice, 1st Court of Appeals District, Place 7",0148,908,924,1832,2467,74.26%,810,862,1672
"Justice, 1st Court of Appeals District, Place 7",0149,2860,1322,4182,6103,68.52%,1836,2172,4008
"Justice, 1st Court of Appeals District, Place 7",0150,539,207,746,1212,61.55%,17,709,726
"Justice, 1st Court of Appeals District, Place 7",0151,316,148,464,846,54.85%,20,417,437
"Justice, 1st Court of Appeals District, Place 7",0152,483,602,1085,2701,40.17%,223,804,1027
"Justice, 1st Court of Appeals District, Place 7",0153,328,437,765,1755,43.59%,184,528,712
"Justice, 1st Court of Appeals District, Place 7",0154,593,360,953,2133,44.68%,197,666,863
"Justice, 1st Court of Appeals District, Place 7",0155,1957,834,2791,4087,68.29%,1876,770,2646
"Justice, 1st Court of Appeals District, Place 7",0156,1427,457,1884,3134,60.11%,50,1756,1806
"Justice, 1st Court of Appeals District, Place 7",0157,881,382,1263,2311,54.65%,41,1184,1225
"Justice, 1st Court of Appeals District, Place 7",0158,1304,435,1739,3016,57.66%,26,1677,1703
"Justice, 1st Court of Appeals District, Place 7",0159,313,187,500,976,51.23%,61,416,477
"Justice, 1st Court of Appeals District, Place 7",0160,246,140,386,688,56.10%,12,359,371
"Justice, 1st Court of Appeals District, Place 7",0161,395,190,585,1030,56.80%,8,559,567
"Justice, 1st Court of Appeals District, Place 7",0162,232,262,494,1249,39.55%,144,301,445
"Justice, 1st Court of Appeals District, Place 7",0163,778,635,1413,3054,46.27%,394,864,1258
"Justice, 1st Court of Appeals District, Place 7",0164,505,304,809,1434,56.42%,10,776,786
"Justice, 1st Court of Appeals District, Place 7",0165,918,557,1475,2284,64.58%,926,465,1391
"Justice, 1st Court of Appeals District, Place 7",0166,281,311,592,1016,58.27%,194,357,551
"Justice, 1st Court of Appeals District, Place 7",0167,5,2,7,23,30.43%,0,7,7
"Justice, 1st Court of Appeals District, Place 7",0168,188,126,314,519,60.50%,7,294,301
"Justice, 1st Court of Appeals District, Place 7",0169,1060,433,1493,2531,58.99%,24,1435,1459
"Justice, 1st Court of Appeals District, Place 7",0170,481,353,834,1887,44.20%,390,383,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0171,514,294,808,1613,50.09%,27,750,777
"Justice, 1st Court of Appeals District, Place 7",0172,161,147,308,600,51.33%,104,177,281
"Justice, 1st Court of Appeals District, Place 7",0173,1798,619,2417,3105,77.84%,1841,463,2304
"Justice, 1st Court of Appeals District, Place 7",0174,1554,767,2321,3159,73.47%,1565,590,2155
"Justice, 1st Court of Appeals District, Place 7",0175,1065,867,1932,2506,77.09%,1015,753,1768
"Justice, 1st Court of Appeals District, Place 7",0176,627,530,1157,1581,73.18%,633,420,1053
"Justice, 1st Court of Appeals District, Place 7",0177,672,385,1057,1478,71.52%,633,361,994
"Justice, 1st Court of Appeals District, Place 7",0178,914,368,1282,1718,74.62%,859,320,1179
"Justice, 1st Court of Appeals District, Place 7",0179,449,321,770,1508,51.06%,343,377,720
"Justice, 1st Court of Appeals District, Place 7",0180,966,552,1518,2795,54.31%,39,1409,1448
"Justice, 1st Court of Appeals District, Place 7",0181,416,514,930,1968,47.26%,265,607,872
"Justice, 1st Court of Appeals District, Place 7",0182,1321,1081,2402,3289,73.03%,1449,721,2170
"Justice, 1st Court of Appeals District, Place 7",0183,970,943,1913,2451,78.05%,1287,477,1764
"Justice, 1st Court of Appeals District, Place 7",0184,214,256,470,969,48.50%,134,301,435
"Justice, 1st Court of Appeals District, Place 7",0185,592,494,1086,1910,56.86%,338,678,1016
"Justice, 1st Court of Appeals District, Place 7",0186,204,170,374,795,47.04%,40,306,346
"Justice, 1st Court of Appeals District, Place 7",0187,48,65,113,309,36.57%,25,83,108
"Justice, 1st Court of Appeals District, Place 7",0188,307,378,685,1616,42.39%,240,414,654
"Justice, 1st Court of Appeals District, Place 7",0189,492,473,965,1453,66.41%,509,365,874
"Justice, 1st Court of Appeals District, Place 7",0190,275,401,676,1720,39.30%,232,400,632
"Justice, 1st Court of Appeals District, Place 7",0191,197,313,510,1391,36.66%,172,313,485
"Justice, 1st Court of Appeals District, Place 7",0192,746,332,1078,2045,52.71%,37,1001,1038
"Justice, 1st Court of Appeals District, Place 7",0193,341,269,610,1050,58.10%,13,578,591
"Justice, 1st Court of Appeals District, Place 7",0194,706,504,1210,1735,69.74%,363,762,1125
"Justice, 1st Court of Appeals District, Place 7",0195,539,419,958,1721,55.67%,35,889,924
"Justice, 1st Court of Appeals District, Place 7",0196,121,55,176,323,54.49%,5,163,168
"Justice, 1st Court of Appeals District, Place 7",0197,1109,497,1606,2895,55.47%,31,1526,1557
"Justice, 1st Court of Appeals District, Place 7",0198,143,158,301,657,45.81%,7,282,289
"Justice, 1st Court of Appeals District, Place 7",0199,1407,773,2180,3159,69.01%,1635,443,2078
"Justice, 1st Court of Appeals District, Place 7",0200,1638,585,2223,3222,68.99%,1042,1001,2043
"Justice, 1st Court of Appeals District, Place 7",0201,229,125,354,728,48.63%,11,332,343
"Justice, 1st Court of Appeals District, Place 7",0202,488,332,820,1479,55.44%,14,771,785
"Justice, 1st Court of Appeals District, Place 7",0203,266,156,422,900,46.89%,82,315,397
"Justice, 1st Court of Appeals District, Place 7",0204,1491,914,2405,3462,69.47%,1368,872,2240
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0205,856,201,1057,1667,63.41%,20,1007,1027
"Justice, 1st Court of Appeals District, Place 7",0206,651,659,1310,2662,49.21%,393,830,1223
"Justice, 1st Court of Appeals District, Place 7",0207,410,310,720,1144,62.94%,252,409,661
"Justice, 1st Court of Appeals District, Place 7",0208,806,364,1170,2201,53.16%,301,797,1098
"Justice, 1st Court of Appeals District, Place 7",0209,0,4,4,0,0.00%,4,0,4
"Justice, 1st Court of Appeals District, Place 7",0210,1013,542,1555,2300,67.61%,167,1312,1479
"Justice, 1st Court of Appeals District, Place 7",0211,710,686,1396,2797,49.91%,472,824,1296
"Justice, 1st Court of Appeals District, Place 7",0212,218,314,532,1266,42.02%,93,408,501
"Justice, 1st Court of Appeals District, Place 7",0213,1603,939,2542,3308,76.84%,1955,442,2397
"Justice, 1st Court of Appeals District, Place 7",0214,798,544,1342,1795,74.76%,829,397,1226
"Justice, 1st Court of Appeals District, Place 7",0215,844,786,1630,2168,75.18%,1012,504,1516
"Justice, 1st Court of Appeals District, Place 7",0216,784,320,1104,1917,57.59%,70,990,1060
"Justice, 1st Court of Appeals District, Place 7",0217,1396,651,2047,2637,77.63%,1373,524,1897
"Justice, 1st Court of Appeals District, Place 7",0218,690,608,1298,2274,57.08%,387,809,1196
"Justice, 1st Court of Appeals District, Place 7",0219,1117,587,1704,2654,64.20%,142,1474,1616
"Justice, 1st Court of Appeals District, Place 7",0220,711,353,1064,2360,45.08%,721,282,1003
"Justice, 1st Court of Appeals District, Place 7",0221,699,611,1310,2489,52.63%,535,669,1204
"Justice, 1st Court of Appeals District, Place 7",0222,1000,792,1792,2384,75.17%,882,730,1612
"Justice, 1st Court of Appeals District, Place 7",0223,1350,760,2110,3528,59.81%,607,1337,1944
"Justice, 1st Court of Appeals District, Place 7",0224,896,649,1545,2259,68.39%,742,673,1415
"Justice, 1st Court of Appeals District, Place 7",0225,1111,720,1831,3155,58.03%,768,980,1748
"Justice, 1st Court of Appeals District, Place 7",0226,529,545,1074,2393,44.88%,206,780,986
"Justice, 1st Court of Appeals District, Place 7",0227,947,451,1398,1767,79.12%,1080,224,1304
"Justice, 1st Court of Appeals District, Place 7",0228,583,165,748,1073,69.71%,34,697,731
"Justice, 1st Court of Appeals District, Place 7",0229,152,207,359,811,44.27%,99,241,340
"Justice, 1st Court of Appeals District, Place 7",0230,421,153,574,1096,52.37%,12,537,549
"Justice, 1st Court of Appeals District, Place 7",0231,562,471,1033,2219,46.55%,240,736,976
"Justice, 1st Court of Appeals District, Place 7",0232,685,546,1231,1696,72.58%,717,414,1131
"Justice, 1st Court of Appeals District, Place 7",0233,1830,1063,2893,4132,70.01%,1486,1189,2675
"Justice, 1st Court of Appeals District, Place 7",0234,2090,885,2975,3854,77.19%,2273,508,2781
"Justice, 1st Court of Appeals District, Place 7",0235,466,242,708,1305,54.25%,21,667,688
"Justice, 1st Court of Appeals District, Place 7",0236,779,342,1121,2144,52.29%,22,1052,1074
"Justice, 1st Court of Appeals District, Place 7",0237,793,441,1234,2181,56.58%,19,1187,1206
"Justice, 1st Court of Appeals District, Place 7",0238,640,422,1062,1901,55.87%,18,1006,1024
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0239,765,357,1122,1997,56.18%,28,1060,1088
"Justice, 1st Court of Appeals District, Place 7",0240,1157,402,1559,2688,58.00%,17,1491,1508
"Justice, 1st Court of Appeals District, Place 7",0241,494,479,973,2296,42.38%,381,539,920
"Justice, 1st Court of Appeals District, Place 7",0242,363,323,686,1570,43.69%,349,303,652
"Justice, 1st Court of Appeals District, Place 7",0243,254,50,304,452,67.26%,5,291,296
"Justice, 1st Court of Appeals District, Place 7",0244,1100,656,1756,2912,60.30%,903,777,1680
"Justice, 1st Court of Appeals District, Place 7",0245,2340,1115,3455,5240,65.94%,2279,1044,3323
"Justice, 1st Court of Appeals District, Place 7",0246,1584,624,2208,2999,73.62%,1456,651,2107
"Justice, 1st Court of Appeals District, Place 7",0247,421,403,824,1607,51.28%,14,787,801
"Justice, 1st Court of Appeals District, Place 7",0248,408,405,813,2122,38.31%,186,579,765
"Justice, 1st Court of Appeals District, Place 7",0249,1028,481,1509,2676,56.39%,990,444,1434
"Justice, 1st Court of Appeals District, Place 7",0250,306,247,553,951,58.15%,10,532,542
"Justice, 1st Court of Appeals District, Place 7",0251,809,529,1338,2072,64.58%,52,1237,1289
"Justice, 1st Court of Appeals District, Place 7",0252,1111,356,1467,2350,62.43%,23,1399,1422
"Justice, 1st Court of Appeals District, Place 7",0253,923,325,1248,2252,55.42%,17,1212,1229
"Justice, 1st Court of Appeals District, Place 7",0254,220,282,502,1476,34.01%,122,343,465
"Justice, 1st Court of Appeals District, Place 7",0255,995,797,1792,2411,74.33%,841,827,1668
"Justice, 1st Court of Appeals District, Place 7",0256,1059,766,1825,3226,56.57%,710,969,1679
"Justice, 1st Court of Appeals District, Place 7",0257,553,571,1124,2403,46.77%,256,817,1073
"Justice, 1st Court of Appeals District, Place 7",0258,1577,888,2465,3286,75.02%,1780,502,2282
"Justice, 1st Court of Appeals District, Place 7",0259,1210,460,1670,2408,69.35%,27,1605,1632
"Justice, 1st Court of Appeals District, Place 7",0260,420,290,710,1187,59.81%,377,300,677
"Justice, 1st Court of Appeals District, Place 7",0261,176,133,309,749,41.26%,94,198,292
"Justice, 1st Court of Appeals District, Place 7",0262,1470,906,2376,4232,56.14%,1356,843,2199
"Justice, 1st Court of Appeals District, Place 7",0263,1785,719,2504,3319,75.44%,1837,558,2395
"Justice, 1st Court of Appeals District, Place 7",0264,936,639,1575,2939,53.59%,833,616,1449
"Justice, 1st Court of Appeals District, Place 7",0265,1936,674,2610,3617,72.16%,1908,522,2430
"Justice, 1st Court of Appeals District, Place 7",0266,552,542,1094,2119,51.63%,498,534,1032
"Justice, 1st Court of Appeals District, Place 7",0267,294,305,599,1346,44.50%,265,289,554
"Justice, 1st Court of Appeals District, Place 7",0268,931,810,1741,2387,72.94%,1052,535,1587
"Justice, 1st Court of Appeals District, Place 7",0269,1143,444,1587,1981,80.11%,1237,248,1485
"Justice, 1st Court of Appeals District, Place 7",0270,1401,870,2271,3517,64.57%,1264,840,2104
"Justice, 1st Court of Appeals District, Place 7",0271,1303,371,1674,2469,67.80%,15,1615,1630
"Justice, 1st Court of Appeals District, Place 7",0272,610,484,1094,2112,51.80%,400,636,1036
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Terry Jennings,DEM Natalia Cokinos Oakes,Totals
"Justice, 1st Court of Appeals District, Place 7",0273,1141,634,1775,2426,73.17%,1423,253,1676
"Justice, 1st Court of Appeals District, Place 7",0274,1049,364,1413,2063,68.49%,936,398,1334
"Justice, 1st Court of Appeals District, Place 7",0275,567,410,977,1730,56.47%,164,771,935
"Justice, 1st Court of Appeals District, Place 7",0276,1139,404,1543,2532,60.94%,14,1493,1507
"Justice, 1st Court of Appeals District, Place 7",0277,342,305,647,1473,43.92%,273,353,626
"Justice, 1st Court of Appeals District, Place 7",0278,756,607,1363,2405,56.67%,699,583,1282
"Justice, 1st Court of Appeals District, Place 7",0279,548,383,931,1899,49.03%,552,328,880
"Justice, 1st Court of Appeals District, Place 7",0280,303,360,663,1515,43.76%,216,403,619
"Justice, 1st Court of Appeals District, Place 7",0281,1087,903,1990,2610,76.25%,1012,748,1760
