Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Barbara Parker Hervey,LIB Mark W. Bennett,Totals
"Judge, Court of Criminal Appeals, Place 7",0061,437,528,965,2250,42.89%,329,164,493
"Judge, Court of Criminal Appeals, Place 7",0062,420,528,948,2190,43.29%,282,198,480
"Judge, Court of Criminal Appeals, Place 7",0063,675,400,1075,1784,60.26%,863,76,939
"Judge, Court of Criminal Appeals, Place 7",0064,410,420,830,2090,39.71%,238,179,417
"Judge, Court of Criminal Appeals, Place 7",0065,404,532,936,2178,42.98%,263,180,443
"Judge, Court of Criminal Appeals, Place 7",0066,172,279,451,1090,41.38%,94,91,185
"Judge, Court of Criminal Appeals, Place 7",0067,666,574,1240,2742,45.22%,373,279,652
"Judge, Court of Criminal Appeals, Place 7",0068,1199,486,1685,2782,60.57%,80,345,425
"Judge, Court of Criminal Appeals, Place 7",0069,218,284,502,1303,38.53%,124,110,234
"Judge, Court of Criminal Appeals, Place 7",0070,1640,726,2366,3142,75.30%,1542,420,1962
"Judge, Court of Criminal Appeals, Place 7",0071,1430,948,2378,3662,64.94%,1295,576,1871
"Judge, Court of Criminal Appeals, Place 7",0072,442,562,1004,1882,53.35%,374,219,593
"Judge, Court of Criminal Appeals, Place 7",0073,500,496,996,1494,66.67%,611,177,788
"Judge, Court of Criminal Appeals, Place 7",0074,2217,530,2747,3632,75.63%,2163,233,2396
"Judge, Court of Criminal Appeals, Place 7",0075,487,370,857,1329,64.48%,403,216,619
"Judge, Court of Criminal Appeals, Place 7",0076,814,559,1383,2328,59.41%,839,217,1056
"Judge, Court of Criminal Appeals, Place 7",0077,169,81,250,565,44.25%,73,55,128
"Judge, Court of Criminal Appeals, Place 7",0078,360,344,704,1479,47.60%,277,138,415
"Judge, Court of Criminal Appeals, Place 7",0079,511,717,1228,2959,41.50%,355,247,602
"Judge, Court of Criminal Appeals, Place 7",0080,1159,481,1640,2712,60.47%,451,303,754
"Judge, Court of Criminal Appeals, Place 7",0081,540,309,849,1839,46.17%,324,138,462
"Judge, Court of Criminal Appeals, Place 7",0082,1353,816,2169,3284,66.05%,1632,219,1851
"Judge, Court of Criminal Appeals, Place 7",0083,2532,1181,3813,5598,68.11%,1961,661,2622
"Judge, Court of Criminal Appeals, Place 7",0084,445,346,791,1389,56.95%,563,91,654
"Judge, Court of Criminal Appeals, Place 7",0085,734,548,1282,2079,61.66%,125,337,462
"Judge, Court of Criminal Appeals, Place 7",0086,1055,689,1744,2637,66.14%,889,399,1288
"Judge, Court of Criminal Appeals, Place 7",0087,1224,861,2085,2749,75.85%,1456,250,1706
"Judge, Court of Criminal Appeals, Place 7",0088,235,162,397,678,58.55%,258,43,301
"Judge, Court of Criminal Appeals, Place 7",0089,344,454,798,1104,72.28%,505,136,641
"Judge, Court of Criminal Appeals, Place 7",0090,1499,958,2457,3571,68.80%,1808,305,2113
"Judge, Court of Criminal Appeals, Place 7",0091,466,333,799,1248,64.02%,506,138,644
"Judge, Court of Criminal Appeals, Place 7",0092,1105,534,1639,2228,73.56%,1165,182,1347
"Judge, Court of Criminal Appeals, Place 7",0093,782,643,1425,3295,43.25%,612,221,833
"Judge, Court of Criminal Appeals, Place 7",0094,148,104,252,537,46.93%,77,57,134
"Judge, Court of Criminal Appeals, Place 7",0095,1585,571,2357,3179,74.14%,1688,304,1992
"Judge, Court of Criminal Appeals, Place 7",0096,365,237,602,1241,48.51%,99,194,293
"Judge, Court of Criminal Appeals, Place 7",0097,2395,764,3159,4566,69.19%,2332,313,2645
"Judge, Court of Criminal Appeals, Place 7",0098,875,607,1482,2403,61.67%,1208,116,1324
"Judge, Court of Criminal Appeals, Place 7",0099,568,311,879,2040,43.09%,424,121,545
"Judge, Court of Criminal Appeals, Place 7",0100,427,324,751,1754,42.82%,360,127,487
"Judge, Court of Criminal Appeals, Place 7",0101,204,186,390,941,41.45%,114,77,191
"Judge, Court of Criminal Appeals, Place 7",0102,493,268,761,1910,39.84%,234,114,348
"Judge, Court of Criminal Appeals, Place 7",0103,1915,1065,2980,4751,62.72%,1654,422,2076
"Judge, Court of Criminal Appeals, Place 7",0104,993,238,1231,1847,66.65%,59,198,257
"Judge, Court of Criminal Appeals, Place 7",0105,462,453,915,2153,42.50%,329,191,520
"Judge, Court of Criminal Appeals, Place 7",0106,49,37,86,284,30.28%,45,15,60
"Judge, Court of Criminal Appeals, Place 7",0107,412,441,853,1905,44.78%,192,147,339
"Judge, Court of Criminal Appeals, Place 7",0108,1194,514,1708,3229,52.90%,949,256,1205
"Judge, Court of Criminal Appeals, Place 7",0109,1161,430,1591,2884,55.17%,87,320,407
"Judge, Court of Criminal Appeals, Place 7",0110,1465,589,2054,2853,71.99%,1312,326,1638
"Judge, Court of Criminal Appeals, Place 7",0111,1869,848,2717,3638,74.68%,2051,280,2331
"Judge, Court of Criminal Appeals, Place 7",0112,1262,668,1930,2894,66.69%,1396,258,1654
"Judge, Court of Criminal Appeals, Place 7",0113,1125,590,1715,2537,67.60%,1060,239,1299
"Judge, Court of Criminal Appeals, Place 7",0114,1457,546,2003,2650,75.58%,1564,180,1744
"Judge, Court of Criminal Appeals, Place 7",0115,598,305,903,1764,51.19%,130,179,309
"Judge, Court of Criminal Appeals, Place 7",0116,1628,747,2375,3014,78.80%,1884,208,2092
"Judge, Court of Criminal Appeals, Place 7",0117,398,462,860,1878,45.79%,415,161,576
"Judge, Court of Criminal Appeals, Place 7",0118,460,148,608,743,81.83%,501,46,547
"Judge, Court of Criminal Appeals, Place 7",0119,1924,1265,3189,4892,65.19%,2535,260,2795
"Judge, Court of Criminal Appeals, Place 7",0120,1200,632,1832,2986,61.35%,1180,279,1459
"Judge, Court of Criminal Appeals, Place 7",0121,193,244,437,679,64.36%,297,40,337
"Judge, Court of Criminal Appeals, Place 7",0122,895,349,1244,2199,56.57%,102,230,332
"Judge, Court of Criminal Appeals, Place 7",0123,441,350,791,1356,58.33%,280,254,534
"Judge, Court of Criminal Appeals, Place 7",0124,3523,1281,4804,5952,80.71%,3850,403,4253
"Judge, Court of Criminal Appeals, Place 7",0125,897,534,1431,2281,62.74%,879,222,1101
"Judge, Court of Criminal Appeals, Place 7",0126,1630,407,2037,2799,72.78%,1739,110,1849
"Judge, Court of Criminal Appeals, Place 7",0127,854,182,1036,1703,60.83%,737,84,821
"Judge, Court of Criminal Appeals, Place 7",0128,936,736,1672,2257,74.08%,1156,206,1362
"Judge, Court of Criminal Appeals, Place 7",0129,2296,1449,3745,5495,68.15%,2438,607,3045
"Judge, Court of Criminal Appeals, Place 7",0130,1204,523,1727,2240,77.10%,1321,167,1488
"Judge, Court of Criminal Appeals, Place 7",0131,607,374,981,1721,57.00%,283,254,537
"Judge, Court of Criminal Appeals, Place 7",0132,1121,397,1518,2449,61.98%,79,292,371
"Judge, Court of Criminal Appeals, Place 7",0133,1088,940,2028,2605,77.85%,1306,317,1623
"Judge, Court of Criminal Appeals, Place 7",0134,420,392,812,1444,56.23%,401,175,576
"Judge, Court of Criminal Appeals, Place 7",0135,1431,634,2065,2750,75.09%,1408,313,1721
"Judge, Court of Criminal Appeals, Place 7",0136,985,451,1436,2111,68.02%,137,416,553
"Judge, Court of Criminal Appeals, Place 7",0137,305,193,498,740,67.30%,288,104,392
"Judge, Court of Criminal Appeals, Place 7",0138,661,259,920,1749,52.60%,53,134,187
"Judge, Court of Criminal Appeals, Place 7",0139,1297,747,2044,2746,74.44%,1117,421,1538
"Judge, Court of Criminal Appeals, Place 7",0140,1317,683,2000,3104,64.43%,412,585,997
"Judge, Court of Criminal Appeals, Place 7",0141,181,143,324,872,37.16%,199,42,241
"Judge, Court of Criminal Appeals, Place 7",0142,212,171,383,870,44.02%,136,84,220
"Judge, Court of Criminal Appeals, Place 7",0143,2999,660,3659,4598,79.58%,2653,420,3073
"Judge, Court of Criminal Appeals, Place 7",0144,477,204,681,1143,59.58%,32,126,158
"Judge, Court of Criminal Appeals, Place 7",0145,663,245,908,1580,57.47%,42,143,185
"Judge, Court of Criminal Appeals, Place 7",0146,759,614,1373,1953,70.30%,671,335,1006
"Judge, Court of Criminal Appeals, Place 7",0147,1256,485,1741,2813,61.89%,290,398,688
"Judge, Court of Criminal Appeals, Place 7",0148,911,924,1835,2467,74.38%,928,406,1334
"Judge, Court of Criminal Appeals, Place 7",0149,2866,1322,4188,6103,68.62%,2067,790,2857
"Judge, Court of Criminal Appeals, Place 7",0150,539,207,746,1212,61.55%,47,150,197
"Judge, Court of Criminal Appeals, Place 7",0151,316,148,464,846,54.85%,43,81,124
"Judge, Court of Criminal Appeals, Place 7",0152,483,602,1085,2701,40.17%,339,221,560
"Judge, Court of Criminal Appeals, Place 7",0153,328,437,765,1755,43.59%,271,148,419
"Judge, Court of Criminal Appeals, Place 7",0154,593,360,953,2133,44.68%,314,192,506
"Judge, Court of Criminal Appeals, Place 7",0155,1957,834,2791,4087,68.29%,1995,288,2283
"Judge, Court of Criminal Appeals, Place 7",0156,1428,457,1885,3134,60.15%,145,423,568
"Judge, Court of Criminal Appeals, Place 7",0157,881,382,1263,2311,54.65%,97,226,323
"Judge, Court of Criminal Appeals, Place 7",0158,1304,435,1739,3016,57.66%,93,376,469
"Judge, Court of Criminal Appeals, Place 7",0159,313,187,500,976,51.23%,84,112,196
"Judge, Court of Criminal Appeals, Place 7",0160,246,140,386,688,56.10%,29,70,99
"Judge, Court of Criminal Appeals, Place 7",0161,395,190,585,1030,56.80%,23,110,133
"Judge, Court of Criminal Appeals, Place 7",0162,232,262,494,1249,39.55%,178,95,273
"Judge, Court of Criminal Appeals, Place 7",0163,778,635,1413,3054,46.27%,534,186,720
"Judge, Court of Criminal Appeals, Place 7",0164,505,304,809,1434,56.42%,41,127,168
"Judge, Court of Criminal Appeals, Place 7",0165,919,557,1476,2284,64.62%,967,227,1194
"Judge, Court of Criminal Appeals, Place 7",0166,281,311,592,1016,58.27%,255,183,438
"Judge, Court of Criminal Appeals, Place 7",0167,5,2,7,23,30.43%,1,3,4
"Judge, Court of Criminal Appeals, Place 7",0168,189,126,315,519,60.69%,19,38,57
"Judge, Court of Criminal Appeals, Place 7",0169,1060,433,1493,2531,58.99%,76,249,325
"Judge, Court of Criminal Appeals, Place 7",0170,481,353,834,1887,44.20%,434,130,564
"Judge, Court of Criminal Appeals, Place 7",0171,514,294,808,1613,50.09%,48,141,189
"Judge, Court of Criminal Appeals, Place 7",0172,161,147,308,600,51.33%,114,74,188
"Judge, Court of Criminal Appeals, Place 7",0173,1799,619,2418,3105,77.87%,1869,223,2092
"Judge, Court of Criminal Appeals, Place 7",0174,1554,767,2321,3159,73.47%,1639,268,1907
"Judge, Court of Criminal Appeals, Place 7",0175,1066,867,1933,2506,77.13%,1132,351,1483
"Judge, Court of Criminal Appeals, Place 7",0176,627,530,1157,1581,73.18%,695,184,879
"Judge, Court of Criminal Appeals, Place 7",0177,676,385,1061,1478,71.79%,678,198,876
"Judge, Court of Criminal Appeals, Place 7",0178,914,368,1282,1718,74.62%,903,168,1071
"Judge, Court of Criminal Appeals, Place 7",0179,449,321,770,1508,51.06%,368,170,538
"Judge, Court of Criminal Appeals, Place 7",0180,966,552,1518,2795,54.31%,100,292,392
"Judge, Court of Criminal Appeals, Place 7",0181,418,514,932,1968,47.36%,362,183,545
"Judge, Court of Criminal Appeals, Place 7",0182,1326,1081,2407,3289,73.18%,1581,348,1929
"Judge, Court of Criminal Appeals, Place 7",0183,973,943,1916,2451,78.17%,1394,222,1616
"Judge, Court of Criminal Appeals, Place 7",0184,214,256,470,969,48.50%,165,87,252
"Judge, Court of Criminal Appeals, Place 7",0185,593,494,1087,1910,56.91%,414,177,591
"Judge, Court of Criminal Appeals, Place 7",0186,204,170,374,795,47.04%,58,57,115
"Judge, Court of Criminal Appeals, Place 7",0187,48,65,113,309,36.57%,39,22,61
"Judge, Court of Criminal Appeals, Place 7",0188,307,378,685,1616,42.39%,280,113,393
"Judge, Court of Criminal Appeals, Place 7",0189,493,473,966,1453,66.48%,542,210,752
"Judge, Court of Criminal Appeals, Place 7",0190,275,401,676,1720,39.30%,280,119,399
"Judge, Court of Criminal Appeals, Place 7",0191,197,313,510,1391,36.66%,197,90,287
"Judge, Court of Criminal Appeals, Place 7",0192,746,332,1078,2045,52.71%,83,197,280
"Judge, Court of Criminal Appeals, Place 7",0193,341,269,610,1050,58.10%,33,150,183
"Judge, Court of Criminal Appeals, Place 7",0194,709,504,1213,1735,69.91%,438,350,788
"Judge, Court of Criminal Appeals, Place 7",0195,539,419,958,1721,55.67%,61,172,233
"Judge, Court of Criminal Appeals, Place 7",0196,121,55,176,323,54.49%,18,42,60
"Judge, Court of Criminal Appeals, Place 7",0197,1109,497,1606,2895,55.47%,76,313,389
"Judge, Court of Criminal Appeals, Place 7",0198,143,158,301,657,45.81%,15,34,49
"Judge, Court of Criminal Appeals, Place 7",0199,1408,773,2181,3159,69.04%,1666,219,1885
"Judge, Court of Criminal Appeals, Place 7",0200,1643,585,2228,3222,69.15%,1147,524,1671
"Judge, Court of Criminal Appeals, Place 7",0201,229,125,354,728,48.63%,22,62,84
"Judge, Court of Criminal Appeals, Place 7",0202,488,332,820,1479,55.44%,39,143,182
"Judge, Court of Criminal Appeals, Place 7",0203,266,156,422,900,46.89%,111,85,196
"Judge, Court of Criminal Appeals, Place 7",0204,1496,914,2410,3462,69.61%,1478,451,1929
"Judge, Court of Criminal Appeals, Place 7",0205,856,201,1057,1667,63.41%,56,183,239
"Judge, Court of Criminal Appeals, Place 7",0206,652,659,1311,2662,49.25%,505,384,889
"Judge, Court of Criminal Appeals, Place 7",0207,410,310,720,1144,62.94%,315,171,486
"Judge, Court of Criminal Appeals, Place 7",0208,808,364,1172,2201,53.25%,372,197,569
"Judge, Court of Criminal Appeals, Place 7",0209,0,4,4,0,0.00%,4,0,4
"Judge, Court of Criminal Appeals, Place 7",0210,1018,542,1560,2300,67.83%,251,445,696
"Judge, Court of Criminal Appeals, Place 7",0211,710,686,1396,2797,49.91%,603,271,874
"Judge, Court of Criminal Appeals, Place 7",0212,219,314,533,1266,42.10%,148,101,249
"Judge, Court of Criminal Appeals, Place 7",0213,1603,939,2542,3308,76.84%,2070,184,2254
"Judge, Court of Criminal Appeals, Place 7",0214,800,544,1344,1795,74.87%,885,209,1094
"Judge, Court of Criminal Appeals, Place 7",0215,845,786,1631,2168,75.23%,1071,250,1321
"Judge, Court of Criminal Appeals, Place 7",0216,784,320,1104,1917,57.59%,138,241,379
"Judge, Court of Criminal Appeals, Place 7",0217,1399,651,2050,2637,77.74%,1462,243,1705
"Judge, Court of Criminal Appeals, Place 7",0218,690,608,1298,2274,57.08%,521,326,847
"Judge, Court of Criminal Appeals, Place 7",0219,1119,587,1706,2654,64.28%,194,397,591
"Judge, Court of Criminal Appeals, Place 7",0220,711,353,1064,2360,45.08%,743,126,869
"Judge, Court of Criminal Appeals, Place 7",0221,700,611,1311,2489,52.67%,635,242,877
"Judge, Court of Criminal Appeals, Place 7",0222,1001,792,1793,2384,75.21%,982,340,1322
"Judge, Court of Criminal Appeals, Place 7",0223,1361,760,2121,3528,60.12%,760,689,1449
"Judge, Court of Criminal Appeals, Place 7",0224,898,649,1547,2259,68.48%,816,329,1145
"Judge, Court of Criminal Appeals, Place 7",0225,1113,720,1833,3155,58.10%,854,377,1231
"Judge, Court of Criminal Appeals, Place 7",0226,529,545,1074,2393,44.88%,337,233,570
"Judge, Court of Criminal Appeals, Place 7",0227,949,451,1400,1767,79.23%,1094,124,1218
"Judge, Court of Criminal Appeals, Place 7",0228,584,165,749,1073,69.80%,75,220,295
"Judge, Court of Criminal Appeals, Place 7",0229,152,207,359,811,44.27%,132,62,194
"Judge, Court of Criminal Appeals, Place 7",0230,421,153,574,1096,52.37%,25,98,123
"Judge, Court of Criminal Appeals, Place 7",0231,563,471,1034,2219,46.60%,350,233,583
"Judge, Court of Criminal Appeals, Place 7",0232,686,546,1232,1696,72.64%,788,183,971
"Judge, Court of Criminal Appeals, Place 7",0233,1835,1063,2898,4132,70.14%,1615,650,2265
"Judge, Court of Criminal Appeals, Place 7",0234,2093,885,2978,3854,77.27%,2367,209,2576
"Judge, Court of Criminal Appeals, Place 7",0235,466,242,708,1305,54.25%,56,134,190
"Judge, Court of Criminal Appeals, Place 7",0236,779,342,1121,2144,52.29%,67,175,242
"Judge, Court of Criminal Appeals, Place 7",0237,793,441,1234,2181,56.58%,57,214,271
"Judge, Court of Criminal Appeals, Place 7",0238,641,422,1063,1901,55.92%,62,208,270
"Judge, Court of Criminal Appeals, Place 7",0239,765,357,1122,1997,56.18%,86,228,314
"Judge, Court of Criminal Appeals, Place 7",0240,1158,402,1560,2688,58.04%,73,334,407
"Judge, Court of Criminal Appeals, Place 7",0241,494,479,973,2296,42.38%,445,135,580
"Judge, Court of Criminal Appeals, Place 7",0242,363,323,686,1570,43.69%,386,83,469
"Judge, Court of Criminal Appeals, Place 7",0243,254,50,304,452,67.26%,17,64,81
"Judge, Court of Criminal Appeals, Place 7",0244,1102,656,1758,2912,60.37%,1008,292,1300
"Judge, Court of Criminal Appeals, Place 7",0245,2344,1115,3459,5240,66.01%,2356,431,2787
"Judge, Court of Criminal Appeals, Place 7",0246,1584,624,2208,2999,73.62%,1543,244,1787
"Judge, Court of Criminal Appeals, Place 7",0247,422,403,825,1607,51.34%,39,161,200
"Judge, Court of Criminal Appeals, Place 7",0248,408,405,813,2122,38.31%,239,137,376
"Judge, Court of Criminal Appeals, Place 7",0249,1031,481,1512,2676,56.50%,1024,175,1199
"Judge, Court of Criminal Appeals, Place 7",0250,306,247,553,951,58.15%,30,94,124
"Judge, Court of Criminal Appeals, Place 7",0251,809,529,1338,2072,64.58%,102,232,334
"Judge, Court of Criminal Appeals, Place 7",0252,1111,356,1467,2350,62.43%,60,209,269
"Judge, Court of Criminal Appeals, Place 7",0253,923,325,1248,2252,55.42%,57,203,260
"Judge, Court of Criminal Appeals, Place 7",0254,220,282,502,1476,34.01%,161,83,244
"Judge, Court of Criminal Appeals, Place 7",0255,996,797,1793,2411,74.37%,949,392,1341
"Judge, Court of Criminal Appeals, Place 7",0256,1060,766,1826,3226,56.60%,864,361,1225
"Judge, Court of Criminal Appeals, Place 7",0257,554,571,1125,2403,46.82%,334,216,550
"Judge, Court of Criminal Appeals, Place 7",0258,1578,888,2466,3286,75.05%,1857,240,2097
"Judge, Court of Criminal Appeals, Place 7",0259,1210,460,1670,2408,69.35%,90,281,371
"Judge, Court of Criminal Appeals, Place 7",0260,420,290,710,1187,59.81%,411,106,517
"Judge, Court of Criminal Appeals, Place 7",0261,176,133,309,749,41.26%,117,60,177
"Judge, Court of Criminal Appeals, Place 7",0262,1472,906,2378,4232,56.19%,1431,413,1844
"Judge, Court of Criminal Appeals, Place 7",0263,1787,719,2506,3319,75.50%,1878,242,2120
"Judge, Court of Criminal Appeals, Place 7",0264,938,639,1577,2939,53.66%,913,247,1160
"Judge, Court of Criminal Appeals, Place 7",0265,1937,674,2611,3617,72.19%,1986,214,2200
"Judge, Court of Criminal Appeals, Place 7",0266,552,542,1094,2119,51.63%,565,179,744
"Judge, Court of Criminal Appeals, Place 7",0267,294,305,599,1346,44.50%,293,86,379
"Judge, Court of Criminal Appeals, Place 7",0268,932,810,1742,2387,72.98%,1142,240,1382
"Judge, Court of Criminal Appeals, Place 7",0269,1143,444,1587,1981,80.11%,1276,130,1406
"Judge, Court of Criminal Appeals, Place 7",0270,1403,870,2273,3517,64.63%,1384,395,1779
"Judge, Court of Criminal Appeals, Place 7",0271,1303,371,1674,2469,67.80%,83,334,417
"Judge, Court of Criminal Appeals, Place 7",0272,614,484,1098,2112,51.99%,467,295,762
"Judge, Court of Criminal Appeals, Place 7",0273,1141,634,1775,2426,73.17%,1462,121,1583
"Judge, Court of Criminal Appeals, Place 7",0274,1054,364,1418,2063,68.73%,992,209,1201
"Judge, Court of Criminal Appeals, Place 7",0275,570,410,980,1730,56.65%,225,198,423
"Judge, Court of Criminal Appeals, Place 7",0276,1139,404,1543,2532,60.94%,70,308,378
"Judge, Court of Criminal Appeals, Place 7",0277,342,305,647,1473,43.92%,317,99,416
"Judge, Court of Criminal Appeals, Place 7",0278,756,607,1363,2405,56.67%,778,173,951
"Judge, Court of Criminal Appeals, Place 7",0279,548,383,931,1899,49.03%,586,132,718
"Judge, Court of Criminal Appeals, Place 7",0280,303,360,663,1515,43.76%,280,124,404
"Judge, Court of Criminal Appeals, Place 7",0281,1088,903,1991,2610,76.28%,1179,314,1493
"Judge, Court of Criminal Appeals, Place 7",0282,691,591,1282,1988,64.49%,791,208,999
"Judge, Court of Criminal Appeals, Place 7",0283,0,0,0,0,0.00%,0,0,0
"Judge, Court of Criminal Appeals, Place 7",0284,1136,595,1731,3262,53.07%,743,345,1088
"Judge, Court of Criminal Appeals, Place 7",0285,989,509,1498,2505,59.80%,193,316,509
"Judge, Court of Criminal Appeals, Place 7",0286,2659,1053,3712,5719,64.91%,609,994,1603
"Judge, Court of Criminal Appeals, Place 7",0287,647,542,1189,1616,73.58%,689,227,916
"Judge, Court of Criminal Appeals, Place 7",0288,1036,380,1416,2259,62.68%,73,283,356
"Judge, Court of Criminal Appeals, Place 7",0289,374,397,771,1510,51.06%,365,122,487
"Judge, Court of Criminal Appeals, Place 7",0290,577,429,1006,1567,64.20%,772,94,866
"Judge, Court of Criminal Appeals, Place 7",0291,541,298,839,1203,69.74%,447,153,600
"Judge, Court of Criminal Appeals, Place 7",0292,478,236,714,1272,56.13%,126,168,294
"Judge, Court of Criminal Appeals, Place 7",0293,620,557,1177,1733,67.92%,606,233,839
"Judge, Court of Criminal Appeals, Place 7",0294,989,298,1287,2107,61.08%,61,265,326
"Judge, Court of Criminal Appeals, Place 7",0295,315,189,504,862,58.47%,22,96,118
"Judge, Court of Criminal Appeals, Place 7",0296,603,432,1035,1693,61.13%,644,149,793
"Judge, Court of Criminal Appeals, Place 7",0297,579,445,1024,1978,51.77%,432,177,609
"Judge, Court of Criminal Appeals, Place 7",0298,849,475,1324,2083,63.56%,771,271,1042
