Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0137,305,193,498,740,67.30%,256,160,416
"Houston Community College System, Proposition",0138,551,259,920,1749,52.60%,445,124,569
"Houston Community College System, Proposition",0139,1290,747,2037,2746,74.18%,1088,601,1689
"Houston Community College System, Proposition",0140,1311,683,1994,3104,64.24%,1192,458,1650
"Houston Community College System, Proposition",0142,212,171,383,870,44.02%,196,86,282
"Houston Community College System, Proposition",0144,476,204,680,1143,59.49%,325,87,412
"Houston Community College System, Proposition",0145,663,245,908,1580,57.47%,455,101,556
"Houston Community College System, Proposition",0146,759,514,1373,1953,70.30%,731,462,1193
"Houston Community College System, Proposition",0148,908,924,1832,2467,74.26%,1056,565,1621
"Houston Community College System, Proposition",0150,539,207,746,1212,61.55%,352,111,463
"Houston Community College System, Proposition",0151,316,148,464,846,54.85%,204,71,275
"Houston Community College System, Proposition",0152,469,600,1069,2631,40.63%,580,223,803
"Houston Community College System, Proposition",0153,328,437,765,1755,43.59%,391,185,576
"Houston Community College System, Proposition",0154,593,360,953,2133,44.68%,529,216,745
"Houston Community College System, Proposition",0156,1427,457,1884,3134,60.11%,1050,337,1387
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0158,1304,435,1739,3016,57.66%,977,245,1222
"Houston Community College System, Proposition",0159,313,187,500,976,51.23%,313,71,384
"Houston Community College System, Proposition",0160,246,140,386,688,56.10%,204,44,248
"Houston Community College System, Proposition",0161,395,190,585,1030,56.80%,325,69,394
"Houston Community College System, Proposition",0162,29,14,43,133,32.33%,16,8,24
"Houston Community College System, Proposition",0163,1,0,1,11,0,0.00%,3,5,8
"Houston Community College System, Proposition",0164,265,171,436,732,59.56%,232,61,293
"Houston Community College System, Proposition",0166,281,311,592,1016,58.27%,314,177,491
"Houston Community College System, Proposition",0167,5,2,7,23,30.43%,6,0,6
"Houston Community College System, Proposition",0168,188,126,314,519,60.50%,133,47,180
"Houston Community College System, Proposition",0169,454,189,643,1102,58.35%,329,104,433
"Houston Community College System, Proposition",0171,514,294,808,1613,50.09%,397,105,502
"Houston Community College System, Proposition",0172,161,147,308,600,51.33%,164,96,260
"Houston Community College System, Proposition",0175,1064,867,1931,2506,77.06%,973,719,1692
"Houston Community College System, Proposition",0176,525,530,1156,1581,73.12%,567,425,992
"Houston Community College System, Proposition",0177,672,385,1057,1478,71.52%,504,376,880
"Houston Community College System, Proposition",0178,913,368,1281,1718,74.56%,574,531,1105
"Houston Community College System, Proposition",0179,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0180,966,552,1518,2795,54.31%,856,213,1069
"Houston Community College System, Proposition",0181,415,510,925,1964,47.10%,494,199,693
"Houston Community College System, Proposition",0182,1321,1081,2402,3289,73.03%,1271,847,2118
"Houston Community College System, Proposition",0183,970,943,1913,2451,78.05%,1030,654,1684
"Houston Community College System, Proposition",0184,214,256,470,969,48.50%,235,100,335
"Houston Community College System, Proposition",0185,1,455,456,2,2800.00%,211,101,312
"Houston Community College System, Proposition",0186,204,170,374,795,47.04%,164,54,218
"Houston Community College System, Proposition",0187,48,65,113,309,36.57%,61,24,85
"Houston Community College System, Proposition",0189,492,473,965,1453,66.41%,422,385,807
"Houston Community College System, Proposition",0192,746,332,1078,2045,52.71%,569,173,742
"Houston Community College System, Proposition",0193,341,269,610,1050,58.10%,331,90,421
"Houston Community College System, Proposition",0194,704,504,1208,1735,69.63%,669,356,1025
"Houston Community College System, Proposition",0195,539,419,958,1721,55.67%,524,154,678
"Houston Community College System, Proposition",0196,121,55,176,323,54.49%,100,33,133
"Houston Community College System, Proposition",0197,997,431,1428,2514,56.80%,706,239,945
"Houston Community College System, Proposition",0198,143,158,301,657,45.81%,138,35,173
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0200,1638,585,2223,3222,68.99%,1192,700,1892
"Houston Community College System, Proposition",0201,229,125,354,728,48.63%,184,58,242
"Houston Community College System, Proposition",0202,488,332,820,1479,55.44%,481,86,567
"Houston Community College System, Proposition",0203,266,156,422,900,46.89%,229,80,309
"Houston Community College System, Proposition",0204,1489,914,2403,3462,69.41%,1010,1052,2062
"Houston Community College System, Proposition",0205,856,201,1057,1667,63.41%,472,195,667
"Houston Community College System, Proposition",0206,651,659,1310,2662,49.21%,710,375,1085
"Houston Community College System, Proposition",0207,409,310,719,1144,62.85%,373,234,607
"Houston Community College System, Proposition",0210,1013,542,1555,2300,67.61%,913,316,1229
"Houston Community College System, Proposition",0211,710,683,1393,2797,49.80%,684,355,1039
"Houston Community College System, Proposition",0212,35,18,53,158,33.54%,35,8,43
"Houston Community College System, Proposition",0213,79,36,115,156,73.72%,52,46,98
"Houston Community College System, Proposition",0214,798,544,1342,1795,74.76%,673,490,1163
"Houston Community College System, Proposition",0215,844,786,1630,2168,75.18%,849,567,1416
"Houston Community College System, Proposition",0216,784,320,1104,1917,57.59%,612,201,813
"Houston Community College System, Proposition",0217,1396,651,2047,2637,77.63%,998,753,1751
"Houston Community College System, Proposition",0218,690,608,1298,2274,57.08%,726,346,1072
"Houston Community College System, Proposition",0219,1117,587,1704,2654,64.20%,958,287,1245
"Houston Community College System, Proposition",0221,489,391,880,1588,55.42%,398,293,691
"Houston Community College System, Proposition",0222,1000,792,1792,2384,75.17%,998,583,1581
"Houston Community College System, Proposition",0223,1350,760,2110,3528,59.81%,1273,467,1740
"Houston Community College System, Proposition",0224,894,649,1543,2259,68.30%,784,516,1300
"Houston Community College System, Proposition",0226,529,545,1074,2393,44.88%,630,199,829
"Houston Community College System, Proposition",0227,947,451,1398,1767,79.12%,614,568,1182
"Houston Community College System, Proposition",0228,583,165,748,1073,69.71%,450,198,648
"Houston Community College System, Proposition",0229,152,207,359,811,44.27%,163,86,249
"Houston Community College System, Proposition",0230,421,153,574,1096,52.37%,254,87,341
"Houston Community College System, Proposition",0231,562,471,1033,2219,46.55%,554,251,805
"Houston Community College System, Proposition",0232,685,546,1231,1696,72.58%,610,456,1066
"Houston Community College System, Proposition",0233,1826,1063,2889,4132,69.92%,1498,886,2384
"Houston Community College System, Proposition",0234,2088,885,2973,3854,77.14%,1254,1160,2414
"Houston Community College System, Proposition",0235,466,242,708,1305,54.25%,392,126,518
"Houston Community College System, Proposition",0236,779,342,1121,2144,52.29%,597,154,751
"Houston Community College System, Proposition",0237,793,441,1234,2181,56.58%,673,165,838
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0238,640,422,1062,1901,55.87%,555,130,685
"Houston Community College System, Proposition",0239,765,357,1122,1997,56.18%,594,177,771
"Houston Community College System, Proposition",0240,1157,402,1559,2688,58.00%,843,246,1089
"Houston Community College System, Proposition",0243,254,50,304,452,67.26%,167,50,217
"Houston Community College System, Proposition",0247,421,403,824,1607,51.28%,460,129,589
"Houston Community College System, Proposition",0252,1111,356,1467,2350,62.43%,600,219,819
"Houston Community College System, Proposition",0253,923,325,1248,2252,55.42%,543,164,707
"Houston Community College System, Proposition",0254,69,68,137,370,37.03%,68,28,96
"Houston Community College System, Proposition",0255,995,797,1792,2411,74.33%,931,613,1544
"Houston Community College System, Proposition",0256,1059,755,1825,3226,56.57%,916,533,1449
"Houston Community College System, Proposition",0259,1210,460,1670,2408,69.35%,857,376,1233
"Houston Community College System, Proposition",0261,176,133,309,749,41.26%,163,90,253
"Houston Community College System, Proposition",0268,931,810,1741,2387,72.94%,950,565,1515
"Houston Community College System, Proposition",0269,1143,444,1587,1981,80.11%,680,622,1302
"Houston Community College System, Proposition",0270,1401,863,2264,3517,64.37%,985,928,1913
"Houston Community College System, Proposition",0271,1303,371,1674,2469,67.80%,984,264,1248
"Houston Community College System, Proposition",0272,610,484,1094,2112,51.80%,574,297,871
"Houston Community College System, Proposition",0274,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0275,551,302,853,1696,50.29%,510,146,656
"Houston Community College System, Proposition",0276,1139,404,1543,2532,60.94%,858,219,1077
"Houston Community College System, Proposition",0281,1057,903,1990,2610,76.25%,1069,670,1739
"Houston Community College System, Proposition",0282,690,591,1281,1988,64.44%,578,486,1064
"Houston Community College System, Proposition",0284,1135,595,1730,3262,53.03%,898,439,1337
"Houston Community College System, Proposition",0285,988,509,1497,2505,59.76%,820,274,1094
"Houston Community College System, Proposition",0286,2657,1053,3710,5719,64.87%,2207,654,2861
"Houston Community College System, Proposition",0287,647,542,1189,1616,73.58%,569,454,1023
"Houston Community College System, Proposition",0288,1036,380,1416,2259,62.68%,789,218,1007
"Houston Community College System, Proposition",0291,541,298,839,1203,69.74%,420,297,717
"Houston Community College System, Proposition",0292,477,236,713,1272,56.05%,357,132,489
"Houston Community College System, Proposition",0293,620,557,1177,1733,67.92%,594,377,971
"Houston Community College System, Proposition",0294,989,298,1287,2107,61.08%,732,204,936
"Houston Community College System, Proposition",0295,314,189,503,862,58.35%,293,49,342
"Houston Community College System, Proposition",0296,602,432,1034,1693,61.08%,454,367,821
"Houston Community College System, Proposition",0297,575,445,1021,1978,51.62%,500,235,735
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0298,847,475,1322,2083,83.47%,578,487,1085
"Houston Community College System, Proposition",0299,1,0,1,0,0.00%,1,0,1
"Houston Community College System, Proposition",0303,1772,755,2527,3172,79.87%,994,1034,2028
"Houston Community College System, Proposition",0304,970,848,1818,2288,71.40%,805,575,1380
"Houston Community College System, Proposition",0308,279,119,398,713,55.82%,208,90,298
"Houston Community College System, Proposition",0311,882,899,1581,2997,52.09%,888,482,1130
"Houston Community College System, Proposition",0312,1800,718,2318,3889,83.18%,1152,874,1828
"Houston Community College System, Proposition",0313,22,1,23,80,38.33%,8,10,18
"Houston Community College System, Proposition",0315,711,479,1190,1818,73.55%,554,453,1007
"Houston Community College System, Proposition",0318,882,411,1093,1522,71.81%,558,387,943
"Houston Community College System, Proposition",0317,551,338,887,1489,80.38%,542,188,708
"Houston Community College System, Proposition",0318,1708,811,2319,3531,85.88%,1377,428,1805
"Houston Community College System, Proposition",0319,985,290,1255,2081,80.31%,738,225,981
"Houston Community College System, Proposition",0320,408,287,873,1317,51.10%,333,178,509
"Houston Community College System, Proposition",0321,335,218,554,1398,39.88%,282,148,430
"Houston Community College System, Proposition",0322,112,100,212,519,40.85%,118,34,152
"Houston Community College System, Proposition",0323,482,332,814,1719,47.35%,388,279,885
"Houston Community College System, Proposition",0324,987,718,1885,2339,72.04%,874,791,1485
"Houston Community College System, Proposition",0325,858,397,1053,2251,48.78%,538,227,785
"Houston Community College System, Proposition",0328,202,128,330,878,48.87%,150,101,251
"Houston Community College System, Proposition",0327,725,244,970,1751,55.40%,480,187,827
"Houston Community College System, Proposition",0329,381,301,882,1282,53.20%,332,183,515
"Houston Community College System, Proposition",0331,0,1,1,0,0.00%,0,1,1
"Houston Community College System, Proposition",0335,285,248,531,1227,43.28%,270,89,359
"Houston Community College System, Proposition",0338,1818,588,2408,3181,78.12%,1429,444,1873
"Houston Community College System, Proposition",0337,309,207,518,951,54.28%,302,93,395
"Houston Community College System, Proposition",0338,1540,824,2384,4873,50.59%,1203,458,1859
"Houston Community College System, Proposition",0339,389,373,742,1718,43.24%,419,151,570
"Houston Community College System, Proposition",0341,248,318,582,1248,45.03%,295,128,423
"Houston Community College System, Proposition",0343,438,483,919,1904,48.27%,484,229,893
"Houston Community College System, Proposition",0344,395,245,840,1207,53.02%,311,87,398
"Houston Community College System, Proposition",0345,428,357,785,1708,45.98%,474,128,802
"Houston Community College System, Proposition",0350,1112,780,1892,2908,85.11%,1047,515,1582
"Houston Community College System, Proposition",0355,700,288,988,1384,71.24%,538,191,729
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0358,1382,818,2000,2838,70.52%,888,771,1859
"Houston Community College System, Proposition",0359,708,482,1188,3008,39.49%,729,127,858
"Houston Community College System, Proposition",0380,989,515,1484,2190,87.78%,719,483,1202
"Houston Community College System, Proposition",0381,135,891,828,1585,52.11%,532,139,871
"Houston Community College System, Proposition",0385,734,245,979,1302,75.19%,514,248,782
"Houston Community College System, Proposition",0387,328,212,540,1019,52.99%,312,119,431
"Houston Community College System, Proposition",0389,107,53,180,490,32.85%,81,40,121
"Houston Community College System, Proposition",0371,228,89,295,475,82.11%,108,48,158
"Houston Community College System, Proposition",0372,498,231,729,1215,80.00%,413,139,552
"Houston Community College System, Proposition",0373,81,18,77,159,48.43%,30,18,48
"Houston Community College System, Proposition",0374,139,187,328,748,43.58%,182,84,228
"Houston Community College System, Proposition",0379,800,338,1138,2017,58.42%,599,242,841
"Houston Community College System, Proposition",0384,1172,505,1877,2598,84.80%,914,388,1282
"Houston Community College System, Proposition",0389,283,281,544,975,55.79%,335,81,418
"Houston Community College System, Proposition",0390,844,388,1012,1585,84.88%,828,183,811
"Houston Community College System, Proposition",0392,737,197,934,1441,84.82%,540,139,879
"Houston Community College System, Proposition",0395,830,491,1321,1820,72.58%,583,549,1132
"Houston Community College System, Proposition",0398,1157,219,1378,2073,88.38%,577,219,798
"Houston Community College System, Proposition",0401,723,284,1007,1878,53.88%,400,173,573
"Houston Community College System, Proposition",0402,891,245,1138,1737,85.40%,574,271,845
"Houston Community College System, Proposition",0403,791,527,1318,1703,77.39%,849,481,1130
"Houston Community College System, Proposition",0408,281,72,353,810,57.87%,184,52,218
"Houston Community College System, Proposition",0412,193,74,287,433,81.88%,145,41,188
"Houston Community College System, Proposition",0421,124,92,218,487,48.25%,114,38,152
"Houston Community College System, Proposition",0422,1458,585,2041,3345,81.02%,1189,315,1504
"Houston Community College System, Proposition",0424,0,0,0,0,0.00%,0,0,0
"Houston Community College System, Proposition",0425,227,234,481,875,52.89%,213,112,325
"Houston Community College System, Proposition",0428,415,283,898,1224,57.03%,299,282,581
"Houston Community College System, Proposition",0427,325,249,574,1115,51.48%,277,153,430
"Houston Community College System, Proposition",0428,1284,907,2191,4318,50.78%,1042,387,1409
"Houston Community College System, Proposition",0429,1091,777,1888,3929,47.54%,1011,252,1283
"Houston Community College System, Proposition",0430,403,335,738,1854,44.82%,380,117,477
"Houston Community College System, Proposition",0431,819,403,1222,3188,38.33%,883,219,902
"Houston Community College System, Proposition",0432,311,271,582,1344,43.30%,335,133,488
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0433,139,106,245,573,42.76%,136,44,180
"Houston Community College System, Proposition",0434,628,371,999,1386,72.08%,497,310,807
"Houston Community College System, Proposition",0435,1534,768,2302,3097,74.33%,1023,815,1838
"Houston Community College System, Proposition",0436,1334,709,2043,3012,67.83%,941,728,1669
"Houston Community College System, Proposition",0446,69,52,121,262,46.18%,64,37,101
"Houston Community College System, Proposition",0447,271,108,379,583,65.01%,225,83,308
"Houston Community College System, Proposition",0448,1239,869,2108,3081,68.42%,846,946,1792
"Houston Community College System, Proposition",0450,324,181,505,717,70.43%,230,211,441
"Houston Community College System, Proposition",0453,559,475,1034,1885,54.85%,543,219,762
"Houston Community College System, Proposition",0454,1226,311,1537,2571,59.78%,653,202,855
"Houston Community College System, Proposition",0455,748,216,964,1679,57.42%,467,131,598
"Houston Community College System, Proposition",0458,908,271,1179,1893,62.28%,660,200,860
"Houston Community College System, Proposition",0461,1958,828,2786,3733,74.63%,1246,1024,2270
"Houston Community College System, Proposition",0462,1318,865,2183,3367,64.84%,1146,606,1752
"Houston Community College System, Proposition",0472,370,337,707,1027,68.84%,391,221,612
"Houston Community College System, Proposition",0487,1005,612,1617,3318,48.73%,779,253,1032
"Houston Community College System, Proposition",0488,580,440,1020,1713,59.54%,528,221,749
"Houston Community College System, Proposition",0489,783,378,1161,1823,63.69%,617,324,941
"Houston Community College System, Proposition",0490,876,439,1315,1944,67.64%,687,374,1061
"Houston Community College System, Proposition",0491,667,489,1156,1782,64.87%,547,367,914
"Houston Community College System, Proposition",0492,1049,499,1548,2313,66.93%,740,531,1271
"Houston Community College System, Proposition",0493,858,400,1258,1804,69.73%,527,529,1056
"Houston Community College System, Proposition",0497,882,165,1047,1492,70.17%,467,155,622
"Houston Community College System, Proposition",0498,2,0,2,3,66.67%,1,1,2
"Houston Community College System, Proposition",0499,1301,517,1818,2304,78.91%,721,822,1543
"Houston Community College System, Proposition",0501,653,487,1140,1647,69.22%,572,396,968
"Houston Community College System, Proposition",0503,359,273,632,1363,46.37%,296,110,406
"Houston Community College System, Proposition",0504,1129,538,1667,2197,75.88%,701,719,1420
"Houston Community College System, Proposition",0505,1209,829,2038,3654,55.77%,992,671,1663
"Houston Community College System, Proposition",0506,1470,801,2271,3380,67.19%,1390,385,1775
"Houston Community College System, Proposition",0507,582,385,967,2435,39.71%,454,98,552
"Houston Community College System, Proposition",0508,946,760,1706,3248,52.52%,774,343,1117
"Houston Community College System, Proposition",0510,1492,682,2174,3511,61.92%,1090,613,1703
"Houston Community College System, Proposition",0524,1237,675,1912,3292,58.08%,1084,377,1461
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0525,1380,610,1990,2947,67.53%,1085,434,1519
"Houston Community College System, Proposition",0526,167,171,338,731,46.24%,182,68,250
"Houston Community College System, Proposition",0527,0,2,2,0,0.00%,1,0,1
"Houston Community College System, Proposition",0528,36,12,48,92,52.17%,22,3,25
"Houston Community College System, Proposition",0530,259,235,494,1196,41.30%,262,90,352
"Houston Community College System, Proposition",0538,433,237,670,1282,52.26%,339,99,438
"Houston Community College System, Proposition",0539,26,209,235,71,330.99%,130,38,168
"Houston Community College System, Proposition",0540,666,380,1046,1491,70.15%,607,283,890
"Houston Community College System, Proposition",0541,1824,779,2603,4183,62.23%,1554,440,1994
"Houston Community College System, Proposition",0542,997,501,1498,2525,59.33%,860,218,1078
"Houston Community College System, Proposition",0543,287,378,665,1528,43.52%,369,168,537
"Houston Community College System, Proposition",0544,92,53,145,318,45.60%,68,31,99
"Houston Community College System, Proposition",0546,4,4,8,30,26.67%,6,1,7
"Houston Community College System, Proposition",0554,562,340,902,1731,52.11%,495,121,616
"Houston Community College System, Proposition",0555,597,447,1044,2119,49.27%,584,142,726
"Houston Community College System, Proposition",0556,584,421,1005,2249,44.69%,529,167,696
"Houston Community College System, Proposition",0557,822,556,1378,2726,50.55%,668,254,922
"Houston Community College System, Proposition",0558,1588,824,2412,4084,59.06%,1283,560,1843
"Houston Community College System, Proposition",0559,1787,899,2686,4633,57.98%,1627,447,2074
"Houston Community College System, Proposition",0560,172,289,461,1176,39.20%,230,91,321
"Houston Community College System, Proposition",0562,201,146,347,645,53.80%,180,49,229
"Houston Community College System, Proposition",0564,1150,713,1863,3096,60.17%,1070,446,1516
"Houston Community College System, Proposition",0565,315,194,509,1373,37.07%,277,70,347
"Houston Community College System, Proposition",0566,1122,478,1600,2950,54.24%,922,293,1215
"Houston Community College System, Proposition",0567,672,394,1066,2198,48.50%,493,173,666
"Houston Community College System, Proposition",0569,1294,865,2159,3249,66.45%,1041,705,1746
"Houston Community College System, Proposition",0570,525,409,934,1473,63.41%,494,255,749
"Houston Community College System, Proposition",0571,166,225,391,922,42.41%,211,66,277
"Houston Community College System, Proposition",0572,1283,574,1857,2998,61.94%,952,495,1447
"Houston Community College System, Proposition",0573,577,368,945,1618,58.41%,536,124,660
"Houston Community College System, Proposition",0574,98,79,177,391,45.27%,90,18,108
"Houston Community College System, Proposition",0576,706,327,1033,1801,57.36%,547,157,704
"Houston Community College System, Proposition",0578,745,553,1298,1689,76.85%,547,584,1131
"Houston Community College System, Proposition",0579,487,351,838,1806,46.40%,439,171,610
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,For,Against,Totals
"Houston Community College System, Proposition",0580,429,146,575,1027,55.99%,299,79,378
"Houston Community College System, Proposition",0581,510,162,672,1041,64.55%,309,103,412
"Houston Community College System, Proposition",0582,614,256,870,1613,53.94%,404,109,513
"Houston Community College System, Proposition",0583,544,127,671,1248,53.77%,298,83,381
"Houston Community College System, Proposition",0584,392,139,531,971,54.69%,223,73,296
"Houston Community College System, Proposition",0585,934,304,1238,2403,51.52%,555,189,744
"Houston Community College System, Proposition",0591,118,120,238,551,43.19%,131,24,155
"Houston Community College System, Proposition",0600,1383,869,2252,3820,58.95%,1185,479,1664
