Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0101,203,186,389,941,41.34%,84,294,378
"District Judge, 178th Judicial District",0102,493,268,761,1910,39.84%,174,558,732
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0103,1915,1065,2980,4751,62.72%,1509,1333,2842
"District Judge, 178th Judicial District",0104,992,238,1230,1847,66.59%,21,1173,1194
"District Judge, 178th Judicial District",0105,462,453,915,2153,42.50%,194,655,849
"District Judge, 178th Judicial District",0106,49,37,86,284,30.28%,37,43,80
"District Judge, 178th Judicial District",0107,412,441,853,1905,44.78%,118,702,820
"District Judge, 178th Judicial District",0108,1193,514,1707,3229,52.86%,859,758,1617
"District Judge, 178th Judicial District",0109,1160,430,1590,2884,55.13%,27,1513,1540
"District Judge, 178th Judicial District",0110,1465,589,2054,2853,71.99%,1192,741,1933
"District Judge, 178th Judicial District",0111,1868,848,2716,3638,74.66%,1958,588,2546
"District Judge, 178th Judicial District",0112,1262,668,1930,2894,66.69%,1316,511,1827
"District Judge, 178th Judicial District",0113,1125,590,1715,2537,67.60%,933,684,1617
"District Judge, 178th Judicial District",0114,1454,546,2000,2650,75.47%,1533,381,1914
"District Judge, 178th Judicial District",0115,598,305,903,1764,51.19%,91,779,870
"District Judge, 178th Judicial District",0116,1626,747,2373,3014,78.73%,1743,494,2237
"District Judge, 178th Judicial District",0117,398,462,860,1878,45.79%,344,473,817
"District Judge, 178th Judicial District",0118,460,148,608,743,81.83%,460,108,568
"District Judge, 178th Judicial District",0119,1924,1265,3189,4892,65.19%,2470,603,3073
"District Judge, 178th Judicial District",0120,1197,632,1829,2986,61.25%,1058,643,1701
"District Judge, 178th Judicial District",0121,193,244,437,679,64.36%,283,133,416
"District Judge, 178th Judicial District",0122,895,349,1244,2199,56.57%,38,1155,1193
"District Judge, 178th Judicial District",0123,440,350,790,1356,58.26%,211,508,719
"District Judge, 178th Judicial District",0124,3522,1281,4803,5952,80.70%,3724,849,4573
"District Judge, 178th Judicial District",0125,896,534,1430,2281,62.69%,804,553,1357
"District Judge, 178th Judicial District",0126,1630,407,2037,2799,72.78%,1715,221,1936
"District Judge, 178th Judicial District",0127,854,182,1036,1703,60.83%,706,276,982
"District Judge, 178th Judicial District",0128,936,736,1672,2257,74.08%,982,501,1483
"District Judge, 178th Judicial District",0129,2294,1449,3743,5495,68.12%,2220,1268,3488
"District Judge, 178th Judicial District",0130,1201,523,1724,2240,76.96%,1225,384,1609
"District Judge, 178th Judicial District",0131,604,374,978,1721,56.83%,219,717,936
"District Judge, 178th Judicial District",0132,1119,397,1516,2449,61.90%,25,1437,1462
"District Judge, 178th Judicial District",0133,1083,940,2023,2605,77.66%,1122,709,1831
"District Judge, 178th Judicial District",0134,419,392,811,1444,56.16%,336,426,762
"District Judge, 178th Judicial District",0135,1424,634,2058,2750,74.84%,1208,679,1887
"District Judge, 178th Judicial District",0136,981,451,1432,2111,67.84%,52,1326,1378
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0137,305,193,498,740,67.30%,230,216,446
"District Judge, 178th Judicial District",0138,661,259,920,1749,52.60%,19,864,883
"District Judge, 178th Judicial District",0139,1290,747,2037,2746,74.18%,922,914,1836
"District Judge, 178th Judicial District",0140,1311,683,1994,3104,64.24%,273,1593,1866
"District Judge, 178th Judicial District",0141,181,143,324,872,37.16%,193,106,299
"District Judge, 178th Judicial District",0142,212,171,383,870,44.02%,80,276,356
"District Judge, 178th Judicial District",0143,2993,660,3653,4598,79.45%,2495,1007,3502
"District Judge, 178th Judicial District",0144,476,204,680,1143,59.49%,11,650,661
"District Judge, 178th Judicial District",0145,663,245,908,1580,57.47%,13,876,889
"District Judge, 178th Judicial District",0146,759,614,1373,1953,70.30%,582,684,1266
"District Judge, 178th Judicial District",0147,1255,485,1740,2813,61.86%,201,1496,1697
"District Judge, 178th Judicial District",0148,908,924,1832,2467,74.26%,685,971,1656
"District Judge, 178th Judicial District",0149,2859,1322,4181,6103,68.51%,1805,2201,4006
"District Judge, 178th Judicial District",0150,539,207,746,1212,61.55%,17,707,724
"District Judge, 178th Judicial District",0151,316,148,464,846,54.85%,16,423,439
"District Judge, 178th Judicial District",0152,483,602,1085,2701,40.17%,207,826,1033
"District Judge, 178th Judicial District",0153,328,437,765,1755,43.59%,161,554,715
"District Judge, 178th Judicial District",0154,593,360,953,2133,44.68%,165,701,866
"District Judge, 178th Judicial District",0155,1957,834,2791,4087,68.29%,1821,811,2632
"District Judge, 178th Judicial District",0156,1427,457,1884,3134,60.11%,47,1758,1805
"District Judge, 178th Judicial District",0157,881,382,1263,2311,54.65%,41,1187,1228
"District Judge, 178th Judicial District",0158,1304,435,1739,3016,57.66%,23,1671,1694
"District Judge, 178th Judicial District",0159,313,187,500,976,51.23%,59,417,476
"District Judge, 178th Judicial District",0160,246,140,386,688,56.10%,9,362,371
"District Judge, 178th Judicial District",0161,395,190,585,1030,56.80%,7,559,566
"District Judge, 178th Judicial District",0162,232,262,494,1249,39.55%,124,318,442
"District Judge, 178th Judicial District",0163,778,635,1413,3054,46.27%,359,896,1255
"District Judge, 178th Judicial District",0164,505,304,809,1434,56.42%,12,777,789
"District Judge, 178th Judicial District",0165,918,557,1475,2284,64.58%,908,480,1388
"District Judge, 178th Judicial District",0166,281,311,592,1016,58.27%,186,357,543
"District Judge, 178th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 178th Judicial District",0168,188,126,314,519,60.50%,3,297,300
"District Judge, 178th Judicial District",0169,1059,433,1492,2531,58.95%,21,1433,1454
"District Judge, 178th Judicial District",0170,481,353,834,1887,44.20%,374,399,773
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0171,514,294,808,1613,50.09%,23,756,779
"District Judge, 178th Judicial District",0172,161,147,308,600,51.33%,90,194,284
"District Judge, 178th Judicial District",0173,1798,619,2417,3105,77.84%,1820,476,2296
"District Judge, 178th Judicial District",0174,1554,767,2321,3159,73.47%,1525,621,2146
"District Judge, 178th Judicial District",0175,1064,867,1931,2506,77.06%,913,817,1730
"District Judge, 178th Judicial District",0176,626,530,1156,1581,73.12%,559,472,1031
"District Judge, 178th Judicial District",0177,672,385,1057,1478,71.52%,602,376,978
"District Judge, 178th Judicial District",0178,913,368,1281,1718,74.56%,786,382,1168
"District Judge, 178th Judicial District",0179,449,321,770,1508,51.06%,339,378,717
"District Judge, 178th Judicial District",0180,966,552,1518,2795,54.31%,40,1411,1451
"District Judge, 178th Judicial District",0181,416,514,930,1968,47.26%,222,650,872
"District Judge, 178th Judicial District",0182,1321,1081,2402,3289,73.03%,1357,782,2139
"District Judge, 178th Judicial District",0183,970,943,1913,2451,78.05%,1160,583,1743
"District Judge, 178th Judicial District",0184,214,256,470,969,48.50%,119,317,436
"District Judge, 178th Judicial District",0185,592,494,1086,1910,56.86%,324,694,1018
"District Judge, 178th Judicial District",0186,204,170,374,795,47.04%,36,317,353
"District Judge, 178th Judicial District",0187,48,65,113,309,36.57%,23,86,109
"District Judge, 178th Judicial District",0188,307,378,685,1616,42.39%,230,422,652
"District Judge, 178th Judicial District",0189,492,473,965,1453,66.41%,493,387,880
"District Judge, 178th Judicial District",0190,275,401,676,1720,39.30%,210,424,634
"District Judge, 178th Judicial District",0191,196,313,509,1391,36.59%,158,327,485
"District Judge, 178th Judicial District",0192,746,332,1078,2045,52.71%,37,1005,1042
"District Judge, 178th Judicial District",0193,341,269,610,1050,58.10%,10,576,586
"District Judge, 178th Judicial District",0194,704,504,1208,1735,69.63%,336,783,1119
"District Judge, 178th Judicial District",0195,539,419,958,1721,55.67%,30,893,923
"District Judge, 178th Judicial District",0196,121,55,176,323,54.49%,7,163,170
"District Judge, 178th Judicial District",0197,1109,497,1606,2895,55.47%,33,1521,1554
"District Judge, 178th Judicial District",0198,143,158,301,657,45.81%,7,281,288
"District Judge, 178th Judicial District",0199,1407,773,2180,3159,69.01%,1582,475,2057
"District Judge, 178th Judicial District",0200,1638,585,2223,3222,68.99%,979,1025,2004
"District Judge, 178th Judicial District",0201,229,125,354,728,48.63%,10,336,346
"District Judge, 178th Judicial District",0202,488,332,820,1479,55.44%,13,770,783
"District Judge, 178th Judicial District",0203,266,156,422,900,46.89%,74,327,401
"District Judge, 178th Judicial District",0204,1489,914,2403,3462,69.41%,1327,892,2219
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0205,856,201,1057,1667,63.41%,20,1004,1024
"District Judge, 178th Judicial District",0206,651,659,1310,2662,49.21%,368,853,1221
"District Judge, 178th Judicial District",0207,409,310,719,1144,62.85%,210,460,670
"District Judge, 178th Judicial District",0208,806,364,1170,2201,53.16%,273,824,1097
"District Judge, 178th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 178th Judicial District",0210,1013,542,1555,2300,67.61%,166,1301,1467
"District Judge, 178th Judicial District",0211,710,686,1396,2797,49.91%,446,847,1293
"District Judge, 178th Judicial District",0212,218,314,532,1266,42.02%,83,423,506
"District Judge, 178th Judicial District",0213,1603,939,2542,3308,76.84%,1833,520,2353
"District Judge, 178th Judicial District",0214,798,544,1342,1795,74.76%,770,446,1216
"District Judge, 178th Judicial District",0215,844,786,1630,2168,75.18%,923,566,1489
"District Judge, 178th Judicial District",0216,784,320,1104,1917,57.59%,69,989,1058
"District Judge, 178th Judicial District",0217,1396,651,2047,2637,77.63%,1199,662,1861
"District Judge, 178th Judicial District",0218,690,608,1298,2274,57.08%,341,856,1197
"District Judge, 178th Judicial District",0219,1117,587,1704,2654,64.20%,130,1476,1606
"District Judge, 178th Judicial District",0220,711,353,1064,2360,45.08%,710,291,1001
"District Judge, 178th Judicial District",0221,699,611,1310,2489,52.63%,483,730,1213
"District Judge, 178th Judicial District",0222,1000,792,1792,2384,75.17%,741,847,1588
"District Judge, 178th Judicial District",0223,1350,760,2110,3528,59.81%,578,1345,1923
"District Judge, 178th Judicial District",0224,894,649,1543,2259,68.30%,688,719,1407
"District Judge, 178th Judicial District",0225,1109,720,1829,3155,57.97%,750,989,1739
"District Judge, 178th Judicial District",0226,529,545,1074,2393,44.88%,180,809,989
"District Judge, 178th Judicial District",0227,947,451,1398,1767,79.12%,941,338,1279
"District Judge, 178th Judicial District",0228,583,165,748,1073,69.71%,31,693,724
"District Judge, 178th Judicial District",0229,152,207,359,811,44.27%,89,249,338
"District Judge, 178th Judicial District",0230,421,153,574,1096,52.37%,10,536,546
"District Judge, 178th Judicial District",0231,562,471,1033,2219,46.55%,225,756,981
"District Judge, 178th Judicial District",0232,685,546,1231,1696,72.58%,642,467,1109
"District Judge, 178th Judicial District",0233,1826,1063,2889,4132,69.92%,1422,1212,2634
"District Judge, 178th Judicial District",0234,2088,885,2973,3854,77.14%,2109,651,2760
"District Judge, 178th Judicial District",0235,466,242,708,1305,54.25%,19,667,686
"District Judge, 178th Judicial District",0236,779,342,1121,2144,52.29%,21,1049,1070
"District Judge, 178th Judicial District",0237,793,441,1234,2181,56.58%,17,1187,1204
"District Judge, 178th Judicial District",0238,640,422,1062,1901,55.87%,17,1006,1023
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0239,765,357,1122,1997,56.18%,27,1059,1086
"District Judge, 178th Judicial District",0240,1157,402,1559,2688,58.00%,18,1486,1504
"District Judge, 178th Judicial District",0241,494,479,973,2296,42.38%,345,575,920
"District Judge, 178th Judicial District",0242,363,323,686,1570,43.69%,339,315,654
"District Judge, 178th Judicial District",0243,254,50,304,452,67.26%,5,290,295
"District Judge, 178th Judicial District",0244,1100,656,1756,2912,60.30%,874,800,1674
"District Judge, 178th Judicial District",0245,2340,1115,3455,5240,65.94%,2254,1060,3314
"District Judge, 178th Judicial District",0246,1584,624,2208,2999,73.62%,1441,664,2105
"District Judge, 178th Judicial District",0247,421,403,824,1607,51.28%,13,788,801
"District Judge, 178th Judicial District",0248,408,405,813,2122,38.31%,172,594,766
"District Judge, 178th Judicial District",0249,1028,481,1509,2676,56.39%,962,465,1427
"District Judge, 178th Judicial District",0250,306,247,553,951,58.15%,10,535,545
"District Judge, 178th Judicial District",0251,809,529,1338,2072,64.58%,56,1225,1281
"District Judge, 178th Judicial District",0252,1111,356,1467,2350,62.43%,19,1400,1419
"District Judge, 178th Judicial District",0253,923,325,1248,2252,55.42%,14,1211,1225
"District Judge, 178th Judicial District",0254,220,282,502,1476,34.01%,103,361,464
"District Judge, 178th Judicial District",0255,995,797,1792,2411,74.33%,777,872,1649
"District Judge, 178th Judicial District",0256,1059,766,1825,3226,56.57%,676,1003,1679
"District Judge, 178th Judicial District",0257,553,571,1124,2403,46.77%,238,840,1078
"District Judge, 178th Judicial District",0258,1577,888,2465,3286,75.02%,1685,554,2239
"District Judge, 178th Judicial District",0259,1,1210,460,1670,2408,69.35%,22,1603,1625
"District Judge, 178th Judicial District",0260,420,290,710,1187,59.81%,363,308,671
"District Judge, 178th Judicial District",0261,176,133,309,749,41.26%,80,212,292
"District Judge, 178th Judicial District",0262,1470,906,2376,4232,56.14%,1313,885,2198
"District Judge, 178th Judicial District",0263,1785,719,2504,3319,75.44%,1810,580,2390
"District Judge, 178th Judicial District",0264,936,639,1575,2939,53.59%,811,633,1444
"District Judge, 178th Judicial District",0265,1936,674,2610,3617,72.16%,1795,598,2393
"District Judge, 178th Judicial District",0266,552,542,1094,2119,51.63%,470,566,1036
"District Judge, 178th Judicial District",0267,294,305,599,1346,44.50%,250,310,560
"District Judge, 178th Judicial District",0268,931,810,1741,2387,72.94%,982,571,1553
"District Judge, 178th Judicial District",0269,1143,444,1587,1981,80.11%,1153,326,1479
"District Judge, 178th Judicial District",0270,1401,870,2271,3517,64.57%,1220,881,2101
"District Judge, 178th Judicial District",0271,1303,371,1674,2469,67.80%,20,1605,1625
"District Judge, 178th Judicial District",0272,610,484,1094,2112,51.80%,394,638,1032
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0273,1139,634,1773,2426,73.08%,1347,300,1647
"District Judge, 178th Judicial District",0274,1049,364,1413,2063,68.49%,871,459,1330
"District Judge, 178th Judicial District",0275,567,410,977,1730,56.47%,148,790,938
"District Judge, 178th Judicial District",0276,1139,404,1543,2532,60.94%,12,1493,1505
"District Judge, 178th Judicial District",0277,342,305,647,1473,43.92%,267,356,623
"District Judge, 178th Judicial District",0278,756,607,1363,2405,56.67%,654,634,1288
"District Judge, 178th Judicial District",0279,548,383,931,1899,49.03%,550,333,883
"District Judge, 178th Judicial District",0280,303,360,663,1515,43.76%,206,411,617
"District Judge, 178th Judicial District",0281,1087,903,1990,2610,76.25%,892,831,1723
"District Judge, 178th Judicial District",0282,690,591,1281,1988,64.44%,711,498,1209
"District Judge, 178th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 178th Judicial District",0284,1135,595,1730,3262,53.03%,612,1023,1635
"District Judge, 178th Judicial District",0285,988,509,1497,2505,59.76%,96,1341,1437
"District Judge, 178th Judicial District",0286,2657,1053,3710,5719,64.87%,289,3256,3545
"District Judge, 178th Judicial District",0287,647,542,1189,1616,73.58%,595,501,1096
"District Judge, 178th Judicial District",0288,1036,380,1416,2259,62.68%,24,1343,1367
"District Judge, 178th Judicial District",0289,374,397,771,1510,51.06%,283,430,713
"District Judge, 178th Judicial District",0290,577,429,1006,1567,64.20%,752,218,970
"District Judge, 178th Judicial District",0291,541,298,839,1203,69.74%,392,388,780
"District Judge, 178th Judicial District",0292,477,236,713,1272,56.05%,81,606,687
"District Judge, 178th Judicial District",0293,620,557,1177,1733,67.92%,509,567,1076
"District Judge, 178th Judicial District",0294,989,298,1287,2107,61.08%,10,1232,1242
"District Judge, 178th Judicial District",0295,314,189,503,862,58.35%,7,481,488
"District Judge, 178th Judicial District",0296,602,432,1034,1693,61.08%,565,369,934
"District Judge, 178th Judicial District",0297,576,445,1021,1978,51.62%,362,578,940
"District Judge, 178th Judicial District",0298,847,475,1322,2083,63.47%,708,519,1227
"District Judge, 178th Judicial District",0299,328,213,541,1231,43.95%,169,337,506
"District Judge, 178th Judicial District",0300,3013,922,3935,5040,78.08%,2953,737,3690
"District Judge, 178th Judicial District",0301,450,655,1105,2397,46.10%,375,670,1045
"District Judge, 178th Judicial District",0302,713,635,1348,2724,49.49%,702,562,1264
"District Judge, 178th Judicial District",0303,1772,755,2527,3172,79.67%,1885,466,2351
"District Judge, 178th Judicial District",0304,970,648,1618,2266,71.40%,837,624,1461
"District Judge, 178th Judicial District",0305,1319,858,2177,3621,60.12%,766,1308,2074
"District Judge, 178th Judicial District",0306,1013,323,1336,1847,72.33%,929,310,1239
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Roger Bridgwater,DEM David L. Mendoza,Totals
"District Judge, 178th Judicial District",0307,1242,876,2118,2931,72.26%,1419,570,1989
"District Judge, 178th Judicial District",0308,444,238,682,1266,53.87%,166,481,647
"District Judge, 178th Judicial District",0309,1385,612,1997,2529,78.96%,1511,358,1869
"District Judge, 178th Judicial District",0310,517,348,965,1437,67.15%,611,285,896
"District Judge, 178th Judicial District",0311,862,699,1561,2997,52.09%,641,749,1390
"District Judge, 178th Judicial District",0312,1600,718,2318,3669,63.18%,1213,952,2165
"District Judge, 178th Judicial District",0313,22,1,23,60,38.33%,11,9,20
"District Judge, 178th Judicial District",0314,2494,1221,3715,5225,71.10%,2187,1364,3551
"District Judge, 178th Judicial District",0315,711,479,1190,1618,73.55%,660,428,1088
"District Judge, 178th Judicial District",0316,682,411,1093,1522,71.81%,550,441,991
"District Judge, 178th Judicial District",0317,551,336,887,1469,60.38%,252,589,841
"District Judge, 178th Judicial District",0318,1708,611,2319,3531,65.68%,83,2142,2225
"District Judge, 178th Judicial District",0319,965,290,1255,2081,60.31%,64,1139,1203
"District Judge, 178th Judicial District",0320,464,300,764,1505,50.76%,311,407,718
"District Judge, 178th Judicial District",0321,442,305,748,2029,36.87%,226,487,713
"District Judge, 178th Judicial District",0322,397,237,634,1322,47.96%,158,451,609
"District Judge, 178th Judicial District",0323,482,332,814,1719,47.35%,322,430,752
"District Judge, 178th Judicial District",0324,967,718,1685,2339,72.04%,1031,515,1546
"District Judge, 178th Judicial District",0325,656,397,1053,2251,46.78%,220,780,1000
"District Judge, 178th Judicial District",0326,202,128,330,678,48.67%,120,177,297
"District Judge, 178th Judicial District",0327,725,244,970,1751,55.40%,11,925,936
"District Judge, 178th Judicial District",0328,344,270,614,1361,45.11%,206,383,589
"District Judge, 178th Judicial District",0329,405,307,712,1367,52.08%,200,467,667
