Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0070,1633,726,2359,3142,75.08%,1284,807,75,31,2197
"Constable, Precinct 1",0071,1419,948,2367,3662,64.64%,1085,959,119,56,2219
"Constable, Precinct 1",0073,499,496,995,1494,66.60%,516,367,26,27,936
"Constable, Precinct 1",0075,481,370,851,1329,64.03%,308,430,30,28,796
"Constable, Precinct 1",0078,359,344,703,1479,47.53%,187,394,11,53,645
"Constable, Precinct 1",0086,1054,689,1743,2637,66.10%,710,798,75,47,1630
"Constable, Precinct 1",0087,1222,861,2083,2749,75.77%,1171,660,54,17,1902
"Constable, Precinct 1",0089,342,454,796,1104,72.10%,381,309,23,8,721
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0101,203,186,389,941,41.34%,75,282,6,14,377
"Constable, Precinct 1",0105,452,453,915,2153,42.50%,190,603,12,51,856
"Constable, Precinct 1",0106,49,37,86,284,30.28%,38,42,1,2,83
"Constable, Precinct 1",0107,412,441,853,1905,44.78%,117,665,6,33,821
"Constable, Precinct 1",0109,1160,430,1590,2884,55.13%,24,1503,12,5,1544
"Constable, Precinct 1",0117,398,462,860,1878,45.79%,323,447,16,42,828
"Constable, Precinct 1",0122,895,349,1244,2199,56.57%,36,1139,5,17,1197
"Constable, Precinct 1",0123,440,350,790,1356,58.26%,199,474,28,34,735
"Constable, Precinct 1",0128,936,736,1672,2257,74.08%,888,594,29,29,1540
"Constable, Precinct 1",0133,1083,940,2023,2605,77.66%,1061,696,65,30,1852
"Constable, Precinct 1",0135,1424,634,2058,2750,74.84%,1160,665,57,21,1903
"Constable, Precinct 1",0137,305,193,498,740,67.30%,223,203,18,12,456
"Constable, Precinct 1",0138,661,259,920,1749,52.60%,16,852,7,8,883
"Constable, Precinct 1",0139,1290,747,2037,2746,74.18%,859,884,77,47,1867
"Constable, Precinct 1",0144,475,204,680,1143,59.49%,5,645,6,9,665
"Constable, Precinct 1",0145,663,245,908,1580,57.47%,11,871,3,6,891
"Constable, Precinct 1",0147,1255,485,1740,2813,61.86%,182,1463,25,20,1690
"Constable, Precinct 1",0148,908,924,1832,2467,74.26%,663,951,46,30,1690
"Constable, Precinct 1",0152,483,602,1085,2701,40.17%,195,760,21,63,1039
"Constable, Precinct 1",0153,328,437,765,1755,43.59%,156,500,11,56,723
"Constable, Precinct 1",0157,881,382,1263,2311,54.65%,35,1176,9,8,1228
"Constable, Precinct 1",0166,281,311,592,1016,58.27%,166,334,19,43,562
"Constable, Precinct 1",0168,188,126,314,519,60.50%,3,292,2,5,302
"Constable, Precinct 1",0169,1059,433,1492,2531,58.95%,18,1422,9,8,1457
"Constable, Precinct 1",0171,514,294,808,1613,50.09%,23,738,5,11,777
"Constable, Precinct 1",0175,1064,867,1931,2506,77.06%,849,877,40,26,1792
"Constable, Precinct 1",0177,672,385,1057,1478,71.52%,575,358,38,15,986
"Constable, Precinct 1",0178,913,368,1281,1718,74.56%,756,374,32,15,1177
"Constable, Precinct 1",0179,449,321,770,1508,51.06%,305,363,26,33,727
"Constable, Precinct 1",0182,1321,1081,2402,3289,73.03%,1186,981,52,30,2249
"Constable, Precinct 1",0183,970,943,1913,2451,78.05%,1133,558,43,20,1754
"Constable, Precinct 1",0184,214,255,470,969,48.50%,116,293,6,25,440
"Constable, Precinct 1",0185,592,494,1086,1910,56.86%,309,669,11,36,1025
"Constable, Precinct 1",0189,492,473,965,1453,66.41%,477,355,31,31,894
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0192,746,332,1078,2045,52.71%,34,989,6,7,1036
"Constable, Precinct 1",0195,539,419,958,1721,55.67%,21,883,11,8,923
"Constable, Precinct 1",0196,121,55,176,323,54.49%,7,155,3,3,168
"Constable, Precinct 1",0197,1109,497,1606,2895,55.47%,25,1504,10,16,1555
"Constable, Precinct 1",0200,1638,585,2223,3222,68.99%,914,1030,78,40,2062
"Constable, Precinct 1",0204,1489,914,2403,3462,69.41%,1261,877,58,58,2254
"Constable, Precinct 1",0206,651,659,1310,2662,49.21%,349,764,46,79,1238
"Constable, Precinct 1",0207,409,310,719,1144,62.85%,215,390,18,54,677
"Constable, Precinct 1",0212,218,314,532,1266,42.02%,82,399,5,27,513
"Constable, Precinct 1",0214,798,544,1342,1795,74.76%,727,458,41,17,1243
"Constable, Precinct 1",0215,844,786,1630,2168,75.18%,835,600,39,33,1507
"Constable, Precinct 1",0217,1396,651,2047,2637,77.63%,1142,660,45,30,1877
"Constable, Precinct 1",0222,1000,792,1792,2384,75.17%,713,830,44,32,1619
"Constable, Precinct 1",0227,947,451,1398,1767,79.12%,918,314,33,10,1275
"Constable, Precinct 1",0230,421,153,574,1096,52.37%,10,530,6,5,551
"Constable, Precinct 1",0232,685,546,1231,1696,72.58%,611,479,27,14,1131
"Constable, Precinct 1",0233,1826,1063,2889,4132,69.92%,1315,1191,124,59,2689
"Constable, Precinct 1",0241,494,479,973,2296,42.38%,331,534,12,58,935
"Constable, Precinct 1",0261,176,133,309,749,41.26%,83,192,2,19,296
"Constable, Precinct 1",0268,931,810,1741,2387,72.94%,833,731,37,15,1616
"Constable, Precinct 1",0270,1401,870,2271,3517,64.57%,1210,805,52,76,2143
"Constable, Precinct 1",0299,328,213,541,1231,43.95%,157,317,9,21,504
"Constable, Precinct 1",0313,22,1,23,60,38.33%,12,8,1,0,21
"Constable, Precinct 1",0320,464,300,764,1505,50.76%,301,373,11,35,720
"Constable, Precinct 1",0321,442,306,748,2029,36.87%,221,444,10,41,716
"Constable, Precinct 1",0322,397,237,634,1322,47.96%,144,444,17,12,617
"Constable, Precinct 1",0323,482,332,814,1719,47.35%,308,402,36,21,767
"Constable, Precinct 1",0324,967,718,1685,2339,72.04%,1015,498,42,28,1583
"Constable, Precinct 1",0325,656,397,1053,2251,46.78%,204,753,17,31,1005
"Constable, Precinct 1",0326,202,128,330,678,48.67%,117,162,7,21,307
"Constable, Precinct 1",0327,726,244,970,1751,55.40%,13,909,4,8,934
"Constable, Precinct 1",0331,0,1,1,0,0.00%,1,0,0,0,1
"Constable, Precinct 1",0332,23,4,27,128,21.09%,10,15,0,0,25
"Constable, Precinct 1",0341,246,316,562,1248,45.03%,109,376,8,44,537
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0344,395,245,640,1207,53.02%,18,580,5,11,614
"Constable, Precinct 1",0345,428,357,785,1708,45.96%,146,560,28,15,749
"Constable, Precinct 1",0350,1112,780,1892,2906,65.11%,675,961,63,40,1739
"Constable, Precinct 1",0360,969,515,1484,2190,67.76%,725,559,43,15,1342
"Constable, Precinct 1",0361,135,691,826,1585,52.11%,125,508,39,35,707
"Constable, Precinct 1",0364,912,602,1514,2539,59.63%,702,658,43,51,1454
"Constable, Precinct 1",0365,734,245,979,1302,75.19%,75,852,14,8,949
"Constable, Precinct 1",0366,638,466,1104,2089,52.85%,214,796,15,40,1065
"Constable, Precinct 1",0367,328,212,540,1019,52.99%,83,415,9,20,527
"Constable, Precinct 1",0369,107,53,160,490,32.65%,56,86,5,9,156
"Constable, Precinct 1",0383,599,493,1092,2076,52.60%,300,694,17,32,1043
"Constable, Precinct 1",0397,163,148,311,750,41.47%,109,159,0,24,292
"Constable, Precinct 1",0406,281,72,353,610,57.87%,3,327,5,3,338
"Constable, Precinct 1",0408,154,179,333,933,35.69%,132,160,7,18,317
"Constable, Precinct 1",0409,277,289,566,1371,41.28%,156,342,9,30,537
"Constable, Precinct 1",0411,542,462,1004,2302,43.61%,260,629,10,51,950
"Constable, Precinct 1",0423,190,309,499,894,55.82%,189,262,7,16,474
"Constable, Precinct 1",0434,628,371,999,1386,72.08%,556,337,35,13,941
"Constable, Precinct 1",0446,70,52,122,268,45.52%,42,72,2,2,118
"Constable, Precinct 1",0447,271,108,379,583,65.01%,103,224,13,11,351
"Constable, Precinct 1",0448,1239,859,2108,3081,68.42%,1171,694,73,47,1985
"Constable, Precinct 1",0450,856,537,1393,2622,53.13%,313,966,31,30,1340
"Constable, Precinct 1",0455,748,216,964,1679,57.42%,21,894,7,10,932
"Constable, Precinct 1",0467,478,229,707,1230,57.48%,150,501,10,14,675
"Constable, Precinct 1",0472,370,337,707,1027,68.84%,256,357,20,14,647
"Constable, Precinct 1",0494,760,431,1191,2176,54.73%,128,988,11,30,1157
"Constable, Precinct 1",0496,495,571,1067,2086,51.15%,355,598,17,42,1012
"Constable, Precinct 1",0498,759,499,1258,2123,59.26%,483,659,27,31,1200
"Constable, Precinct 1",0501,653,487,1140,1647,69.22%,377,583,57,43,1060
"Constable, Precinct 1",0505,1209,829,2038,3654,55.77%,825,955,63,77,1920
"Constable, Precinct 1",0511,0,6,6,0,0.00%,1,5,0,0,6
"Constable, Precinct 1",0543,287,378,665,1528,43.52%,182,388,11,50,631
"Constable, Precinct 1",0544,92,53,145,318,45.60%,16,118,3,5,142
"Constable, Precinct 1",0562,201,146,347,645,53.80%,23,295,1,15,334
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0570,525,409,934,1473,63.41%,366,433,39,20,858
"Constable, Precinct 1",0571,333,312,645,1758,36.69%,180,390,1,38,609
"Constable, Precinct 1",0574,98,79,177,391,45.27%,14,143,1,8,166
"Constable, Precinct 1",0576,1050,552,1602,2671,59.98%,42,1493,7,12,1554
"Constable, Precinct 1",0577,231,113,344,573,60.03%,175,132,11,7,325
"Constable, Precinct 1",0578,745,553,1298,1689,76.85%,749,405,36,18,1208
"Constable, Precinct 1",0579,487,351,838,1806,46.40%,172,579,15,35,801
"Constable, Precinct 1",0580,429,146,575,1027,55.99%,16,540,2,2,560
"Constable, Precinct 1",0581,510,162,672,1041,64.55%,15,623,4,8,650
"Constable, Precinct 1",0583,544,127,671,1248,53.77%,9,637,5,2,653
"Constable, Precinct 1",0591,420,449,869,2114,41.11%,197,566,7,54,824
"Constable, Precinct 1",0593,1148,999,2147,4059,52.89%,879,1031,50,80,2040
"Constable, Precinct 1",0594,1031,535,1566,2361,66.33%,418,1045,25,30,1518
"Constable, Precinct 1",0595,497,380,877,1647,53.25%,126,690,13,17,846
"Constable, Precinct 1",0606,420,122,542,1053,51.47%,4,512,5,2,523
"Constable, Precinct 1",0608,245,290,535,1256,42.60%,182,289,7,26,504
"Constable, Precinct 1",0610,403,398,801,1825,43.89%,306,404,21,25,756
"Constable, Precinct 1",0628,292,456,748,1600,46.75%,284,377,14,39,714
"Constable, Precinct 1",0637,739,509,1248,2471,50.51%,252,816,19,81,1168
"Constable, Precinct 1",0663,1302,913,2215,3232,68.53%,1091,864,62,69,2086
"Constable, Precinct 1",0664,581,507,1288,2801,45.98%,236,911,12,70,1229
"Constable, Precinct 1",0666,0,1,1,0,0.00%,0,1,0,0,1
"Constable, Precinct 1",0675,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0676,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0677,220,239,459,954,48.11%,114,289,8,30,441
"Constable, Precinct 1",0680,56,22,78,181,43.09%,32,32,5,3,72
"Constable, Precinct 1",0681,1,0,1,5,20.00%,0,1,0,0,1
"Constable, Precinct 1",0683,48,50,98,261,37.55%,21,66,2,4,93
"Constable, Precinct 1",0694,420,137,557,817,68.18%,335,171,9,4,519
"Constable, Precinct 1",0697,1516,941,2457,4307,57.05%,501,1780,33,56,2370
"Constable, Precinct 1",0701,142,115,257,554,46.39%,119,112,4,11,246
"Constable, Precinct 1",0702,150,123,273,549,49.73%,21,224,3,12,260
"Constable, Precinct 1",0707,284,136,420,707,59.41%,222,145,18,9,394
"Constable, Precinct 1",0710,877,502,1479,2023,73.11%,767,518,59,23,1367
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0714,77,3,80,304,26.32%,52,22,1,2,77
"Constable, Precinct 1",0723,747,329,1076,1760,61.14%,212,791,16,16,1035
"Constable, Precinct 1",0741,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0754,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0775,33,1,34,83,40.96%,0,33,0,0,33
"Constable, Precinct 1",0778,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0779,295,221,516,1146,45.03%,143,312,2,22,479
"Constable, Precinct 1",0780,136,114,250,579,43.18%,101,126,5,6,238
"Constable, Precinct 1",0787,154,76,230,487,47.23%,64,141,3,11,219
"Constable, Precinct 1",0789,3,1,4,4,100.00%,0,3,0,1,4
"Constable, Precinct 1",0792,549,409,958,1834,52.24%,193,682,12,27,914
"Constable, Precinct 1",0795,265,255,520,1207,43.08%,131,306,12,28,477
"Constable, Precinct 1",0802,98,58,156,299,52.17%,26,98,8,16,148
"Constable, Precinct 1",0808,41,26,67,84,79.76%,24,29,4,1,58
"Constable, Precinct 1",0809,21,6,27,86,31.40%,8,16,0,0,24
"Constable, Precinct 1",0817,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0830,0,0,0,1,0.00%,0,0,0,0,0
"Constable, Precinct 1",0833,8,1,9,20,45.00%,0,8,1,0,9
"Constable, Precinct 1",0837,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0848,782,431,1213,1873,64.76%,352,772,16,25,1165
"Constable, Precinct 1",0855,4,13,17,18,94.44%,8,8,1,0,17
"Constable, Precinct 1",0859,309,201,510,860,59.30%,97,392,7,7,503
"Constable, Precinct 1",0861,705,319,1024,1786,57.33%,162,812,11,11,996
"Constable, Precinct 1",0864,497,609,1106,2464,44.89%,236,762,10,46,1054
"Constable, Precinct 1",0868,573,586,1159,2292,50.57%,311,742,18,37,1108
"Constable, Precinct 1",0870,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0884,118,37,155,330,46.97%,18,129,0,2,149
"Constable, Precinct 1",0886,301,154,455,713,63.81%,208,183,15,9,415
"Constable, Precinct 1",0887,138,83,221,313,70.61%,108,70,19,4,201
"Constable, Precinct 1",0890,319,118,437,994,43.96%,143,238,12,15,408
"Constable, Precinct 1",0894,0,31,31,0,0.00%,6,17,4,1,28
"Constable, Precinct 1",0895,335,325,660,784,84.18%,241,316,20,20,597
"Constable, Precinct 1",0896,670,303,973,1437,67.71%,337,499,29,31,896
"Constable, Precinct 1",0902,855,521,1486,2065,71.96%,783,520,53,33,1389
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Joe Danna,DEM Alan Rosen,LIB James C. Lancaster,GRN Carlos Villalobos,Totals
"Constable, Precinct 1",0903,10,1,11,41,26.83%,6,4,0,0,10
"Constable, Precinct 1",0906,12,e,18,26,69.23%,9,8,0,0,17
"Constable, Precinct 1",0909,5,7,12,19,63.16%,5,5,1,1,12
"Constable, Precinct 1",0910,55,34,89,226,39.38%,32,45,2,5,84
"Constable, Precinct 1",0922,0,2,2,0,0.00%,0,1,1,0,2
"Constable, Precinct 1",0927,84,74,158,262,60.31%,66,80,3,3,152
"Constable, Precinct 1",0928,4,2,6,9,66.67%,0,6,0,0,6
"Constable, Precinct 1",0930,200,77,277,567,48.85%,3,259,6,2,270
"Constable, Precinct 1",0936,12,10,22,70,31.43%,6,13,0,1,20
"Constable, Precinct 1",0940,1,0,1,13,7.69%,0,1,0,0,1
"Constable, Precinct 1",0953,59,52,111,420,26.43%,6,101,1,1,109
"Constable, Precinct 1",0954,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",0956,5,2,7,12,58.33%,4,2,0,1,7
"Constable, Precinct 1",0961,23,11,34,53,64.15%,7,27,0,0,34
"Constable, Precinct 1",0962,24,13,37,73,50.68%,6,25,2,1,34
"Constable, Precinct 1",0966,305,160,465,1073,43.34%,117,298,15,14,444
"Constable, Precinct 1",0970,212,76,288,704,40.91%,29,234,0,4,267
"Constable, Precinct 1",0973,49,24,73,107,68.22%,37,31,1,3,72
"Constable, Precinct 1",0974,100,71,171,299,57.19%,100,54,7,4,165
"Constable, Precinct 1",0975,72,41,113,170,66.47%,48,52,1,2,103
"Constable, Precinct 1",0977,104,83,187,535,34.95%,61,101,9,8,179
"Constable, Precinct 1",0987,465,191,656,1138,57.64%,44,580,6,6,636
"Constable, Precinct 1",0989,18,8,26,36,72.22%,11,13,0,1,25
"Constable, Precinct 1",1003,0,0,0,1,0.00%,0,0,0,0,0
"Constable, Precinct 1",1004,224,153,377,656,57.47%,183,130,18,15,346
"Constable, Precinct 1",1011,12,3,15,29,51.72%,3,9,0,1,13
"Constable, Precinct 1",1024,113,77,190,259,73.36%,90,78,8,2,178
"Constable, Precinct 1",1027,0,1,1,1,100.00%,1,0,0,0,1
"Constable, Precinct 1",1033,0,0,0,0,0.00%,0,0,0,0,0
"Constable, Precinct 1",1048,3,1,4,18,22.22%,2,2,0,0,4
"Constable, Precinct 1",1049,57,71,128,266,48.12%,34,81,1,8,124
"Constable, Precinct 1",1,051,0,1,2,1,2,0,0.00%,9,3,0,0,1,2
"Constable, Precinct 1",1063,226,63,289,792,36.49%,29,245,5,2,281
"Constable, Precinct 1",Totals:,117549,79861,197410,329143,66507,108825,5090,5258,185680
