Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0045,2434,1138,3572,6031,59.23%,599,2814,3413
"District Judge, 337th Judicial District",0046,538,433,971,2468,39.34%,160,753,913
"District Judge, 337th Judicial District",0047,535,345,880,1624,54.19%,21,842,863
"District Judge, 337th Judicial District",0048,371,193,564,992,56.85%,48,493,541
"District Judge, 337th Judicial District",0049,1228,669,1897,3144,60.34%,1304,500,1804
"District Judge, 337th Judicial District",0050,1901,1110,3011,4762,63.23%,1561,1318,2879
"District Judge, 337th Judicial District",0051,657,349,1006,1568,64.16%,716,238,954
"District Judge, 337th Judicial District",0052,970,620,1590,2299,69.16%,793,647,1440
"District Judge, 337th Judicial District",0053,1102,884,1986,2808,70.73%,853,928,1781
"District Judge, 337th Judicial District",0054,606,402,1008,1408,71.59%,512,401,913
"District Judge, 337th Judicial District",0055,441,394,835,1305,63.98%,334,424,758
"District Judge, 337th Judicial District",0056,548,307,855,1285,66.54%,553,229,782
"District Judge, 337th Judicial District",0057,1273,956,2229,3062,72.80%,950,1072,2022
"District Judge, 337th Judicial District",0058,881,747,1628,2521,64.58%,717,780,1497
"District Judge, 337th Judicial District",0059,914,751,1665,2283,72.93%,688,810,1498
"District Judge, 337th Judicial District",0060,839,664,1503,2263,66.42%,436,927,1363
"District Judge, 337th Judicial District",0061,435,528,963,2250,42.80%,250,661,911
"District Judge, 337th Judicial District",0062,419,528,947,2190,43.24%,199,662,861
"District Judge, 337th Judicial District",0063,674,400,1074,1784,60.20%,836,172,1008
"District Judge, 337th Judicial District",0064,410,420,830,2090,39.71%,152,618,770
"District Judge, 337th Judicial District",0065,404,532,936,2178,42.98%,180,699,879
"District Judge, 337th Judicial District",0066,172,279,451,1090,41.38%,66,348,414
"District Judge, 337th Judicial District",0067,664,574,1238,2742,45.15%,270,857,1127
"District Judge, 337th Judicial District",0068,1198,486,1684,2782,60.53%,29,1594,1623
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0069,218,284,502,1303,38.53%,80,366,446
"District Judge, 337th Judicial District",0070,1633,726,2359,3142,75.08%,1425,740,2165
"District Judge, 337th Judicial District",0071,1419,948,2367,3662,64.64%,1206,979,2185
"District Judge, 337th Judicial District",0072,441,562,1003,1882,53.29%,277,641,918
"District Judge, 337th Judicial District",0073,499,496,995,1494,66.60%,563,350,913
"District Judge, 337th Judicial District",0074,2212,530,2742,3632,75.50%,2079,463,2542
"District Judge, 337th Judicial District",0075,481,370,851,1329,64.03%,334,443,777
"District Judge, 337th Judicial District",0076,814,559,1383,2328,59.41%,730,547,1277
"District Judge, 337th Judicial District",0077,168,81,249,565,44.07%,50,182,232
"District Judge, 337th Judicial District",0078,359,344,703,1479,47.53%,199,425,624
"District Judge, 337th Judicial District",0079,511,717,1228,2959,41.50%,243,878,1121
"District Judge, 337th Judicial District",0080,1159,481,1640,2712,60.47%,351,1192,1543
"District Judge, 337th Judicial District",0081,540,309,849,1839,46.17%,256,531,787
"District Judge, 337th Judicial District",0082,1353,816,2169,3284,66.05%,1592,471,2063
"District Judge, 337th Judicial District",0083,2525,1181,3806,5598,67.99%,1779,1859,3638
"District Judge, 337th Judicial District",0084,444,346,790,1389,56.88%,551,205,756
"District Judge, 337th Judicial District",0085,730,548,1278,2079,61.47%,28,1185,1213
"District Judge, 337th Judicial District",0086,1054,689,1743,2637,66.10%,794,802,1596
"District Judge, 337th Judicial District",0087,1222,861,2083,2749,75.77%,1315,543,1858
"District Judge, 337th Judicial District",0088,235,162,397,678,58.55%,246,131,377
"District Judge, 337th Judicial District",0089,342,454,796,1104,72.10%,466,242,708
"District Judge, 337th Judicial District",0090,1498,958,2456,3571,68.78%,1786,521,2307
"District Judge, 337th Judicial District",0091,466,333,799,1248,64.02%,490,275,765
"District Judge, 337th Judicial District",0092,1105,534,1639,2228,73.56%,1109,402,1511
"District Judge, 337th Judicial District",0093,782,643,1425,3295,43.25%,504,817,1321
"District Judge, 337th Judicial District",0094,148,104,252,537,46.93%,56,181,237
"District Judge, 337th Judicial District",0095,1584,571,2355,3179,74.08%,1595,593,2188
"District Judge, 337th Judicial District",0096,364,237,601,1241,48.43%,58,521,579
"District Judge, 337th Judicial District",0097,2393,764,3157,4566,69.14%,2269,707,2976
"District Judge, 337th Judicial District",0098,874,607,1481,2403,61.63%,1188,220,1408
"District Judge, 337th Judicial District",0099,568,311,879,2040,43.09%,391,449,840
"District Judge, 337th Judicial District",0100,427,324,751,1754,42.82%,336,375,711
"District Judge, 337th Judicial District",0101,203,186,389,941,41.34%,90,288,378
"District Judge, 337th Judicial District",0102,493,268,761,1910,39.84%,199,536,735
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0103,1915,1065,2980,4751,62.72%,1537,1300,2837
"District Judge, 337th Judicial District",0104,992,238,1230,1847,66.59%,27,1167,1194
"District Judge, 337th Judicial District",0105,462,453,915,2153,42.50%,236,610,846
"District Judge, 337th Judicial District",0106,49,37,86,284,30.28%,40,40,80
"District Judge, 337th Judicial District",0107,412,441,853,1905,44.78%,143,675,818
"District Judge, 337th Judicial District",0108,1193,514,1707,3229,52.86%,883,732,1615
"District Judge, 337th Judicial District",0109,1160,430,1590,2884,55.13%,29,1507,1536
"District Judge, 337th Judicial District",0110,1465,589,2054,2853,71.99%,1215,714,1929
"District Judge, 337th Judicial District",0111,1868,848,2716,3638,74.66%,1964,580,2544
"District Judge, 337th Judicial District",0112,1262,668,1930,2894,66.69%,1330,496,1826
"District Judge, 337th Judicial District",0113,1125,590,1715,2537,67.60%,964,649,1613
"District Judge, 337th Judicial District",0114,1454,546,2000,2650,75.47%,1538,377,1915
"District Judge, 337th Judicial District",0115,598,305,903,1764,51.19%,101,769,870
"District Judge, 337th Judicial District",0116,1626,747,2373,3014,78.73%,1787,433,2220
"District Judge, 337th Judicial District",0117,398,462,860,1878,45.79%,365,443,808
"District Judge, 337th Judicial District",0118,460,148,608,743,81.83%,476,89,565
"District Judge, 337th Judicial District",0119,1924,1265,3189,4892,65.19%,2478,581,3059
"District Judge, 337th Judicial District",0120,1197,632,1829,2986,61.25%,1093,605,1698
"District Judge, 337th Judicial District",0121,193,244,437,679,64.36%,283,132,415
"District Judge, 337th Judicial District",0122,895,349,1244,2199,56.57%,36,1152,1188
"District Judge, 337th Judicial District",0123,440,350,790,1356,58.26%,229,497,726
"District Judge, 337th Judicial District",0124,3522,1281,4803,5952,80.70%,3739,821,4560
"District Judge, 337th Judicial District",0125,896,534,1430,2281,62.69%,813,547,1360
"District Judge, 337th Judicial District",0126,1630,407,2037,2799,72.78%,1717,219,1936
"District Judge, 337th Judicial District",0127,854,182,1036,1703,60.83%,710,275,985
"District Judge, 337th Judicial District",0128,936,736,1672,2257,74.08%,1035,441,1476
"District Judge, 337th Judicial District",0129,2294,1449,3743,5495,68.12%,2281,1194,3475
"District Judge, 337th Judicial District",0130,1201,523,1724,2240,76.96%,1253,351,1604
"District Judge, 337th Judicial District",0131,604,374,978,1721,56.83%,226,707,933
"District Judge, 337th Judicial District",0132,1119,397,1516,2449,61.90%,29,1431,1460
"District Judge, 337th Judicial District",0133,1083,940,2023,2605,77.66%,1200,618,1818
"District Judge, 337th Judicial District",0134,419,392,811,1444,56.16%,347,407,754
"District Judge, 337th Judicial District",0135,1424,634,2058,2750,74.84%,1310,574,1884
"District Judge, 337th Judicial District",0136,981,451,1432,2111,67.84%,57,1312,1369
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0137,305,193,498,740,67.30%,247,202,449
"District Judge, 337th Judicial District",0138,661,259,920,1749,52.60%,21,861,882
"District Judge, 337th Judicial District",0139,1290,747,2037,2746,74.18%,982,854,1836
"District Judge, 337th Judicial District",0140,1311,683,1994,3104,64.24%,285,1577,1862
"District Judge, 337th Judicial District",0141,181,143,324,872,37.16%,185,114,299
"District Judge, 337th Judicial District",0142,212,171,383,870,44.02%,104,251,355
"District Judge, 337th Judicial District",0143,2993,660,3653,4598,79.45%,2547,945,3492
"District Judge, 337th Judicial District",0144,476,204,680,1143,59.49%,11,648,659
"District Judge, 337th Judicial District",0145,663,245,908,1580,57.47%,16,872,888
"District Judge, 337th Judicial District",0146,759,614,1373,1953,70.30%,597,660,1257
"District Judge, 337th Judicial District",0147,1255,485,1740,2813,61.86%,203,1488,1691
"District Judge, 337th Judicial District",0148,908,924,1832,2467,74.26%,774,868,1642
"District Judge, 337th Judicial District",0149,2859,1322,4181,6103,68.51%,1862,2129,3991
"District Judge, 337th Judicial District",0150,539,207,746,1212,61.55%,18,708,726
"District Judge, 337th Judicial District",0151,316,148,464,846,54.85%,19,417,436
"District Judge, 337th Judicial District",0152,483,602,1085,2701,40.17%,235,787,1022
"District Judge, 337th Judicial District",0153,328,437,765,1755,43.59%,193,514,707
"District Judge, 337th Judicial District",0154,593,360,953,2133,44.68%,209,643,852
"District Judge, 337th Judicial District",0155,1957,834,2791,4087,68.29%,1861,757,2618
"District Judge, 337th Judicial District",0156,1427,457,1884,3134,60.11%,49,1750,1799
"District Judge, 337th Judicial District",0157,881,382,1263,2311,54.65%,42,1183,1225
"District Judge, 337th Judicial District",0158,1304,435,1739,3016,57.66%,28,1668,1696
"District Judge, 337th Judicial District",0159,313,187,500,976,51.23%,66,410,476
"District Judge, 337th Judicial District",0160,246,140,386,688,56.10%,12,359,371
"District Judge, 337th Judicial District",0161,395,190,585,1030,56.80%,9,556,565
"District Judge, 337th Judicial District",0162,232,262,494,1249,39.55%,142,301,443
"District Judge, 337th Judicial District",0163,778,635,1413,3054,46.27%,386,855,1241
"District Judge, 337th Judicial District",0164,505,304,809,1434,56.42%,15,773,788
"District Judge, 337th Judicial District",0165,918,557,1475,2284,64.58%,925,462,1387
"District Judge, 337th Judicial District",0166,281,311,592,1016,58.27%,189,357,546
"District Judge, 337th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 337th Judicial District",0168,188,126,314,519,60.50%,7,291,298
"District Judge, 337th Judicial District",0169,1059,433,1492,2531,58.95%,25,1425,1450
"District Judge, 337th Judicial District",0170,481,353,834,1887,44.20%,406,365,771
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0171,514,294,808,1613,50.09%,30,743,773
"District Judge, 337th Judicial District",0172,161,147,308,600,51.33%,98,179,277
"District Judge, 337th Judicial District",0173,1798,619,2417,3105,77.84%,1836,459,2295
"District Judge, 337th Judicial District",0174,1554,767,2321,3159,73.47%,1575,567,2142
"District Judge, 337th Judicial District",0175,1064,867,1931,2506,77.06%,986,736,1722
"District Judge, 337th Judicial District",0176,626,530,1156,1581,73.12%,599,430,1029
"District Judge, 337th Judicial District",0177,672,385,1057,1478,71.52%,624,351,975
"District Judge, 337th Judicial District",0178,913,368,1281,1718,74.56%,848,311,1159
"District Judge, 337th Judicial District",0179,449,321,770,1508,51.06%,343,371,714
"District Judge, 337th Judicial District",0180,966,552,1518,2795,54.31%,39,1408,1447
"District Judge, 337th Judicial District",0181,416,514,930,1968,47.26%,267,592,859
"District Judge, 337th Judicial District",0182,1321,1081,2402,3289,73.03%,1435,708,2143
"District Judge, 337th Judicial District",0183,970,943,1913,2451,78.05%,1242,482,1724
"District Judge, 337th Judicial District",0184,214,256,470,969,48.50%,130,301,431
"District Judge, 337th Judicial District",0185,592,494,1086,1910,56.86%,343,664,1007
"District Judge, 337th Judicial District",0186,204,170,374,795,47.04%,44,301,345
"District Judge, 337th Judicial District",0187,48,65,113,309,36.57%,27,81,108
"District Judge, 337th Judicial District",0188,307,378,685,1616,42.39%,243,405,648
"District Judge, 337th Judicial District",0189,492,473,965,1453,66.41%,510,362,872
"District Judge, 337th Judicial District",0190,275,401,676,1720,39.30%,230,400,630
"District Judge, 337th Judicial District",0191,196,313,509,1391,36.59%,176,307,483
"District Judge, 337th Judicial District",0192,746,332,1078,2045,52.71%,38,1001,1039
"District Judge, 337th Judicial District",0193,341,269,610,1050,58.10%,11,576,587
"District Judge, 337th Judicial District",0194,704,504,1208,1735,69.63%,372,745,1117
"District Judge, 337th Judicial District",0195,539,419,958,1721,55.67%,29,891,920
"District Judge, 337th Judicial District",0196,121,55,176,323,54.49%,8,159,167
"District Judge, 337th Judicial District",0197,1109,497,1606,2895,55.47%,35,1514,1549
"District Judge, 337th Judicial District",0198,143,158,301,657,45.81%,7,280,287
"District Judge, 337th Judicial District",0199,1407,773,2180,3159,69.01%,1624,424,2048
"District Judge, 337th Judicial District",0200,1638,585,2223,3222,68.99%,1026,986,2012
"District Judge, 337th Judicial District",0201,229,1,25,354,728,48.63%,9,335,344
"District Judge, 337th Judicial District",0202,488,332,820,1479,55.44%,13,771,784
"District Judge, 337th Judicial District",0203,266,156,422,900,46.89%,86,310,396
"District Judge, 337th Judicial District",0204,1489,914,2403,3462,69.41%,1355,854,2209
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0205,856,201,1057,1667,63.41%,21,1004,1025
"District Judge, 337th Judicial District",0206,651,659,1310,2662,49.21%,401,815,1216
"District Judge, 337th Judicial District",0207,409,310,719,1144,62.85%,251,394,645
"District Judge, 337th Judicial District",0208,806,364,1170,2201,53.16%,299,790,1089
"District Judge, 337th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 337th Judicial District",0210,1013,542,1555,2300,67.61%,177,1288,1465
"District Judge, 337th Judicial District",0211,710,686,1396,2797,49.91%,482,804,1286
"District Judge, 337th Judicial District",0212,218,314,532,1266,42.02%,95,409,504
"District Judge, 337th Judicial District",0213,1603,939,2542,3308,76.84%,1921,417,2338
"District Judge, 337th Judicial District",0214,798,544,1342,1795,74.76%,830,387,1217
"District Judge, 337th Judicial District",0215,844,786,1630,2168,75.18%,976,503,1479
"District Judge, 337th Judicial District",0216,784,320,1104,1917,57.59%,81,973,1054
"District Judge, 337th Judicial District",0217,1396,651,2047,2637,77.63%,1337,518,1855
"District Judge, 337th Judicial District",0218,690,608,1298,2274,57.08%,388,791,1179
"District Judge, 337th Judicial District",0219,1117,587,1704,2654,64.20%,131,1476,1607
"District Judge, 337th Judicial District",0220,711,353,1064,2360,45.08%,720,276,996
"District Judge, 337th Judicial District",0221,699,611,1310,2489,52.63%,539,663,1202
"District Judge, 337th Judicial District",0222,1000,792,1792,2384,75.17%,857,716,1573
"District Judge, 337th Judicial District",0223,1350,760,2110,3528,59.81%,606,1310,1916
"District Judge, 337th Judicial District",0224,894,649,1543,2259,68.30%,713,685,1398
"District Judge, 337th Judicial District",0225,1109,720,1829,3155,57.97%,769,967,1736
"District Judge, 337th Judicial District",0226,529,545,1074,2393,44.88%,218,758,976
"District Judge, 337th Judicial District",0227,947,451,1398,1767,79.12%,1039,229,1268
"District Judge, 337th Judicial District",0228,583,165,748,1073,69.71%,31,689,720
"District Judge, 337th Judicial District",0229,152,207,359,811,44.27%,104,236,340
"District Judge, 337th Judicial District",0230,421,153,574,1096,52.37%,12,536,548
"District Judge, 337th Judicial District",0231,562,471,1033,2219,46.55%,261,716,977
"District Judge, 337th Judicial District",0232,685,546,1231,1696,72.58%,715,398,1113
"District Judge, 337th Judicial District",0233,1826,1063,2889,4132,69.92%,1474,1153,2627
"District Judge, 337th Judicial District",0234,2088,885,2973,3854,77.14%,2232,510,2742
"District Judge, 337th Judicial District",0235,466,242,708,1305,54.25%,25,664,689
"District Judge, 337th Judicial District",0236,779,342,1121,2144,52.29%,24,1045,1069
"District Judge, 337th Judicial District",0237,793,441,1234,2181,56.58%,17,1184,1201
"District Judge, 337th Judicial District",0238,640,422,1062,1901,55.87%,20,1000,1020
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0239,765,357,1122,1997,56.18%,28,1057,1085
"District Judge, 337th Judicial District",0240,1157,402,1559,2688,58.00%,23,1483,1506
"District Judge, 337th Judicial District",0241,494,479,973,2296,42.38%,376,544,920
"District Judge, 337th Judicial District",0242,363,323,686,1570,43.69%,347,301,648
"District Judge, 337th Judicial District",0243,254,50,304,452,67.26%,5,291,296
"District Judge, 337th Judicial District",0244,1100,656,1756,2912,60.30%,907,767,1674
"District Judge, 337th Judicial District",0245,2340,1115,3455,5240,65.94%,2294,1008,3302
"District Judge, 337th Judicial District",0246,1584,624,2208,2999,73.62%,1471,631,2102
"District Judge, 337th Judicial District",0247,421,403,824,1607,51.28%,12,788,800
"District Judge, 337th Judicial District",0248,408,405,813,2122,38.31%,194,573,767
"District Judge, 337th Judicial District",0249,1028,481,1509,2676,56.39%,975,453,1428
"District Judge, 337th Judicial District",0250,306,247,553,951,58.15%,10,535,545
"District Judge, 337th Judicial District",0251,809,529,1338,2072,64.58%,54,1231,1285
"District Judge, 337th Judicial District",0252,1111,356,1467,2350,62.43%,23,1399,1422
"District Judge, 337th Judicial District",0253,923,325,1248,2252,55.42%,17,1210,1227
"District Judge, 337th Judicial District",0254,220,282,502,1476,34.01%,121,340,461
"District Judge, 337th Judicial District",0255,995,797,1792,2411,74.33%,833,812,1645
"District Judge, 337th Judicial District",0256,1059,766,1825,3226,56.57%,713,959,1672
"District Judge, 337th Judicial District",0257,553,571,1124,2403,46.77%,260,807,1067
"District Judge, 337th Judicial District",0258,1577,888,2465,3286,75.02%,1756,488,2244
"District Judge, 337th Judicial District",0259,1,1210,460,1670,2408,69.35%,28,1598,1626
"District Judge, 337th Judicial District",0260,420,290,710,1187,59.81%,375,296,671
"District Judge, 337th Judicial District",0261,176,133,309,749,41.26%,92,200,292
"District Judge, 337th Judicial District",0262,1470,906,2376,4232,56.14%,1353,839,2192
"District Judge, 337th Judicial District",0263,1785,719,2504,3319,75.44%,1836,555,2391
"District Judge, 337th Judicial District",0264,936,639,1575,2939,53.59%,822,619,1441
"District Judge, 337th Judicial District",0265,1936,674,2610,3617,72.16%,1878,510,2388
"District Judge, 337th Judicial District",0266,552,542,1094,2119,51.63%,488,539,1027
"District Judge, 337th Judicial District",0267,294,305,599,1346,44.50%,263,289,552
"District Judge, 337th Judicial District",0268,931,810,1741,2387,72.94%,1021,523,1544
"District Judge, 337th Judicial District",0269,1143,444,1587,1981,80.11%,1225,235,1460
"District Judge, 337th Judicial District",0270,1401,870,2271,3517,64.57%,1265,816,2081
"District Judge, 337th Judicial District",0271,1303,371,1674,2469,67.80%,20,1608,1628
"District Judge, 337th Judicial District",0272,610,484,1094,2112,51.80%,410,621,1031
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0273,1139,634,1773,2426,73.08%,1396,251,1647
"District Judge, 337th Judicial District",0274,1049,364,1413,2063,68.49%,909,414,1323
"District Judge, 337th Judicial District",0275,567,410,977,1730,56.47%,161,774,935
"District Judge, 337th Judicial District",0276,1139,404,1543,2532,60.94%,16,1486,1502
"District Judge, 337th Judicial District",0277,342,305,647,1473,43.92%,282,339,621
"District Judge, 337th Judicial District",0278,756,607,1363,2405,56.67%,704,579,1283
"District Judge, 337th Judicial District",0279,548,383,931,1899,49.03%,549,324,873
"District Judge, 337th Judicial District",0280,303,360,663,1515,43.76%,226,389,615
"District Judge, 337th Judicial District",0281,1087,903,1990,2610,76.25%,954,778,1732
"District Judge, 337th Judicial District",0282,690,591,1281,1988,64.44%,742,464,1206
"District Judge, 337th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 337th Judicial District",0284,1135,595,1730,3262,53.03%,650,987,1637
"District Judge, 337th Judicial District",0285,988,509,1497,2505,59.76%,103,1332,1435
"District Judge, 337th Judicial District",0286,2657,1053,3710,5719,64.87%,321,3216,3537
"District Judge, 337th Judicial District",0287,647,542,1189,1616,73.58%,615,474,1089
"District Judge, 337th Judicial District",0288,1036,380,1416,2259,62.68%,26,1341,1367
"District Judge, 337th Judicial District",0289,374,397,771,1510,51.06%,308,403,711
"District Judge, 337th Judicial District",0290,577,429,1006,1567,64.20%,752,215,967
"District Judge, 337th Judicial District",0291,541,298,839,1203,69.74%,386,385,771
"District Judge, 337th Judicial District",0292,477,236,713,1272,56.05%,91,593,684
"District Judge, 337th Judicial District",0293,620,557,1177,1733,67.92%,544,540,1084
"District Judge, 337th Judicial District",0294,989,298,1287,2107,61.08%,12,1224,1236
"District Judge, 337th Judicial District",0295,314,189,503,862,58.35%,6,482,488
"District Judge, 337th Judicial District",0296,602,432,1034,1693,61.08%,576,352,928
"District Judge, 337th Judicial District",0297,576,445,1021,1978,51.62%,386,560,946
"District Judge, 337th Judicial District",0298,847,475,1322,2083,63.47%,713,509,1222
"District Judge, 337th Judicial District",0299,328,213,541,1231,43.95%,172,331,503
"District Judge, 337th Judicial District",0300,3013,922,3935,5040,78.08%,2973,710,3683
"District Judge, 337th Judicial District",0301,450,655,1105,2397,46.10%,408,637,1045
"District Judge, 337th Judicial District",0302,713,635,1348,2724,49.49%,697,561,1258
"District Judge, 337th Judicial District",0303,1772,755,2527,3172,79.67%,1972,366,2338
"District Judge, 337th Judicial District",0304,970,648,1618,2266,71.40%,881,574,1455
"District Judge, 337th Judicial District",0305,1319,858,2177,3621,60.12%,798,1275,2073
"District Judge, 337th Judicial District",0306,1013,323,1336,1847,72.33%,969,273,1242
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Reneé Magee,DEM Herb Ritchie,Totals
"District Judge, 337th Judicial District",0307,1242,876,2118,2931,72.26%,1463,527,1990
"District Judge, 337th Judicial District",0308,444,238,682,1266,53.87%,187,455,642
"District Judge, 337th Judicial District",0309,1385,612,1997,2529,78.96%,1574,288,1862
"District Judge, 337th Judicial District",0310,517,348,965,1437,67.15%,631,258,889
"District Judge, 337th Judicial District",0311,862,699,1561,2997,52.09%,679,701,1380
"District Judge, 337th Judicial District",0312,1600,718,2318,3669,63.18%,1276,884,2160
"District Judge, 337th Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 337th Judicial District",0314,2494,1221,3715,5225,71.10%,2238,1312,3550
"District Judge, 337th Judicial District",0315,711,479,1190,1618,73.55%,686,401,1087
"District Judge, 337th Judicial District",0316,682,411,1093,1522,71.81%,588,405,993
"District Judge, 337th Judicial District",0317,551,336,887,1469,60.38%,265,576,841
"District Judge, 337th Judicial District",0318,1708,611,2319,3531,65.68%,98,2126,2224
"District Judge, 337th Judicial District",0319,965,290,1255,2081,60.31%,77,1123,1200
"District Judge, 337th Judicial District",0320,464,300,764,1505,50.76%,332,378,710
"District Judge, 337th Judicial District",0321,442,305,748,2029,36.87%,248,455,703
"District Judge, 337th Judicial District",0322,397,237,634,1322,47.96%,161,450,611
"District Judge, 337th Judicial District",0323,482,332,814,1719,47.35%,333,415,748
"District Judge, 337th Judicial District",0324,967,718,1685,2339,72.04%,1057,478,1535
"District Judge, 337th Judicial District",0325,656,397,1053,2251,46.78%,232,762,994
"District Judge, 337th Judicial District",0326,202,128,330,678,48.67%,127,165,292
"District Judge, 337th Judicial District",0327,725,244,970,1751,55.40%,15,919,934
"District Judge, 337th Judicial District",0328,344,270,614,1361,45.11%,230,352,582
"District Judge, 337th Judicial District",0329,405,307,712,1367,52.08%,223,437,660
"District Judge, 337th Judicial District",0330,590,376,966,1849,52.24%,429,466,895
