Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0085,730,548,1278,2079,61.47%,22,1203,1225
"District Judge, 177th Judicial District",0086,1054,689,1743,2637,66.10%,792,809,1601
"District Judge, 177th Judicial District",0087,1222,861,2083,2749,75.77%,1330,549,1879
"District Judge, 177th Judicial District",0088,235,162,397,678,58.55%,251,129,380
"District Judge, 177th Judicial District",0089,342,454,796,1104,72.10%,465,244,709
"District Judge, 177th Judicial District",0090,1498,958,2456,3571,68.78%,1781,530,2311
"District Judge, 177th Judicial District",0091,466,333,799,1248,64.02%,487,278,765
"District Judge, 177th Judicial District",0092,1105,534,1639,2228,73.56%,1112,405,1517
"District Judge, 177th Judicial District",0093,782,643,1425,3295,43.25%,507,816,1323
"District Judge, 177th Judicial District",0094,148,104,252,537,46.93%,54,182,236
"District Judge, 177th Judicial District",0095,1684,671,2355,3179,74.08%,1608,587,2195
"District Judge, 177th Judicial District",0096,364,237,601,1241,48.43%,59,520,579
"District Judge, 177th Judicial District",0097,2393,764,3157,4566,69.14%,2280,711,2991
"District Judge, 177th Judicial District",0098,874,607,1481,2403,61.63%,1198,215,1413
"District Judge, 177th Judicial District",0099,568,311,879,2040,43.09%,388,455,843
"District Judge, 177th Judicial District",0100,427,324,751,1754,42.82%,317,402,719
"District Judge, 177th Judicial District",0101,203,186,389,941,41.34%,86,289,375
"District Judge, 177th Judicial District",0102,493,268,761,1910,39.84%,190,541,731
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0103,1915,1065,2980,4751,62.72%,1534,1308,2842
"District Judge, 177th Judicial District",0104,992,238,1230,1847,66.59%,21,1176,1197
"District Judge, 177th Judicial District",0105,462,453,915,2153,42.50%,232,617,849
"District Judge, 177th Judicial District",0106,49,37,86,284,30.28%,37,43,80
"District Judge, 177th Judicial District",0107,412,441,853,1905,44.78%,135,683,818
"District Judge, 177th Judicial District",0108,1193,514,1707,3229,52.86%,870,743,1613
"District Judge, 177th Judicial District",0109,1160,430,1590,2884,55.13%,26,1514,1540
"District Judge, 177th Judicial District",0110,1465,589,2054,2853,71.99%,1214,725,1939
"District Judge, 177th Judicial District",0111,1868,848,2716,3638,74.66%,1979,576,2555
"District Judge, 177th Judicial District",0112,1262,668,1930,2894,66.69%,1340,495,1835
"District Judge, 177th Judicial District",0113,1125,590,1715,2537,67.60%,968,649,1617
"District Judge, 177th Judicial District",0114,1454,546,2000,2650,75.47%,1547,377,1924
"District Judge, 177th Judicial District",0115,598,305,903,1764,51.19%,98,775,873
"District Judge, 177th Judicial District",0116,1626,747,2373,3014,78.73%,1795,435,2230
"District Judge, 177th Judicial District",0117,398,462,860,1878,45.79%,349,460,809
"District Judge, 177th Judicial District",0118,460,148,608,743,81.83%,484,88,572
"District Judge, 177th Judicial District",0119,1924,1265,3189,4892,65.19%,2489,583,3072
"District Judge, 177th Judicial District",0120,1197,632,1829,2986,61.25%,1085,623,1708
"District Judge, 177th Judicial District",0121,193,244,437,679,64.36%,286,129,415
"District Judge, 177th Judicial District",0122,895,349,1244,2199,56.57%,35,1161,1196
"District Judge, 177th Judicial District",0123,440,350,790,1356,58.26%,232,495,727
"District Judge, 177th Judicial District",0124,3522,1281,4803,5952,80.70%,3765,824,4589
"District Judge, 177th Judicial District",0125,896,534,1430,2281,62.69%,816,551,1367
"District Judge, 177th Judicial District",0126,1630,407,2037,2799,72.78%,1733,210,1943
"District Judge, 177th Judicial District",0127,854,182,1036,1703,60.83%,712,276,988
"District Judge, 177th Judicial District",0128,936,736,1672,2257,74.08%,1061,421,1482
"District Judge, 177th Judicial District",0129,2294,1449,3743,5495,68.12%,2293,1202,3495
"District Judge, 177th Judicial District",0130,1201,523,1724,2240,76.96%,1278,337,1615
"District Judge, 177th Judicial District",0131,604,374,978,1721,56.83%,224,711,935
"District Judge, 177th Judicial District",0132,1119,397,1516,2449,61.90%,24,1436,1460
"District Judge, 177th Judicial District",0133,1083,940,2023,2605,77.66%,1220,613,1833
"District Judge, 177th Judicial District",0134,419,392,811,1444,56.16%,356,403,759
"District Judge, 177th Judicial District",0135,1424,634,2058,2750,74.84%,1320,568,1888
"District Judge, 177th Judicial District",0136,981,451,1432,2111,67.84%,47,1338,1385
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0137,305,193,498,740,67.30%,249,202,451
"District Judge, 177th Judicial District",0138,661,259,920,1749,52.60%,16,867,883
"District Judge, 177th Judicial District",0139,1290,747,2037,2746,74.18%,989,853,1842
"District Judge, 177th Judicial District",0140,1311,683,1994,3104,64.24%,292,1578,1870
"District Judge, 177th Judicial District",0141,181,143,324,872,37.16%,194,107,301
"District Judge, 177th Judicial District",0142,212,171,383,870,44.02%,98,260,358
"District Judge, 177th Judicial District",0143,2993,660,3653,4598,79.45%,2532,972,3504
"District Judge, 177th Judicial District",0144,476,204,680,1143,59.49%,12,649,661
"District Judge, 177th Judicial District",0145,663,245,908,1580,57.47%,13,875,888
"District Judge, 177th Judicial District",0146,759,614,1373,1953,70.30%,605,658,1263
"District Judge, 177th Judicial District",0147,1255,485,1740,2813,61.86%,199,1499,1698
"District Judge, 177th Judicial District",0148,908,924,1832,2467,74.26%,798,858,1656
"District Judge, 177th Judicial District",0149,2859,1322,4181,6103,68.51%,1848,2154,4002
"District Judge, 177th Judicial District",0150,539,207,746,1212,61.55%,16,713,729
"District Judge, 177th Judicial District",0151,316,148,464,846,54.85%,18,423,441
"District Judge, 177th Judicial District",0152,483,602,1085,2701,40.17%,226,799,1025
"District Judge, 177th Judicial District",0153,328,437,765,1755,43.59%,179,533,712
"District Judge, 177th Judicial District",0154,593,360,953,2133,44.68%,206,647,853
"District Judge, 177th Judicial District",0155,1957,834,2791,4087,68.29%,1863,769,2632
"District Judge, 177th Judicial District",0156,1427,457,1884,3134,60.11%,45,1772,1817
"District Judge, 177th Judicial District",0157,881,382,1263,2311,54.65%,37,1193,1230
"District Judge, 177th Judicial District",0158,1304,435,1739,3016,57.66%,29,1671,1700
"District Judge, 177th Judicial District",0159,313,187,500,976,51.23%,64,413,477
"District Judge, 177th Judicial District",0160,246,140,386,688,56.10%,11,361,372
"District Judge, 177th Judicial District",0161,395,190,585,1030,56.80%,9,557,566
"District Judge, 177th Judicial District",0162,232,262,494,1249,39.55%,141,300,441
"District Judge, 177th Judicial District",0163,778,635,1413,3054,46.27%,396,846,1242
"District Judge, 177th Judicial District",0164,505,304,809,1434,56.42%,10,778,788
"District Judge, 177th Judicial District",0165,918,557,1475,2284,64.58%,933,457,1390
"District Judge, 177th Judicial District",0166,281,311,592,1016,58.27%,193,355,548
"District Judge, 177th Judicial District",0167,5,2,7,23,30.43%,0,7,7
"District Judge, 177th Judicial District",0168,188,126,314,519,60.50%,6,292,298
"District Judge, 177th Judicial District",0169,1059,433,1492,2531,58.95%,16,1441,1457
"District Judge, 177th Judicial District",0170,481,353,834,1887,44.20%,392,378,770
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0171,514,294,808,1613,50.09%,29,747,776
"District Judge, 177th Judicial District",0172,161,147,308,600,51.33%,101,177,278
"District Judge, 177th Judicial District",0173,1798,619,2417,3105,77.84%,1834,468,2302
"District Judge, 177th Judicial District",0174,1554,767,2321,3159,73.47%,1558,590,2148
"District Judge, 177th Judicial District",0175,1064,867,1931,2506,77.06%,997,736,1733
"District Judge, 177th Judicial District",0176,626,530,1156,1581,73.12%,615,420,1035
"District Judge, 177th Judicial District",0177,672,385,1057,1478,71.52%,632,349,981
"District Judge, 177th Judicial District",0178,913,368,1281,1718,74.56%,864,307,1171
"District Judge, 177th Judicial District",0179,449,321,770,1508,51.06%,343,373,716
"District Judge, 177th Judicial District",0180,966,552,1518,2795,54.31%,34,1418,1452
"District Judge, 177th Judicial District",0181,416,514,930,1968,47.26%,259,606,865
"District Judge, 177th Judicial District",0182,1321,1081,2402,3289,73.03%,1430,721,2151
"District Judge, 177th Judicial District",0183,970,943,1913,2451,78.05%,1278,463,1741
"District Judge, 177th Judicial District",0184,214,256,470,969,48.50%,132,299,431
"District Judge, 177th Judicial District",0185,592,494,1086,1910,56.86%,349,664,1013
"District Judge, 177th Judicial District",0186,204,170,374,795,47.04%,39,310,349
"District Judge, 177th Judicial District",0187,48,65,113,309,36.57%,26,81,107
"District Judge, 177th Judicial District",0188,307,378,685,1616,42.39%,236,415,651
"District Judge, 177th Judicial District",0189,492,473,965,1453,66.41%,510,363,873
"District Judge, 177th Judicial District",0190,275,401,676,1720,39.30%,230,402,632
"District Judge, 177th Judicial District",0191,196,313,509,1391,36.59%,174,310,484
"District Judge, 177th Judicial District",0192,746,332,1078,2045,52.71%,32,1011,1043
"District Judge, 177th Judicial District",0193,341,269,610,1050,58.10%,11,579,590
"District Judge, 177th Judicial District",0194,704,504,1208,1735,69.63%,375,751,1126
"District Judge, 177th Judicial District",0195,539,419,958,1721,55.67%,25,899,924
"District Judge, 177th Judicial District",0196,121,55,176,323,54.49%,7,162,169
"District Judge, 177th Judicial District",0197,1109,497,1606,2895,55.47%,28,1528,1556
"District Judge, 177th Judicial District",0198,143,158,301,657,45.81%,6,284,290
"District Judge, 177th Judicial District",0199,1407,773,2180,3159,69.01%,1631,437,2068
"District Judge, 177th Judicial District",0200,1638,585,2223,3222,68.99%,1032,984,2016
"District Judge, 177th Judicial District",0201,229,125,354,728,48.63%,10,335,345
"District Judge, 177th Judicial District",0202,488,332,820,1479,55.44%,17,769,786
"District Judge, 177th Judicial District",0203,266,156,422,900,46.89%,82,313,395
"District Judge, 177th Judicial District",0204,1489,914,2403,3462,69.41%,1367,856,2223
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0205,856,201,1057,1667,63.41%,19,1006,1025
"District Judge, 177th Judicial District",0206,651,659,1310,2662,49.21%,398,818,1216
"District Judge, 177th Judicial District",0207,409,310,719,1144,62.85%,249,403,652
"District Judge, 177th Judicial District",0208,806,364,1170,2201,53.16%,290,805,1095
"District Judge, 177th Judicial District",0209,0,4,4,0,0.00%,4,0,4
"District Judge, 177th Judicial District",0210,1013,542,1555,2300,67.61%,165,1310,1475
"District Judge, 177th Judicial District",0211,710,686,1396,2797,49.91%,479,809,1288
"District Judge, 177th Judicial District",0212,218,314,532,1266,42.02%,95,406,501
"District Judge, 177th Judicial District",0213,1603,939,2542,3308,76.84%,1939,408,2347
"District Judge, 177th Judicial District",0214,798,544,1342,1795,74.76%,843,377,1220
"District Judge, 177th Judicial District",0215,844,786,1630,2168,75.18%,991,503,1494
"District Judge, 177th Judicial District",0216,784,320,1104,1917,57.59%,77,979,1056
"District Judge, 177th Judicial District",0217,1396,651,2047,2637,77.63%,1336,530,1866
"District Judge, 177th Judicial District",0218,690,608,1298,2274,57.08%,372,816,1188
"District Judge, 177th Judicial District",0219,1117,587,1704,2654,64.20%,134,1480,1614
"District Judge, 177th Judicial District",0220,711,353,1064,2360,45.08%,728,273,1001
"District Judge, 177th Judicial District",0221,699,611,1310,2489,52.63%,536,669,1205
"District Judge, 177th Judicial District",0222,1000,792,1792,2384,75.17%,861,725,1586
"District Judge, 177th Judicial District",0223,1350,760,2110,3528,59.81%,609,1321,1930
"District Judge, 177th Judicial District",0224,894,649,1543,2259,68.30%,727,682,1409
"District Judge, 177th Judicial District",0225,1109,720,1829,3155,57.97%,769,970,1739
"District Judge, 177th Judicial District",0226,529,545,1074,2393,44.88%,210,771,981
"District Judge, 177th Judicial District",0227,947,451,1398,1767,79.12%,1059,224,1283
"District Judge, 177th Judicial District",0228,583,165,748,1073,69.71%,33,694,727
"District Judge, 177th Judicial District",0229,152,207,359,811,44.27%,103,238,341
"District Judge, 177th Judicial District",0230,421,153,574,1096,52.37%,11,536,547
"District Judge, 177th Judicial District",0231,562,471,1033,2219,46.55%,263,714,977
"District Judge, 177th Judicial District",0232,685,546,1231,1696,72.58%,710,405,1115
"District Judge, 177th Judicial District",0233,1826,1063,2889,4132,69.92%,1482,1154,2636
"District Judge, 177th Judicial District",0234,2088,885,2973,3854,77.14%,2244,503,2747
"District Judge, 177th Judicial District",0235,466,242,708,1305,54.25%,20,668,688
"District Judge, 177th Judicial District",0236,779,342,1121,2144,52.29%,22,1050,1072
"District Judge, 177th Judicial District",0237,793,441,1234,2181,56.58%,16,1188,1204
"District Judge, 177th Judicial District",0238,640,422,1062,1901,55.87%,16,1009,1025
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0239,765,357,1122,1997,56.18%,27,1062,1089
"District Judge, 177th Judicial District",0240,1157,402,1559,2688,58.00%,18,1491,1509
"District Judge, 177th Judicial District",0241,494,479,973,2296,42.38%,371,548,919
"District Judge, 177th Judicial District",0242,363,323,686,1570,43.69%,355,294,649
"District Judge, 177th Judicial District",0243,254,50,304,452,67.26%,3,293,296
"District Judge, 177th Judicial District",0244,1100,656,1756,2912,60.30%,905,773,1678
"District Judge, 177th Judicial District",0245,2340,1115,3455,5240,65.94%,2271,1040,3311
"District Judge, 177th Judicial District",0246,1584,624,2208,2999,73.62%,1471,632,2103
"District Judge, 177th Judicial District",0247,421,403,824,1607,51.28%,12,791,803
"District Judge, 177th Judicial District",0248,408,405,813,2122,38.31%,195,574,769
"District Judge, 177th Judicial District",0249,1028,481,1509,2676,56.39%,980,449,1429
"District Judge, 177th Judicial District",0250,306,247,553,951,58.15%,9,536,545
"District Judge, 177th Judicial District",0251,809,529,1338,2072,64.58%,48,1239,1287
"District Judge, 177th Judicial District",0252,1111,356,1467,2350,62.43%,20,1402,1422
"District Judge, 177th Judicial District",0253,923,325,1248,2252,55.42%,15,1216,1231
"District Judge, 177th Judicial District",0254,220,282,502,1476,34.01%,118,348,466
"District Judge, 177th Judicial District",0255,995,797,1792,2411,74.33%,832,825,1657
"District Judge, 177th Judicial District",0256,1059,766,1825,3226,56.57%,711,973,1684
"District Judge, 177th Judicial District",0257,553,571,1124,2403,46.77%,261,811,1072
"District Judge, 177th Judicial District",0258,1577,888,2465,3286,75.02%,1765,480,2245
"District Judge, 177th Judicial District",0259,1210,460,1670,2408,69.35%,24,1607,1631
"District Judge, 177th Judicial District",0260,420,290,710,1187,59.81%,374,298,672
"District Judge, 177th Judicial District",0261,176,133,309,749,41.26%,92,197,289
"District Judge, 177th Judicial District",0262,1470,906,2376,4232,56.14%,1360,830,2190
"District Judge, 177th Judicial District",0263,1785,719,2504,3319,75.44%,1836,556,2392
"District Judge, 177th Judicial District",0264,936,639,1575,2939,53.59%,831,623,1454
"District Judge, 177th Judicial District",0265,1936,674,2610,3617,72.16%,1902,493,2395
"District Judge, 177th Judicial District",0266,552,542,1094,2119,51.63%,488,537,1025
"District Judge, 177th Judicial District",0267,294,305,599,1346,44.50%,264,288,552
"District Judge, 177th Judicial District",0268,931,810,1741,2387,72.94%,1039,513,1552
"District Judge, 177th Judicial District",0269,1143,444,1587,1981,80.11%,1239,237,1476
"District Judge, 177th Judicial District",0270,1401,870,2271,3517,64.57%,1265,832,2097
"District Judge, 177th Judicial District",0271,1303,371,1674,2469,67.80%,14,1613,1627
"District Judge, 177th Judicial District",0272,610,484,1094,2112,51.80%,407,621,1028
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0273,1139,634,1773,2426,73.08%,1405,251,1656
"District Judge, 177th Judicial District",0274,1049,364,1413,2063,68.49%,934,392,1326
"District Judge, 177th Judicial District",0275,567,410,977,1730,56.47%,167,770,937
"District Judge, 177th Judicial District",0276,1139,404,1543,2532,60.94%,12,1501,1513
"District Judge, 177th Judicial District",0277,342,305,647,1473,43.92%,277,345,622
"District Judge, 177th Judicial District",0278,756,607,1363,2405,56.67%,698,586,1284
"District Judge, 177th Judicial District",0279,548,383,931,1899,49.03%,549,329,878
"District Judge, 177th Judicial District",0280,303,360,663,1515,43.76%,223,397,620
"District Judge, 177th Judicial District",0281,1087,903,1990,2610,76.25%,1026,716,1742
"District Judge, 177th Judicial District",0282,690,591,1281,1988,64.44%,751,455,1206
"District Judge, 177th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 177th Judicial District",0284,1135,595,1730,3262,53.03%,646,991,1637
"District Judge, 177th Judicial District",0285,988,509,1497,2505,59.76%,101,1342,1443
"District Judge, 177th Judicial District",0286,2657,1053,3710,5719,64.87%,305,3254,3559
"District Judge, 177th Judicial District",0287,647,542,1189,1616,73.58%,626,473,1099
"District Judge, 177th Judicial District",0288,1036,380,1416,2259,62.68%,20,1350,1370
"District Judge, 177th Judicial District",0289,374,397,771,1510,51.06%,296,415,711
"District Judge, 177th Judicial District",0290,577,429,1006,1567,64.20%,755,215,970
"District Judge, 177th Judicial District",0291,541,298,839,1203,69.74%,402,381,783
"District Judge, 177th Judicial District",0292,477,236,713,1272,56.05%,84,600,684
"District Judge, 177th Judicial District",0293,620,557,1177,1733,67.92%,543,542,1085
"District Judge, 177th Judicial District",0294,989,298,1287,2107,61.08%,10,1238,1248
"District Judge, 177th Judicial District",0295,314,189,503,862,58.35%,6,485,491
"District Judge, 177th Judicial District",0296,602,432,1034,1693,61.08%,582,354,936
"District Judge, 177th Judicial District",0297,576,445,1021,1978,51.62%,371,576,947
"District Judge, 177th Judicial District",0298,847,475,1322,2083,63.47%,714,510,1224
"District Judge, 177th Judicial District",0299,328,213,541,1231,43.95%,175,330,505
"District Judge, 177th Judicial District",0300,3013,922,3935,5040,78.08%,2986,716,3702
"District Judge, 177th Judicial District",0301,450,655,1105,2397,46.10%,411,635,1046
"District Judge, 177th Judicial District",0302,713,635,1348,2724,49.49%,703,555,1258
"District Judge, 177th Judicial District",0303,1772,755,2527,3172,79.67%,1998,359,2357
"District Judge, 177th Judicial District",0304,970,648,1618,2266,71.40%,914,543,1457
"District Judge, 177th Judicial District",0305,1319,858,2177,3621,60.12%,795,1289,2084
"District Judge, 177th Judicial District",0306,1013,323,1336,1847,72.33%,985,261,1246
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ryan Patrick,DEM Vivian King,Totals
"District Judge, 177th Judicial District",0307,1242,876,2118,2931,72.26%,1458,535,1993
"District Judge, 177th Judicial District",0308,444,238,682,1266,53.87%,188,455,643
"District Judge, 177th Judicial District",0309,1385,612,1997,2529,78.96%,1597,277,1874
"District Judge, 177th Judicial District",0310,517,348,965,1437,67.15%,638,256,894
"District Judge, 177th Judicial District",0311,862,699,1561,2997,52.09%,675,714,1389
"District Judge, 177th Judicial District",0312,1600,718,2318,3669,63.18%,1278,893,2171
"District Judge, 177th Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 177th Judicial District",0314,2494,1221,3715,5225,71.10%,2227,1327,3554
"District Judge, 177th Judicial District",0315,711,479,1190,1618,73.55%,714,380,1094
"District Judge, 177th Judicial District",0316,682,411,1093,1522,71.81%,599,397,996
"District Judge, 177th Judicial District",0317,551,336,887,1469,60.38%,262,582,844
"District Judge, 177th Judicial District",0318,1708,611,2319,3531,65.68%,96,2144,2240
"District Judge, 177th Judicial District",0319,965,290,1255,2081,60.31%,80,1130,1210
"District Judge, 177th Judicial District",0320,464,300,764,1505,50.76%,328,384,712
"District Judge, 177th Judicial District",0321,442,305,748,2029,36.87%,250,455,705
"District Judge, 177th Judicial District",0322,397,237,634,1322,47.96%,160,450,610
"District Judge, 177th Judicial District",0323,482,332,814,1719,47.35%,333,416,749
"District Judge, 177th Judicial District",0324,967,718,1685,2339,72.04%,1077,468,1545
"District Judge, 177th Judicial District",0325,656,397,1053,2251,46.78%,230,767,997
"District Judge, 177th Judicial District",0326,202,128,330,678,48.67%,130,164,294
"District Judge, 177th Judicial District",0327,725,244,970,1751,55.40%,11,926,937
"District Judge, 177th Judicial District",0328,344,270,614,1361,45.11%,225,357,582
"District Judge, 177th Judicial District",0329,405,307,712,1367,52.08%,221,443,664
"District Judge, 177th Judicial District",0330,590,376,966,1849,52.24%,432,464,896
"District Judge, 177th Judicial District",0331,0,1,1,0,0.00%,1,0,1
