Page,Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Katherine McDaniel,DEM Hazel B. Jones,Totals
895,"District Judge, 174th Judicial District",0063,767,391,1158,1903,60.85%,908,197,1105
895,"District Judge, 174th Judicial District",0064,678,368,1046,2220,47.12%,196,773,969
895,"District Judge, 174th Judicial District",0065,638,435,1073,2178,49.27%,182,832,1014
895,"District Judge, 174th Judicial District",0066,247,255,502,1135,44.23%,91,378,469
895,"District Judge, 174th Judicial District",0067,942,521,1463,3019,48.46%,279,1066,1345
895,"District Judge, 174th Judicial District",0068,1171,430,1601,3096,51.71%,44,1503,1547
896,"District Judge, 174th Judicial District",0069,375,222,597,1309,45.61%,94,444,538
896,"District Judge, 174th Judicial District",0070,2288,670,2958,3815,77.54%,1623,1153,2776
896,"District Judge, 174th Judicial District",0071,2703,947,3650,5016,72.77%,1765,1647,3412
896,"District Judge, 174th Judicial District",0072,736,418,1154,2029,56.88%,285,790,1075
896,"District Judge, 174th Judicial District",0073,813,282,1095,1621,67.55%,552,465,1017
896,"District Judge, 174th Judicial District",0074,2503,268,2771,3578,77.45%,2041,594,2635
896,"District Judge, 174th Judicial District",0075,1000,286,1286,1684,76.37%,564,628,1192
896,"District Judge, 174th Judicial District",0076,1015,427,1442,2441,59.07%,694,669,1363
896,"District Judge, 174th Judicial District",0077,2,5,7,17,41.18%,1,6,7
896,"District Judge, 174th Judicial District",0078,618,254,872,1608,54.23%,223,576,799
896,"District Judge, 174th Judicial District",0079,831,602,1433,2963,48.36%,250,1065,1315
896,"District Judge, 174th Judicial District",0080,1174,466,1640,2840,57.75%,350,1193,1543
896,"District Judge, 174th Judicial District",0081,776,273,1049,1964,53.41%,297,695,992
896,"District Judge, 174th Judicial District",0082,1585,756,2341,3539,66.15%,1645,592,2237
896,"District Judge, 174th Judicial District",0083,1829,540,2369,4174,56.76%,870,1405,2275
896,"District Judge, 174th Judicial District",0084,573,257,830,1421,58.41%,571,227,798
896,"District Judge, 174th Judicial District",0085,587,329,916,2169,42.23%,37,848,885
896,"District Judge, 174th Judicial District",0086,2032,493,2525,3449,73.21%,1162,1195,2357
896,"District Judge, 174th Judicial District",0087,1451,719,2170,2839,76.44%,1328,713,2041
896,"District Judge, 174th Judicial District",0088,338,141,479,784,61.10%,306,146,452
896,"District Judge, 174th Judicial District",0089,398,424,822,1094,75.14%,445,314,759
896,"District Judge, 174th Judicial District",0090,1856,890,2746,3883,70.72%,1981,640,2621
896,"District Judge, 174th Judicial District",0091,673,339,1012,1724,58.70%,551,393,944
896,"District Judge, 174th Judicial District",0092,1263,474,1737,2260,76.86%,1088,546,1634
896,"District Judge, 174th Judicial District",0093,1048,619,1667,3536,47.14%,479,1100,1579
896,"District Judge, 174th Judicial District",0094,202,63,265,580,45.69%,44,207,251
896,"District Judge, 174th Judicial District",0095,2022,534,2556,3394,75.31%,1589,835,2424
896,"District Judge, 174th Judicial District",0096,828,306,1134,2060,55.05%,153,930,1083
896,"District Judge, 174th Judicial District",0097,2511,467,2978,4414,67.47%,2181,658,2839
896,"District Judge, 174th Judicial District",0098,1385,594,1979,3161,62.61%,1590,309,1899
896,"District Judge, 174th Judicial District",0099,681,295,976,2192,44.53%,398,530,928
896,"District Judge, 174th Judicial District",0100,529,276,805,1825,44.11%,329,444,773
896,"District Judge, 174th Judicial District",0101,221,129,350,988,35.43%,85,252,337
896,"District Judge, 174th Judicial District",0102,580,227,807,1907,42.32%,206,556,762
897,"District Judge, 174th Judicial District",0103,2140,985,3125,5097,61.31%,1484,1528,3012
897,"District Judge, 174th Judicial District",0104,913,211,1124,1920,58.54%,30,1064,1094
897,"District Judge, 174th Judicial District",0105,709,433,1142,2304,49.57%,279,780,1059
897,"District Judge, 174th Judicial District",0106,73,59,132,299,44.15%,44,85,129
897,"District Judge, 174th Judicial District",0107,592,403,995,2230,44.62%,154,800,954
897,"District Judge, 174th Judicial District",0108,1461,448,1909,3674,51.96%,894,894,1788
897,"District Judge, 174th Judicial District",0109,1098,278,1376,2909,47.30%,36,1295,1331
897,"District Judge, 174th Judicial District",0110,1661,481,2142,3222,66.48%,1210,840,2050
897,"District Judge, 174th Judicial District",0111,2699,866,3565,4792,74.39%,2437,959,3396
897,"District Judge, 174th Judicial District",0112,1507,598,2105,3188,66.03%,1359,646,2005
897,"District Judge, 174th Judicial District",0113,1307,418,1725,2718,63.47%,878,776,1654
897,"District Judge, 174th Judicial District",0114,2290,506,2796,3885,71.97%,2006,669,2675
897,"District Judge, 174th Judicial District",0115,609,272,881,1843,47.80%,83,758,841
897,"District Judge, 174th Judicial District",0116,1898,599,2497,3194,78.18%,1844,543,2387
897,"District Judge, 174th Judicial District",0117,573,379,952,1900,50.11%,322,570,892
897,"District Judge, 174th Judicial District",0118,1823,530,2353,3181,73.97%,1202,1037,2239
897,"District Judge, 174th Judicial District",0119,2755,409,3164,4682,67.58%,2420,597,3017
897,"District Judge, 174th Judicial District",0120,1804,588,2392,3732,64.09%,1388,879,2267
897,"District Judge, 174th Judicial District",0121,354,221,575,966,59.52%,356,203,559
897,"District Judge, 174th Judicial District",0122,732,284,1016,1904,53.36%,49,928,977
897,"District Judge, 174th Judicial District",0123,749,287,1036,1585,65.36%,262,718,980
897,"District Judge, 174th Judicial District",0124,3136,888,4024,5393,74.62%,3110,782,3892
897,"District Judge, 174th Judicial District",0125,1207,400,1607,2593,61.97%,829,706,1535
897,"District Judge, 174th Judicial District",0126,2017,427,2444,3380,72.31%,2045,296,2341
897,"District Judge, 174th Judicial District",0127,978,214,1192,2091,57.01%,819,304,1123
897,"District Judge, 174th Judicial District",0128,1107,612,1719,2322,74.03%,1008,574,1582
897,"District Judge, 174th Judicial District",0129,2540,1052,3592,5172,69.45%,2053,1345,3398
897,"District Judge, 174th Judicial District",0130,1310,433,1743,2289,76.15%,1219,442,1661
897,"District Judge, 174th Judicial District",0131,798,371,1169,2147,54.45%,239,896,1135
897,"District Judge, 174th Judicial District",0132,1028,322,1350,2378,56.77%,41,1280,1321
897,"District Judge, 174th Judicial District",0133,1411,746,2157,2690,80.19%,1169,827,1996
897,"District Judge, 174th Judicial District",0134,593,345,938,1513,62.00%,363,516,879
897,"District Judge, 174th Judicial District",0135,1614,551,2165,2777,77.96%,1333,694,2027
897,"District Judge, 174th Judicial District",0136,982,352,1334,2116,63.04%,66,1220,1286
898,"District Judge, 174th Judicial District",0137,993,259,1252,1986,63.04%,819,380,1199
898,"District Judge, 174th Judicial District",0138,600,228,828,1723,48.06%,39,766,805
898,"District Judge, 174th Judicial District",0139,1939,601,2540,3435,73.94%,1125,1217,2342
898,"District Judge, 174th Judicial District",0140,1513,510,2023,3270,61.87%,310,1596,1906
898,"District Judge, 174th Judicial District",0141,217,153,370,904,40.93%,190,150,340
898,"District Judge, 174th Judicial District",0142,293,140,433,933,46.41%,90,308,398
898,"District Judge, 174th Judicial District",0143,1868,267,2135,2582,82.69%,1376,685,2061
898,"District Judge, 174th Judicial District",0144,442,125,567,1086,52.21%,16,530,546
898,"District Judge, 174th Judicial District",0145,560,256,816,1564,52.17%,13,778,791
898,"District Judge, 174th Judicial District",0146,1000,494,1494,2073,72.07%,606,796,1402
898,"District Judge, 174th Judicial District",0147,1411,354,1765,3211,54.97%,213,1498,1711
898,"District Judge, 174th Judicial District",0148,1265,652,1917,2571,74.56%,717,1061,1778
898,"District Judge, 174th Judicial District",0149,2938,573,3511,4756,73.82%,1894,1485,3379
898,"District Judge, 174th Judicial District",0150,582,223,805,1574,51.14%,32,746,778
898,"District Judge, 174th Judicial District",0151,282,107,389,826,47.09%,14,358,372
898,"District Judge, 174th Judicial District",0152,838,524,1362,3059,44.52%,276,1005,1281
898,"District Judge, 174th Judicial District",0153,544,399,943,1873,50.35%,214,679,893
898,"District Judge, 174th Judicial District",0154,913,289,1202,2293,52.42%,246,865,1111
898,"District Judge, 174th Judicial District",0155,2275,576,2851,4065,70.14%,1733,970,2703
898,"District Judge, 174th Judicial District",0156,1413,403,1815,3223,56.35%,87,1650,1737
898,"District Judge, 174th Judicial District",0157,880,278,1158,2265,51.13%,61,1063,1124
898,"District Judge, 174th Judicial District",0158,1143,365,1508,3049,49.46%,34,1439,1473
898,"District Judge, 174th Judicial District",0159,348,147,495,997,49.65%,71,403,474
898,"District Judge, 174th Judicial District",0160,286,67,353,717,49.23%,15,324,339
898,"District Judge, 174th Judicial District",0161,378,173,551,992,55.54%,15,512,527
898,"District Judge, 174th Judicial District",0162,364,267,631,1312,48.09%,151,431,582
898,"District Judge, 174th Judicial District",0163,1080,524,1604,3075,52.16%,441,996,1437
898,"District Judge, 174th Judicial District",0164,441,258,699,1407,49.68%,21,649,670
898,"District Judge, 174th Judicial District",0165,1169,469,1638,2460,66.59%,899,637,1536
898,"District Judge, 174th Judicial District",0166,562,261,823,1171,70.28%,267,500,767
898,"District Judge, 174th Judicial District",0167,5,2,7,24,29.17%,0,6,6
898,"District Judge, 174th Judicial District",0168,196,59,255,512,49.80%,5,245,250
898,"District Judge, 174th Judicial District",0169,985,247,1232,2548,48.35%,30,1160,1190
898,"District Judge, 174th Judicial District",0170,553,262,925,1958,47.24%,409,450,859
899,"District Judge, 174th Judicial District",0171,482,283,765,1648,46.42%,38,691,729
899,"District Judge, 174th Judicial District",0172,245,103,348,661,52.65%,85,244,329
899,"District Judge, 174th Judicial District",0173,2259,683,2942,3966,74.18%,2153,645,2798
899,"District Judge, 174th Judicial District",0174,171,5,707,2423,3389,71.50%,1550,732,2282
899,"District Judge, 174th Judicial District",0175,1402,691,2093,2711,77.20%,1033,904,1937
899,"District Judge, 174th Judicial District",0176,767,375,1142,1533,74.49%,543,500,1043
899,"District Judge, 174th Judicial District",0177,937,333,1270,1715,74.05%,668,511,1179
899,"District Judge, 174th Judicial District",0178,1116,273,1389,1795,77.38%,894,396,1290
899,"District Judge, 174th Judicial District",0179,771,244,1015,1673,60.67%,466,480,946
899,"District Judge, 174th Judicial District",0180,928,463,1391,2914,47.74%,45,1288,1333
899,"District Judge, 174th Judicial District",0181,697,439,1136,2195,51.75%,252,821,1073
899,"District Judge, 174th Judicial District",0182,1943,994,2937,4071,72.14%,1523,1186,2709
899,"District Judge, 174th Judicial District",0183,1286,715,2001,2535,78.93%,1233,620,1853
899,"District Judge, 174th Judicial District",0184,278,219,497,1048,47.42%,131,331,462
899,"District Judge, 174th Judicial District",0185,709,444,1153,2054,56.13%,297,783,1080
899,"District Judge, 174th Judicial District",0186,252,150,402,798,50.38%,37,348,385
899,"District Judge, 174th Judicial District",0187,95,51,147,309,47.57%,25,110,135
899,"District Judge, 174th Judicial District",0188,499,306,805,1711,47.05%,256,510,766
899,"District Judge, 174th Judicial District",0189,804,279,1083,1505,71.96%,603,411,1014
899,"District Judge, 174th Judicial District",0190,571,326,897,1849,48.51%,256,589,845
899,"District Judge, 174th Judicial District",0191,327,259,586,1408,41.62%,176,384,560
899,"District Judge, 174th Judicial District",0192,757,259,1016,1959,51.86%,62,912,974
899,"District Judge, 174th Judicial District",0193,375,211,586,1099,53.32%,20,541,561
899,"District Judge, 174th Judicial District",0194,1138,449,1587,2172,73.07%,427,1062,1489
899,"District Judge, 174th Judicial District",0195,606,344,950,1739,54.63%,48,856,904
899,"District Judge, 174th Judicial District",0196,132,37,169,313,53.99%,13,144,157
899,"District Judge, 174th Judicial District",0197,995,372,1368,2969,46.08%,42,1276,1318
899,"District Judge, 174th Judicial District",0198,161,82,243,619,39.26%,10,223,233
899,"District Judge, 174th Judicial District",0199,1929,815,2744,4063,67.54%,2018,601,2619
899,"District Judge, 174th Judicial District",0200,2307,377,2684,3692,72.70%,1171,1342,2513
899,"District Judge, 174th Judicial District",0201,221,105,326,773,42.17%,13,307,320
899,"District Judge, 174th Judicial District",0202,421,233,654,1410,46.38%,29,600,629
899,"District Judge, 174th Judicial District",0203,298,111,409,988,41.40%,65,317,382
899,"District Judge, 174th Judicial District",0204,2099,577,2676,3568,75.00%,1372,1084,2456
900,"District Judge, 174th Judicial District",0205,771,171,942,1724,54.64%,29,885,914
900,"District Judge, 174th Judicial District",0206,1277,494,1771,2965,59.73%,514,1126,1640
900,"District Judge, 174th Judicial District",0207,605,212,817,1166,70.07%,252,509,761
900,"District Judge, 174th Judicial District",0208,909,338,1247,2256,55.27%,292,867,1159
900,"District Judge, 174th Judicial District",0209,0,0,0,0,0.00%,0,0,0
900,"District Judge, 174th Judicial District",0210,1259,489,1748,2781,62.86%,266,1406,1672
900,"District Judge, 174th Judicial District",0211,954,595,1559,3130,49.81%,422,1034,1456
900,"District Judge, 174th Judicial District",0212,309,323,632,1370,46.13%,103,491,594
900,"District Judge, 174th Judicial District",0213,1782,795,2577,3406,75.66%,1971,483,2454
900,"District Judge, 174th Judicial District",0214,1016,418,1434,1911,75.04%,817,510,1327
900,"District Judge, 174th Judicial District",0215,1096,636,1732,2286,75.77%,941,666,1607
900,"District Judge, 174th Judicial District",0216,778,244,1022,1966,51.98%,65,915,980
900,"District Judge, 174th Judicial District",0217,1545,618,2163,2736,79.06%,1324,719,2043
900,"District Judge, 174th Judicial District",0218,1099,457,1555,2467,63.07%,377,1045,1422
900,"District Judge, 174th Judicial District",0219,1117,515,1632,2868,56.90%,147,1404,1551
900,"District Judge, 174th Judicial District",0220,832,306,1138,2362,48.18%,707,363,1070
900,"District Judge, 174th Judicial District",0221,1032,473,1505,2598,57.93%,485,922,1407
900,"District Judge, 174th Judicial District",0222,1460,671,2131,2728,78.12%,950,1013,1963
900,"District Judge, 174th Judicial District",0223,1750,517,2267,3664,61.87%,565,1546,2111
900,"District Judge, 174th Judicial District",0224,1155,495,1551,2313,71.81%,716,829,1545
900,"District Judge, 174th Judicial District",0225,1353,596,1949,3689,52.83%,813,1049,1862
900,"District Judge, 174th Judicial District",0226,840,421,1261,2554,49.37%,242,956,1198
900,"District Judge, 174th Judicial District",0227,1071,359,1430,1810,79.01%,1013,342,1355
900,"District Judge, 174th Judicial District",0228,625,159,784,1175,66.72%,46,725,771
900,"District Judge, 174th Judicial District",0229,227,168,395,828,47.71%,108,263,371
900,"District Judge, 174th Judicial District",0230,353,165,518,1094,47.35%,22,479,501
900,"District Judge, 174th Judicial District",0231,801,445,1246,2376,52.44%,248,935,1183
900,"District Judge, 174th Judicial District",0232,941,438,1379,1826,75.52%,724,558,1282
900,"District Judge, 174th Judicial District",0233,2571,703,3274,4713,69.47%,1457,1588,3045
900,"District Judge, 174th Judicial District",0234,2419,728,3147,4042,77.86%,2231,741,2972
900,"District Judge, 174th Judicial District",0235,461,203,664,1421,46.73%,26,607,633
900,"District Judge, 174th Judicial District",0236,555,308,964,2104,45.82%,48,889,937
900,"District Judge, 174th Judicial District",0237,739,312,1051,2146,48.97%,20,997,1017
900,"District Judge, 174th Judicial District",0238,606,317,923,1948,47.38%,31,859,890
901,"District Judge, 174th Judicial District",0239,694,334,1028,1984,51.81%,33,972,1005
901,"District Judge, 174th Judicial District",0240,1007,292,1299,2601,49.94%,32,1238,1270
901,"District Judge, 174th Judicial District",0241,651,383,1034,2466,41.93%,326,661,987
901,"District Judge, 174th Judicial District",0242,506,314,820,1744,47.02%,360,406,766
901,"District Judge, 174th Judicial District",0243,244,42,286,475,60.21%,7,277,284
901,"District Judge, 174th Judicial District",0244,1409,538,1947,3296,59.07%,915,938,1853
901,"District Judge, 174th Judicial District",0245,2100,811,2911,4679,62.21%,1781,981,2762
901,"District Judge, 174th Judicial District",0246,2209,482,2691,3971,67.77%,1648,937,2585
901,"District Judge, 174th Judicial District",0247,440,376,816,1595,51.16%,21,779,800
901,"District Judge, 174th Judicial District",0248,453,347,800,2147,37.26%,176,578,754
901,"District Judge, 174th Judicial District",0249,1124,365,1489,2825,52.71%,910,532,1442
901,"District Judge, 174th Judicial District",0250,288,183,471,925,50.92%,20,442,462
901,"District Judge, 174th Judicial District",0251,806,378,1184,2132,55.53%,63,1075,1138
901,"District Judge, 174th Judicial District",0252,925,309,1235,2292,53.88%,29,1172,1201
901,"District Judge, 174th Judicial District",0253,759,311,1070,2154,49.68%,33,1016,1049
901,"District Judge, 174th Judicial District",0254,411,280,691,1675,41.25%,143,512,655
901,"District Judge, 174th Judicial District",0255,1253,586,1839,2489,73.89%,775,929,1704
901,"District Judge, 174th Judicial District",0256,1398,583,1981,3321,59.65%,656,1202,1858
901,"District Judge, 174th Judicial District",0257,997,622,1619,3497,46.30%,365,1179,1544
901,"District Judge, 174th Judicial District",0258,1948,608,2555,3346,76.39%,1786,623,2409
901,"District Judge, 174th Judicial District",0259,1030,414,1444,2312,62.46%,33,1375,1408
901,"District Judge, 174th Judicial District",0260,547,227,774,1300,59.54%,370,359,729
901,"District Judge, 174th Judicial District",0261,442,531,973,1457,66.78%,270,638,908
901,"District Judge, 174th Judicial District",0262,1847,676,2523,4397,57.38%,1328,1050,2378
901,"District Judge, 174th Judicial District",0263,2208,665,2873,4016,71.54%,2007,730,2737
901,"District Judge, 174th Judicial District",0264,1110,627,1737,3101,56.01%,864,771,1635
901,"District Judge, 174th Judicial District",0265,1991,608,2599,3582,72.56%,1763,673,2436
901,"District Judge, 174th Judicial District",0266,737,443,1180,2147,54.96%,427,685,1112
901,"District Judge, 174th Judicial District",0267,421,293,714,1433,49.83%,261,410,671
901,"District Judge, 174th Judicial District",0268,1174,689,1863,2528,73.69%,1013,688,1701
901,"District Judge, 174th Judicial District",0269,1305,365,1670,2114,79.00%,1215,353,1568
901,"District Judge, 174th Judicial District",0270,1816,688,2504,3985,62.84%,1215,1124,2339
901,"District Judge, 174th Judicial District",0271,1150,346,1496,2558,58.48%,31,1430,1461
901,"District Judge, 174th Judicial District",0272,870,415,1285,2334,55.06%,438,778,1216
902,"District Judge, 174th Judicial District",0273,1175,647,1822,2485,73.32%,1378,367,1745
902,"District Judge, 174th Judicial District",0274,1251,311,1572,2223,70.72%,953,512,1465
902,"District Judge, 174th Judicial District",0275,585,334,919,2059,44.63%,149,734,883
902,"District Judge, 174th Judicial District",0276,1027,255,1282,2458,52.16%,21,1236,1257
902,"District Judge, 174th Judicial District",0277,573,338,911,1898,48.00%,313,560,873
902,"District Judge, 174th Judicial District",0278,1059,469,1528,2602,58.72%,631,806,1437
902,"District Judge, 174th Judicial District",0279,789,314,1103,2073,53.21%,612,437,1049
902,"District Judge, 174th Judicial District",0280,444,362,806,1656,48.67%,215,545,760
902,"District Judge, 174th Judicial District",0281,1287,590,1877,2507,74.87%,837,877,1714
902,"District Judge, 174th Judicial District",0282,773,604,1377,2144,64.23%,769,539,1308
902,"District Judge, 174th Judicial District",0283,2351,1143,3494,6365,54.89%,480,2886,3366
902,"District Judge, 174th Judicial District",0284,1585,574,2159,4079,52.93%,701,1341,2042
902,"District Judge, 174th Judicial District",0285,1077,431,1508,2680,56.27%,123,1333,1456
902,"District Judge, 174th Judicial District",0286,1708,545,2253,3757,59.97%,184,1993,2177
902,"District Judge, 174th Judicial District",0287,851,408,1259,1658,75.93%,576,601,1177
902,"District Judge, 174th Judicial District",0288,881,314,1195,2208,54.12%,27,1138,1165
902,"District Judge, 174th Judicial District",0289,481,352,833,1584,52.59%,294,478,772
902,"District Judge, 174th Judicial District",0290,705,332,1037,1623,63.89%,746,251,997
902,"District Judge, 174th Judicial District",0291,503,233,836,1218,68.64%,345,440,785
902,"District Judge, 174th Judicial District",0292,549,178,727,1379,52.72%,86,613,699
902,"District Judge, 174th Judicial District",0293,778,475,1253,1811,69.19%,514,651,1165
902,"District Judge, 174th Judicial District",0294,852,198,1050,2054,51.12%,11,1021,1032
902,"District Judge, 174th Judicial District",0295,270,111,381,894,42.62%,10,361,371
902,"District Judge, 174th Judicial District",0296,701,385,1086,1705,63.70%,539,470,1009
902,"District Judge, 174th Judicial District",0297,729,341,1070,2055,52.07%,362,646,1008
902,"District Judge, 174th Judicial District",0298,1095,387,1482,2236,66.28%,724,686,1410
902,"District Judge, 174th Judicial District",0299,499,236,735,1506,48.80%,221,463,684
902,"District Judge, 174th Judicial District",0300,3385,728,4113,5480,75.05%,3045,879,3924
902,"District Judge, 174th Judicial District",0301,737,392,1129,2337,48.31%,387,679,1066
902,"District Judge, 174th Judicial District",0302,1197,591,1788,3277,54.56%,887,816,1703
902,"District Judge, 174th Judicial District",0303,1896,692,2588,3375,76.68%,1920,545,2465
902,"District Judge, 174th Judicial District",0304,1190,474,1664,2326,71.54%,875,672,1547
902,"District Judge, 174th Judicial District",0305,2154,545,2799,4838,57.85%,900,1775,2675
902,"District Judge, 174th Judicial District",0306,1095,299,1395,1896,73.58%,930,377,1307
903,"District Judge, 174th Judicial District",0307,1456,801,2257,3270,69.02%,1447,675,2122
903,"District Judge, 174th Judicial District",0308,526,225,751,1457,51.54%,184,516,700
903,"District Judge, 174th Judicial District",0309,2160,591,2751,3495,78.71%,2033,574,2607
903,"District Judge, 174th Judicial District",0310,709,326,1035,1464,70.70%,607,353,960
903,"District Judge, 174th Judicial District",0311,930,643,1573,3222,48.82%,699,757,1456
903,"District Judge, 174th Judicial District",0312,1705,552,2257,3724,60.61%,1135,991,2126
903,"District Judge, 174th Judicial District",0313,23,8,31,61,50.82%,15,9,24
903,"District Judge, 174th Judicial District",0314,2997,817,3814,5606,68.03%,2129,1544,3673
903,"District Judge, 174th Judicial District",0315,801,353,1154,1636,70.54%,625,451,1076
903,"District Judge, 174th Judicial District",0316,739,340,1079,1513,71.32%,548,450,998
903,"District Judge, 174th Judicial District",0317,593,252,845,1661,50.87%,208,588,796
903,"District Judge, 174th Judicial District",0318,1726,529,2255,3776,59.72%,124,2056,2180
903,"District Judge, 174th Judicial District",0319,994,271,1265,2199,57.53%,73,1157,1230
903,"District Judge, 174th Judicial District",0320,554,238,792,1570,50.45%,274,466,740
903,"District Judge, 174th Judicial District",0321,867,363,1230,2483,49.54%,338,796,1134
903,"District Judge, 174th Judicial District",0322,426,124,550,1210,45.45%,153,379,532
903,"District Judge, 174th Judicial District",0323,700,296,996,1793,55.55%,369,576,945
903,"District Judge, 174th Judicial District",0324,1444,560,2004,2607,76.87%,1211,675,1886
903,"District Judge, 174th Judicial District",0325,802,257,1059,2176,48.67%,189,806,995
903,"District Judge, 174th Judicial District",0326,271,129,400,736,54.35%,142,225,367
903,"District Judge, 174th Judicial District",0327,738,141,879,1758,50.00%,24,826,850
903,"District Judge, 174th Judicial District",0328,425,286,711,1631,43.59%,208,464,672
